"active_row_id","language_access_target","bucket","gap_ids","output_policy","blocker_or_ethics_note","next_gate"
"R6-ACTIVE-011","Nigerian Pidgin","source_canon_insufficient","R6-GAP-AUTO-010; R6-CR-P2-017","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required."
"R6-ACTIVE-012","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","R6-GAP-AUTO-011","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands."
"R6-ACTIVE-013","Papiamento/Papiamentu","source_canon_insufficient","R6-GAP-AUTO-012","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement."
"R6-ACTIVE-014","Papiamento/Papiamentu - Aruba","source_canon_insufficient","R6-GAP-AUTO-013; R6-CR-P2-006; R6-CR-P2-007","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement."
"R6-ACTIVE-015","Sranan / Saramaccan / Ndyuka / Guyanese Creole","source_canon_insufficient","R6-GAP-AUTO-014","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate."
"R6-ACTIVE-016","Sranan/Saramaccan/Ndyuka/Guyanese","source_canon_insufficient","R6-GAP-AUTO-015","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Find language-specific STEM sources; keep each named language separate."
"R6-ACTIVE-017","Tok Pisin","source_canon_insufficient","R6-GAP-AUTO-016","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required."
"R6-ACTIVE-018","Bislama/Vanuatu","source_canon_sufficient_for_scoped_draft_work","R6-GAP-002","draft_noncanonical_support_allowed_for_scoped_row_only","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv"
"R6-ACTIVE-019","Ecuador EIB","source_canon_insufficient","R6-GAP-001","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-020","Guarani/Paraguay","source_canon_insufficient","R6-GAP-003","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement."
"R6-ACTIVE-021","Krio/Sierra Leone","source_canon_insufficient","R6-GAP-006","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists."
"R6-ACTIVE-022","Mexico CONALITEG Indigenous books","source_canon_insufficient","R6-GAP-008","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-023","Papiamento/Papiamentu - Aruba","source_canon_insufficient","R6-GAP-007","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement."
"R6-ACTIVE-024","Quechua/Bolivia","source_canon_insufficient","R6-GAP-004","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-025","Uspanteko/Guatemala","source_canon_insufficient","R6-GAP-005","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-026","Aymara","source_canon_insufficient","R6-URL-GAP-001","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state."
"R6-ACTIVE-027","Bolivia Quechua","source_canon_insufficient","R6-GAP-AUTO-017; R6-GAP-AUTO-018","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-028","Bolivia Quechua candidate","source_canon_insufficient","","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot"
"R6-ACTIVE-029","Bolivia Quechua longitudes","source_canon_insufficient","R6-GAP-AUTO-019","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-030","Bolivia Red Minedu repository","source_canon_insufficient","R6-IA-P3-002","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-031","Ecuador EIB","source_canon_insufficient","R6-GAP-AUTO-020; R6-GAP-AUTO-021","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement."
"R6-ACTIVE-032","Ecuador Ministry EIB pages","source_canon_insufficient","R6-IA-P3-004; R6-IA-P3-005","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried."
"R6-ACTIVE-033","Guatemala DIGEBI product pages","source_canon_insufficient","R6-IA-P3-006","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-034","Guatemala Uspanteko","source_canon_insufficient","R6-GAP-AUTO-022; R6-GAP-AUTO-023","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement."
"R6-ACTIVE-035","Hnahnu/Otomi","source_canon_insufficient","R6-IA-P3-D002; R6-IA-P3-D006","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-036","Maya","source_canon_insufficient","R6-IA-P3-D003; R6-IA-P3-D007","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-037","Mexico CONALITEG Indigenous primary","source_canon_insufficient","R6-GAP-AUTO-024","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-038","Mexico CONALITEG viewers/catalogue","source_canon_insufficient","R6-IA-P3-007; R6-IA-P3-008; R6-IA-P3-009; R6-IA-P3-010; R6-IA-P3-011","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-039","Mexico CONALITEG/Nanahuatzin","source_canon_insufficient","R6-IA-P3-D004","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-040","Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin","source_canon_insufficient","R6-GAP-AUTO-025","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-041","Nahuatl","source_canon_insufficient","R6-IA-P3-D001; R6-IA-P3-D005","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement."
"R6-ACTIVE-042","Nahuatl / Indigenous-language education candidate","source_canon_insufficient","","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","If pursued, inspect repository source-body language and mathematics content under a separate capture policy, record file hashes, license scope, source-owner/reviewer route, and B3 payload boundary before any movement."
"R6-ACTIVE-043","Paraguay Guarani","source_canon_insufficient","R6-GAP-AUTO-026","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement."
"R6-ACTIVE-044","Paraguay Guarani/Matematica PRODEPA","source_canon_insufficient","R6-GAP-AUTO-027","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement."
"R6-ACTIVE-045","Paraguay MEC CMS","source_canon_insufficient","R6-IA-P3-001","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement."
"R6-ACTIVE-046","Peru Quechua/Aymara","source_canon_insufficient","R6-GAP-AUTO-028","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Wait for reviewer/source-owner/reuse returns; no duplication."
"R6-ACTIVE-047","Peru Quechua/Aymara existing reader","source_canon_insufficient","R6-GAP-AUTO-029","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Do not duplicate Peru EIB reader; wait for reviewer/source-owner/reuse returns."
"R6-ACTIVE-048","Quechua Central","source_canon_insufficient","R6-URL-GAP-002","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state."
"R6-ACTIVE-049","Quechua Chanka","source_canon_insufficient","R6-URL-GAP-003","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state."
"R6-ACTIVE-050","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","source_canon_insufficient","R6-SRCARCH-GAP-001","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap."
"R6-ACTIVE-051","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","source_canon_insufficient","R6-GITHUB-GAP-001","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use."
"R6-ACTIVE-052","ASL","source_canon_insufficient","","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot"
"R6-ACTIVE-053","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","source_canon_insufficient","R6-GITHUB-GAP-003","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately."
"R6-ACTIVE-054","ASL, LSQ, DGS, International Sign, future signed-language rows","source_canon_insufficient","R6-SRCARCH-GAP-003","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use local signed-language source routes, video/access metadata, and media/reviewer gates."
"R6-ACTIVE-055","DGS","source_canon_insufficient","R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot"
"R6-ACTIVE-056","LSQ","source_canon_insufficient","","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot"
"R6-ACTIVE-057","International Sign comparator","source_canon_insufficient","","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot"
