route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes,current_active_body_count,current_active_bytes,current_domains,current_license_status,evidence_status,corpus_manifest_sha256,review_status
R011,rm-surmiran,Surmiran,Rhaeto-Romance,Romansh,regional idiom,Albula and Surses Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Surmiran cohort,true,Rumantsch Grischun is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R012,rm-puter,Putèr,Rhaeto-Romance,Romansh,regional idiom,Upper Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Putèr cohort,true,Rumantsch Grischun is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R013,rm-vallader,Vallader,Rhaeto-Romance,Romansh,regional idiom,Lower Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Vallader cohort,true,Rumantsch Grischun is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R014,oc,Occitan,Western Romance,Occitano-Romance,standard/pluricentric,Occitania,Latn,core_expansion,,institutional lexicon plus revision-pinned mathematical source,No source acquired,Occitan readers,true,Catalan is adjacent evidence only,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R015,oc-aranese,Aranese,Western Romance,Occitano-Romance,official Gascon standard,Val d'Aran,Latn,core_expansion,,official educational mathematics source plus lexicon,No source acquired,Aranese readers,true,Occitan umbrella is not a substitute,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R016,oc-gascon,Gascon,Western Romance,Occitano-Romance,regional standard,Gascony,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gascon readers,true,Aranese evidence must be tagged separately,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R017,frp,Arpitan / Franco-Provençal,Western Romance,Arpitan,regional standards,France Switzerland and Italy,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Arpitan readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R018,wa,Walloon,Western Romance,Oïl,regional standard,Wallonia,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Walloon readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R019,pcd,Picard,Western Romance,Oïl,regional standard,Picardy and Hainaut,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Picard readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R020,nrf,Norman,Western Romance,Oïl,regional standard,Normandy and Channel Islands,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Norman readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R021,fr-gallo,Gallo,Western Romance,Oïl,regional standard,Brittany and Maine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gallo readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R022,fr-bgm,Burgundian-Morvandiau,Western Romance,Oïl,regional standard,Burgundy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Burgundian readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R023,fr-fc,Franc-Comtois,Western Romance,Oïl,regional standard,Franche-Comté and Swiss Jura,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Franc-Comtois readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R024,fr-champ,Champenois,Western Romance,Oïl,regional standard,Champagne,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Champenois readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R025,fr-lor,Lorrain,Western Romance,Oïl,regional standard,Lorraine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Lorrain readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R026,fr-poit,Poitevin-Saintongeais,Western Romance,Oïl,regional standard,West-central France,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Poitevin-Saintongeais readers,true,French is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R027,fro,Old French,Western Romance,Oïl,historical,Medieval France,Latn,historical_diachronic,,critical edition and historical dictionary,No source acquired,Historical evidence only,true,Not scored as a modern reader cohort,0,0,,no_active_source,explicit_zero_historical_source_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R028,fur,Friulian,Rhaeto-Romance,Friulian,standard,Friuli,Latn,core_expansion,,institutional lexicon plus native mathematics or education source,No source acquired,Friulian readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R029,lld,Ladin,Rhaeto-Romance,Ladin,standards by valley,Dolomites,Latn,core_expansion,,valley-tagged institutional lexicon plus native technical source,No source acquired,Ladin readers by standard,true,Italian and Romansh are adjacent only,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R030,pms,Piedmontese,Western Romance,Gallo-Italic,regional standard,Piedmont,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Piedmontese readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R031,lmo,Lombard,Western Romance,Gallo-Italic,regional standards,Lombardy and Swiss Ticino,Latn,core_expansion,,region-tagged dictionary plus native technical source,No source acquired,Lombard readers by region,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R032,lij,Ligurian,Western Romance,Gallo-Italic,regional standard,Liguria and Monaco,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Ligurian readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R033,gii-emr,Emilian-Romagnol,Western Romance,Gallo-Italic,regional continuum,Emilia-Romagna and nearby regions,Latn,core_expansion,,Emilian and Romagnol tagged dictionaries plus native technical sources,No source acquired,Separate Emilian and Romagnol sampling,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R034,vec,Venetian,Western Romance,Venetan,regional standard,Veneto and nearby regions,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Venetian readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R035,nap,Neapolitan,Western Romance,Italo-Dalmatian,regional standard,Southern mainland Italy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Neapolitan readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R036,scn,Sicilian,Western Romance,Italo-Dalmatian,regional standard,Sicily and southern Calabria,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Sicilian readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R037,co,Corsican,Western Romance,Italo-Dalmatian,regional standard,Corsica,Latn,core_expansion,,institutional dictionary plus native technical source,No source acquired,Corsican readers,true,French and Italian are not proxies,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R038,ist,Istriot,Western Romance,Italo-Dalmatian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native technical or educational text,No source acquired,Istriot readers or expert elicitation,true,Italian and Venetian are not proxies,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R039,dlm,Dalmatian,Western Romance,Italo-Dalmatian,extinct historical,Dalmatian coast,Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,No modern intelligibility cohort claim,0,0,,no_active_source,explicit_zero_historical_source_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R040,sc,Sardinian,Insular Romance,Sardinian,umbrella standard,Sardinia,Latn,core_expansion,,institutional standard lexicon plus native mathematics or education source,No source acquired,Sardinian readers,true,Italian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R041,src,Logudorese Sardinian,Insular Romance,Sardinian,regional standard,Central and northern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Logudorese readers,true,Umbrella Sardinian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R042,sro,Campidanese Sardinian,Insular Romance,Sardinian,regional standard,Southern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Campidanese readers,true,Umbrella Sardinian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R043,sdc,Sassarese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northwest Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Sassarese readers,true,Italian and Sardinian are not proxies,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R044,sdn,Gallurese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northeast Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Gallurese readers,true,Italian and Sardinian are not proxies,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R045,rup,Aromanian,Eastern Romance,Aromanian,minority standards,Balkans,Latn,core_expansion,,academic dictionary plus native mathematics or education source,No source acquired,Aromanian readers,true,Romanian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R046,ruq,Megleno-Romanian,Eastern Romance,Megleno-Romanian,endangered local varieties,Greece and North Macedonia,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R047,ruo,Istro-Romanian,Eastern Romance,Istro-Romanian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R048,ro-md,Romanian in Moldova,Eastern Romance,Daco-Romanian,regional standard,Moldova,Latn,core_expansion,,Moldovan edition-tagged mathematics source,No region-tagged source acquired,Moldovan Romanian readers,true,Romanian corpus needs region metadata,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R049,ro-cyrl-hist,Moldovan Cyrillic historical,Eastern Romance,Daco-Romanian,historical script layer,Moldova and former USSR,Cyrl,historical_diachronic,,dated educational editions with script metadata,No source acquired,Historical/script evidence only,true,Do not merge scripts silently,0,0,,no_active_source,explicit_zero_historical_source_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R050,ast,Asturian,Western Romance,Astur-Leonese,standard,Asturias,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Asturian readers,true,Spanish is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R051,leo,Leonese,Western Romance,Astur-Leonese,regional varieties,León and Zamora,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Leonese readers,true,Spanish and Asturian are not proxies,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R052,mwl,Mirandese,Western Romance,Astur-Leonese,official regional standard,Miranda do Douro,Latn,core_expansion,,official educational source plus lexicon,No source acquired,Mirandese readers,true,Portuguese is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R053,an,Aragonese,Western Romance,Ibero-Romance,regional standard,Aragon,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Aragonese readers,true,Spanish is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R054,lad,Judaeo-Spanish / Ladino,Western Romance,Ibero-Romance,diaspora standards,Mediterranean diaspora,Latn;Hebr,core_expansion,,script-tagged dictionaries plus native technical or educational source,No source acquired,Judaeo-Spanish readers by script,true,Spanish is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R055,ext,Extremaduran,Western Romance,Ibero-Romance,regional varieties,Extremadura,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Extremaduran readers,true,Spanish is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R056,ca-val,Valencian,Western Romance,Occitano-Romance,regional standard,Valencian Community,Latn,core_expansion,,Valencian edition-tagged mathematics source,No region-tagged source acquired,Valencian readers,true,Catalan evidence remains standard-tagged,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R057,ca-bal,Balearic Catalan,Western Romance,Occitano-Romance,regional varieties,Balearic Islands,Latn,core_expansion,,Balearic edition-tagged mathematics source,No region-tagged source acquired,Balearic readers,true,Catalan evidence remains region-tagged,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R058,mxi,Mozarabic,Western Romance,Ibero-Romance,extinct historical,Medieval Iberia,Arab;Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,Diachronic input only,0,0,,no_active_source,explicit_zero_historical_source_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R059,la,Latin,Romance ancestor,Latin,classical medieval and scientific registers,Europe,Latn,historical_diachronic,,dated critical and scientific editions,No source acquired,Historical evidence only,true,Not counted as a modern Romance cohort,0,0,,no_active_source,explicit_zero_historical_source_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R060,pap,Papiamento,Romance-lexifier contact,Creole,standard,Caribbean,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default,0,0,,no_active_source,explicit_zero_contact_comparator_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R061,ht,Haitian Creole,Romance-lexifier contact,Creole,standard,Haiti,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default,0,0,,no_active_source,explicit_zero_contact_comparator_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
