comparison_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,object_type,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,critical_controls,external_candidate_delta,decision,result,status,confidence,adverse_or_choice,rejected_alternative,continuation_cursor,review_state,closure_id
SGA2-VI-FORM-011,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,first_spectral_initial_term,2174,73,66,58,French TeX corrected branch 2174; direct PDF physical 66,Target TeX 169-179,"H_Z^p(X; sheaf Ext_OX^q(F;G)); left exactness; flasque hypotheses",Candidate malformed alternate branch rejected,preserve balanced corrected formula,exactly aligned,passed,high,source_branch_choice,unbalanced malformed branch,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-012,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,second_spectral_initial_term,2176-2178,73,66,58,French TeX 2176-2178,Target TeX 181-188,"Ext_OX^p(X;F; sheaf H_Z^q(G)); underlined Gamma sends injectives to injectives",Candidate comparison-only,preserve argument order and sheaf H,exactly aligned,passed,high,,ordinary H for sheaf cohomology,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-013,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,third_spectral_initial_term,2180,73,66,58,French TeX 2180,Target TeX 190-194,"H^p(X; sheaf Ext_Z bullet(F;G)); semicolon after X",Candidate comparison-only,preserve narrative punctuation and degree bullet,exactly aligned,passed,high,punctuation_choice,comma substitution in narrative term,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-014,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,equations_1_6_1_to_1_6_3,2184-2191,73,66,58,French TeX 2184-2191; direct PDF physical 66,Target TeX 196-207,"three terms in source order; p and q; support; comma in 1.6.2; semicolon in 1.6.3",Candidate not independent corroboration,preserve corrected punctuation and order,exactly aligned after bounded comma correction,passed,high,source_required_correction,semicolon after X in 1.6.2,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-015,1,,SGA2-VI-C03,SGA2-VI-1719,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_7_1,2194-2198,74,66,58,French TeX 2194-2198,Target TeX 209-218,"Z prime and double prime; support order Z double-prime to Z to Z prime",Candidate comparison-only,preserve every prime and arrow,exactly aligned,passed,high,,lost prime or reversed support order,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-016,1,,SGA2-VI-C03,SGA2-VI-1719,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_7_2,2199-2201,74,66,58,French TeX 2199-2201,Target TeX 219-225,"F tensor over O_X with each support sheaf; exact endpoints",Candidate comparison-only,preserve tensor bases and order,exactly aligned,passed,high,,omit tensor base,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-017,1,,SGA2-VI-C03,SGA2-VI-1719,formula_and_structure,corrected_french_tex_and_direct_pdf,Theorem_1_8_exact_sequence,2204-2210,74,66,58,French TeX 2204-2210; direct PDF physical 66,Target TeX 230-243,"Hom support order; Ext support order; i to i+1 shift; functoriality",Candidate comparison-only,preserve all terms and add explicit continuation arrow,mathematical order exact,passed,high,readability_normalization,leading ellipsis without explicit arrow,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-018,1,,SGA2-VI-C03,SGA2-VI-1719,formula_and_structure,corrected_french_tex_and_direct_pdf,Corollary_1_9_exact_sequence,2212-2217,74,66,58,French TeX 2212-2217; direct PDF physical 66,Target TeX 245-258,"Y support; O_X global Hom and Ext; U restrictions; degree shift",Candidate comparison-only,preserve all restrictions and explicit continuation arrow,mathematical order exact,passed,high,readability_normalization,ordinary unrestricted U terms,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-019,1,,SGA2-VI-C04,SGA2-VI-21,formula_and_structure,corrected_french_tex_and_direct_pdf,Proposition_2_1_conclusion,2223-2225,75,67,59,French TeX 2223-2225; direct PDF physical 67,Target TeX 264-268,"locally Noetherian; locally closed Z; coherent F; quasi-coherent G; sheaf Ext quasi-coherent",Candidate capitalizes module,preserve every hypothesis and conclusion,exactly aligned,passed,high,register_choice,capitalized Module in English,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-020,1,,SGA2-VI-C04,SGA2-VI-21,formula_and_structure,corrected_french_tex_and_direct_pdf,Proposition_2_1_initial_term,2227,75,67,59,French TeX 2227; direct PDF physical 67,Target TeX 270-277,"sheaf Ext_OX^p(F; sheaf H_Z^q(G)); II Corollary 3; coherence dependency",Candidate comparison-only,preserve sheaf layers and indices,exactly aligned,passed,high,,flattened sheaf H and Ext,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-021,1,,SGA2-VI-C05,SGA2-VI-22-T23S,formula_and_structure,corrected_french_tex_and_direct_pdf,formal_neighborhood_maps,2232,75,67,59,French TeX 2232; direct PDF physical 67,Target TeX 279-291,"m at least n at least zero; powers m+1 and n+1; i_n_m direction; j_n; projective compatibility",Candidate comparison-only,preserve direction and powers,exactly aligned,passed,high,,reverse i_n_m or use wrong exponent,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-022,1,,SGA2-VI-C05,SGA2-VI-22-T23S,formula_and_structure,corrected_french_tex_and_direct_pdf,phi_prime,2234-2237,75,67,59,French TeX 2234-2237; direct PDF physical 67,Target TeX 293-300,"direct limit n; Ext_OX^i; X semicolon arguments; F tensor O_Yn to F tensor O_XY",Candidate comparison-only,preserve complete domain and codomain,exactly aligned,passed,high,,drop X or tensor factor,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-023,1,,SGA2-VI-C05,SGA2-VI-22-T23S,formula_and_structure,corrected_french_tex_and_direct_pdf,phi_composition,2238-2242,75,67,59,French TeX 2238-2242; direct PDF physical 67,Target TeX 301-307,"global phi target Ext_Y^i(X;F;G); composition theta after phi-prime",Candidate prose could permit ambiguity but domains decide order,preserve theta composed with phi-prime,exactly aligned,passed,high,composition_choice,phi-prime after theta,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-024,1,,SGA2-VI-C05,SGA2-VI-22-T23S,formula_and_structure,corrected_french_tex_and_direct_pdf,sheaf_phi,2244-2247,75,67,59,French TeX 2244-2247; direct PDF physical 67,Target TeX 309-312,"underlined phi; direct limit; sheaf Ext_OX; literal target sheaf Ext_Y^i(X;F;G)",Candidate omits X from target,preserve literal X argument,exactly aligned,passed,high,adverse_candidate_delta,candidate target without X,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-025,1,,SGA2-VI-C05,SGA2-VI-22-T23S,formula_and_structure,corrected_french_tex_and_direct_pdf,Theorem_2_3_statement,2249-2257,76,67,59,French TeX 2249-2257; direct PDF physical 67,Target TeX 314-323,"closed subset Y; coherent ideal I; coherent F; quasi-coherent G; sheaf phi a; global phi b",Candidate comparison-only,preserve distinct conclusions,exactly aligned,passed,high,,collapse a and b,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-026,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_2_3_1,2261-2264,76,67-68,59-60,French TeX 2261-2264; direct PDF physical 67-68,Target TeX 331-342,"direct limit n; Ext_A^i; literal M over I^n M; target Ext_Y^i(X;F;G); induced by underlined phi",Candidate code-fenced formula not authoritative,preserve literal exponent and all arguments,exactly aligned,passed,high,source_literal_choice,change I^n to I^(n+1),French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-027,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,formula_and_structure,corrected_french_tex_and_direct_pdf,degree_zero_identity,2266,76,68,60,French TeX 2266; direct PDF physical 68,Target TeX 344-348,"both sides identified with I-power-torsion submodule of Hom_A(M;N); identity map",Candidate comparison-only,preserve canonical identification,exactly aligned,passed,high,,weaken to unspecified isomorphism,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-028,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,formula_and_structure,corrected_french_tex_and_direct_pdf,universal_delta_functor_and_H_distinction,2268,76,68,60,French TeX corrected branch 2268; direct PDF physical 68,Target TeX 350-355,"universal partial-functor; sheaf H_Y^q vanishing; plain module H_Y^0 injective; II 9 and 11; IV.2.2",Candidate citation speculation rejected,preserve corrected global-versus-sheaf H distinction,exactly aligned after bounded correction,passed,high,source_required_correction,calligraphic H_Y^0,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-029,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,formula_and_structure,corrected_french_tex_and_direct_pdf,final_vanishing,2270,76,68,60,French TeX 2270; direct PDF physical 68,Target TeX 357-362,"Ext_OX^p(X;M; sheaf H_Y^q(N)) zero for p+q nonzero; Ext_Y^i(M;N) zero for i nonzero",Candidate comparison-only,preserve both vanishings and hypotheses,exactly aligned,passed,high,,drop p+q condition,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-030,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,formula_and_structure,corrected_french_tex_and_direct_pdf,bibliography_close,2272,76,68,60,French TeX 2272; direct PDF physical 68,Target TeX 363-366,"same references as Expose I; Tohoku then Godement; no invented details",Candidate adds speculative context,preserve minimal source dependency,exactly aligned,passed,high,adverse_candidate_delta,invented bibliographic metadata,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
