failure_mode_id,classification,short_name,incident_and_evidence,root_cause,affected_artifacts,detection,corrective_control,recurrence_test,evidence_sources,verdier_disposition
"VDR-FM-0011","confirmed_incident","Pattern detector invented semantic edges","The SGA3 Expose VII detector promoted six TikZ coordinate literals such as 2.1 3.3 and 3.2 into internal semantic reference edges. Its old graph validation was mechanically coherent but semantically wrong and wrapping those spans would corrupt diagram source.","Number-pattern extraction lacked TeX syntax context and treated coordinates/dimensions as citation-like locators; candidate identity was also carried too loosely across source revision.","Reference candidate ledger graph edges TikZ source and validation.","Direct inspection of candidate source spans and repaired-file identity replay revealed the coordinate context.","Every candidate records lexical and syntax class; diagram coordinates dimensions and style values are positive nonreferences; re-extract after source changes.","No edge may be admitted from number shape alone; source span parser class reviewer and current source hash are required; diagram syntax wrappers are prohibited.","SGA3_EXPOSE_VII_NATIVE_DIAGRAM_REFERENCE_DETECTOR_FAIL and IDENTITY_CORRECTION.","active_control_VDR-SG-0029_0032"
"VDR-FM-0012","confirmed_architectural_gap","Clickable references without reusable pre-Stacks scaffold","EGA's complete English reader proved 17808 working GoTo actions yet later declared indexing was not merely clickable-reference plumbing and added stable mathematical nodes typed dependencies hypotheses conclusions formulas diagrams terminology and decision provenance. SGA's July reference convention likewise modelled link closure but not the full reusable object graph.","Reference engineering and PDF navigation were treated as the semantic deliverable; the durable objective did not explicitly require the broader machine-readable graph until later reread.","EGA and SGA reference tables reader links indexing scope and goal state.","Full-thread reread and later semantic-scaffold design exposed omitted deliverable classes.","One shared semantic graph models objects and dependencies; reference links are one projection; machine-readable data must include all required object classes and provenance.","Schema and source-universe closure for units objects formulas diagrams terms notation bibliography hypotheses conclusions typed edges and decisions; prose/link-only scaffold fails.","EGA French LOGBOOK lines 2237-2245 and 5262-5349; EGA scaffold; SGA_FAC_GAGA semantic scaffold.","active_control_VDR-SG-0027_to_0030"
"VDR-FM-0013","prevented_high_severity_hazard_no_incident_receipt","Invented or unjustified official Stacks mapping","No selected predecessor artifact shows an invented official Stacks tag actually admitted. Controls explicitly forbid impersonating official tags and require verified or clearly provisional mapping classes. The risk remains high because numeric and lexical detectors have already invented non-Stacks semantic edges.","A desire for apparent formal completeness can encourage guessing from numbering keywords OCR similarity page proximity or general subject resemblance.","Stacks alignment candidates pre-Stacks graph public claims and downstream mathematical navigation.","Prospective review and the absence of qualifying evidence keep mappings as candidates rather than incidents.","Never mint official tags; record candidate rejected or unmapped state with exact evidence relation class confidence and review.","Validator rejects official claims without exact authoritative target and evidence; no promotion from numbering or lexical resemblance; all uncertain mappings remain explicit candidates.","03_PRESTACKS_SEMANTIC_SCAFFOLD; SGA_FAC_GAGA semantic scaffold; common handoff.","active_control_VDR-SG-0031"
"VDR-FM-0014","confirmed_incident","Manifest algorithm contradicted its declared schema","EGA English successor manifest R2 had a null total and did not implement its declared ordering. R3 repaired rows and total but hashed JSON/list order while claiming ordinal path order; all 127 rows were exact yet the aggregate did not replay. R4 corrected the algorithm append-only.","Implementation details were not bound to the schema and aggregate correctness was inferred from row correctness. Independent replay was delayed until archive review.","EGA source manifests diff validations and downstream seals.","Independent Python and PowerShell replay compared the claimed ordering and aggregate.","Ordinal relative-path order is explicit; independently recompute row set order hashes bytes and aggregate; preserve bad generations.","Two independent implementations must produce identical membership order totals and tree digest; any mismatch fails all dependent gates.","French LOGBOOK lines 1775-1813; English successor LOGBOOK lines 79-111; R2 R3 R4 controls.","active_control_VDR-SG-0033_0037"
"VDR-FM-0015","confirmed_incident","Stale generation fields under nominal PASS","FAC validator v35 recomputed current ledger counts but still bound no.73 source build render and authority fields after no.74; v38 named no.76 but its identity generator still listed an older no.73 English PDF and C0039 French PDF. Replay consistency therefore did not prove the intended current set.","Checkpoint prose and some counts advanced without regenerating every hard-coded dependency. Validator self-consistency was mistaken for generation coherence.","FAC checkpoint validation manifests PDFs French layers and completion state.","Lead content review compared declared checkpoint with bound artifact paths.","All PASS dependencies carry one generation ID and are recomputed at runtime; stale checkpoint names paths or source ranges are errors.","For each validation assert exact intended source/build/render/ledger/manifest identities and generation equality; replay cannot pass mixed generations.","FAC-SELF-0202 and FAC-SELF-0204; FAC project logbook lines 549-587.","active_control_VDR-SG-0034"
"VDR-FM-0016","confirmed_incident","Valid package manifest coexisted with wrong PASS aggregate","The current FAC package manifest replays all 18 rows and exact membership yet PACKAGE_VALIDATION claims 730204 bytes for the 17 pre-validation files while direct recomputation gives 730442 a 238-byte error. Status remains PASS_READY_FOR_ARCHIVE_CUSTODY_AND_DUAL_DOI_PUBLICATION.","Stored aggregate was stale or miscomputed and the validator did not compare its own summary field against recomputed package bytes.","FAC package validation readiness claim and archival handoff.","Independent exact directory inventory and byte summation exposed the delta.","Recompute all validation summary fields from the manifest and compare them under the same generation; an exact manifest does not excuse a stale validation claim.","Expected file count and byte totals must be derived twice; any difference is a hard error and broad readiness status is withheld.","FAC PACKAGE_VALIDATION.json; ZENODO_PAYLOAD_MANIFEST.csv; direct replay 19 files 734768 bytes 17 files 730442 bytes.","active_control_VDR-SG-0033_0034"
"VDR-FM-0017","confirmed_incident","Shared append log regressed through probable stale whole-file replacement","A successfully appended shared decision later disappeared when the file regressed to 1414495 bytes SHA 538A... The cause is explicitly unproven; concurrent cached whole-file replacement is the leading explanation. Recovery restored 251 unique records and later protocol required locked append.","Multiple writers could rewrite a cached full snapshot without rereading the live file under a lock.","Shared English/Germanic decision log and one SGA1 decision record.","An independent reader noticed byte/hash regression and missing stable ID; reconciliation replayed record count and uniqueness.","Use lock-aware single-record append reread validate flush and rollback; ban editor apply_patch Set-Content and whole-file replacement for shared logs.","Concurrent-writer test plus pre/post bytes hash count new-ID presence unique IDs and errors empty; rollback must reproduce original identity on validation failure.","SHARED_DECISION_LOG_LOCKED_APPEND_PROTOCOL; producer reconciliation; append helper and validator.","prospective_if_multiwriter_VDR-SG-0035"
"VDR-FM-0018","prevented_hazard_not_observed","Duplicate stable decision IDs","The bounded shared-log incident and current replays found unique IDs; no confirmed duplicate insertion was found. Duplicate IDs are nevertheless a material concurrency and merge hazard.","Independent files or concurrent writers can allocate or append the same identifier if uniqueness is checked locally or before acquiring the live lock.","All decision reversal semantic and shared logs.","Current validators explicitly compute uniqueness and the locked helper rejects existing IDs.","Cross-file namespace union uniqueness and inside-lock rejection.","Inject a duplicate into a fixture and require hard failure with unchanged original log identity; references must resolve to exactly one expected record type.","Locked append protocol; decision-log validator; FAC unique-ID replays.","active_control_VDR-SG-0036"
"VDR-FM-0019","confirmed_incident","Workflow AI and status prose leaked into readers","The first SGA reader-body cleanup removed 351 project/source/translator/model apparatus items and a second pass found 34 more for 385 cumulative. SGA1 reference v2 still had a Source and status note on page i and in the TOC. Other reader records removed AI badges and reader-facing Notes while preserving genuine scholarly apparatus.","Operational provenance was authored inside reader wrappers and first-pass keyword coverage was incomplete. A clean mathematical build did not enforce publication-surface purity.","SGA direct readers front matter TOCs metadata and public packages.","PDF text extraction direct page inspection and a second broader vocabulary scan exposed residual material.","Reader PDFs contain only mathematical/editorial content; workflow provenance stays in controls; scan source PDF text bookmarks annotations metadata and rendered front matter with literal and shape detectors.","Every reader surface returns zero private/model/task/status/build/workflow hits except explicitly allowlisted genuine historical text; second independent scan required.","SGA reader cleanup v1/v2 decisions; SGA1 presentation hold; AI badge removal decision.","active_control_VDR-SG-0040"
"VDR-FM-0020","confirmed_incident","Private paths and workflow prose in public archive","A 739144631-byte legacy SGA5 ZIP exposed a private path in _GOAL.md and carried internal workflow prose. Two current surface CSVs referenced absent files and the GitHub mirror was incomplete.","Archive validation focused on outer containers/current summaries and did not recursively inspect all members and textual payloads against publication-surface rules.","Legacy SGA5 support ZIP current record catalog and public mirror.","Publication reconciliation recursively examined member paths and content and compared expected versus remote sets.","Recursive member-safe extraction privacy/workflow scanning and exact current-surface/member manifests before publication.","Enumerate every outer file and archive member; zero unsafe paths/private roots/workflow reader content; remote raw set equals expected set.","SGA5_SGA6_PUBLICATION_RECONCILIATION MD/JSON.","active_control_VDR-SG-0040_0042_0047"
"VDR-FM-0021","confirmed_incident","Privacy counts materially understated events","Initial privacy remediation described 421 path-root 3 state and 17 task-ID hits. Exact recursive replay found 2416 events affecting 423 of 478 records with detailed category counts.","The preliminary count mixed affected lines or records with recursive occurrence events and did not state a consistent denominator.","English/Germanic public log projection transformation ledger validation and DOI successors.","Recursive JSON-string transformation produced an event-level ledger and affected-record counts.","Privacy metrics separately name events records fields files and unique values and bind the same frozen input.","Independent recomputation of every category and arithmetic relation; mismatched denominators or totals fail; corrections append rather than rewrite.","Privacy remediation and privacy count correction archive records.","active_control_VDR-SG-0042_0043"
"VDR-FM-0022","confirmed_incident","Zero privacy residual claim missed concatenated UUIDs","A v1 privacy validation claimed zero residual private tokens but a shape-based scan found nine task UUIDs across six records/fields. The first regex required word boundaries and failed where UUIDs were concatenated directly after prose.","Known-token and word-boundary detectors were mistaken for complete identifier-shape detection.","Public log v1 on methodology and replication concepts and its validation claim.","Independent boundary-free UUID-shape scan over nested strings.","Use literal-root normalization plus boundary-aware and boundary-free shape scanners across all fields and public bytes; preserve adverse predecessor.","Both independent detector families must return zero unexplained results on source package container members and PDFs.","Privacy residual task-ID remediation record.","active_control_VDR-SG-0042"
"VDR-FM-0023","confirmed_incident","Transport changed line endings and defeated byte identity","FAC independent archive comparison found the producer privacy PASS wrong and the first Git commit normalized CRLF to LF in five files so only 14 of 19 blobs were exact. A corrected commit later reached 19 of 19 raw-byte identity.","Text-mode transport or repository attributes changed bytes; producer privacy testing was not independently replayed at custody boundary.","FAC 19-file package Git branch archive custody and public readback.","Independent privacy scan and commit-pinned raw blob hash comparison.","Use binary/no-conversion transport when byte identity matters and always verify remote raw bytes per file after commit/upload.","Remote expected set and 19/19 byte hashes must match; any normalized blob is a failed transport generation retained as adverse history.","FAC blind comparator transport accepted archive decision.","active_control_VDR-SG-0042_0047"
"VDR-FM-0024","confirmed_incident","Stale public manifests and incomplete mirror","Two SGA5 current-surface CSVs referred to three absent superseded files and the GitHub mirror contained 49 of 51 expected files with two log receipts missing.","Publication summaries and mirrors were updated incrementally without final exact-set regeneration and raw remote comparison.","SGA5 current Zenodo surface GitHub mirror and catalog claims.","Reconciliation compared live member sets to current manifests and expected 51-file surface.","Regenerate self-excluding current manifests only from final directory and require raw remote set equality.","No missing extra byte or hash mismatches in local and remote replays; mirror_complete requires exact expected cardinality.","SGA5_SGA6_PUBLICATION_RECONCILIATION MD/JSON.","active_control_VDR-SG-0033_0047"
"VDR-FM-0025","confirmed_incident","Wrong archive concept DOI","The EGA shelf concept DOI was transposed and three Steinitz controls pointed to an unrelated preterm-birth medical dataset. Live API/catalog readback established the correct concept IDs and corrections were appended without rewriting prior records.","Identifiers were copied or transcribed without verifying the live target title creators concept/version relation and subject.","EGA and Steinitz archive controls downstream links and routing.","Live authoritative DOI/API/catalog readback showed mismatched titles and concept relationships.","Resolve every DOI and concept live at action time and compare subject title creators relation and payload identity.","A route cannot pass from syntactic DOI form alone; exact live metadata and intended concept map must agree and downstream controls must be rechecked after correction.","EGA reader shelf DOI correction; Steinitz DOI correction.","active_control_VDR-SG-0045"
"VDR-FM-0026","prevented_hazard_not_observed","Duplicate archive concept or duplicate transport","No selected evidence shows a duplicate concept actually minted in the FAC settlement; the release resumed existing concepts and a tracked draft after a verifier exception. Controls repeatedly prohibit duplicate EGA/FAC transports. The hazard is real but must not be reported as an incident.","Retries and compact handoffs can be mistaken for new logical releases when concept lineage and package identity are not checked first.","Methodology replication corpus concepts packages drafts and handoffs.","Preflight concept/draft inventory and same-concept guarded release prevented duplication.","One logical package has one acyclic transport lineage; search live concepts drafts and prior package IDs before any mutation.","No-duplicate check names exact existing concepts and active drafts; retry resumes tracked lineage; identical payload does not mint a new concept.","FAC dual-DOI publication decision; project dual-DOI rule; EGA handoff no-duplicate instruction.","active_control_VDR-SG-0045_0046"
"VDR-FM-0027","confirmed_control_gap_with_positive_precedent","Container or upload success without raw member readback","Earlier archive states and reconciliation show that local package or upload success did not guarantee complete public mirrors or privacy-clean members. Positive successors explicitly rejected container-hash-only acceptance and read all 55 Noether members and FAC outer/member sets.","Validation stopped at local or outer-container identity and did not test remote raw bytes every member safe path and text content.","Archive ZIPs GitHub mirrors Zenodo records and publication claims.","Independent raw HTTP/API readback and member enumeration exposed missing or altered bytes in related incidents.","Published requires remote raw outer-file and member-level set/hash/privacy replay; upload success is only transport attempted.","Expected outer set equals remote set; every container member opens has safe path exact bytes/hash and zero prohibited residuals.","Noether compact public readback; FAC dual-DOI published decision; SGA5/6 reconciliation.","active_control_VDR-SG-0047"
"VDR-FM-0028","confirmed_incident","Completion claim based on a build narrower than scope","The SGA diagram closure certified 378 enumerated outputs while the active cumulative source still contained 41 omitted raster diagrams. FAC v35/v38 validations likewise passed fields from older no.73 artifacts while prose advanced to no.74/no.76. Build success and internal consistency were real but narrower than the claim.","The claimed universe was not derived from the controlling dependency closure and generation coherence was not checked.","SGA/FAC status validators readers and archival readiness.","Cumulative source enumeration and checkpoint-path review contradicted the headline scope.","Every closure claim names and positively enumerates its universe and exact generation; final build input closure must equal claimed scope.","Recursive dependency set equals manifest set equals build input set equals review set; any omitted active component or stale path hard-fails broad completion.","SGA 41-diagram fail-close; FAC-SELF-0202/0204; FAC package aggregate mismatch.","active_control_VDR-SG-0028_0034_0039_0054"
"VDR-FM-0029","confirmed_unsafe_workflow_user_characterized_as_PC_crash","Unbounded scans and heavy visual concurrency destabilized workstation","EGA generated twenty roughly 33057 by 3056 pixel 5000-dpi bands then loaded all at original detail for roughly two gigabytes decoded/context footprint and explicitly says this destabilized the PC during compactification. Other receipts record whole-page original-detail plus unbounded Documents search failure. The relocation control calls broad Chatnotes traversal destabilizing and the precedent list calls it PC-killing; selected evidence does not provide measured crash telemetry.","Speculative batch generation bulk image loading broad recursive discovery redundant OCR and overlapping builds/reviews ignored resource bounds.","Workstation task context source images temporary artifacts and production continuity.","Memory allocation failure blank raster task instability and later forensic review of commands.","Exact-path-only searches; one relevant crop at a time; 1100-1800 ordinary 5000-9000 only tight ambiguity; no new OCR; serial builds and bounded agents.","Preflight rejects broad roots and oversized crops; records estimated pixels; at most one heavy process; no background remnants; any broad command is logged even if it completes.","French LOGBOOK lines 2226-2252; WORKFLOW_ERROR_APPEND_P112; sequential RAM-light rule; SGA resource incident; path relocation control; precedent list.","active_control_VDR-SG-0048_to_0050"
"VDR-FM-0030","confirmed_incident","Compactification and durable-goal scope loss","A full EGA source-thread reread found the initial attachment required bilingual source work plus machine-readable semantic indexing but the prior durable goal omitted the explicit pre-Stacks/Stacks deliverable. Production was held and the goal corrected. This is direct scope-loss evidence; chat compactification as sole cause is not independently proven.","Terminal intent remained in long conversational history and was incompletely represented in the durable goal and restart files.","EGA project goal production plan semantic scaffold and successor continuity.","Full thread and attachment reread compared original requested deliverables with the active durable goal.","Durable objective and disk handoff enumerate every terminal layer graph build privacy package and hard-stop requirement; restart reads through EOF before mutation.","A disk-only restart simulation reconstructs exact purpose cursor holds and first safe action; missing deliverable keywords or dependence on chat fails.","French LOGBOOK lines 5262-5410; English successor LOGBOOK lines 2157-2195; successor bootstrap protocol.","active_control_VDR-SG-0005_to_0007_0051"
"VDR-FM-0031","confirmed_incident","Weak predecessor handoff","SGA5 handoff used a relative root and two principal hashes and labelled CONTENT READY while rights remediation and a p.14 editorial-note gate remained open; a support ZIP included the source scan and derived PNGs. Stronger later protocols require exact roots manifests holds and validation.","Handoff optimized for conversational continuity instead of independent disk replay and conflated content readiness with publication readiness.","SGA5 successor custody rights privacy support ZIP and status.","Later publication reconciliation and stronger bootstrap comparison exposed missing exact scope and unresolved holds.","Absolute roots full self-excluding manifest authority hierarchy typed states open holds exact next action no-overlap and acceptance receipt.","Successor using disk only replays every binding and can state what is closed open prohibited and next; no relative or see-chat dependency.","SGA5_ENGLISH_SOURCECHECKED_HANDOFF; SUCCESSOR_SESSION_BOOTSTRAP; PUBLICATION_HANDOFF_RULE; compact successor control.","active_control_VDR-SG-0006_0051"
"VDR-FM-0032","confirmed_incident","Editorial and model choices not logged contemporaneously","The English/Germanic decision log states that earlier decisions and exact times were not separately recorded and some entries were reconstructed retrospectively. Other controls supersede an unlogged first-render page-marker placement. This reduced causal and reversal auditability.","Editorial choices were treated as transient working memory or prose rather than first-class machine records before dependent work.","Decision history normalizations model preferences visual choices handoffs and later global repairs.","A later directive and audit compared artifacts with absent decision records and reconstructed chronology.","Log every editorial inference model preference alternative adverse evidence authority locator and reversal before dependent mutation; stable machine ledger is mandatory.","Every source delta and review disposition resolves to one contemporaneous or explicitly retrospective record with timestamp precision alternatives and supersession; prose-only and compile-only evidence fails.","ENGLISH_GERMANIC_DECISION_LOG_20260718; DECISION_LOGGING_DIRECTIVE; MACHINE_READABLE_LEDGER_REQUIREMENT; decision validator.","active_control_VDR-SG-0017_0018_0053"
"VDR-FM-0033","confirmed_incident","Discovered global correction not fully propagated at first","FAC normalization N0078 was initially scoped as two active rows; exact replay found six occurrences across four units. Other generator gaps missed whole letter classes and 22 graded-S-module occurrences. The correction history had to be appended and regenerated.","Search predicates and occurrence generators encoded the examples already known instead of the declared policy universe; local repair was mistaken for global closure.","FAC normalization ledgers multiple English units semantic relations and future derived builds.","Whole-corpus exact replay and generator review found additional occurrences and stale pending edges.","Every discovered correction names full authorized search universe predicate occurrence count all active copies rebuild scope and zero-residual result.","Rerun independent fixed-string syntax-aware and semantic queries after repair; every affected active copy has new identity and every obsolete occurrence is zero or a typed residual.","FAC editorial decision logbook; FAC-SELF-0001 0004 0008 0009 0061 0105 0108 0109 0176.","active_control_VDR-SG-0019_0026"
"VDR-FM-0034","confirmed_control_error_class","Validator itself produced false failure or false assurance","EGA p.69 first diff validator expected one generic 7.4.2 target although two valid occurrences existed and falsely failed; R2/R3 manifest controls also failed. SGA reference graph could be mechanically coherent while containing six false coordinate edges. FAC PASS contained stale totals/paths.","Validator assertions were too generic or tested mechanics without independently validating semantics and declared scope.","Validation JSON manifests source-diff gates semantic graph and downstream readiness.","Immediate exact replay direct context inspection and independent implementations contradicted validator output or scope.","Treat validators as evidence-bearing fallible artifacts; preserve failures issue no-overwrite successors and independently replay assertions scope and semantics.","Critical gates require an independent implementation or direct recomputation and exact content assertions; no source byte may depend on an unexplained validator discrepancy.","French LOGBOOK lines 1658-1666; EGA manifest failure records; SGA detector fail; FAC package and stale validators.","active_control_VDR-SG-0037"
