"crosswalk_id","decision_id","source_form","sense_window","zh_hans_cn","zh_hant_controlled","hant_scope","prc_hans_status","singapore_hans_status","japanese_form","japanese_status","korean_form","korean_status","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","proposal_status","independent_check"
"P40-ZH-X011","P40-ZH-T011","Normalbasis","Locally normalized basis or explicit Galois normal basis","正规基","正規基","generic controlled Hant; not TW/HK/MO localized","PRC-oriented context-sensitive producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: 基 versus regional 基底 unresolved","producer proposal","absent"
"P40-ZH-X012","P40-ZH-T012","ähnliche Algebra","Brauer-style similarity/equivalence of algebras","相似代数","相似代數","generic controlled Hant; not TW/HK/MO localized","Hans literal producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: precise equivalence and regional term unverified","producer proposal","absent"
"P40-ZH-X013","P40-ZH-T013","Algebrenklasse","Class under locally defined algebra equivalence","代数类","代數類","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: class relation and regional usage unverified","producer proposal","absent"
"P40-ZH-X014","P40-ZH-T014","Komplementärbasis / komplementäre Basis","Basis of a complementary summand; no implied orthogonality","互补基","互補基","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","HIGH DEBT: 基/基底 and complement terminology unresolved","producer proposal","absent"
"P40-ZH-X015","P40-ZH-T015","separabel","Algebraic separability predicate","可分","可分","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","LOW–MEDIUM DEBT: no independent regional shelf evidence","producer proposal","absent"
"P40-ZH-X016","P40-ZH-T016","vollkommener Körper","Perfect field; never merely complete field","完美域","完美域","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: generic Hant retains 域 rather than any localized 體 form","producer proposal","absent"
"P40-ZH-X017","P40-ZH-T017","Produktring","Generated product ring; explicitly not necessarily direct product","乘积环","乘積環","generic controlled Hant; not TW/HK/MO localized","PRC-oriented literal producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: literal calque may attract direct-product reading","producer proposal","absent"
"P40-ZH-X018","P40-ZH-T018","vertauschbar","Elements/subrings commute pairwise","两两可交换","兩兩可交換","generic controlled Hant; not TW/HK/MO localized","PRC-oriented explicit producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","LOW–MEDIUM DEBT: regional collocation unassessed","producer proposal","absent"
"P40-ZH-X019","P40-ZH-T019","hyperkomplexes System","Historical broad algebraic system","超复系统","超複系統","generic controlled Hant; not TW/HK/MO localized","PRC-oriented historical producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: historical Hant corpus absent","producer proposal","absent"
"P40-ZH-X020","P40-ZH-T020","verschränktes Produkt","Crossed-product algebra construction","交叉积","交叉積","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: regional mathematical alternatives unassessed","producer proposal","absent"
