item,tex/source form,Spanish policy,Japanese policy,notes
Fraktur uppercase S,\frS = \mathfrak S,sistema de funciones / symbol unchanged,関数系 / 記号は保持,Paper14 uses Fraktur S for systems of functions/forms
Fraktur p,\frp = \mathfrak p,ideal primo \frp,素イデアル \frp,Point-generating prime ideal
"Fraktur a,b,c,r,m","\fra, \frb, \frc, \frr, \frm",ideal variables preserved,イデアル変数として保持,Class/residual correspondence formulas
Fraktur f,\frf = \mathfrak f,conductor / ideal de puntos dobles by context,導手 / 二重点イデアル,Key Paper14 comparison term
Fraktur D,\frD = \mathfrak D,diferente / ideal de ramificación by context,異なるもの / 分岐イデアル,Different/ramification ideal formulas
Calligraphic polygons,"\calA, \calB, \calN",polígonos/divisores; symbols unchanged,多角形/除数; 記号は保持,Polygon class discussion
ell prime,\ell,preserve \ell in power-residue context,冪剰余文脈で \ell を保持,Avoid confusing with l-adic ell or numeral 1
German report title,Zahlbericht,retain German named title in roman/quotes,ドイツ語表題として保持,Hilbert named report
Paper 15 Fraktur group,\frH = \mathfrak H,grupo \frH,群 \frH,Finite group in §4.
Number field,\frK = \mathfrak K,cuerpo numérico \frK,数体 \frK,Generated by substitution coefficients.
Relation module,\frM = \mathfrak M,módulo \frM,加群 \frM,Module of identical relations.
Quadratic-relation module,\frN = \mathfrak N,módulo \frN,加群 \frN,Module generated by f_{ik,rs}.
Power-product system,\frS = \mathfrak S,sistema \frS,系 \frS,Power-product system in Theorem II.
Modulo helper,\tmod{#1},preserve formula form,数式で保持,Defined locally but not required in body output.
Determinant shorthand,(ik),preserve as (ik),数式で保持,Determinant alpha_i beta_k - beta_i alpha_k.
Residue-class indeterminates,\xi_{ik},preserve as \xi_{ik},数式で保持,Core notation in §3.
Basis invariant,\mathfrak I_i(x),invariante \mathfrak I_i(x),不変式 \mathfrak I_i(x),§4 added basis functions.
Partial derivative macro,\p = \partial,preserve as formula macro or define locally,数式マクロとして保持 / 未定義なら定義,Paper 16 formulas (5)--(8).
Modulo helper,\modu{#1},preserve formula form with operatorname,数式で保持,Used in formulas (1)--(3) and congruence before (10).
Greek capital Phi,\Phi,forma normal \Phi,正規形 \Phi,Core normal form symbol.
Greek capital Omega,\Omega,proceso \Omega,\Omega 過程,Series-expansion and correction formulas.
Greek Delta,\Delta,determinante \Delta,行列式 \Delta,Determinant of rows x,y,z.
Line-coordinate symbol,p_{ik},coordenadas de recta p_{ik},直線座標 p_{ik},Relations module in opening construction.
Complex-coordinate symbols,"t_i,t_{ik},t_{ikl}",coordenadas complejas/symbols unchanged,複素座標; 記号は保持,Normal-form expansion levels.
Power operator S,S=AB,operador S,作用素 S,Fischer operator in formulas (4)--(10).
Indexed coefficients,"a_i,c_i,\alpha_{ij},\beta_\rho",preserve indices and rational-number interpretation,添字と有理数解釈を保持,Explicit representation up to numerical coefficients.
Numbered equations,"(1)--(10), plus (2a)",preserve source numbering with \tag,\tag で番号を保持,No silent renumbering.
\mM; \mN; \mL,\mathfrak{M}; \mathfrak{N}; \mathfrak{L},Module symbols; preserve Fraktur in all languages.
\mG,\mathfrak{G},Residue-group symbol.
\mA; \mB; \mbarA; \mbarB,Fraktur subgroup symbols and overlined residue groups,Used for subgroup/isomorphic residue-group correspondence.
\ma; \mb; \mx; \my; \mz; \me,small Fraktur residue classes and unit,Maintain as math symbols; do not translate letters.
F\equiv G(\mM),congruence modulo a module,Kept source parenthetical notation; not rewritten as \pmod.
[\mM;\mN],least common multiple of modules,Bracket notation preserved.
(\mM;L),module generated by \mM and left multiples of L,Parenthetical module notation preserved.

# Paper 17 sections 5-9 delta follows
Macro / notation,Rendered symbol,Role,Notes
\mU,\mathfrak{U},subgroup/constituent notation,Used in additive decomposition discussion.
\mP,\mathfrak{P},prime modules/groups,Sections 7-9.
\mD,\mathfrak{D},comparison modules in second decomposition,Theorem VII.
\mS,\mathfrak{S},finite module basis system,Used in finiteness/isomorphism proof.
\mV,\mathfrak{V},auxiliary module/group notation,Kept Fraktur-style.
"\ma_i^2=\ma_i, \ma_i\ma_j=0",idempotent/orthogonal units,Equations (13)-(14),Preserve as editable TeX.
"\Phi, \Psi",maps between residue groups,Theorem VI proof,Greek letters retained.
