"comparison_id","evidence_class","authority_role","unit_id","object_type","source_locator","source_tex_lines","original_printed_pages","physical_source_pdf_pages","target_locator","parent_id","cross_references","critical_controls","decision","result","status","confidence","adverse_or_choice","rejected_alternative","record_revision","continuation_cursor"
"SGA2-VIII-L24P-CMP-011","source_formula","corrected_french_tex_plus_transparent_emendations","SGA2-VIII-L24P-RES","localized_projective_resolution","French lines2729-2730 physical80","2729-2730","91","80","second display","SGA2-VIII-L24P","SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-DEF-L","zero to K_f to localized L-minus-d through M_f to zero","preserve order arrows localizations endpoints and exact emendations","pass","self_reviewed_formula_pass_independent_emendation_review_pending","high","literal authority sequence is internally inconsistent","silently alter additional terms or omit zeros","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-012","source_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-CONCL","upper_semicontinuity","French line2731 physical80","2731","91","80","concluding sentence one","SGA2-VIII-L24P","SGA2-VIII-L24P-RES","localized finite projective resolutions prove upper semicontinuity","retain upper direction and function continuity class","pass","self_reviewed_logic_pass","high","source says semi-continue superieurement","translate merely semicontinuous or continuous","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-013","source_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-CONCL","quasi_compact_boundedness","French line2731 physical80","2731","91","80","concluding sentence two","SGA2-VIII-L24P","INBOUND:SGA2-VIII-L24","X quasi-compact hence bounded-above conclusion of Lemma2.4","retain quasi-compactness and link to lemma conclusion","pass","self_reviewed_logic_pass","high","none","state compact or omit the boundedness link","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-014","page_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-PAGE","printed_page_transition","French line2729 pageoriginale physical80","2729","90-91","80","authority box render and page ledger","SGA2-VIII-L24P","SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-BOUND","printed marker91 occurs between tel and que on one physical page with running header72","record all three coordinate systems separately","pass","self_reviewed_page_mapping_pass","high","single physical page can conceal original page transition","report only physical page80","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-015","comparison_witness_delta","comparison_only_not_authority","SGA2-VIII-L24P-CAND","candidate_defect_disposition","jcreinhold lines344-358 versus French2725-2731","2725-2731","90-91","80","comparison and source note","SGA2-VIII-L24P","COMPARISON:jcreinhold_e7a259f;SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-DEF-L","candidate changes M_f-prime to M_f but repeats L d-minus1 and omits raw counter state","accept no reading without French logic check","pass","comparison_delta_recorded_not_promoted","high","one LLM lineage cannot independently validate either correction","use candidate agreement as authority","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-016","rendered_text_extraction","final_bounded_target","SGA2-VIII-L24P-EXTRACT","kernel_delimiter_extraction_safety","target PDF page1 after final TeX correction","2726-2728","90","80","display defining K","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-QA","ordinary parentheses preserve identical mathematics and remove forbidden U+0001 emitted by large delimiter extraction","replace only TeX sizing commands around the kernel argument and rebuild all dependent artifacts","pass","final_extraction_rebuild_required_then_verified","high","initial large-delimiter target emitted one control byte in pdftotext","retain bigl/bigr despite extraction defect","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-017","independent_source_branch_formula","corrected_french_tex_style_driver_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-L","active_sisi_branch_and_stale_resolution_exponent","French lines2727 and2730 plus sga2-smf driver and style","2727;2730","90-91","80","kernel definition and localized resolution","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-RES","driver original=false selects the second sisi branch K equals kernel L-minus-d to L-minus-d-plus1 while unwrapped line2730 prints L d-minus1","retain independently justified localized L-minus-d and visible source note","pass","closed_independent_branch_emendation_pass","high","line2730 failed to propagate the corrected branch index","literal L d-minus1 or claim direct source identity","2","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-018","independent_source_localization_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-M","localized_module_subscript","French lines2729-2730 physical80","2729-2730","91","80","localized prose and resolution endpoint","SGA2-VIII-L24P","SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-RES","only f is chosen D(f) is used and the next display ends M_f","retain independently justified M_f and visible source note","pass","closed_independent_emendation_pass","high","M_f-prime has no definition or matching open set","literal M_f-prime or treat candidate agreement as corroboration","2","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-019","independent_source_exact_sequence","corrected_french_tex_plus_disclosed_independently_accepted_emendations","SGA2-VIII-L24P-RES","localized_projective_resolution","French lines2729-2730 physical80","2729-2730","91","80","second display","SGA2-VIII-L24P","SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-DEF-L","zero to K_f to localized L-minus-d through localized L0 to M_f to zero with exact arrow order and endpoints","retain final target formula unchanged","pass","closed_independent_formula_pass","high","literal authority breaks both the chosen localization and active kernel inclusion","omit zeros reorder arrows or silently alter further terms","2","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-020","independent_source_proof_structure_boundary","corrected_french_tex_plus_direct_compiled_pdf_and_frozen_bounded_target","SGA2-VIII-L24P-QA","complete_proof_and_cursor","French lines2723-2733 physical80","2723-2733","90-91","80","complete proof body and outbound cursor","SGA2-VIII-L24P","SGA2-VIII-L24P-LAYOUT;SGA2-VIII-L24P-CONCL;SGA2-VIII-L24P-BOUND","counter reset proof sequence upper semicontinuity quasi-compact boundedness blank2732 excluded next phase starts2733","retain source order conclusion and exact continuation cursor","pass","closed_independent_structure_boundary_pass","high","same physical page contains next proof phase","extend through line2733 or omit the counter state","1","French line2733 after blank2732"
