physical_page	printed_page	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
11	282	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	99A7E281324C659B5ED332E14C572F03C7471EDD19FC2E694FBDF8E0BC53B044	CE82240CF7F45FFBC5084AC2DC95DD85902A538CCF2F3792DFA0E93B2BBCFFF0	6CB14DA4E8F233614545F83BB9A423108B302CDF31868F93966E9A71C80CCCAF
12	283	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	40C360856F11D26AF59CF22FD700C632FC2827FC8DAD1C74AFAE2DDCF1E94C1F	6383060C83CF84ECA7985E6FACBBE29239C79646CF61F53FFAACA2C14E0CC422	9E388395D4BCB2C2FEF1E4B1036DFDF25B2B8E43D3B50A5C9993F92C8EE81EBF
13	284	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	10224C2CEABED097485E998E68A03F65C498109996DD516E77ED47D84933C402	1FC3BEF7846533E41FE2A4DA086929EECEE066128EDC075CBEB59C3792E66926	3ABD00AE092944906D8CC6DA9F6EA8CFA4314B22A5EB8223E47730489F9F67AE
14	285	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	61B226303733C29DC09B1DDEB05789E559C7A6F845662F3CD545D08F33EF06E3	5429769C6F257DBFFBD12063948500D91A01D72172EDE734DBC8E5D58C1454DE	9F1299459018ED1F36CC6366C0F8B4484DF8B1F31942429FF5D84F95AF00B7B3
15	286	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B12EA4BA72FEE31ED2D61EAFB4BF536821ED702B09CC8C9BDD38CB727CF74E02	1F4504BF44BC308C08FFD946BA413BDAA018FA7B6A3FC28A748EA1343B4E3CFD	8C33EBC138E85344BCF3ECB9FE4195BE77C19BF87BEAC50CAC8EF1DA9DBBA07F
16	287	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0D866FF2D3287915EADDD492680F6B18DF0C625642890423C765E3D29AE0DBF7	7CEEAF86C147EC26626384A7DEAF0B18F0D804CF77F3B942EA882C2AE0DB2E6A	C26D909F72912C7B1E9124C6804CEFFEBC64DAB734AAAF020B1BD4A9B1FADF6B
17	288	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4579BFCA6F976C9FEBF27ED145AFF68753CCA4019DFC19434DD503A298ED39BF	96264C4FE39FA15002B4F6F4AC03BD13AC3F13EBE6B7AAF4A683949EB6D3B147	1DD0F19451798B976404599BD584B827BABCBE2EBBCBA2B493697273AE4A7E36
18	289	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7A84A7BFFFB2067A54F5F994E6CCDEF68A5C697E6F9DA42948C831F1DFAD24AC	E5B394F55920512A28FFAEA6E5B7116B69B4542FF51F447CADC57242A8BC03BE	BBA393ADEE16218225C2A41487447F4630FB0F5AA0B9325B79BCC72827DC7462
19	290	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2E11CC97A98E172BE8243B33CB5E5BE9B343131E566A0C896713D45A94943A42	CCE2870F1739B3B2A386381A57C155070A98E62F6B1F81527EFB3B4EFC9AC46A	4AB7F51B0EB6903BE2D407C126C61A23B5C865FDD4C76F46E8909DB05D478DEF
20	291	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	04575AB02F38A9F3960658B7204CE367FC830DCDDD2D242D59DB5492DC5594A6	D04CDCF6F3CF8E1E01D0AD1B3909F47265BDDDE8C18CAF232C2FF68C6C51793D	571D92908FE0DCB8D0A8D91179B3E06CFC6EC4D866B3290815274C2D18CEFF54
21	292	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4D8D4E8E0C6A05EFAB1EAAD2DA249524FECBED2DC87A99D673C0A2584CFFA7CB	3603907D901A7972D325B20E0FBD9045611D5427A6387BC402F1AFF50863EBA7	D00547923937F94CED1EE7F6ADF247215C727B64B103F939F9AD89246C9E1A7C
22	293	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AD94C6A9AFEAABA43343CCCC61C2D44D2E3C159691621CA99E20B504054730FA	9173DB583B186AFDB47CCB3648D54873183D124F8FD488F4A4E1888216DE0F70	BD0265193A2C0101E7DD9CB26B85F0A3805C242A3CBD6DCD2DA8E8EF6FECCC26
23	294	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	542D7CF80232BEA9931ED6A40DD06FCD6B47462A1D6E5CBAD61420D5C7E00EB1	5B18AC25FA9A776922EB4D741255E5C8EF2DAB3ACCE311A25AC460848B02894D	C71B44A26E2E4235B223FD6106D00A750858A0B76F90F9B50DB6C505224F05A1
24	295	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	45B78E734E8A5E576964A1F461DF959A73A1E009A2AF3C7ADB2DFCDD1EAD2FFF	60EB80C658115671FC87D7295F08C2601BCCC099CF7D6ADD3235E732C034ADDD	F80FFC46C73B8AB2858D02CEE9D3A615798235C21415D6BA7951EA7CC4B5115A
25	296	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	19A993E698B2ECA0FA69C041ACFD687467FFCD61E9DD2E2A378AC5BC98918863	A6FFFC95A464E99B4FB1F7D48349FACF92A69279DE25E04B2996C0AB006D134D	BE456D1B4A1CC88BAF18EDEB8E62E9AE5852D075A10A0CC32619C05C3959D272
26	297	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DDD9D25688C776AD705A0DAE70829A114D78B22C5928981E0313030728766B66	7D588C646C63455AC76791EEEDEE876616DF74CEB8363A3D03B48F32DC181428	FD7D23C89F329E689870840E72D7E14F66BE04F4E6AA42EBE0127172D1B9664A
27	298	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5932D983A1A3F3E76085F412A7CEC722C447DA5E06ECA96FE93BB64C603F1975	B5E09B0042F0D33B2A55FB0342A23A12260B041231D2C4CBD5BA3C1014F8596D	E91E41CF19315D20782BFCD1FA459B536B219D51CEE3E17F6C8610E452072436
28	299	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1D32BE8B6FDF881F03DAB674ABEFD4262FBB61BD6EE63E3C5956C5A503EB1885	D746455F27057FEE8F68162EDAC2E623402E3FC7CFD46CAFB21418E71A5AA5EB	D1D6F6ACD68B06BB41E38D9B7537259AE97CCE618835081A6A440DCEB624FE61
29	300	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2176EF19505ED16981B19F21B325C5FC8929FB4B8DF7C056A5381406E47D846E	CCAD98340A4E21EC47E2D018B8DD9304D80E2C1BB61C0956AB76F0D8938D01F3	6ECB54FD060BA6182CC11E68C08005FC4B60A7C592A9858BD191CA661DE90201
30	301	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6671445080CDE0C544A83588E10E03E88E110E977C00933C952CB35990D311BD	9BAF6F3644DA207F9F4EB92E99166EAD451269AE206AF9E0CEBD403424427977	70DD2016E9766D26FB8C29BDA0ACD83FEEFAB471DFE6784F18F34B1010DA5D3B
31	302	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E36370D79E580E9F1F03014FF2563A00D67668097BDD7C2E6C34526B93970FE5	9B93B4C79CB48F8B3D4549A8B2E1C3E56E18767D12C969B9090D6A5669F016EC	EA167DE49EA0334772F9362A57D2D993121A876CB035AE6D8328764D5C2DDDCB
32	303	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E9B967BC77AF430F0D2651CC8BE8BD02AB45451798F44D34C2CC3880FEF84301	F6F8BED53E798BE6ED5933CCB9A1C51DDF91A125C7696C32AC2C6054EC950EA4	DFC6825852085EC145D6F0B19829F0CE0AF3C410F7F995AF2CD555382BDEC8D6
33	304	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	40C7A98BF5DBD8120EF721726942A79C0AF1C276B9D09174F888F386F84D3EDF	240572C56ED1ABF0252CD6BECA493485D3DF9796D6A5C48BBE7068D801704B39	F7DB40F5D1A1A61098E00124CB2E851619507C5C458A07B89B73DA7A0EB99EBE
34	305	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	508359505661546DD1D866DB79F9B62000437F8B744811C5ECBA1E7A2486F732	A46B7276DE12B65CFD5396EAC9E228C95F385E2140E65F2DB13DBAA4549B5905	BDDBFE7E1513237566BC16A2CA4EFB775E7D86C1DDC3B248551A5872817D86C8
35	306	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	16EC7876899284F1DE8C100F05DED3CE01612785B9CC6CAD4BEE4440D24E564D	66C716152495011ADED838B255D5B6DE32FD138550F4E0BD9D00032D2B7F8071	5CC5347EFC1A13B8E8F1D7A0AAD378E745ED34983A7CD7BAF0931A4A1274B3FF
36	307	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	907E171ED1E5DE2C744C7576F4095D73AA3CAC9DEEBD2269EE52FBB26CEC6CC5	CF2F091FC431B983BF610969187667E43F11D905184971F74064C127F8153193	8361C0C2DCEA052B2A3C090A1480DF4EBAB6FFCA4BDC99A02DA1A8A8ECC99ADA
