"authority_alignment","source_type","bytes","sha256","source_use_label","witness_id","language_gate","source_title","next_action","access_license_signal","local_path"
"source-body-present gate if body/hash present; generated-draft/noncanonical only","HTML provenance lead","70495","71bb3880161ca340a055547e145a001e64cc11fc24851c3c488e51edbb3cbb83","Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body","OTA-CEBIR-004","ota_Arab","Takiyuddin'in Cebir Risalesi Belleten HTML","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","public web/PDF access signal; no license-clearance claim","source-bodies\ota_Arab\OTA-CEBIR-004_Belleten_Takiyuddin_Cebir_Risalesi.html"
"pointer-only or recovery/gap unless captured body/hash exists","web/native HTML; raw bodies already captured locally in cycle3","","","source-gated support candidate for Urdu only; not Arabic/Persian/Dari/Tajik/Hindustani authorization","UR-WEB-20260706-001","ur_Arab","Urdu Wikibooks linear algebra chapter index","Use as captured source-body candidate; continue university/open-course PDF search.","web recovery lead; no license-clearance claim","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7"
"pointer-only or recovery/gap unless captured body/hash exists","web/native HTML with formula-neighboring prose; raw body captured locally in cycle3","","","source-gated Urdu eigen/linear-algebra support only","UR-WEB-20260706-002","ur_Arab","Urdu Wikibooks eigenvalue/eigenvector/eigenspace chapter","Use for draft/non-canonical scaffold rows; seek independent PDF witness.","web recovery lead; no license-clearance claim","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7/%D8%A8%D8%A7%D8%A8_6"
"pointer-only or recovery/gap unless captured body/hash exists","web encyclopedia comparator","","","comparator/source-context lead only; not accepted terminology","UR-WEB-20260706-003","ur_Arab","Urdu Wikipedia eigenvalue page","Keep as adverse/comparator lead; do not use to certify terms.","web recovery lead; no license-clearance claim","https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%98%DB%81_%D9%82%D8%AF%D8%B1"
"pointer-only or recovery/gap unless captured body/hash exists","PDF glossary; school-level math terms","","","glossary comparator only, not advanced linear-algebra source body","UR-WEB-20260706-004","ur_Arab","NYU Urdu math glossary PDF","Record as glossary lead; not sufficient for R3 proof/lecture witness.","web recovery lead; no license-clearance claim","https://docs.steinhardt.nyu.edu/pdfs/metrocenter/atn293/pdf/next_generation_math_glossary_terms_only_Urdu.pdf"
"pointer-only or recovery/gap unless captured body/hash exists","web course page; provenance/source-body uncertain","","","recovery lead only; possible generated/translated web text","UR-WEB-20260706-005","ur_Arab","Elevify Urdu linear algebra course prose","Do not treat as source-body closure; search for institution/open course PDFs.","web recovery lead; no license-clearance claim","https://www.elevify.com/ur-pk/%DA%A9%D9%88%D8%B1%D8%B3%D8%B2/%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%88%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82/%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C/%D8%A8%D9%86%DB%8C%D8%A7%D8%AF%DB%8C-%D9%84%DB%8C%D9%86%D8%A6%D8%B1-%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7-%DA%A9%D9%88%D8%B1%D8%B3-6315a"
"pointer-only or recovery/gap unless captured body/hash exists","modern Turkish article/provenance carrier","","","Ottoman/Turkic provenance only; not literal Ottoman Arabic-script body","OTA-WEB-20260706-001","ota_Arab","Belleten article on Takiyuddin Cebir Risalesi","Use for manuscript/work tracing; do not draft Ottoman terms from this alone.","web recovery lead; no license-clearance claim","https://belleten.gov.tr/tam-metin/2426/tur"
"pointer-only or recovery/gap unless captured body/hash exists","modern article PDF/provenance carrier","","","Ottoman/Turkic provenance only; not literal source body","OTA-WEB-20260706-002","ota_Arab","DergiPark PDF for Takiyuddin Cebir Risalesi article","Trace cited manuscript/work details; no source certification.","web recovery lead; no license-clearance claim","https://dergipark.org.tr/en/download/article-file/1641012"
"pointer-only or recovery/gap unless captured body/hash exists","modern Turkish PDF with references","","","provenance/recovery lead only","OTA-WEB-20260706-003","ota_Arab","Dört Öge Ottoman mathematics overview","Use references for Cebir Risalesi and Hesab-i Tahlili recovery.","web recovery lead; no license-clearance claim","https://dergipark.org.tr/tr/download/article-file/567503"
"pointer-only or recovery/gap unless captured body/hash exists","modern thesis PDF; points to Usul-i Cebir/Zeyl-i Usul-i Cebir","","","provenance/recovery lead only","OTA-WEB-20260706-004","ota_Arab","Istanbul University thesis on Vidinli Hüseyin Tevfik Paşa","Trace catalog/scans for literal Ottoman-script algebra bodies.","web recovery lead; no license-clearance claim","https://nek.istanbul.edu.tr/ekos/TEZ/52058.pdf"
"pointer-only or recovery/gap unless captured body/hash exists","modern PDF overview","","","provenance/recovery lead only","OTA-WEB-20260706-005","ota_Arab","Yildiz PDF on Ottoman mathematics education and early mathematicians","Use bibliography for source-body search; no term promotion.","web recovery lead; no license-clearance claim","https://www.ek.yildiz.edu.tr/images/images/yayinlar/osmanlidailkmatematikciler.pdf"
