physical_page	authority_pdf_page	printed_page	prompt_id	source_language_zone	source_pdf_page	english_pdf_page	disposition	copy_matter_exclusion	source_record_sha256	english_record_sha256	apparatus_record_sha256
11	11	323	P02	FRENCH_MAIN_BODY	13	13	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	B48D72C8A1BE9D4B8021851DE5C288C90A8D37BE18801237A1AE3F46D4229DD4	63ACCD1318BD13971AAC32FD9459C2811342CE2D45A93B756D2750F66E61243C	6C6DDB3CEFC15C766C5AC96FEED1E985D99D6906C5F9FB32FE7C4C14C83C0204
12	12	324	P02	FRENCH_MAIN_BODY	14	14	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	9D9AFE5EE4565F4BE3C0AF02D6A0B525C95E0704C35301CC164DC52053D64A55	B38550013E6D3B10BF317FA0318BCC30B11010A7178F8B8D348000206C8CABBA	D78E56CF0A3C36383651D1A90503A72FC68A5AEEC5E45D5B2682D4230C6ACFD3
13	13	325	P03	FRENCH_MAIN_BODY	15	15	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	A3DD2D701B23E2D614E658A1B6F4AAA1CCF435CCF0E84EA0649D376E89BFB282	44F169F2D70A19BDBD7F11E8A14750817F661B69C0572649B8051413CA0FBE37	599B21CF75D11175036624D5AA751981B18998CA1E819E5FBF245F3C477B1DBC
14	14	326	P03	FRENCH_MAIN_BODY	16	16	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	2921D0EF2FA663E6951D42B079E60E83F6AD077FF5AFE35BF69AC27378337506	42581E33C035DE3D595A5FB8ABBE2FD160C8A25A7ADF57B759088BA8DBC52FEF	C5083DAF9A5FEA3C3B98BC043C84E7343060B84981B49DC5C8B0FDA419EAC4F9
15	15	327	P03	FRENCH_MAIN_BODY	17	17	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	A372A2BBBF72FDDA1CDD87507D43BC99FBE5626A062E107CAEB67D1418C32767	55E1F86828A5B17E04FFD3BDCE5CFEBFC563DA38D2B6500A49FEF3728EE1882D	BDBDEBB0E2E8F0D47D469DB055BB4E5EED81896EB3A3EB02387C840BC095DAB3
16	16	328	P03	FRENCH_MAIN_BODY	18	18	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	BD3F4C56103C4AC50FFE69B3E0D2B1A21E31F1A9D64FDE70E513123438C6A857	6A661BD0AA091EF3AD2D7086952B7CE66A05273C47983708720AB82BFAD86D11	381E5DE1135C5DA81942AB47F2B8EE64342DC9D61FDC1DDF93780C8FD79D6A0B
17	17	329	P03	FRENCH_MAIN_BODY	19	19	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	1CF4AED43425E8FC6D792EC2400D947E95765F676766321544BE5DA602D946A7	A9EE8BD2D4DD9FAAD05FB2F8A6AC7E1A4C66D9F268B284324FB98714C7506EA0	8A0173F7797F5021693559BEA6C1F7FB6EDAC95B9B570738560C4E565F7BF16A
18	18	330	P03	FRENCH_MAIN_BODY	20	20	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	672FF2B464ED5A33F663742F6F1E864FF08F57A42EF91E45467F78B56F532BCC	D2D61A079B733AFB5678118ABA6AEF44C5E3099256444559079E83842DA07C9F	28B0A4DDB1AEF3D0BD398A168228FBFD4C0D1473842645244A12D29A05806245
19	19	331	P04	FRENCH_MAIN_BODY	21	21	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	4D17574F3E9BBEB86C0BBB083407F6935479F28180A3CE7389E3A024A32D59E4	A0FF18B7EDC703F6C3085844FFB7D226CB052C9EC5B1D310CCB45A91326FD39B	7580F7E4A12D0B416EC70615AE434191863F8DB6DADC37E8B63AA2DB8BECCD66
20	20	332	P04	FRENCH_MAIN_BODY	22	22	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	8EA2144896EE57BF9FB554AC1630A4250E3477E3C47B6822EBBDE549B093A806	E372EA130294AD861323F8ED6CDD1059F1FEFEF8E4E6A99698A1040ABA8D6D67	72DD7E6B0D1056AC19CE93E8C71B199C1AD3C8D2B3B848A67A4C50C3E777282C
21	21	333	P04	FRENCH_MAIN_BODY	23	23	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	0CBD55AB9365793B380815838888F5E94D672B3156D9C491170D6E52A091550C	BEA5290632867020C187FC73D427B0CAE32750CBB21100B8D551C5BDBA113778	2B210925869ECCDC9EA9DA984C6382EDBAF6E18A57294CE09F0487437B17547A
22	22	334	P04	FRENCH_MAIN_BODY	24	24	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	0D71E65E29FCD3A0B95231B7042335ADFBB933FF71776D193E502E8EBA266A44	141B25DEF98A67E1DC2D9E668BBE2D7CF138D2137FEFBA9200242DA7EE750740	0C09808D121B853E0DD25986E109F4EE002163BE086B30B68C159F08C653E217
23	23	335	P04	FRENCH_MAIN_BODY	25	25	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	BCE2B83536545D5A1D1644B632E613C52601073359126A821EBB435041FC5114	9A1A36A259B0279FAE3A6DB893485D608709AAD55142E8BA375BF3ECB49F7124	CB004446A6FCFCA9D281A9077A748D2DEE049863727D32ECA87B430062C831D1
24	24	336	P04	FRENCH_MAIN_BODY	26	26	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	685055ED709BDA8B84607156EE78B5E112511548542797D5B9CA6F6A5687EA73	7C96E7914A6E757355792E0ACA72ACFE52DFCD06A37EA95DC02FEDE0FB1779F6	BD3B7D854E4E15F1D8703E8CB621694F5A5BCB040ADA1F0411CD6B2BC220C62F
25	25	337	P05	FRENCH_MAIN_BODY	27	27	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	55DEB2E0F38B0B362B29B1E400935A426FEFAF76947B9338AAE6008F1135943F	7F0BE88C83D57295D41EBB9E1A917DB0C0D3AC30D93E34F90B58EC22D89BE5E5	591D30D9FC8C5DEC9EE681967B3CCEC7C8C9C23508FCE28A5358A917C6B426E8
26	26	338	P05	FRENCH_MAIN_BODY	28	28	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	89F1DD3E2D97292639BE55A25AFEE5AB0A4AA80788CE2B770276748503F30076	B8C762E254895393E5D2113A9CCED034376A740DE891130558FA5D85987ED15E	803B6E66D701FE0A5F37991599715CD5D8D29F36B5D1BDF038C20BF5C5002560
27	27	339	P05	FRENCH_MAIN_BODY	29	29	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	40A66BF3ADE7FEF2FEE3CE23ED92C4E6A095C5FC37C5C1F47DB3059BBE185588	A6FD011966FEE18DEC87DC58413C2C7B7203962156981905B44E8DB5DCF82A42	2CB48B5E9C6357096DE08151390E1C623630931DA20425CEEF12E4AE5B4523F0
28	28	340	P05	FRENCH_MAIN_BODY	30	30	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	D007129BB77C7FC869B7E69BAC6765DAC8F58479579C15EC144F2427CCEA3187	12906F2570AEA474ADC4E657C3C069C89F4A559132F4AE738C10682184CD9DED	AF816DB6E613CAEF2D61AECD9C8049E9548399B423FDC4CBDE14689E6456932B
29	29	341	P05	FRENCH_MAIN_BODY	31	31	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	0A15D1BC921E90B8C5C1166D438E6D15DC033742CB876083F5F5D71C16D05493	B6295F5D3E552FC68E7F0232BC931F31BAB352F0922D7BA7697E15CCCBD8ABD2	0B513D334CD4257F23F748F046D237770CAB085B1CEAB9E5FC7C183740B95ED4
30	30	342	P05	FRENCH_MAIN_BODY	32	32	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	36FBF66F266DAB0E50C6AA7348FC5C2DCCE8070A99D285D7B232688564B7D2B1	A25A49F2A4AFB17156297CE1849A23B99DB6D8DA33A5AA0A94CAA65D8353CC1A	9579B9D5F0DD8FBDF2800D998153A58A8D336792625F20F194956FA20EDA37DD
31	31	343	P06	SOURCE_ENGLISH_KOBLITZ_OGUS_APPENDIX	33	33	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	024C0555CCF43B97362589659C5E830EF9B5E9ACE75469F01AA1B85348630BAF	2791A3B7CD5D9DEB3B842AADC6D61F8A9C60F73E13C9CCC13D7ACFEAEE739BB3	5AAC8C6009C6215E14CF7AF7891F21BE57271309C092B8F8F0575A0C9A074EC5
32	32	344	P06	SOURCE_ENGLISH_KOBLITZ_OGUS_APPENDIX	34	34	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	A5A3EA7CA12F2F78E8C7E49C225AAE997BCAA5821207D2E94BC35BAB449B2966	A5A3EA7CA12F2F78E8C7E49C225AAE997BCAA5821207D2E94BC35BAB449B2966	BECB15E4525D4337D79407C09C99E0260D45AE827581F06016D8E69D9357C80F
33	33	345	P06	SOURCE_ENGLISH_KOBLITZ_OGUS_APPENDIX	35	35	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	0B7F43D770EE27674BC69E01116668E914B137E56C87582F65467297937FF257	0B7F43D770EE27674BC69E01116668E914B137E56C87582F65467297937FF257	9B87DBFF499D50C0B58ADE57C676F33214C0F60FFEBB6AF9CD10D01C1E25D4A0
34	34	346	P06	BIBLIOGRAPHY_TERMINAL_ADDRESS_MIXED_NEUTRAL	36	36	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	F92F9BF93C2268702785B2B388AF4991FC4A315D9CB31EFB9ECD8AE6DFE3C2E4	F92F9BF93C2268702785B2B388AF4991FC4A315D9CB31EFB9ECD8AE6DFE3C2E4	CEA3315E8F65627F47A1439DD46D7CC1C939C60854AE6D5C161F11318F03CB90
