term_id,sense_id,concept,decision_id,candidate_surfaces,cohort_id,cohort_name,cohort_standard,dominant_standard_forms,candidate_to_cohort_orthographic_proxy,Spanish_to_cohort_orthographic_proxy,French_to_cohort_orthographic_proxy,proxy_delta_over_Spanish,proxy_delta_over_French,beats_both_dominant_forms_by_0_05,proxy_interpretation,penalties,supporting_evidence_ids,adverse_evidence,human_n,human_correct,human_incorrect,human_abstain,human_latency_ms,human_confidence,effect_interval,review_status,pilot_eligible,reviewed_occurrence_support_ids,reviewed_occurrence_adverse_ids,occurrence_review_status,method_version,reviewed_occurrence_held_ids
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-ES-STD,adult readers literate in standard Spanish,standard Spanish,ideales extranos | primos entre si,,1.0,0.5333,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-FR-STD,adult readers literate in standard French,standard French,ideaux etrangers,,0.5333,1.0,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-PT-STD,adult readers literate in standard Portuguese,European/Brazilian profile must be recorded,coprimos,,0.3077,0.1333,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-GL-STD,adult readers literate in standard Galician,standard Galician,primos entre si,,1.0,0.2,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-CA-STD,adult readers literate in standard Catalan,standard Catalan; Valencian exposure must be recorded,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-IT-STD,adult readers literate in standard Italian,standard Italian,coprimi,,0.2308,0.0667,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-RO-STD,adult readers literate in standard Romanian,standard Romanian,prime intre ele,,0.5385,0.2,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-RM-RG,adult readers literate in Rumantsch Grischun,Rumantsch Grischun; seed provenance still needs idiom audit,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T10,T10-S2,coprime ideals,D-T10-S2-V3,,C-RM-ID,adult readers literate primarily in a Romansh regional idiom,Sursilvan/Sutsilvan/Surmiran/Putèr/Vallader must be recorded separately,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held;no_sense_matching_occurrence_in_reviewed_corpus,E-T10-es-UNION;E-T10-fr-UNION,Elementwise gcd language can obscure the ideal-sum criterion. | reviewed adverse occurrences: E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,,,,,,,,held_no_candidate_no_sense_matching_occurrence_human_protocol_not_run,false,,E-OCC-511EFE54676B614C;E-OCC-5647916A748EE419;E-OCC-540659E4ABB7CE23;E-OCC-B36B349ABE1018EB,T01_T10_reviewed,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-ES-STD,adult readers literate in standard Spanish,standard Spanish,relativamente primo,1.0,1.0,0.2778,0.0,0.7222,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-FR-STD,adult readers literate in standard French,standard French,premiers entre eux,1.0,0.2778,1.0,0.7222,0.0,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-PT-STD,adult readers literate in standard Portuguese,European/Brazilian profile must be recorded,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-GL-STD,adult readers literate in standard Galician,standard Galician,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-CA-STD,adult readers literate in standard Catalan,standard Catalan; Valencian exposure must be recorded,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-IT-STD,adult readers literate in standard Italian,standard Italian,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-RO-STD,adult readers literate in standard Romanian,standard Romanian,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-RM-RG,adult readers literate in Rumantsch Grischun,Rumantsch Grischun; seed provenance still needs idiom audit,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S1,relatively prime,D-T11-S1-V3,premiers entre eux | relativamente primo,C-RM-ID,adult readers literate primarily in a Romansh regional idiom,Sursilvan/Sutsilvan/Surmiran/Putèr/Vallader must be recorded separately,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-ES-STD,adult readers literate in standard Spanish,standard Spanish,relativamente primo,,1.0,0.2778,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-FR-STD,adult readers literate in standard French,standard French,premiers entre eux,,0.2778,1.0,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-PT-STD,adult readers literate in standard Portuguese,European/Brazilian profile must be recorded,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-GL-STD,adult readers literate in standard Galician,standard Galician,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-CA-STD,adult readers literate in standard Catalan,standard Catalan; Valencian exposure must be recorded,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-IT-STD,adult readers literate in standard Italian,standard Italian,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-RO-STD,adult readers literate in standard Romanian,standard Romanian,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-RM-RG,adult readers literate in Rumantsch Grischun,Rumantsch Grischun; seed provenance still needs idiom audit,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T11,T11-S2,relatively prime,D-T11-S2-V3,,C-RM-ID,adult readers literate primarily in a Romansh regional idiom,Sursilvan/Sutsilvan/Surmiran/Putèr/Vallader must be recorded separately,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,sense_specific_evidence_missing;bridge_decision_held,E-T11-es-UNION;E-T11-fr-UNION,"French premiers entre eux is a phrase, not a compositional equivalent of relatively plus prime.",,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,,,T11_explicit_zero_hit_current_corpus,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-ES-STD,adult readers literate in standard Spanish,standard Spanish,minimo comun multiplo,0.95,1.0,0.5217,-0.05,0.4283,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-FR-STD,adult readers literate in standard French,standard French,plus petit commun multiple,0.4783,0.5217,1.0,-0.0434,-0.5217,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost;low_orthographic_proxy;French_form_outscores_candidate,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-PT-STD,adult readers literate in standard Portuguese,European/Brazilian profile must be recorded,mmc,1.0,0.1579,0.087,0.8421,0.913,true,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-GL-STD,adult readers literate in standard Galician,standard Galician,minimo comun multiplo,0.95,1.0,0.5217,-0.05,0.4283,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-CA-STD,adult readers literate in standard Catalan,standard Catalan; Valencian exposure must be recorded,mcm,1.0,0.1579,0.087,0.8421,0.913,true,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-IT-STD,adult readers literate in standard Italian,standard Italian,minimo comune multiplo,1.0,0.95,0.4783,0.05,0.5217,true,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-RO-STD,adult readers literate in standard Romanian,standard Romanian,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-RM-RG,adult readers literate in Rumantsch Grischun,Rumantsch Grischun; seed provenance still needs idiom audit,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T12,T12-S1,least common multiple,D-T12-S1-V3,minimo comune multiplo | mcm | mmc,C-RM-ID,adult readers literate primarily in a Romansh regional idiom,Sursilvan/Sutsilvan/Surmiran/Putèr/Vallader must be recorded separately,,,,,,,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;cohort_specific_native_form_missing;multi_variant_processing_cost,E-T12-es-UNION;E-T12-fr-UNION;E-OCC-D52C7C0632C0FD24,Initialisms MMC/MCM/MCM do not form a shared surface string.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-D52C7C0632C0FD24,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T13,T13-S1,greatest common divisor,D-T13-S1-V3,mcd | maximo comun divisor | diviseur commun,C-ES-STD,adult readers literate in standard Spanish,standard Spanish,maximo comun divisor,1.0,1.0,0.1667,0.0,0.8333,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T13-es-UNION;E-T13-fr-UNION;E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,French source seed omitted greatest in one search form; abbreviations differ across standards.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T13,T13-S1,greatest common divisor,D-T13-S1-V3,mcd | maximo comun divisor | diviseur commun,C-FR-STD,adult readers literate in standard French,standard French,diviseur commun,1.0,0.1667,1.0,0.8333,0.0,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T13-es-UNION;E-T13-fr-UNION;E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,French source seed omitted greatest in one search form; abbreviations differ across standards.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T13,T13-S1,greatest common divisor,D-T13-S1-V3,mcd | maximo comun divisor | diviseur commun,C-PT-STD,adult readers literate in standard Portuguese,European/Brazilian profile must be recorded,mdc,0.3333,0.1111,0.0714,0.2222,0.2619,true,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost;low_orthographic_proxy,E-T13-es-UNION;E-T13-fr-UNION;E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,French source seed omitted greatest in one search form; abbreviations differ across standards.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
T13,T13-S1,greatest common divisor,D-T13-S1-V3,mcd | maximo comun divisor | diviseur commun,C-GL-STD,adult readers literate in standard Galician,standard Galician,maximo comun divisor,1.0,1.0,0.1667,0.0,0.8333,false,normalized edit similarity design diagnostic only; not comprehension or intelligibility,semantic_false_friend_review_required;multi_variant_processing_cost,E-T13-es-UNION;E-T13-fr-UNION;E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,French source seed omitted greatest in one search form; abbreviations differ across standards.,,,,,,,,sense_scoped_design_proxy_context_reviewed_human_protocol_not_run,false,E-OCC-9E2CC75E86A70EB9;E-OCC-2EAA99526AECE0C7;E-OCC-6B588AE33943B89B;E-OCC-513F9CB0A847D534,,T11_T20_context_reviewed_support_adverse_and_hold_separated,MII_METHOD_v6,
