language,row_id,concept_band,english_anchor,source_form_candidate,source_basis,source_pointer,draft_use_level,reviewer_question,promotion_allowed
Tigrigna_Tigrinya,TG-N03,operations,addition,ምድማር,Ethiopia Learning Tigrigna Grade 6 Mathematics,"lines 141 and 166",source_backed_draft_support,"Confirm operation noun and sentence behavior.",false
Tigrigna_Tigrinya,TG-N04,operations,subtraction,ምጉዳል,Ethiopia Learning Tigrigna Grade 6 Mathematics,"lines 141 and 166",source_backed_draft_support,"Confirm operation noun and sentence behavior.",false
Tigrigna_Tigrinya,TG-N07,foundational_number,fraction,ጉዚ; ጉዚታት,Ethiopia Learning Tigrigna Grade 6 Mathematics,"lines 126, 129, 137, 141, 145",source_backed_draft_support,"Confirm singular/plural and mathematical register.",false
Tigrigna_Tigrinya,TG-S01,set_language,set,እኩብ; እኩባት,Ethiopia Learning Tigrigna Grade 6 Mathematics,"lines 94, 97, 101, 105, 222, 233-235",source_backed_draft_support,"Confirm whether this school set-language can support later algebra only after review.",false
Tigrigna_Tigrinya,TG-P01,proof_language,definition,ትርጉም,Ethiopia Learning Tigrigna Grade 7 Chemistry,"lines 136, 894, 935, 984, 1415",reviewer_prompt_only,"Confirm whether chemistry definition marker transfers to math definitions.",false
Tigrigna_Tigrinya,TG-A01,algebra,algebra/equation/variable,source_gap,Ethiopia Learning Tigrigna Grade 8 Mathematics,"Grade 8 extraction font-encoded or garbled",source_gap_do_not_use,"Repair OCR/font map or review page images before extracting algebra rows.",false
Fulfulde_Fulani,FF-A001,algebra,algebra,aljabar; Aljabar,NYU/NYSED Fulani math glossaries,"elementary lines 153/155; middle-school 109/111; Algebra 2 653/655",reviewer_prompt_only,"Identify variety label and decide whether loan form is acceptable in the target community.",false
Fulfulde_Fulani,FF-A005,algebra,equation,fotuki; ko andaaka; nannduɗum; fottida,NYU/NYSED Fulani math glossaries,"elementary lines 858/860; middle-school 537/539; Algebra 2 288/290, 456/458, 915/917",reviewer_prompt_only,"Choose among competing variants; do not flatten Fulfulde/Fulani/Fula/Pulaar rows.",false
Fulfulde_Fulani,FF-A008,algebra,variable,fergere; baylatoongel; mamre,NYU/NYSED Fulani math glossaries,"elementary lines 2870/2872; middle-school 1789/1791; Algebra 2 1327/1329",reviewer_prompt_only,"Review variety, register, and higher-math suitability.",false
Fulfulde_Fulani,FF-H001,hard_algebra,"ring / field / module / ideal / invariant / Noetherian ring",source_gap,R9 Fulfulde/Fulani glossary ledger,"no direct source row",source_gap_do_not_use,"Find local higher-math source or reviewer-approved strategy.",false
Mandinka_Manding,MND-A001,algebra,algebra,algébro,NYU/NYSED Mandinka math glossaries,"elementary lines 99/148; middle-school 90/140",reviewer_prompt_only,"Confirm Mandinka-specific form; do not widen to Manding without review.",false
Mandinka_Manding,MND-A002,algebra,equation,équatiyon,NYU/NYSED Mandinka elementary math glossary,"lines 422 and 471",reviewer_prompt_only,"Check loan form and prose use before draft translation.",false
Mandinka_Manding,MND-P001,proof_language,theorem,théorémo,NYU/NYSED Mandinka elementary and geometry glossaries,"elementary lines 1386/1435; geometry lines 213/248 and 929/979",reviewer_prompt_only,"Confirm theorem/proof/definition heading strategy before any Noether prose.",false
Mandinka_Manding,MND-H001,hard_algebra,"ring / field / module / ideal / invariant / Noetherian ring",source_gap,R9 Mandinka/Manding ledger,"no direct source row",source_gap_do_not_use,"Find local higher-math witness; keep Manding bridge blocked.",false
Akan_Twi,TWI-A001,algebra,algebra,akontaabu a wɔde agyiraehyɛde di dwuma; nkonta a wɔde agyiraehyɛde di dwuma,NYU/NYSED Twi math glossaries,"elementary lines 99/148; middle-school lines 89/138",reviewer_prompt_only,"Confirm compact register and whether phrase is usable beyond glossary context.",false
Akan_Twi,TWI-A002,algebra,equation,nsɛm abien a pɛyɛ gyiraehyɛde da ntam; afa abien akontaabu nsɛm a ɛyɛ pɛ,NYU/NYSED Twi math/chemistry glossaries,"elementary lines 423/472; chemistry lines 1056/1106",reviewer_prompt_only,"Review source split and mathematical sentence behavior.",false
Akan_Twi,TWI-P002,proof_language,proof,adanse,NYU/NYSED Twi high-school geometry glossary,"lines 202/252 and 919/947",reviewer_prompt_only,"Confirm whether this supports formal proof prose.",false
Akan_Twi,TWI-H001,hard_algebra,"ring / field / module / ideal / invariant / Noetherian ring",source_gap,R9 Akan/Twi ledger,"no direct source row",source_gap_do_not_use,"Find local higher-math source; keep Akan-wide bridge blocked.",false
Wolof,WOLOF-A001,algebra,algebra,alseebar; alseebur; Joxe ndigël,NYU/NYSED Wolof math/physics glossaries,"elementary lines 99/148; middle-school algebra row; physics algebra row",reviewer_prompt_only,"Choose among variants and check subject-specific register.",false
Wolof,WOLOF-A002,algebra,equation,tolloole; Ikuwaason; ikuwaason,NYU/NYSED Wolof math/science glossaries,"elementary lines 423/472; Algebra 2 190/217; chemistry/middle-school/physics rows",reviewer_prompt_only,"Review orthography/register variants before draft prose.",false
Wolof,WOLOF-P002,proof_language,proof,Ki sampp; Përëw,NYU/NYSED Wolof chemistry and geometry glossaries,"chemistry proof row; geometry proof row",reviewer_prompt_only,"Confirm formal proof frame and avoid translating Noether prose before review.",false
Wolof,WOLOF-H001,hard_algebra,"ring / field / module / ideal / invariant / Noetherian ring",source_gap,R9 Wolof ledger,"no direct source row",source_gap_do_not_use,"Find local higher-math source; no Wolof/Senegambian bridge.",false
Yoruba,YOR-A001,algebra,algebra,Ìṣirò Àlámìn,"Fakinlede K, Mathematics Dictionary, Yoruba-English","extracted text context line 737",reviewer_prompt_only,"Confirm dictionary form against school/STEM prose source.",false
Yoruba,YOR-A002,algebra,equation,ọmì,"Fakinlede K, Mathematics Dictionary, Yoruba-English","lines 942 and 944",reviewer_prompt_only,"Check extraction damage and whether this is correct for equation.",false
Yoruba,YOR-P001,proof_language,proof/theorem/definition,source_gap,Yoruba dictionary seed ledger,"no Proof/Theorem/Definition/Define hits",source_gap_do_not_use,"Find proof-language witness before any Noether prose.",false
Yoruba,YOR-H001,hard_algebra,"ring / field / module / ideal / invariant / Noetherian ring",source_gap,Yoruba dictionary seed ledger,"no Ring/Field/Module/Ideal/Invariant/Noether hits",source_gap_do_not_use,"Find school or higher-math witness; no Yoruba translation lane yet.",false
