"finding_id","review_id","comparator_id","fac_number","codex_locator","external_locator","french_locator","classification","codex_reading_or_action","external_reading_or_action","selected_form","change_required","rationale","review_status","supersedes_finding_id"
"FAC-BLIND-F0011","FAC-BLIND-REVIEW-N029-R1","FAC-BLIND-N029","29","027_I_4_29_applications.tex Proposition4","fac-1_4.tex line149","fac_body.tex Proposition4 statement and printed authority","source_composition_defect_corrected_and_disclosed__external_preserves_defect","uses iota-double-prime inverse composed with iota-prime","uses iota-prime composed with iota-double-prime inverse","iota-double-prime inverse composed with iota-prime","none_codex","Only the selected order has domain H^n(U,F) and codomain H^n(V,F) under right-to-left composition","reviewed",""
"FAC-BLIND-F0012","FAC-BLIND-REVIEW-N029-R1","FAC-BLIND-N029","29","027_I_4_29_applications.tex g^p formula","fac-1_4.tex line168","fac_body.tex g^p formula and printed authority","source_terminal_index_defect_corrected_and_disclosed__external_preserves_defect","stops at tau j_{n-p-1}","ends with extra tau j_{n-p}","tau j_{n-p-1}","none_codex","The left side and restriction inclusion stop at n-p-1 and an n-cochain requires exactly n+1 indices","reviewed",""
"FAC-BLIND-F0013","FAC-BLIND-REVIEW-N029-R1","FAC-BLIND-N029","29","027_I_4_29_applications.tex Proposition5 proof","fac-1_4.tex line186","fac_body.tex Proposition5 proof and printed authority","source_domain_defect_corrected_and_disclosed__external_preserves_defect","gives iota-prime domain H^n(U,F)","gives iota-prime domain H^n(V,F)","H^n(U,F)","none_codex","iota-prime was defined from C(U,F), including after swapping the roles in Proposition3","reviewed",""
"FAC-BLIND-F0014","FAC-BLIND-REVIEW-N055-R1","FAC-BLIND-N055","55","053_III_2_55_sections_of_F_n.tex opening","fac-3_2.tex line72","fac_body.tex line1891","external_scope_broadening","says lemma on affine varieties","says lemma on algebraic varieties","affine varieties","none_codex","The lemma assumes V affine and the French explicitly says variétés affines","reviewed",""
"FAC-BLIND-F0015","FAC-BLIND-REVIEW-N059-R1","FAC-BLIND-N059","59","057_III_2_59_graded_module_associated_to_algebraic_sheaf.tex component-action paragraph","fac-3_2.tex seam between lines347 and349","fac_body.tex line2052","external_material_omission","retains componentwise definition (P.s)_i=(P/t_i^p).s_i and its regularity justification","omits the whole paragraph","retain complete paragraph","none_codex","The paragraph gives the local component formula for the newly defined S-module action and is present in the French authority","reviewed",""
"FAC-BLIND-F0016","FAC-BLIND-REVIEW-N066-R1","FAC-BLIND-N066","66","064_III_3_66_coherent_sheaves_projective_varieties.tex bundle paragraph","fac-3_3.tex line467","fac_body.tex line2462","external_tex_math_regression","writes O_V(n) with balanced delimiters","writes O_V(n)) with an extra parenthesis","O_V(n)","none_codex","The extra delimiter is absent from the authority and malformed in the external TeX","reviewed",""
"FAC-BLIND-F0017","FAC-BLIND-REVIEW-N073-R1","FAC-BLIND-N073","73","071_III_5_73_relations_global_local_Ext.tex second localized exact sequence","fac-3_5.tex line48","fac_body.tex line2881","external_stalk_subscript_corruption","uses Ext_S^q(M,N)_x","uses Ext_S^q(M,N)_S","Ext_S^q(M,N)_x","none_codex","Localization at x yields the stalk; an S subscript is neither the source reading nor the object used in the proof","reviewed",""
"FAC-BLIND-F0018","FAC-BLIND-REVIEW-N074-R1","FAC-BLIND-N074","74","072_III_5_74_vanishing_negative_twists.tex Theorem1 proof","fac-3_5.tex line70","fac_body.tex line2895","external_module_symbol_corruption","uses B^q(M)_{-n}","uses B^q(m)_{-n}","B^q(M)_{-n}","none_codex","The graded module is M throughout; lowercase m is not defined here","reviewed",""
"FAC-BLIND-F0019","FAC-BLIND-REVIEW-N074-R1","FAC-BLIND-N074","74","072_III_5_74_vanishing_negative_twists.tex dimension definition","fac-3_5.tex line86","fac_body.tex line2915 plus printed authority","source_quantifier_index_defect_corrected_and_disclosed__external_preserves_defect","uses each L_i is free and discloses printed L_p","uses each L_p is free","each L_i is free","none_codex","The displayed resolution contains L_p through L_0; the definition quantifies over every term","reviewed",""
"FAC-BLIND-F0020","FAC-BLIND-REVIEW-N074-R1","FAC-BLIND-N074","74","072_III_5_74_vanishing_negative_twists.tex induction proof","fac-3_5.tex line107","fac_body.tex line2947","external_ext_exponent_and_argument_error","uses Ext^{p+1}(P,L)=0 as the first term of the displayed exact sequence","uses Ext^{p+2}(P,L)=0","Ext^{p+1}(P,L)=0","none_codex","The preceding exact sequence has first term Ext^{p+1}(P,L), and condition(ii) kills that term","reviewed",""
"FAC-BLIND-F0021","FAC-BLIND-REVIEW-N079-R1","FAC-BLIND-N079","79","077_III_6_79_euler_poincare_characteristic.tex second Proposition2 sequence","fac-3_6.tex line57","fac_body.tex lines3289-3290","external_exact_sequence_truncation","ends F_p -> 0","ends at F_p with no arrow or terminal zero","F_p -> 0","none_codex","The induction explicitly uses a short exact sequence; the terminal zero is present in the authority","reviewed",""
"FAC-BLIND-F0022","FAC-BLIND-REVIEW-N004-R1","FAC-BLIND-N004","4","003_I_1_4_gluing_of_sheaves.tex line17","fac-1_1.tex line183","fac_body.tex line175","external_relation_regression","uses U subset U_i","uses U member U_i","U subset U_i","none_codex","U is an open set on which the family is defined and must be contained in the covering member, not be an element of it","reviewed",""
"FAC-BLIND-F0023","FAC-BLIND-REVIEW-N004-R1","FAC-BLIND-N004","4","003_I_1_4_gluing_of_sheaves.tex line17 footnote and body","fac-1_1.tex line184","fac_body.tex line175 plus printed authority","source_print_defect_corrected_and_disclosed__external_preserves_defect","maps the family to s_i in Gamma(U,F_i) and explains the printed Gamma(U_i,F_i)","maps to s_i in Gamma(U_i,F_i) although the stated codomain is Gamma(U,F_i)","s_i in Gamma(U,F_i)","none_codex","The family is defined over fixed U subset U_i and the same sentence states the codomain Gamma(U,F_i)","reviewed",""
"FAC-BLIND-F0024","FAC-BLIND-REVIEW-N005-R1","FAC-BLIND-N005","5","004_I_1_5_extension_and_restriction.tex line24 footnote and body","fac-1_1.tex line226","fac_body.tex line197 plus printed authority","source_print_defect_corrected_and_disclosed__external_preserves_defect","uses restriction F_V to F_U for U subset V and explains the printed reversal","uses F_U to F_V","F_V to F_U","none_codex","Restriction maps are contravariant and no. 3 fixes the same direction","reviewed",""
"FAC-BLIND-F0025","FAC-BLIND-REVIEW-N005-R1","FAC-BLIND-N005","5","004_I_1_5_extension_and_restriction.tex line26","fac-1_1.tex line229","fac_body.tex line199","external_notation_regression","denotes extension by zero as G^Y","denotes it as G^X","G^Y","none_codex","The French source explicitly uses the closed support subspace Y as superscript","reviewed",""
"FAC-BLIND-F0026","FAC-BLIND-REVIEW-N013-R1","FAC-BLIND-N013","13","011_I_2_13_main_properties.tex line15","fac-1_2.tex lines74-75","fac_body.tex line395","external_hypothesis_omission","states that gamma:A^p to G is surjective","states only that gamma is a homomorphism","surjective homomorphism gamma:A^p to G","none_codex","Surjectivity is explicit in French and is needed to identify F with gamma of the kernel","reviewed",""
"FAC-BLIND-F0027","FAC-BLIND-REVIEW-N013-R1","FAC-BLIND-N013","13","011_I_2_13_main_properties.tex line28","fac-1_2.tex line104","fac_body.tex line404","external_prose_tex_regression","uses sections f_j^i of A^r","writes sections f_j^i or A^r","of A^r","none_codex","The external reading is a typographical substitution that breaks the mathematical phrase","reviewed",""
"FAC-BLIND-F0028","FAC-BLIND-REVIEW-N013-R1","FAC-BLIND-N013","13","011_I_2_13_main_properties.tex lines43-50","fac-1_2.tex lines131-132","fac_body.tex lines414-419","external_operator_inconsistency","uses operatorname Im consistently in both exact sequences","uses Img in one sequence and bare Im in the next","image operator typeset consistently","none_codex","The same sheaf occurs in both exact sequences and should retain one mathematical operator notation","reviewed",""
"FAC-BLIND-F0029","FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","023_I_3_25_exact_sequence_paracompact_case.tex line24","fac-1_3.tex line363","fac_body.tex line851","external_closure_omission","uses closure Wbar_j subset V_j","uses W_j subset V_j","closure Wbar_j subset V_j","none_codex","The shrinking lemma requires the closure containment explicitly stated in French","reviewed",""
"FAC-BLIND-F0030","FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","023_I_3_25_exact_sequence_paracompact_case.tex line27","fac-1_3.tex lines365-366","fac_body.tex line853","external_closure_omission","tests x in closure Wbar_j in the respective clause","tests x in W_j","x in closure Wbar_j","none_codex","The French condition uses the closure and the later proof relies on the chosen shrinking","reviewed",""
"FAC-BLIND-F0031","FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","023_I_3_25_exact_sequence_paracompact_case.tex line28","fac-1_3.tex line367","fac_body.tex line855","external_inclusion_target_regression","concludes U_x subset V_j","concludes U_x subset W_j","U_x subset V_j","none_codex","Condition (b) supplies membership in V_j after intersection with W_j; the stronger external statement is not what was chosen or proved","reviewed",""
"FAC-BLIND-F0032","FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","023_I_3_25_exact_sequence_paracompact_case.tex lines44-46","fac-1_3.tex line382","fac_body.tex line861","external_cover_symbol_regression","uses U_xk subset W_tau_xk","uses U_xk subset U_tau_xk","U_xk subset W_tau_xk","none_codex","tau x_k indexes the W-cover member selected to contain x_k; no neighborhood U_tau_xk is defined","reviewed",""
"FAC-BLIND-F0033","FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","023_I_3_25_exact_sequence_paracompact_case.tex lines38 and48-50","fac-1_3.tex lines378 and386","fac_body.tex line861 plus printed authority","source_print_defects_corrected_and_disclosed__external_preserves_defects","uses mathfrak U for the covering and beta(b) as an equality of sections, with both printed anomalies disclosed","uses plain U and beta(b)_x","mathfrak U and beta(b)","none_codex","The lemma names the covering mathfrak U, and the equality is asserted over U_x0 rather than at an undefined point x","reviewed",""
"FAC-BLIND-F0034","FAC-BLIND-REVIEW-N031-R1","FAC-BLIND-N031","31","029_II_1_31_locally_closed_affine_subsets.tex line28","fac-2_1.tex line125","fac_body.tex line1165","external_sheaf_subscript_regression","uses Gamma(V,O_Y)","uses Gamma(V,O_x)","Gamma(V,O_Y)","none_codex","V is open in Y and O_Y is the sheaf whose sections are being characterized; O_x is a single local ring","reviewed",""
"FAC-BLIND-F0035","FAC-BLIND-REVIEW-N031-R1","FAC-BLIND-N031","31","029_II_1_31_locally_closed_affine_subsets.tex line38","fac-2_1.tex line142","fac_body.tex line1174","external_logical_negation_regression","uses x notin F-prime","uses x in F-prime","x notin F-prime","none_codex","F-prime is the complement of a neighborhood W containing x, so x cannot belong to F-prime","reviewed",""
"FAC-BLIND-F0036","FAC-BLIND-REVIEW-N031-R1","FAC-BLIND-N031","31","029_II_1_31_locally_closed_affine_subsets.tex lines38-41 footnote and body","fac-2_1.tex line145","fac_body.tex line1174 plus printed authority","source_print_ambiguity_corrected_and_disclosed__external_preserves_ungrouped_form","writes the equal fraction as (P P_1)/(Q P_1) and explains the grouping","retains P P_1/Q P_1 without grouping","R=(P P_1)/(Q P_1)","none_codex","The proof multiplies numerator and denominator of P/Q by P_1; explicit grouping is required to preserve equality","reviewed",""
"FAC-BLIND-F0037","FAC-BLIND-REVIEW-N036-R1","FAC-BLIND-N036","36","034_II_1_36_rational_function_field.tex line35","fac-2_1.tex line412","fac_body.tex line1306","external_relation_symbol_omission","uses x_i in U intersection U_i","writes x_i U intersection U_i without a relation","x_i in U intersection U_i","none_codex","The point is chosen from the nonempty intersection; the missing membership sign makes the external sentence malformed","reviewed",""
"FAC-BLIND-F0038","FAC-BLIND-REVIEW-N036-R1","FAC-BLIND-N036","36","034_II_1_36_rational_function_field.tex lines55-59","fac-2_1.tex lines440-448","fac_body.tex lines1312-1314","external_algebraic_object_misclassification","calls K(A) the field of fractions","calls K(A) the ring of fractions before calling it a field","field of fractions K(A)","none_codex","A is an integral domain and the French explicitly defines K(A) as its corps des quotients","reviewed",""
"FAC-BLIND-F0039","FAC-BLIND-REVIEW-N044-R1","FAC-BLIND-N044","44","042_II_3_44_vanishing_cohomology_groups.tex line9","fac-2_3.tex line155","fac_body.tex line1491","external_hypothesis_omission","retains irreducible affine variety","states only irreducible algebraic variety","irreducible affine variety","none_codex","Affineness is an explicit hypothesis and is used throughout the proof","reviewed",""
"FAC-BLIND-F0040","FAC-BLIND-REVIEW-N044-R1","FAC-BLIND-N044","44","042_II_3_44_vanishing_cohomology_groups.tex lines51-55","fac-2_3.tex lines191-194","fac_body.tex line1511","external_empty_set_symbol_regression","uses U nonempty","uses U not equal to zero","U not equal to empty set","none_codex","U is an open subset, so nonemptiness is expressed against the empty set rather than the scalar zero","reviewed",""
"FAC-BLIND-F0041","FAC-BLIND-REVIEW-N044-R1","FAC-BLIND-N044","44","042_II_3_44_vanishing_cohomology_groups.tex lines57-59","fac-2_3.tex lines195-196","fac_body.tex line1514","external_cochain_index_regression","uses f with indices i,i_0,...,i_{q-1}","uses f with indices i,i_0,...,i_q in the formula for a (q-1)-cochain","f_{i i_0 ... i_{q-1}}","none_codex","The component k_{i_0...i_{q-1}} has q indices and the contracting-homotopy summand adds exactly one leading index","reviewed",""
"FAC-BLIND-F0042","FAC-BLIND-REVIEW-N044-R1","FAC-BLIND-N044","44","042_II_3_44_vanishing_cohomology_groups.tex lines60-65 footnote and body","fac-2_3.tex lines198-199","fac_body.tex line1519 plus printed authority","source_print_sign_defect_corrected_and_disclosed__external_preserves_defect","uses (-1)^j and explains the printed (-1)^q","uses (-1)^q","(-1)^j","none_codex","The Cech coboundary alternates with the omitted index j, and the next cocycle identity requires that sign","reviewed",""
"FAC-BLIND-F0043","FAC-BLIND-REVIEW-N046-R1","FAC-BLIND-N046","46","044_II_3_46_affine_cohomology_coherent_sheaves.tex lines62-72","fac-2_3.tex lines336-338","fac_body.tex line1599","external_sheaf_symbol_corruption","uses Gamma(X,B) to Gamma(X,C)","uses Gamma(X,Bb) to Gamma(X,C) although the sequence uses Ba","Gamma(X,B) to Gamma(X,C)","none_codex","The global-sections map is induced by the displayed exact sequence A to B to C; no distinct Bb sheaf occurs","reviewed",""
"FAC-BLIND-F0044","FAC-BLIND-REVIEW-N049-R1","FAC-BLIND-N049","49","047_II_4_49_module_associated_to_sheaf.tex lines17-28","fac-2_4.tex lines84-88","fac_body.tex lines1682-1687","external_hypothesis_omission","retains exact sequence of coherent algebraic sheaves","states exact sequence of algebraic sheaves without coherence","coherent algebraic sheaves","none_codex","Exactness of global sections here is invoked from no.45 and the finite-generation conclusion also assumes coherence","reviewed",""
"FAC-BLIND-F0045","FAC-BLIND-REVIEW-N049-R1","FAC-BLIND-N049","49","047_II_4_49_module_associated_to_sheaf.tex lines86-95","fac-2_4.tex lines135-138","fac_body.tex line1730","external_stalk_value_regression","uses s(x) in F_x and maps Gamma(F) to F_x","uses s(x) in F(X) before mapping to F_x","s(x) in F_x","none_codex","Evaluation at x is a germ in the stalk F_x, which is also the target of beta_x","reviewed",""
"FAC-BLIND-F0046","FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","050_III_1_52_cohomology_projective_subvarieties.tex lines13-20","fac-3_1.tex lines71-73","fac_body.tex line1800","external_quantifier_reversal","states bijective for every n greater than or equal to 0","states bijective for all n not equal to 0","n greater than or equal to 0","none_codex","The French includes degree zero; the external condition excludes it and instead admits negative degrees outside the stated cohomological range","reviewed",""
"FAC-BLIND-F0047","FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","050_III_1_52_cohomology_projective_subvarieties.tex lines74-77","fac-3_1.tex lines114-116","fac_body.tex line1822","external_negation_scope_ambiguity","says the polynomials have no common zero on W-prime","says they are nonvanishing simultaneously on W-prime","have no common zero on W-prime","none_codex","French ne s'annulant pas simultanement negates simultaneous vanishing, not asserts simultaneous nonvanishing","reviewed",""
"FAC-BLIND-F0048","FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","050_III_1_52_cohomology_projective_subvarieties.tex lines94-102","fac-3_1.tex lines125-131","fac_body.tex line1826","external_projective_space_notation_regression","uses projective space P sub N-1 of K consistently","uses P superscript N-1 at one occurrence","P sub N-1 of K","none_codex","The French notation and all neighboring occurrences index projective dimension by a subscript","reviewed",""
"FAC-BLIND-F0049","FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","050_III_1_52_cohomology_projective_subvarieties.tex lines96-101","fac-3_1.tex line129","fac_body.tex line1826","external_base_field_corruption","uses P sub N-1 of K","uses P sub N-1 of X","P sub N-1 of K","none_codex","X is the source variety, whereas the ambient projective space is defined over the field K","reviewed",""
"FAC-BLIND-F0050","FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","050_III_1_52_cohomology_projective_subvarieties.tex lines110-115","fac-3_1.tex lines137-141","fac_body.tex line1828","external_ideal_generation_regression","uses a system of homogeneous generators of the ideal","uses a system of homogeneous coordinates of the ideal","homogeneous generators","none_codex","The construction requires generators whose common zero locus is the variety; coordinates are not generators of an ideal","reviewed",""
"FAC-BLIND-F0051","FAC-BLIND-REVIEW-N053-R1","FAC-BLIND-N053","53","051_III_1_53_cohomology_irreducible_algebraic_curves.tex lines10-16","fac-3_1.tex lines154-157","fac_body.tex line1830","external_superscript_corruption","defines V_x^F and uses it consistently","first defines V_x^p and then switches to V_x^F","V_x^F","none_codex","F is the finite subset removed from V; p is undefined in this construction","reviewed",""
"FAC-BLIND-F0052","FAC-BLIND-REVIEW-N054-R1","FAC-BLIND-N054","54","052_III_2_54_operation_F_n.tex lines57-68","fac-3_2.tex lines28-31","fac_body.tex line1866","external_definition_terminology_weakening","calls the elements homogeneous functions of degree n and states the scaling identity","calls them regular functions of degree n before the same scaling identity","homogeneous functions of degree n","none_codex","Homogeneity is the defining property named by the French; regularity alone does not define a degree","reviewed",""
"FAC-BLIND-F0053","FAC-BLIND-REVIEW-N054-R1","FAC-BLIND-N054","54","052_III_2_54_operation_F_n.tex lines82-90","fac-3_2.tex lines39-43","fac_body.tex line1870","external_local_component_index_regression","identifies each f_i with a local homogeneous function before setting g_i=t_i^n f_i","identifies f_j while the local open set and following formula are indexed i","f_i","none_codex","The section over U cap U_i is f_i and the next construction multiplies that same component by t_i^n","reviewed",""
"FAC-BLIND-F0054","FAC-BLIND-REVIEW-N060-R1","FAC-BLIND-N060","60","058_III_2_60_coherent_algebraic_sheaves.tex lines12-17","fac-3_2.tex lines399-401","fac_body.tex line2083","external_sheaf_symbol_substitution","states Gamma(L) satisfies TF","states Gamma(F) satisfies TF although the proposition defines L","Gamma(L)","none_codex","The proposition concerns the finite direct sum L; F is not introduced in its statement","reviewed",""
"FAC-BLIND-F0055","FAC-BLIND-REVIEW-N063-R1","FAC-BLIND-N063","63","061_III_3_63_general_properties_Hq_M.tex line66","fac-3_3.tex line224","fac_body.tex line2308","external_parenthesis_omission","writes h greater than or equal to k greater than or equal to Sup(k(N),k(L^0)) with balanced delimiters","omits the closing parenthesis after k(L^0)","balanced lower bound Sup(k(N),k(L^0))","none_codex","The five-lemma bound contains a two-argument supremum; the external TeX is syntactically and mathematically malformed at the second argument","reviewed",""
"FAC-BLIND-F0056","FAC-BLIND-REVIEW-N063-R1","FAC-BLIND-N063","63","061_III_3_63_general_properties_Hq_M.tex lines78-87","fac-3_3.tex lines230-262","fac_body.tex lines2315-2339","external_silent_source_defect_preservation","uses L_n^0 in the diagram and explicitly discloses that the printed superscript 0 is omitted","reproduces L_n without disclosing the mismatch with L^0 elsewhere in the diagram and proof","L_n^0 with an explicit source-oddity note","none_codex","The upper middle term is the degree-n component of L^0; the journal omits its superscript, and the corrected French and Codex English preserve authority while disclosing the repair","reviewed",""
"FAC-BLIND-F0057","FAC-BLIND-REVIEW-N064-R1","FAC-BLIND-N064","64","062_III_3_64_comparison_cohomology_groups.tex lines63-69","fac-3_3.tex line298","fac_body.tex line2358","external_parenthesis_omission","gives the exact sequence C'(U,A(L^1)) to C'(U,A(L^0)) to C'(U,A(M)) to 0 with every term closed","omits the closing parenthesis of C'(U,A(L^0)) before the next arrow","well-formed three-term cochain sequence","none_codex","Each term is a separate cochain complex; the external omission merges the second and third expressions into malformed TeX","reviewed",""
"FAC-BLIND-F0058","FAC-BLIND-REVIEW-N067-R1","FAC-BLIND-N067","67","065_III_3_67_supplement.tex lines20-27","fac-3_3.tex lines486-488","fac_body.tex line2473","external_condition_strengthening","states t_j m_i minus t_i m_j equals 0","states t_j m_i equals t_i m_j equals 0","t_j m_i minus t_i m_j equals 0","none_codex","Condition (ii) requires equality of the two products, not that both products vanish","reviewed",""
"FAC-BLIND-F0059","FAC-BLIND-REVIEW-N067-R1","FAC-BLIND-N067","67","065_III_3_67_supplement.tex lines53-61","fac-3_3.tex lines504-509","fac_body.tex line2477","external_proof_step_omission","uses descending induction to obtain t_i m equals 0 for every i and then invokes condition (i) to conclude m equals 0","jumps from alpha(t_i m) equals 0 directly to m equals 0 without the induction and condition-(i) steps","induction gives t_i m equals 0, then condition (i) gives m equals 0","none_codex","The injectivity proof needs both the higher-degree induction hypothesis and the stated annihilator condition","reviewed",""
"FAC-BLIND-F0060","FAC-BLIND-REVIEW-N067-R1","FAC-BLIND-N067","67","065_III_3_67_supplement.tex lines82-88","fac-3_3.tex lines521-522","fac_body.tex line2481","external_cohomology_index_substitution","uses H_1^0(M(n))","uses H_q^0(M(n))","H_1^0(M(n))","none_codex","The remark refers specifically to the first stage k=1 of the direct system, not to a variable cohomological index q","reviewed",""
"FAC-BLIND-F0061","FAC-BLIND-REVIEW-N068-R1","FAC-BLIND-N068","68","066_III_4_68_Ext_functors.tex lines55-60","fac-3_4.tex lines36-39","fac_body.tex line2497","external_homogeneous_component_syntax_corruption","writes Ext_S^q(M,N)_n and Hom_S(L^q,N)_n with balanced delimiters","adds an unmatched closing parenthesis after each subscript n","balanced homogeneous-component notation","none_codex","The subscript n is part of the graded module notation and is not followed by a parenthesized expression","reviewed",""
"FAC-BLIND-F0062","FAC-BLIND-REVIEW-N068-R1","FAC-BLIND-N068","68","066_III_4_68_Ext_functors.tex lines55-60","fac-3_4.tex lines37-39","fac_body.tex line2497","external_degree_subscript_omission","states that the spaces Ext_S^q(M,N)_n are the cohomology groups and derived functors of Hom_S(M,N)_n","switches from Ext_S^q(M,N)_n to unsubscripted Ext_S^q(M,N) in the conclusion","Ext_S^q(M,N)_n and Hom_S(M,N)_n throughout","none_codex","The statement identifies each homogeneous degree-n component, not the entire graded Ext module, with the derived functor of the degree-n Hom functor","reviewed",""
"FAC-BLIND-F0063","FAC-BLIND-REVIEW-N068-R1","FAC-BLIND-N068","68","066_III_4_68_Ext_functors.tex lines94-99","fac-3_4.tex line58","fac_body.tex line2522","external_long_exact_argument_substitution","uses Ext_S^q(M',N) in the contravariant long exact sequence","uses Ext_S^q(M',M)","Ext_S^q(M',N)","none_codex","N is the fixed second argument throughout this long exact sequence; substituting M changes the functor and breaks exactness","reviewed",""
"FAC-BLIND-F0064","FAC-BLIND-REVIEW-N068-R1","FAC-BLIND-N068","68","066_III_4_68_Ext_functors.tex lines94-99","fac-3_4.tex line59","fac_body.tex line2522","external_connecting_degree_reversal","uses the connecting morphism to Ext_S^{q+1}(M'',N)","uses Ext_S^{q-1}(M'',N)","Ext_S^{q+1}(M'',N)","none_codex","A cohomological long exact sequence raises degree at the connecting morphism; q minus 1 reverses its direction","reviewed",""
