"review_id","comparator_id","fac_number","mechanical_triage","french_locator","codex_locator","external_locator","unit_fidelity_disposition","codex_change_required","french_change_required","material_findings_logged","decision_basis","reviewer","review_date","review_status","supersedes_review_id"
"FAC-BLIND-REVIEW-N011-R1","FAC-BLIND-N011","11","high_mechanical_difference","corrected French fac_body.tex lines313-346; authority physical11-12/printed206-207","components/010_I_1_11_and_I_2_12_definitions.tex lines6-60","fac-1_1.tex lines446-477","Codex source-aligned; external drops a stalk subscript and changes the source's H-system notation","false","false","2","French definition, canonical homomorphism, exact sequence, and canonical isomorphisms personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N012-R1","FAC-BLIND-N012","12","low_mechanical_difference","corrected French fac_body.tex lines351-388; authority physical12-13/printed207-208","components/010_I_1_11_and_I_2_12_definitions.tex lines61-97","fac-1_2.tex lines11-66","Codex and external comparator independently preserve the source mathematics; differences are phrasing and TeX structure only","false","false","0","French relation-sheaf construction, finite-type definition, Proposition1 proof, coherent-sheaf conditions, and Propositions2-3 personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N013-R1","FAC-BLIND-N013","13","medium_mechanical_difference","corrected French fac_body.tex lines391-424; authority physical13-14/printed208-209","components/011_I_2_13_main_properties.tex lines6-56","fac-1_2.tex lines67-140","Codex source-aligned; external comparator omits a required surjectivity hypothesis and contains two mathematical TeX/wording regressions","false","false","3","French theorem, three cases of the proof, relation modules, and both exact sequences personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N014-R1","FAC-BLIND-N014","14","low_mechanical_difference","corrected French fac_body.tex lines427-458; authority physical14-15/printed209-210","components/012_I_2_14_operations_on_coherent_sheaves.tex lines7-54","fac-1_2.tex lines141-197","Codex source-aligned; external comparator makes rho an endomorphism of the source stalk instead of mapping to Hom over A_x","false","false","1","French tensor-product coherence proof, stalk-Hom bijection with injectivity and surjectivity, relation generators, and Hom coherence proof personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N015-R1","FAC-BLIND-N015","15","low_mechanical_difference","corrected French fac_body.tex lines461-492; authority physical15-16/printed210-211","components/013_I_2_15_coherent_sheaves_of_rings.tex lines7-40","fac-1_2.tex lines199-247","Codex source-aligned and transparently corrects the printed Definition2 cross-reference typo; external comparator preserves that typo, drops the exponent p in Proposition8, and changes the annihilator Hom codomain from F_x to G_x","false","false","3","French coherent-ring definition and examples, Propositions7-9, annihilator kernel, and conductor generalization personally compared; established correction FAC-FR-C0005 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N016-R1","FAC-BLIND-N016","16","low_mechanical_difference","corrected French fac_body.tex lines494-498; authority physical16/printed211","components/014_I_2_16_change_of_rings.tex lines6-20","fac-1_2.tex lines249-273","Codex and external comparator independently preserve the change-of-rings theorem and proof","false","false","0","French finite-type and coherence terminology, relation-sheaf image, quotient-ring coherence, cokernel presentation, and converse personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N017-R1","FAC-BLIND-N017","17","low_mechanical_difference","corrected French fac_body.tex lines500-514; authority physical16-17/printed211-212","components/015_I_2_17_extension_and_restriction.tex lines6-20","fac-1_2.tex lines275-304","Codex and external comparator independently preserve extension by zero, finite type, coherence, and the coherent-ring corollary","false","false","0","French closed-subspace setup, extension-by-zero superscripts, homomorphism correspondence and surjectivity, Propositions10-11, and corollary personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N018-R1","FAC-BLIND-N018","18","low_mechanical_difference","corrected French fac_body.tex lines517-534; authority physical17/printed212","components/016_I_3_18_cochains_of_a_covering.tex lines5-28","fac-1_3.tex lines1-31","Codex and external comparator independently preserve the section opening, covering cochains, product group, and alternating conditions","false","false","0","French non-Hausdorff convention, open-cover convention, simplex intersections, p-cochain definition, product indexing, degree, and both alternating axioms personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N019-R1","FAC-BLIND-N019","19","low_mechanical_difference","corrected French fac_body.tex lines536-568; authority physical17-18/printed212-213","components/017_I_3_19_simplicial_operations.tex lines7-45","fac-1_3.tex lines33-64","Codex source-aligned and retains the authority-backed rho_s superscript-subscript pair; external comparator omits the lower s in its explanatory definition","false","false","1","French simplex complex, support condition, coefficient sum, transpose operation, restriction map domain and codomain, composition formulas, and note personally compared; FAC-FR-T0016 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N020-R1","FAC-BLIND-N020","20","low_mechanical_difference","corrected French fac_body.tex lines571-629; authority physical18-19/printed213-214","components/018_I_3_20_cochain_complexes.tex lines7-75","fac-1_3.tex lines66-127","Codex source-aligned; external comparator states Proposition2 as an isomorphism from H^q to itself instead of from alternating cohomology H'^q to H^q","false","false","1","French boundary and coboundary formulas, H0 gluing proof, alternating subcomplex, Proposition2 chain homotopy, and dimension-vanishing corollary personally compared; FAC-FR-T0017 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N021-R1","FAC-BLIND-N021","21","low_mechanical_difference","corrected French fac_body.tex lines631-664; authority physical19-20/printed214-215","components/019_I_3_21_finer_coverings.tex lines7-38","fac-1_3.tex lines129-162","Codex source-aligned; external comparator corrupts the star on tau-prime and substitutes the undefined index j for h in the chain homotopy","false","false","2","French finer-cover map, induced cochain and cohomology maps, independence of tau, explicit k formula, homotopy identity, and canonical sigma map personally compared; FAC-FR-T0018 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N022-R1","FAC-BLIND-N022","22","low_mechanical_difference","corrected French fac_body.tex lines667-683 plus footnote line693; authority physical20/printed215","components/020_I_3_22_cohomology_groups_of_X.tex lines6-48","fac-1_3.tex lines164-208","Codex source-aligned; external comparator reverses the arguments of covering cohomology and changes the canonical covering symbol from script U to plain U","false","false","2","French preorder and directedness, equivalence-class set, transition maps, direct-limit definition and pair relation, canonical sigma map, cofinal families, and H0 result personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N023-R1","FAC-BLIND-N023","23","low_mechanical_difference","corrected French fac_body.tex lines686-707; authority physical20-21/printed215-216","components/021_I_3_23_homomorphisms_of_sheaves.tex lines6-33","fac-1_3.tex lines210-236","Codex source-aligned; external comparator substitutes psi-star in the compatibility equation and omits the right-hand side of the composition identity","false","false","2","French induced cochain map, compatibility with covering transition maps, passage to the limit, q0 case, three formal identities, additivity, direct sums, and Gamma(A)-module action personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N024-R1","FAC-BLIND-N024","24","high_mechanical_difference","corrected French fac_body.tex lines710-815; authority physical21-22/printed216-217","components/022_I_3_24_exact_sequence_general_case.tex lines8-109","fac-1_3.tex lines238-339","Codex source-aligned and discloses two source defects; external has a sheaf/covering substitution and silently repairs defects","false","false","2","French exact sequences, covering maps, diagram, zero-cochain proof, and low-degree comparison personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N025-R1","FAC-BLIND-N025","25","medium_mechanical_difference","corrected French fac_body.tex lines817-871; authority physical22-23/printed218-219","components/023_I_3_25_exact_sequence_paracompact_case.tex lines8-79","fac-1_3.tex lines340-401","Codex source-aligned with explicit source-defect disclosures; external comparator changes five cover/closure/inclusion or notation facts used by the proof","false","false","5","French paracompact-refinement lemma and cohomology exact sequence personally compared step by step","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N026-R1","FAC-BLIND-N026","26","low_mechanical_difference","corrected French fac_body.tex lines873-892; authority physical23-24/printed218-219","components/024_I_3_26_cohomology_of_closed_subspace.tex lines7-65","fac-1_3.tex lines402-438","Codex source-aligned and discloses the printed comma defect; external comparator makes Y a subspace of itself and changes the cochain degree q to uppercase Q","false","false","2","French induced sheaf and covering, restriction maps and direct-limit compatibility, closed-support bijection proof, extension by zero, and FAC-FR-C0010 personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N027-R1","FAC-BLIND-N027","27","low_mechanical_difference","corrected French fac_body.tex lines895-935; authority physical24-25/printed219-220","components/025_I_4_27_double_complexes.tex lines7-67","fac-1_4.tex lines8-54","Codex source-aligned and transparently repairs both printed double-complex defects; external comparator gives the wrong reference chapter and silently preserves both defects","false","false","3","French section aim, double-complex definitions, two partial cohomologies, edge subcomplex, Proposition1 reduction, row filtration, bidegree calculation, and FAC-FR-C0011/C0012 personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N028-R1","FAC-BLIND-N028","28","high_mechanical_difference","corrected French fac_body.tex lines938-1015; authority physical25-26/printed220-221","components/026_I_4_28_double_complex_from_two_coverings.tex lines7-131","fac-1_4.tex lines56-125","Codex source-aligned; external omits a named intersection, contains malformed TeX, corrupts a restriction inclusion, and duplicates an H_I entry","false","false","4","French double-complex definitions, both differentials, index omissions, complex names, and Proposition2 personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N029-R1","FAC-BLIND-N029","29","high_mechanical_difference","corrected French fac_body.tex lines1017-1102; authority physical26-27/printed221-222","components/027_I_4_29_applications.tex lines7-143","fac-1_4.tex lines126-213","Codex source-aligned and type-correct; external preserves or introduces three material map/index/domain errors","false","false","3","French Propositions3-5, homotopy formula, Theorem1, and remarks personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N030-R1","FAC-BLIND-N030","30","low_mechanical_difference","corrected French fac_body.tex lines1104-1150; authority physical27-29/printed222-224","components/028_II_1_30_spaces_condition_A.tex lines17-95","fac-2_1.tex lines10-84","Codex source-aligned; external comparator replaces nonempty intersection by nonzero intersection and invokes an unrelated Y_i hypothesis in the final proof","false","false","2","French condition A and minimum form, quasi-compactness and inheritance proof, irreducibility, component uniqueness, and finite-open-cover criterion personally compared; FAC-FR-C0018 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N031-R1","FAC-BLIND-N031","31","medium_mechanical_difference","corrected French fac_body.tex lines1152-1178; authority physical29-30/printed224-225","components/029_II_1_31_locally_closed_affine_subsets.tex lines7-46","fac-2_1.tex lines86-154","Codex source-aligned and discloses the printed quotient grouping; external comparator changes the sheaf in a section ring and reverses a decisive nonmembership","false","false","3","French construction of O_Y, kernel proposition, localization corollary, and proof personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N032-R1","FAC-BLIND-N032","32","low_mechanical_difference","corrected French fac_body.tex lines1180-1192; authority physical30/printed225","components/030_II_1_32_regular_maps.tex lines7-32","fac-2_1.tex lines155-185","Codex and external comparator independently preserve the definition and coordinate criterion for regular maps","false","false","0","French continuity and local-ring pullback conditions, coordinate criterion necessity and sufficiency, polynomial quotient proof, composition, and biregular isomorphism personally compared; FAC-FR-C0022 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N033-R1","FAC-BLIND-N033","33","low_mechanical_difference","corrected French fac_body.tex lines1194-1210; authority physical30-31/printed225-226","components/031_II_1_33_products.tex lines6-21","fac-2_1.tex lines187-226","Codex and external comparator independently preserve product topology, regularity, projections, product maps, and the biregular corollary","false","false","0","French strict topology comparison, locally closed product, paired-map criterion, constant sections, projections, product morphisms, and product-isomorphism corollary personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N034-R1","FAC-BLIND-N034","34","low_mechanical_difference","corrected French fac_body.tex lines1213-1265; authority physical31-33/printed226-228","components/032_II_1_34_algebraic_variety_structure.tex lines7-62","fac-2_1.tex lines228-329","Codex source-aligned; external comparator corrupts two structure-sheaf indices, drops uniqueness from the product corollary, and loses the i index on a chart in the separation test","false","false","4","French variety data and VA axioms, induced structures, prealgebraic charts, gluing proposition, unique product structure, diagonal condition, Weil form, examples, and remarks personally compared; FAC-FR-C0023/C0024 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N035-R1","FAC-BLIND-N035","35","low_mechanical_difference","corrected French fac_body.tex lines1268-1284; authority physical33/printed228","components/033_II_1_35_regular_maps_induced_structures_products.tex lines7-40","fac-2_1.tex lines331-377","Codex source-aligned; external comparator collapses primed chart indices and replaces the final affine chart factor U'_{j'} by V'_{j'}","false","false","2","French regular-map definition, induced subvariety structure, chart restrictions, product-variety separation test, Propositions6-7, and closed-graph isomorphism personally compared; FAC-FR-T0021 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N036-R1","FAC-BLIND-N036","36","medium_mechanical_difference","corrected French fac_body.tex lines1287-1318; authority physical33-35/printed228-230","components/034_II_1_36_rational_function_field.tex lines7-69","fac-2_1.tex lines379-470","Codex source-aligned; external comparator drops a membership symbol in the gluing proof and calls the field of fractions a ring","false","false","2","French topological lemmas, field-of-fractions construction, constant-sheaf proposition, and dimension paragraph personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N037-R1","FAC-BLIND-N037","37","low_mechanical_difference","corrected French fac_body.tex lines1321-1343; authority physical35-36/printed230-231","components/035_II_2_37_sheaf_of_local_rings.tex lines6-45","fac-2_2.tex lines6-60","Codex and external comparator independently preserve the coherence proofs for the affine and general local-ring sheaves","false","false","0","French polynomial-relation proof, ideal sheaf J(V), Noetherian finite generation, quotient-ring argument, extension by zero, and prealgebraic remark personally compared; FAC-FR-T0023/C0027 retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N038-R1","FAC-BLIND-N038","38","low_mechanical_difference","corrected French fac_body.tex lines1345-1351; authority physical36/printed231","components/036_II_2_38_coherent_algebraic_sheaves.tex lines6-20","fac-2_2.tex lines62-84","Codex and external comparator independently preserve algebraic sheaves, homomorphisms, cohomology-module structure, and coherence characterization","false","false","0","French O_V-module definition, stalk linearity and section condition, Gamma-module and K-vector-space structure, local cokernel criterion, and forward references personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N039-R1","FAC-BLIND-N039","39","low_mechanical_difference","corrected French fac_body.tex lines1353-1375; authority physical36-37/printed231-232","components/037_II_2_39_ideal_sheaf_closed_subvariety.tex lines7-27","fac-2_2.tex lines86-140","Codex and external comparator independently preserve the ideal-sheaf coherence, exact sequence, extension-restriction equivalence, and nilpotent-thickening warning","false","false","0","French J(W) construction, finite-type proof, O_W^V quotient exact sequence, Proposition3 both directions, cohomology invariance, affine/projective embedding, and annihilator-power remark personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N040-R1","FAC-BLIND-N040","40","low_mechanical_difference","corrected French fac_body.tex lines1377-1383; authority physical37-38/printed232-233","components/038_II_2_40_sheaves_of_fractional_ideals.tex lines6-11","fac-2_2.tex lines142-165","Codex and external comparator independently preserve the fractional-ideal criterion and relation-sheaf proof","false","false","0","French constant rational-function sheaf, noncoherence in positive dimension, finite-type equivalence, common-denominator reduction, and O_V coherence personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N041-R1","FAC-BLIND-N041","41","low_mechanical_difference","corrected French fac_body.tex lines1386-1398 plus notes1408-1410; authority physical38/printed233","components/039_II_2_41_sheaf_associated_fiber_space.tex lines7-30","fac-2_2.tex lines167-214","Codex source-aligned; external comparator changes the Dolbeault citation volume from 236 to 246","false","false","1","French vector-fiber space, section sheaf, local freeness and converse, p-covectors, Hodge numbers, Betti formula and duality, Weil question, affine-group classification, and both notes personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N042-R1","FAC-BLIND-N042","42","low_mechanical_difference","corrected French fac_body.tex lines1401-1441; authority physical38-39/printed233-234","components/040_II_3_42_affine_varieties.tex lines9-36","fac-2_3.tex lines6-75","Codex source-aligned; external comparator introduces an inconsistent ambient-variety symbol and a malformed membership command","false","false","2","French definitions of affine varieties and affine opens, diagonal proof, principal affine opens, polynomial basis, affine-open basis theorem, corollary, and covering intersections personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N043-R1","FAC-BLIND-N043","43","medium_mechanical_difference","corrected French fac_body.tex lines1444-1486; authority physical39-41/printed234-236","components/041_II_3_43_preliminary_irreducible_varieties.tex lines6-79","fac-2_3.tex lines76-151","Both translations preserve the French mathematical content; the mechanical difference is register, display layout, and enumeration structure","false","false","0","French Propositions4-6, Nullstellensatz arguments, denominator clearing, and local hypotheses personally compared","Codex session lead","2026-08-03","reviewed_pass_both_source_aligned_no_change",""
"FAC-BLIND-REVIEW-N044-R1","FAC-BLIND-N044","44","medium_mechanical_difference","corrected French fac_body.tex lines1489-1546; authority physical41-42/printed236-237","components/042_II_3_44_vanishing_cohomology_groups.tex lines7-99","fac-2_3.tex lines152-223","Codex source-aligned and discloses the printed coboundary-sign defect; external comparator drops the affine hypothesis and contains three formula/set regressions","false","false","4","French Proposition7 proof and its three corollaries personally compared, including each index in the cochain formula","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N045-R1","FAC-BLIND-N045","45","medium_mechanical_difference","corrected French fac_body.tex lines1549-1571; authority physical42-43/printed237-238","components/043_II_3_45_global_sections_affine_varieties.tex lines6-95","fac-2_3.tex lines224-294","Both translations preserve the theorem, extension lemma, gluing argument, and two corollaries; differences are layout and English register","false","false","0","French theorem, local lifting, powers of Q_0, quotient-sheaf corollary, and exactness corollary personally compared","Codex session lead","2026-08-03","reviewed_pass_both_source_aligned_no_change",""
"FAC-BLIND-REVIEW-N046-R1","FAC-BLIND-N046","46","medium_mechanical_difference","corrected French fac_body.tex lines1574-1601; authority physical43-44/printed238-239","components/044_II_3_46_affine_cohomology_coherent_sheaves.tex lines6-75","fac-2_3.tex lines295-341","Codex source-aligned; external comparator changes B to an unrelated or undefined macro in the terminal global-sections map","false","false","1","French Theorem3, exact sequence of complexes, general-case embedding, and both corollaries personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N047-R1","FAC-BLIND-N047","47","low_mechanical_difference","corrected French fac_body.tex lines1604-1633; authority physical44-45/printed239-240","components/045_II_3_47_affine_open_coverings.tex lines10-84","fac-2_3.tex lines342-401","Codex and external comparator independently preserve Proposition8, Theorems4-5, both canonical comparison maps, and the terminal exact sequence","false","false","0","French refinement argument, induced affine coverings, no.29 comparison theorem, H_0-to-H maps, lifting of sections, and long exact sequence personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N048-R1","FAC-BLIND-N048","48","low_mechanical_difference","corrected French fac_body.tex lines1635-1680; authority physical45-46/printed240-241","components/046_II_4_48_sheaf_associated_to_module.tex lines10-111","fac-2_4.tex lines6-77","Codex source-aligned; external comparator replaces M by A in the localization tensor isomorphism","false","false","1","French coordinate-ring construction, A(M)=O tensor_A M functor, localization exactness, fraction-module identification, faithfulness, and finite-generation coherence proof personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N049-R1","FAC-BLIND-N049","49","medium_mechanical_difference","corrected French fac_body.tex lines1682-1734; authority physical46-47/printed241-242","components/047_II_4_49_module_associated_to_sheaf.tex lines8-111","fac-2_4.tex lines78-148","Codex source-aligned; external comparator omits coherence from the exact-sequence hypothesis and misplaces a section value in F(X) instead of the stalk F_x","false","false","2","French functorial construction, Theorem1, free presentation, diagram, and beta morphism personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N050-R1","FAC-BLIND-N050","50","low_mechanical_difference","corrected French fac_body.tex lines1736-1764; authority physical47-48/printed242-243","components/048_II_4_50_projective_modules_vector_fiber_spaces.tex lines9-69","fac-2_4.tex lines149-190","Codex source-aligned; external comparator misplaces the supremum index and leaves the bundle-to-module Gamma expression syntactically unclosed","false","false","2","French projective-module criterion, local freeness, homological dimension formula, locally free sheaf equivalences, bundle-module correspondence, and historically dated open question personally compared; external vector-bundle terminology rejected as an unnecessary modernization of Serre's explicit fiber-space register","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N051-R1","FAC-BLIND-N051","51","low_mechanical_difference","corrected French fac_body.tex lines1767-1796; authority physical48-49/printed243-244","components/049_III_1_51_projective_space_notation.tex lines19-99","fac-3_1.tex lines6-62","Codex source-aligned; external comparator calls A_U a sheaf rather than a ring and changes psi_i to phi_i before reverting to psi_i","false","false","2","French scalar action, projective quotient, affine charts, quotient topology, invariant degree-zero rings, structure sheaf, rational-function criterion, variety axioms, and projective-variety reduction personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N052-R1","FAC-BLIND-N052","52","medium_mechanical_difference","corrected French fac_body.tex lines1798-1828; authority physical49-50/printed244-245","components/050_III_1_52_cohomology_projective_subvarieties.tex lines7-139","fac-3_1.tex lines64-150","Codex source-aligned; external comparator reverses the quantifier at n=0 and contains four projective-space/ideal/negation regressions","false","false","5","French Propositions2-3, both lemmas, Veronese construction, support covering, and alternating cochain bound personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N053-R1","FAC-BLIND-N053","53","medium_mechanical_difference","corrected French fac_body.tex lines1830-1857; authority physical50-51/printed245-246","components/051_III_1_53_cohomology_irreducible_algebraic_curves.tex lines7-73","fac-3_1.tex lines151-196","Codex source-aligned; external comparator changes the superscript F to an undefined p in the defining open set","false","false","1","French finite-cover construction, refinement lemma, simplex complex, proposition, and remark personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
