concept_key,preferred_label,strata,priority_band,priority_score,priority_reasons,union_lane_count,lanes_present,c2_stratum,c2_missing_lanes,c2_context_covered,ws_west_status,ws_south_status,weighted_action,weighted_sensitivity,current_isv,top_by_scheme,risk_flags,aggregate_source_weight,main_sources,de_labels,isv_labels,uk_labels,ru_labels
commutative ring,commutative ring,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
complement,complement,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:3330"", ""fr"": ""french/0605499v2/indice1.tex:33""}",,,,
complete form sequence,complete form sequence,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Gesamtformenreihe; gesamtformenreihe,cěly ręd form; obći ręd form,повний ряд форм,полный ряд форм
complete system,complete system,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
completely reducible,completely reducible,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0,1.1,,vollstaendig reduzibel; vollständig reduzibel,popolno reducibilny / popolna reducibilnost,цілком звідний; цілком звідний / цілковита звідність,вполне приводимый; вполне приводимый / полная приводимость
congruence,congruence,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:5909"", ""fr"": ""french/math_0611584v2/fast-xxx2.tex:189""}",kongruenz; kongruenzen,,,
contravariant,contravariant,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
conversely,conversely,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,"pan_romance:{""es"": ""spanish/2307.03598v1/Paper_D-modulos_CNMXXII.tex:451"", ""fr"": ""french/1104.3350v3/CTK230712.tex:1365""}",,,,
coprime ideals,coprime ideals,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:10170"", ""fr"": ""cum_fr_P19s12.tex:4243""}",,,,
corollary,corollary,proof_grammar,B_backfill_or_variant,38,W/S competitor-only one branch; variant/doublet note; C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,proof_grammar,pan_romance; interslavic,True,competitor_only,support+competitor,variant_or_doublet_note,stable,korolar?,"{""dependence_pd"": ""korolar?"", ""equal_branch"": ""korolar?"", ""equal_splits"": ""korolar?"", ""population_proxy"": ""korolar?""}",C2_core; C2_missing_lanes; F10-1; WS_competitor_only_one_branch; lane_status_review_or_gap; variant_or_doublet_note,4.55,bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; polish_mimuw_algebra2_galois.txt; polish_mimuw_noncommutative_body.txt,Dedekindsche Folgerung I/II; Folgerung; folgerung; zusatz,Dedekindov poslědok I/II; poslědok,наслідок; наслідок Dedekind I/II,следствие; следствие Dedekind I/II
covariant,covariant,noether_corpus,C_core_fill,24,C2 core; C2 missing 1 lanes; C2 context pending; multi-lane core; Noether/historical stratum,4,arabic_farsi_persianate; controlled_arabic; interslavic; malay_indonesian,noether_corpus,pan_romance,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,2.7,interslavic:noether_paper02_section19_terms.json; malay_indonesian:UM terminology covariant row,als Kovariante betrachtet; als kovariante betrachtet; kovariante; kovarianten; volle Überschiebungen über Kovarianten von System III,polne transvekcije nad kovariantami sistema III; razmatrivana kako kovariant,повні трансвекції над коваріантами системи III; розглянута як коваріант,полные трансвекции над ковариантами системы III; рассматриваемая как ковариант
crossed product,crossed product,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,verschraenktes produkt; verschränktes Produkt; verschränktes produkt,skrěženy produkt,схрещений добуток,скрещенное произведение
crossed representation,crossed representation,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,verschraenkte darstellung; verschränkte Darstellung; verschränkte darstellung,skrěženo predstavjenje,схрещене представлення,скрещенное представление
decomposition,decomposition,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; interslavic; pan_romance,curriculum_algebra,controlled_arabic; malay_indonesian,True,,,,,,,C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,3.25,"interslavic:noether_paper02_section19_terms.json; pan_romance:{""es"": ""cum_es.tex:9054"", ""fr"": ""french/0605499v2/indice1.tex:756""}",Peircesche Zerlegung; zerlegung; zerlegungen,Peirceovo razloženje,розклад Пірса,разложение Пирса
decomposition identity,decomposition identity,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Zerlegungsidentität; dualististische Zerlegungsidentität; zerlegungsidentitaet; zerlegungsidentität,dualistična razkladna identičnost; razkladna identičnost,,
dedekind mertens theorem,Dedekind-Mertens theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0,1.1,,Dedekind-Mertensscher Satz; dedekind-mertensscher satz,teorem Dedekinda--Mertensa,теорема Дедекінда--Мертенса,теорема Дедекинда--Мертенса
definition,definition,proof_grammar,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,proof_grammar,interslavic,True,support,support,confirm_current,stable,definicija,"{""dependence_pd"": ""definicija"", ""equal_branch"": ""definicija"", ""equal_splits"": ""definicija"", ""population_proxy"": ""definicija""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:Neliti/UIN definitions; UKM mentakrif; pan_romance:{""es"": ""cum_es.tex:701"", ""fr"": ""french/0605499v2/indice1.tex:50""}",definition; definitionen,,,
degree,degree,curriculum_algebra,D_background,0,,1,malay_indonesian,,,,,,,,,,F10-0; F10-1,1.3,malay_indonesian:Indonesian algebra; Malay terminology/course rows,Grad eines Primideals; grad; reduzierter Grad; reduzierter Grad / Exponent,redukovany stepen; redukovany stepenj / eksponenta; stepenj prostogo ideala,зведений степінь; редукований степінь / експонента; степінь простого ідеалу,приведенная степень; редуцированная степень / экспонента; степень простого идеала
determinant,determinant,curriculum_algebra,C_core_fill,22,variant/doublet note; C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; interslavic; malay_indonesian,curriculum_algebra,pan_romance,True,support+competitor,support,variant_or_doublet_note,stable,determinanta,"{""dependence_pd"": ""determinanta"", ""equal_branch"": ""determinanta"", ""equal_splits"": ""determinanta"", ""population_proxy"": ""determinanta""}",C2_core; C2_missing_lanes; lane_status_review_or_gap; variant_or_doublet_note,3.5,croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_telesa_pole_note.txt; interslavic:noether_paper02_section01_terms.json; noether_paper02_section03_terms.json; noether_paper02_section19_terms.json; malay_indonesian:UM terminology determinant rows; polish_mimuw_noncommutative_body.txt; polish_uj_algebra1_noetherian.txt; slovak_abstraktna_algebra.txt,determinante; determinanten,,,
diagonal entry,diagonal entry,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Diagonalglied; diagonalglied,diagonalny člen,діагональний член,диагональный член
dimension,dimension,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,support+competitor,support,confirm_current,stable,dimenzija,"{""dependence_pd"": ""dimenzija"", ""equal_branch"": ""dimenzija"", ""equal_splits"": ""dimenzija"", ""population_proxy"": ""dimenzija""}",C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,4.4,croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UM/UPM terminology rows; polish_mimuw_algebra2_galois.txt; polish_mimuw_left_ideals_idempotents.txt; polish_mimuw_noncommutative_body.txt,Arithmetische Fassung des Dimensionsbegriffes; Dimension schlechthin; arithmetische fassung des dimensionsbegriffes; dimension; dimensionsbegriff,Aritmetična formulacija pojma dimenzije; dimenzija v sobstvenom smyslu,Арифметичне формулювання поняття розмірності; розмірність у власному сенсі,Арифметическая формулировка понятия размерности; размерность в собственном смысле
direct factor,direct factor,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,direkt unzerlegbare Faktoren; direkt unzerlegbare faktoren; direkter Faktor; direkter faktor,direktno nerazložime faktory; direktny faktor,прямий фактор; прямо нерозкладні фактори,прямо неразложимые факторы; прямой фактор
direct product,direct product,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
direct sum,direct sum,curriculum_algebra,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,True,,,,,,,F10-0; F10-1; lane_status_review_or_gap,2.25,,direkte Summe / direkter Summand; direkte Summenzerlegung in Rechtsideale; direkte summe; direkte summe / direkter summand; direkte summenzerlegung in rechtsideale; direkter Summand; direkter summand,direktna suma / direktny sumand; direktno razloženje na prave idealy; direktny sumand,пряма сума / прямий доданок; прямий доданок; прямий розклад на праві ідеали,прямая сумма / прямое слагаемое; прямое разложение на правые идеалы; прямое слагаемое
discriminant,discriminant,curriculum_algebra,D_background,0,,0,,,,,,,,,,,,0,,diskriminante,,,
distributive,distributive,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:Indonesian algebra; Malay terminology,,,,
divisibility,divisibility,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:4438"", ""fr"": ""french/1104.3350v3/CTK230712.tex:394""}",,,,
division algebra,division algebra,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Divisionsalgebra; zugeordnete Divisionsalgebra; divisionsalgebra; divisionsalgebra; zugeordnete divisionsalgebra; normale Divisionsalgebra,dělitvena algebra; prirěđena dělitvena algebra; normalna dělitvena algebra,алгебра з діленням; приєднана алгебра з діленням; нормальна алгебра з діленням,алгебра с делением; присоединенная алгебра с делением; нормальная алгебра с делением
division ring,division ring,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:14606"", ""fr"": ""french/math_0507070v1/jlctbbki27juin.tex:218""}",,,,
division ring / body,division ring / body,,D_background,0,,0,,,,,support+competitor,support+competitor,confirm_current,stable,tělo,"{""dependence_pd"": ""tělo"", ""equal_branch"": ""tělo"", ""equal_splits"": ""tělo"", ""population_proxy"": ""tělo""}",,1.15,bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt,,,,
domain,domain,,D_background,0,,2,interslavic; pan_romance,,,,,,,,,,,0.4,"interslavic:noether_paper02_section06_terms.json; pan_romance:{""es"": ""cum_es.tex:291"", ""fr"": ""cum_fr_P19s12.tex:198""}",,,,
double reduction,double reduction,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1,1.1,,doppelte Reduktion; doppelte reduktion; durch doppelte Reduktion,dvojna redukcija; črez dvojnu redukciju,подвійна редукція,двойная редукция
eigenvalue,eigenvalue,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:UM terminology rows,,,,
element,element,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,support+competitor,support,confirm_current,stable,element,"{""dependence_pd"": ""element"", ""equal_branch"": ""element"", ""equal_splits"": ""element"", ""population_proxy"": ""element""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.3,bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; malay_indonesian:Indonesian algebra definitions; Malay terminology,,,,
elementary divisor,elementary divisor,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,pan_romance,noether_corpus,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; F10-0; F10-1,2.1,"pan_romance:{""es"": ""cum_es.tex:10174"", ""fr"": ""translations/paper22/french/v001/Noether_Paper22_Intro_Section01_French_v001.tex:69""}",Elementarteilerform; Elementarteilerform / Norm; elementarteiler; elementarteilerform; elementarteilerform / norm,forma elementarnyh děliteljev; forma elementarnyh děliteljev / norma,форма елементарних дільників; форма елементарних дільників / норма,форма элементарных делителей; форма элементарных делителей / норма
elimination,elimination,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0,1.1,,Elimination; elimination,eliminacija,елімінація,исключение; элиминация
equation,equation,proof_grammar,C_core_fill,12,C2 core; C2 missing 3 lanes,2,interslavic; malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate,True,,,,,,,C2_core; C2_missing_lanes,1.95,interslavic:noether_paper02_section06_terms.json; malay_indonesian:UPM/UKM course rows,gleichung; gleichungen,,,
equivalence,equivalence,,D_background,0,,1,controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.2,,,,,
example,example,proof_grammar,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,proof_grammar,pan_romance; interslavic,True,support,support,confirm_current,stable,priklad?,"{""dependence_pd"": ""priklad?"", ""equal_branch"": ""priklad?"", ""equal_splits"": ""priklad?"", ""population_proxy"": ""priklad?""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.3,bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; malay_indonesian:Indonesian and Malay course examples,,,,
exercise,exercise,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,controlled_arabic,proof_grammar,pan_romance; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,1.75,,,,,
exists,exists,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,"pan_romance:{""es"": ""cum_es.tex:293"", ""fr"": ""cum_fr_P19s12.tex:200""}",,,,
extension,extension,,B_backfill_or_variant,28,W/S competitor-only one branch; variant/doublet note,1,pan_romance,,,,competitor_only,support+competitor,variant_or_doublet_note,weight_sensitive,razširjenje?,"{""dependence_pd"": ""W/S extension-family alternatives"", ""equal_branch"": ""tie: razširjenje? / W/S extension-family alternatives"", ""equal_splits"": ""tie: razširjenje? / W/S extension-family alternatives"", ""population_proxy"": ""razširjenje?""}",WS_competitor_only_one_branch; variant_or_doublet_note,1.5,"croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; pan_romance:{""es"": ""cum_es.tex:12742"", ""fr"": ""cum_fr_P19s12.tex:3205""}; polish_impan_algebra_lecture3.txt",,,,
extension of the first kind,extension of the first kind,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1,1.1,,Erweiterung erster Art; Erweiterung erster Art / zweiter Art; Funktion erster Art / Körper erster Art; erster Art; erster art; erweiterung erster art; erweiterung erster art / zweiter art,funkcija prvogo roda / polje prvogo roda; prvogo roda; razširenje prvogo roda; razširjenje prvogo roda / vtorogo roda,першого роду; розширення першого роду; розширення першого роду / другого роду; функція першого роду / поле першого роду,первого рода; расширение первого рода; расширение первого рода / второго рода; функция первого рода / поле первого рода
extension of the ground field,extension of the ground field,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Erweiterung des Grundkörpers; erweiterung des grundkoerpers; erweiterung des grundkörpers,razširenje osnovnogo těla,розширення основного поля,расширение основного поля
