id,language_group,language,title,role,local_file,bytes,sha256_manifest,sha256_actual,sha256_match,pages,extracted_chars,extracted_words_rough
polish_mimuw_algebra2_galois,West Slavic,Polish,Algebra 2,Galois/splitting-field register control,polish/polish_mimuw_algebra2_galois.pdf,218544,D4E871500B4A874E0485EBE8CF29A7DAA2ABB12777C3DC4B55C129CD093D95F6,d4e871500b4a874e0485ebe8cf29a7daa2abb12777c3dc4b55c129cd093d95f6,True,48,85886,12197
polish_mimuw_left_ideals_idempotents,West Slavic,Polish,Polgrupa klas sprzezonosci idealow lewostronnych algebry lacznej,left-ideal/idempotent associative-algebra control,polish/polish_mimuw_left_ideals_idempotents.pdf,602833,392464B73274B97C2B0C751608AB256EBAC7BCA2BF9C6F86772BE2CD08E1CE9F,392464b73274b97c2b0c751608ab256ebac7bca2bf9c6f86772be2cd08e1ce9f,True,23,12366,1390
slovak_abstraktna_algebra,West Slavic,Slovak,Abstraktna algebra ucebnica,Slovak okruh/teleso/grupa axis control,slovak/slovak_abstraktna_algebra.pdf,858508,28F59C88C8DA82BB67B66B326767FF845A36999E72C5B92A19FDBD240FF7C6C4,28f59c88c8da82bb67b66b326767ff845a36999e72c5b92a19fdbd240ff7c6c4,True,70,176995,27166
slovenian_uvod_v_algebro,South Slavic,Slovenian,Uvod v algebro,Slovenian kolobar/polje/algebra/homomorphism control,slovenian/slovenian_uvod_v_algebro.pdf,1267170,7AA2535DF2CD7E8F30E78D01715974D37C25D39D5CAA0456151DE813C13D6821,7aa2535df2cd7e8f30e78d01715974d37c25d39d5caa0456151de813c13d6821,True,262,615045,95448
slovenian_komutativna_algebra_noetherian,South Slavic,Slovenian,Komutativna algebra 2004/05 zakljucne naloge,Noetherian kolobar/modul control,slovenian/slovenian_komutativna_algebra_noetherian.pdf,99227,E954B49C9DD9BC572094B865178F8AD95C117E787C7020D3A2B00AD87772DE53,e954b49c9dd9bc572094b865178f8ad95c117e787c7020d3a2b00ad87772de53,True,3,7110,1169
serbian_belgrade_algebra_i_lecture9,South Slavic,Serbian,Algebra I predavanja 9,Serbian Cyrillic prsten/polje control,serbian/serbian_belgrade_algebra_i_lecture9.pdf,153129,D9387411DF94C801D4452D15E7FCF17293B692BA29338449D138D6CA304AADE1,d9387411df94c801d4452d15e7fcf17293b692ba29338449d138d6ca304aade1,True,17,35404,6102
croatian_mathhr_algebra_structures_2024,South Slavic,Croatian,Algebarske strukture,Croatian prsten/polje/tijelo axis control,croatian/croatian_mathhr_algebra_structures_2024.pdf,793933,50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124,50a255d413c5411f02a4ab6da487cf1a5ccf2af0b933e89307fd036e34281124,True,116,298953,44243
croatian_pmf_split_prsteni,South Slavic,Croatian,Prsteni,Croatian ring/polynomial register control,croatian/croatian_pmf_split_prsteni.pdf,391214,6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43,6f0b9c2563c86d99a16601adb01b4280fdc30707cf2ec407a18e1383d6370e43,True,101,67719,8709
bulgarian_sofia_rings_lecture7,South Slavic,Bulgarian,Prasteni osnovni ponyatiya,Bulgarian ring/field Cyrillic register control,bulgarian/bulgarian_sofia_rings_lecture7.pdf,163318,D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503,d5f91dcc5eaf4dfd1fe0949891a93117510c0d82e894e1ff254c4a78853ab503,True,4,5700,1000
bulgarian_sofia_noncommutative_body_problem,South Slavic,Bulgarian,Sample problems on rings Applied Math,Bulgarian noncommutative body/quaternion control,bulgarian/bulgarian_sofia_noncommutative_body_problem.pdf,233234,9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43,9377ac5f2f3594ad2f0a7b014c72562d8e0e40007ba06e72b18d3e2b7c941e43,True,5,12851,1898
