printed_page	authority_pdf_page	layer	before	after	evidence	disposition
70;71	87;88	FR_EN_PAGE_SEAM	No source page break at 8n+4.“ | Il y a un troisième théorème	8n+4.“ | EXPLICIT SOURCE PAGE BREAK | Il y a un troisième théorème	full PDF 87 = scope leaf 8: qa/source/p070_authority.png; full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Last/first source lines; English breaks at corresponding argument position	SOURCE_PAGE_SEAM_RESTORED
71;72	88;89	FR_EN_PAGE_SEAM	No source page break at relation identique (2^ν/p)=(2^ν/p), | on aura ce résultat: (α)	relation identique (2^ν/p)=(2^ν/p), | EXPLICIT SOURCE PAGE BREAK | on aura ce résultat: (α)	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; full PDF 89 = scope leaf 10: qa/source/p072_authority.png; Last/first source lines; English breaks at corresponding argument position	SOURCE_PAGE_SEAM_RESTORED
72;73	89;90	FR_EN_PAGE_SEAM	No source page break at b étant de la forme 4n+3: | (g/b)=1, …; (h/b)=−1, …	b étant de la forme 4n+3: | EXPLICIT SOURCE PAGE BREAK | (g/b)=1, …; (h/b)=−1, …	full PDF 89 = scope leaf 10: qa/source/p072_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; Last/first source lines; English breaks at corresponding argument position	SOURCE_PAGE_SEAM_RESTORED
73;74	90;91	FR_EN_PAGE_SEAM	No source page break at En substituant la valeur qu’elle donne | pour u^((p−1)/2) dans la congruence	En substituant la valeur qu’elle donne | EXPLICIT SOURCE PAGE BREAK | pour u^((p−1)/2) dans la congruence	full PDF 90 = scope leaf 11: qa/source/p073_authority.png; full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Last/first source lines; English breaks at corresponding argument position	SOURCE_PAGE_SEAM_RESTORED
66;67;69;70;71;74	83;84;86;87;88;91	FR_QUOTATION	»…« in seven quoted propositions	„…“ in all seven propositions (two on p66, one on each other listed page)	full PDF 83 = scope leaf 4: qa/source/p066_authority.png; full PDF 84 = scope leaf 5: qa/source/p067_authority.png; full PDF 86 = scope leaf 7: qa/source/p069_authority.png; full PDF 87 = scope leaf 8: qa/source/p070_authority.png; full PDF 88 = scope leaf 9: qa/source/p071_authority.png; full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Opening and closing quotation marks on authority pages	CORRECTED_FROM_ATTACHED_AUTHORITY
66;67;69;73;74	83;84;86;90;91	FR_EN_NOTATION	\pmod p / \pmod k, printed by R27 without the source’s dot	(mod.p) / (mod.k); 11 occurrences: p66×3, p67×1, p69×3, p73×3, p74×1	full PDF 83 = scope leaf 4: qa/source/p066_authority.png; full PDF 84 = scope leaf 5: qa/source/p067_authority.png; full PDF 86 = scope leaf 7: qa/source/p069_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Every modular-congruence occurrence on the listed authority pages	CORRECTED_FROM_ATTACHED_AUTHORITY
67;68;69;71;72;73	84;85;86;88;89;90	FR_EN_NOTATION	Centered \cdots in written prime-factor products	Baseline \ldots in u=2^νkk′k″… and t=gg′g″…×hh′h″… and their Legendre-symbol products	full PDF 84 = scope leaf 5: qa/source/p067_authority.png; full PDF 85 = scope leaf 6: qa/source/p068_authority.png; full PDF 86 = scope leaf 7: qa/source/p069_authority.png; full PDF 88 = scope leaf 9: qa/source/p071_authority.png; full PDF 89 = scope leaf 10: qa/source/p072_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; Printed factor ellipses; repeated factors retained, not replaced by product notation	CORRECTED_FROM_ATTACHED_AUTHORITY
66;67;68;73	83;84;85;90	FR_EN_DISPLAY_MEMBERSHIP	R27 separate displays for A-congruences; p=t²+2u²; (p/k)=1; opening (k/p)=1; final (u/p) and u-congruence	These relations restored to the source prose lines; subsequent original displays retained	full PDF 83 = scope leaf 4: qa/source/p066_authority.png; full PDF 84 = scope leaf 5: qa/source/p067_authority.png; full PDF 85 = scope leaf 6: qa/source/p068_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; p66 three in-text congruences; p67 two in-text relations; p68 opening; p73 final prose	CORRECTED_FROM_ATTACHED_AUTHORITY
68	85	FR_EN_DISPLAY_MEMBERSHIP	Eight separately delimited one-row displays; FR also contains a spurious row break after (2p/g)=1	Four two-row arrays: (2p/g_i),(2p/h_i); (2/g_i),(2/h_i); (p/g_i),(p/h_i); (g_i/p),(h_i/p); all written entries preserved	full PDF 85 = scope leaf 6: qa/source/p068_authority.png; Four paired source arrays, including all primes, signs, equalities and etc.	CORRECTED_FROM_ATTACHED_AUTHORITY
72;73	89;90	FR_EN_DISPLAY_MEMBERSHIP	Separate one-row displays for corresponding g- and h-relations	Three paired arrays on p72, followed by the paired reciprocity array at the head of p73	full PDF 89 = scope leaf 10: qa/source/p072_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; Source grouping of all six entries in each pair	CORRECTED_FROM_ATTACHED_AUTHORITY
70;74	87;91	FR_EN_DISPLAY_MEMBERSHIP	Two successive displays for the four E,F,K,L factor identities	One two-by-two displayed block per source page, preserving row/column order	full PDF 87 = scope leaf 8: qa/source/p070_authority.png; full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Four-identity blocks near bottom of each source page	CORRECTED_FROM_ATTACHED_AUTHORITY
72;73	89;90	FR_EN_EQUATION_LABELS	(α), (β), (β′), (γ) placed in prose before a separate display	Same labels placed at the left of their corresponding equations	full PDF 89 = scope leaf 10: qa/source/p072_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; p72 labels α, β, β′; p73 label γ	CORRECTED_FROM_ATTACHED_AUTHORITY
68	85	FR_TEXT	en vertu des théorèmes connus	en vertu de théorèmes connus	full PDF 85 = scope leaf 6: qa/source/p068_authority.png; Line immediately before the (2/g_i),(2/h_i) array	CORRECTED_FROM_ATTACHED_AUTHORITY
69	86	FR_EN_TEXT	D’où / Hence	d’où / hence	full PDF 86 = scope leaf 7: qa/source/p069_authority.png; First prose line, continuing preceding page	CORRECTED_FROM_ATTACHED_AUTHORITY
70	87	FR_PUNCTUATION	de l’une de celles-ci 8n+1	de l’une de celles-ci: 8n+1	full PDF 87 = scope leaf 8: qa/source/p070_authority.png; Le produit paragraph, after the parenthesis about φ′ and u′	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_EN_MATH	r=ρ²∓1	r=bσ²±1	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Complete author footnote; detail qa/source/p071_footnote_detail.png	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_EN_MATH	(rt+bsu)²	(rt±bsu)²	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Footnote norm identity, first binomial; qa/source/p071_footnote_detail.png	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_EN_MATH	−b(ru+st)²	−b(ru±st)²	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Footnote norm identity, second binomial; qa/source/p071_footnote_detail.png	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_EN_NOTE_ANCHOR	Automatic numeric footnote marker	Printed *) marker after impair / odd, before full stop	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Body anchor and corresponding source footnote	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_PUNCTUATION	impair\footnote{…}). Faisons	impair\sourcefootnote{…}. Faisons	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Source body has no closing parenthesis after its footnote anchor	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	FR_EN_NOTE_TYPOGRAPHY	Théorie des Nombres / Theory of Numbers in roman type	Théorie des Nombres / Theory of Numbers in italics	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Footnote bibliographical title; qa/source/p071_footnote_detail.png	CORRECTED_FROM_ATTACHED_AUTHORITY
71	88	EN_CITATION	nos. 44, 45	no. 44. 45	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Printed footnote citation, no.44.45; qa/source/p071_footnote_detail.png	SOURCE_CITATION_PUNCTUATION_RESTORED
73	90	EN_MATH_PROSE	the number ν is equal to 1	the number ν is =1 (equality sign retained as mathematical token)	full PDF 90 = scope leaf 11: qa/source/p073_authority.png; Source: le nombre ν est =1	PRINTED_RELATION_RESTORED
66	83	EN_PUNCTUATION	…±1 (mod p), and…; …residue with respect to p; in the second…	…±1 (mod.p) and…; …residue with respect to p, in the second…	full PDF 83 = scope leaf 4: qa/source/p066_authority.png; Source congruence punctuation and quoted two-case sentence	SOURCE_PUNCTUATION_ALIGNMENT
68	85	EN_PUNCTUATION	one of these two forms, …; h,h′,h″,… contained in these two forms, …	one of these two forms: …; h,h′,h″,…, contained in these two forms: …	full PDF 85 = scope leaf 6: qa/source/p068_authority.png; Both class definitions and their printed colons	SOURCE_PUNCTUATION_ALIGNMENT
69	86	EN_PUNCTUATION	on multiplying,; these forms,; one of these,; theorem …8n+7, or…	on multiplying:; these forms:; one of these:; theorem …8n+7 or…	full PDF 86 = scope leaf 7: qa/source/p069_authority.png; Opening product, residue-class explanation and quoted theorem	SOURCE_PUNCTUATION_ALIGNMENT
70	87	EN_PUNCTUATION	We shall thus have [no colon]; after transposing,; changes it into [no colon]; one of these forms,	We shall thus have:; after transposing:; changes it into:; one of these forms:	full PDF 87 = scope leaf 8: qa/source/p070_authority.png; Equation introductions and three residue-class introductions	SOURCE_PUNCTUATION_ALIGNMENT
71	88	EN_PUNCTUATION	or of one of these, 8n+5, 8n+7	or of one of these: 8n+5, 8n+7	full PDF 88 = scope leaf 9: qa/source/p071_authority.png; Third theorem at top of page	SOURCE_PUNCTUATION_ALIGNMENT
72	89	EN_PUNCTUATION	one has the result [no colon]; are such that [no colon, twice]; that is,; gives/obtains/will have [no colons]; 4n+3,	one has the result:; are such that: [twice]; that is:; gives/obtains/will have:; 4n+3:	full PDF 89 = scope leaf 10: qa/source/p072_authority.png; Introductions to all nine mathematical displays/continuations on this source leaf	SOURCE_PUNCTUATION_ALIGNMENT
73	90	EN_PUNCTUATION	give [no colon]; one always has [no colon]; one obtains [no colon]	give:; one always has:; one obtains:	full PDF 90 = scope leaf 11: qa/source/p073_authority.png; Introductions to product, γ, and raised congruence	SOURCE_PUNCTUATION_ALIGNMENT
74	91	EN_PUNCTUATION	one has [no colon, twice]; after transposing,; changes it into [no colon]; the equations [no colon]	one has: [twice]; after transposing:; changes it into:; the equations:	full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Initial congruence and section 4 equation introductions	SOURCE_PUNCTUATION_ALIGNMENT
69	86	EN_TRANSLATION	Therefore; Let us return	Thus one has:; Return	full PDF 86 = scope leaf 7: qa/source/p069_authority.png; On a donc:; Reprenons l’équation	FULLER_SOURCE_CORRESPONDENCE; NO_SEMANTIC_ERROR_ASSERTED
70	87	EN_TRANSLATION	We therefore have	We therefore have the equations:	full PDF 87 = scope leaf 8: qa/source/p070_authority.png; Nous avons donc les équations:	OMITTED_NOUN_RESTORED
68;69;72;73;74	85;86;89;90;91	FR_EN_PARAGRAPHS	Free-flow layout does not retain source paragraph continuation across the reconstructed page seams	Continuation blocks remain unindented; actual new paragraphs retained separately; p73 Si p… stays in its source paragraph	full PDF 85 = scope leaf 6: qa/source/p068_authority.png; full PDF 86 = scope leaf 7: qa/source/p069_authority.png; full PDF 89 = scope leaf 10: qa/source/p072_authority.png; full PDF 90 = scope leaf 11: qa/source/p073_authority.png; full PDF 91 = scope leaf 12: qa/source/p074_authority.png; Printed paragraph starts and exact page seams; see qa/UNIT_ALIGNMENT.tsv	SOURCE_PARAGRAPH_STRUCTURE_RESTORED
75	92	FR_EN_STRUCTURE	R28 added display title and ‘1er Mémoire. Suite: pages imprimées 75–80.’ / corresponding English continuation title	No added title; p75 continues section 4 directly with the E/F coprimality proof, under the printed running head	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Top of p75: running head, folio 75, then Il est très facile; no memoir title here	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76;77;78;79;80	92;93;94;95;96;97	FR_EN_TOPOLOGY	R28 free-flow units build to 5 French / 5 English reader pages; no source-bounded folios or running heads	Six source-bounded page records p075–p080 in each edition, with folios 75–80 and alternating source running heads; cumulative readers retain p065–p074 before them	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; All six full leaves; English running heads translated	SOURCE_PAGE_BOUNDARIES_RESTORED
75	92	FR_EN_FURNITURE	No source signature in R28 editable author readers	Printed signature 10* retained at the foot of p75	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Bottom signature below the delta-prime display	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76	92;93	FR_EN_PAGE_SEAM	R28 continuous flow at (δ′) t±ψ≡0 (mod.b), ((t∓ψ)/b)=1. | Il résulte du théorème énoncé	(δ′) t±ψ≡0 (mod.b), ((t∓ψ)/b)=1. | EXPLICIT SOURCE PAGE BREAK | Il résulte du théorème énoncé	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
76;77	93;94	FR_EN_PAGE_SEAM	R28 continuous flow at (t/b)=1 ou (t/b)=−1. | Il suffira de chercher un nombre	(t/b)=1 ou (t/b)=−1. | EXPLICIT SOURCE PAGE BREAK | Il suffira de chercher un nombre	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
77;78	94;95	FR_EN_PAGE_SEAM	R28 continuous flow at pour toutes les valeurs | de b, telles que	pour toutes les valeurs | EXPLICIT SOURCE PAGE BREAK | de b, telles que	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
78;79	95;96	FR_EN_PAGE_SEAM	R28 continuous flow at etc. | 5. / Désignons par a	etc. | EXPLICIT SOURCE PAGE BREAK | 5. / Désignons par a	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
79;80	96;97	FR_EN_PAGE_SEAM	R28 continuous flow at les nombres premiers h, | h′, h″, … sont en nombre pair ou impair.	les nombres premiers h, | EXPLICIT SOURCE PAGE BREAK | h′, h″, … sont en nombre pair ou impair.	full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
75;79;80	92;96;97	FR_EN_EQUATION_LABELS	(δ), (δ′), (ε), (ζ) inserted as ordinary material at the left of a centred display	Each label aligned at the left display margin; epsilon/zeta braces and every array entry retained	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; p75 delta and delta-prime; p79 epsilon brace; p80 zeta brace	CORRECTED_FROM_ATTACHED_AUTHORITY
75	92	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 1 occurrence(s)	(mod.b), with printed abbreviation point, at all 1 occurrence(s)	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
76	93	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 4 occurrence(s)	(mod.b), with printed abbreviation point, at all 4 occurrence(s)	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 2 occurrence(s)	(mod.b), with printed abbreviation point, at all 2 occurrence(s)	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 1 occurrence(s)	(mod.b), with printed abbreviation point, at all 1 occurrence(s)	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	FR_QUOTATION_MARKS	»c désignant … soit résoluble.«	„c désignant … soit résoluble.“	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Quoted auxiliary theorem in the lower part of the leaf	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	FR_QUOTATION_MARKS	»…« around Theorem I and the two particular theorems	Printed „…“ around all three statements	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Theorem I and the p=12n+1 / p=28n+1,28n+9,28n+25 quoted statements	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	FR_EN_HEADING	R28 small capitals for Théorème I. / Theorem I.	Source mixed-case, letter-spaced centred heading; English title translated without small-cap normalization	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Centred Théorème I. heading	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76;77;78;79;80	92;93;94;95;96;97	FR_EN_PARAGRAPH_STRUCTURE	R28 generic paragraph spacing/indentation, detached from physical source continuations	Unindented continuing blocks on pp75–76 and at heads of pp77–78/80; source paragraph starts retained, including quoted statements and section 5	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Visible source paragraph indentation and the two cross-page text splits; see qa/s02/UNIT_ALIGNMENT.tsv	SOURCE_PARAGRAPH_STRUCTURE_RESTORED
75;78	92;95	EN_BIBLIOGRAPHICAL_TITLE	Untranslated italic Théorie des Nombres in the English R28 text	Italic Theory of Numbers, consistent with accepted S01 translation treatment	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; p75 reciprocal-law citation and p78 table reference; French titles remain unchanged	SOURCE_TITLE_TRANSLATED
75	92	EN_TEXT_AND_PUNCTUATION	relatively prime); and it is known, by a known theorem that follows easily … (… no. 197), that every	relatively prime) and one knows by a known theorem that follows easily … (… no. 197) that every	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; French: (où … sont premiers entre eux) et l’on sait par un théorème connu qui se déduit facilement … (… no. 197) que tout	FULL_SOURCE_CORRESPONDENCE_RESTORED
75	92	EN_PUNCTUATION	odd), and suppose; common divisor; and since; with respect to b; so that	odd) and suppose; common divisor, and since; with respect to b, so that	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; French corresponding junctions: impair) et supposons; diviseur commun, et comme; par rapport à b, de sorte	CORRECTED_FROM_ATTACHED_AUTHORITY
76	93	EN_PUNCTUATION	remarkable result: if	remarkable result: If	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Final unindented source paragraph: résultat remarquable: Si	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	EN_PUNCTUATION	the equation t²±cδu²=p is soluble	the equation t²±cδu²=p, is soluble	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Source auxiliary theorem retains a comma after the displayed-in-prose relation p, before soit résoluble	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	EN_PUNCTUATION	(where ψ is supposed even), one; p: if; biquadratic residue according; b=7, etc.; with respect to p if	(where ψ is supposed even) one; p: If; biquadratic residue, according; b=7 etc.; with respect to p, if	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; All corresponding punctuation in Theorem I, the b=3,b=7 introduction and the two quoted corollaries; both inserted commas after the even-parenthesis removed	CORRECTED_FROM_ATTACHED_AUTHORITY
79	96	EN_PUNCTUATION	p=t²−au², where	p=t²−au² where	full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; First paragraph of section 5: p=t²−au² où, without a comma after the relation	CORRECTED_FROM_ATTACHED_AUTHORITY
80	97	EN_PUNCTUATION	The number of changes will therefore be even when	The number of changes will therefore be even, when	full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Source: Le nombre des changements sera donc pair, lorsque	CORRECTED_FROM_ATTACHED_AUTHORITY
86	103	FR_EN_DISPLAY_PUNCTUATION	S02 first direct-source draft: three trailing baseline dots in each of the last two reciprocity rows	Three baseline ellipsis dots plus the printed terminal point in both rows (four visible dots per row)	full PDF 103 = scope leaf 24: qa/s02/source/p086_authority.png; Two final rows, enlarged in qa/s02/source/p086_reciprocity_detail.png; before-draft files preserved in qa/s02/build/repair_history	DIRECT_SOURCE_DRAFT_CORRECTED
97	114	English argumentative syntax	Replacing ±t by χs; Multiplying now, member by member, this equation and the preceding one	If we replace ±t by χs; If one now multiplies member by member this equation and the preceding one	Exact-scope leaf35/full PDF114: Si nous remplaçons ±t par χs; Si l’on multiplie maintenant membre par membre cette équation et la précédente. qa/s03/source/p097_authority.png; actual pre-correction draft qa/s03/initial_build/p097_en_before.tex	CORRECTED_S03_DIRECT_SOURCE_DRAFT; explicit conditional constructions restored; mathematical tokens unchanged
97	114	English punctuation	or, which comes to the same thing:	or which comes to the same thing:	Exact-scope leaf35/full PDF114, penultimate paragraph: ou ce qui revient au même:; no comma after ou. qa/s03/source/p097_authority.png	CORRECTED_S03_DIRECT_SOURCE_DRAFT; unnecessary comma removed to follow printed junction
