"status","path","class","arabic_lane_decision"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_PACKET_SUMMARY_COUNTS.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/README.md","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/SHA256SUMS.txt","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_AUDIT.md","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_COMMIT_PAYLOAD_AUDIT.csv","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_MANIFEST.csv","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_PLACEHOLDER_REVIEW.csv","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_ROOT_SUMMARY.csv","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_SHA256SUMS.txt","b3-transfer-audit","B3 routing context only"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_VALIDATION.csv","b3-transfer-audit","B3 routing context only"
