"evidence_id","evidence_class","exact_path","exists","file_count","total_bytes","pdf_count","html_count","csv_count","manifest_path","manifest_rows","sha256sums_path","source_use_or_route_status","required_next_action","authority_boundary"
"R6-AUTH-MAP-004","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_REVIEWER_ROUTE_PREPARATION_SLICE_03_20260704.md","recorded_in_access_payload","","5388","","","","","","","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-005","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_SOURCE_REVIEWER_ETHICS_MATRIX_20260704.csv","recorded_in_access_payload","","7568","","","","","","","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-006","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/REVIEWER_RETURN_STATUS.csv","recorded_in_access_payload","","5878","","","","","","","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-007","reviewer/source-owner returns","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","recorded_in_access_payload","","","","","","","","","route evidence exists, but no reviewer/source-owner return approval","obtain explicit reviewer/source-owner returns before authority promotion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-008","native/community authority","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","recorded_in_access_payload","","","","","","","","","index is not community consent or source authority","separate source-body provenance from community authority/consent route","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-009","Ecuador Kichwa CNIB","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","recorded_in_access_payload","","","","","","","","","probe metadata only; source body still insufficient","retry official CNIB body route and source-owner path","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-010","Paraguay Guarani/PRODEPA","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","recorded_in_access_payload","","","","","","","","","route/probe only; no Guarani mathematics source body","retry MEC/PRODEPA routes and alternate official indexes","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-011","DGS/ASL/LSQ sign/access","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","recorded_in_access_payload","","","","","","","","","metadata/HTML/JSON only; no media/source-owner clearance","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-012","Aymara/Quechua OCR/Unicode","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/OCR_UNICODE_SOURCE_RETURN_LEDGER.csv","recorded_in_access_payload","","","","","","","","","OCR witness is not source truth; Unicode/orthography/source-PDF return pending","source-PDF comparison and reviewer route before reuse","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-013","source archive / TeX","outputs/r6-source-archive-content-audit-cycle10-20260706","recorded_in_access_payload","","","","","","","","","2 ZIPs audited, 79 entries, 0 TeX-family entries; source-archive search remains open","continue source-archive search and B3 decide whether to package ZIP audit","blocker row for B3/reviewer route; not a closure or permission"
