"delta_id","category","manager_controlled_baseline","source_or_candidate_pressure","selected_sga1_form","rejected_form","reason_and_evidence","scope","status"
"N-024","historical terminology","extend the I.3 unramified/net policy into étale definitions","French uses net in I.4.1 and revêtement net in I.4.9; candidates either erase it or leave it unexplained","net with an unramified equivalence at the defining occurrence; net covering retained with unramified made explicit","erase net; use net as an unexplained running primary","preserves source history while keeping modern unramified as the English running term","I.4 Definition I.4.1 and I.4.9","working_pending_manager_baseline_review"
"N-025","historical nonce word","preserve multiplodoque as a marked French source term","Hosgood retains multiplodoque with a long note; jcreinhold Latinizes multiplodocus","italic multiplodoque without an added historical claim","multiplodocus; unverified source-external translator note","source supplies a deliberate nonce word and no explanatory note; candidates are controls only","I.4 line 877 and later occurrences","working_pending_manager_baseline_review"
"N-026","separable-algebra terminology","finite product for a finite commutative separable algebra","French line 915 says composé fini; later lines 2064-2069 clarify composée directe and disjoint normalization components","finite product of finite separable extensions","finite composition or finite tower","product is the type-correct structure and includes the non-field algebra case","I.4 Definition I.4.9","working_pending_manager_baseline_review"
"N-027","source pagination and unnumbered theorem form","use the original print to repair misplaced TeX page markers and interpret remarquestar as an unnumbered environment","French TeX places p.5 inside I.4.2 proof and p.6 after the first word; an over-literal environment-name reading would print a star","p.5 before I.4.6 proof; p.6 before a plain unnumbered Remark heading","copy TeX marker location candidate approximation or literal printed star","original-print physical pp.21-23 fix both boundaries and show plain Remarque","I.4 lines 830-873 and 942-951","working_source_pagination_selected_independent_pass"
"N-028","trace-pairing terminology and typing","a bilinear trace form induces a map to the dual","French TeX original print and Hosgood say B onto B; jcreinhold silently says its dual","B onto B-dual with immediate shared-source-defect disclosure","literal B onto B; silent correction","bilinear-form typing and the following dual exterior-power formula force the target","I.4 Proposition I.4.10","working_source_defect_disclosed_independent_pass"
"N-029","source register","preserve flat covering of degree n where the source itself notes the missing definition","modern pressure favors finite locally free covering of rank n","flat covering of degree n","finite locally free covering of rank n as an unmarked replacement","the source's parenthetical editorial voice depends on its own term","I.4 Proposition I.4.10","working_independent_pass"
"N-030","technical terminology","use radicial for French radiciel","jmoellermath partial candidate says radical","radicial","radical","radicial is the established English algebraic-geometry term and the source immediately gives its residue-field and base-change definition","I.5 Theorem I.5.1 and dependent proofs","working_source_checked"
"N-031","source pagination","bind printed-page markers to complete English structures after original-print review","French TeX places p.7 inside I.5.3 opening p.8 after the first word of a sentence and p.9 inside I.5.9 opening","p.7 before Corollary I.5.3; p.8 before the complete introductory sentence to I.5.6; p.9 before Corollary I.5.9","split-sentence or mid-environment page markers","the original print and source sequence identify the coherent structural boundaries","I.5 printed pages 7-9","working_source_and_print_checked"
"N-032","categorical notation","preserve Hom variance and argument order from the French authority","Thosgood reverses the target arguments","Hom_S(Y,X) to Hom_{S0}(Y0,X0)","Hom_S(Y,X) to Hom_{S0}(X0,Y0)","base restriction sends a morphism Y to X to a morphism Y0 to X0 and the French display is explicit","I.5 Theorem I.5.5","working_source_checked"
"N-033","theorem register","retain complete unnumbered Scholium and categorical claims","one candidate duplicates the theorem and drops the categorical explanation","Scholium; fully faithful; full subcategory; later equivalence","duplicate theorem or abbreviated comment","French lines 1071-1083 contain distinct uniqueness existence and categorical assertions","I.5 Scholium after Theorem I.5.5","working_source_checked"
"N-034","diagram and title","preserve the named lifting theorem and its commutative square","candidate pressure flattens the square or shortens the title","Extension theorem for liftings with X left-arrow Y0 S left-arrow Y and both vertical arrows","Extension of liftings or linearized arrow text","French xymatrix and theorem title are explicit structural content","I.5 Corollary I.5.6","working_source_render_checked"
"N-035","historical terminology","use unramified as the running English form after recording the net synonym","French uses net and some candidates repeat it without explanation","unramified in running I.5 prose; net retained in historical and index records","unexplained net as primary running form","the equivalence was already declared in Definition I.3.2 and shared normalization N-016/N-024 controls later use","I.5 Corollaries I.5.3 I.5.4 and I.5.8","working_source_checked"
"N-036","source grammar correction","make number agreement grammatical without altering the mathematical condition","French line 1124 has de type finis","preschemes of finite type","preschemes of finite types","type is the fixed technical phrase and the plural s is a source typo","I.5 Proposition I.5.7","working_corrected_disclosed"
"N-037","residue-field notation","use kappa consistently for residue fields","French line 1150 switches to k(g(x))","kappa(g(x))","k(g(x)) as an isolated notation change","the surrounding section and established SGA1 target notation use kappa for residue fields","I.5 Corollary I.5.8 proof","working_source_checked"
"N-038","source-defect logical criterion","apply a cited theorem with every required hypothesis and disclose any source-original omission","French TeX original print and complete candidates say surjective and radicial while citing I.5.1","surjective étale and radicial with immediate source-defect note","surjective and radicial without étale; silent correction","I.5.1 requires étale and radicial for an open immersion; surjectivity then gives an isomorphism; the nilpotent closed immersion Spec(k) to Spec(k[epsilon]/epsilon^2) disproves the uncorrected criterion","I.5 Corollary I.5.3","closed_source_defect_corrected_disclosed_independent_pass"
"N-039","historical unit register","retain number for French numéro in Grothendieck's editorial discussion","one target control silently replaces it with section","number","section as an unmarked modernization","the repeated editorial argument concerns preserving the present numbered unit at this location","I.6 opening lines 1171-1177","working_source_checked_independent_pass"
"N-040","coined historical terminology","preserve the source coinage multiplodoque in italics","target controls alternate between multiplodoque and multiplodocus","multiplodoque","multiplodocus","the coined French project name is source content and needs no Latinizing normalization","I.6 opening lines 1171-1177","working_source_checked_independent_pass"
"N-041","mathematical adjective capitalization","use lowercase noetherian and artinian in running English","one target control capitalizes both","noetherian; artinian","Noetherian; Artinian","the lowercase forms match the cumulative SGA English convention and do not change named-object content","I.6 Theorem I.6.1 and I.6.2 justification","working_source_checked_independent_pass"
"N-042","proof hierarchy","preserve source-unheaded proof continuations and do not add QED","one target control adds a proof wrapper around the corollary justification","plain fully-faithful bridge; unheaded A/m^n reduction; unheaded essential-surjectivity continuation","added proof heading or QED","the French TeX and original print show no proof environment or printed closure in I.6","I.6 lines 1190-1215","working_source_structure_checked_independent_pass"
"N-043","category description and emphasis","preserve the source order and emphasis of the target category","candidate phrasing reorders the category as separable k-algebras of finite rank","algebras of finite rank and separable over k","separable k-algebras of finite rank as the selected final form","French lines 1185-1187 emphasize de rang fini séparables and independent review requested exact order","I.6 Theorem I.6.1","working_source_checked_independent_pass"
"N-044","bounded forward-reference rendering","retain the correct locator while avoiding an undefined TeX reference to an excluded later unit","a raw ref command produces a warning until I.7 is integrated","plain no. I.7 in the bounded cumulative target","undefined ref I.7 warning or deletion of the locator","the French locator is unambiguous and the current clean build ends before I.7","I.6 opening line 1175","working_build_safe_source_checked_independent_pass"
"N-045","source proof compression","record standard omitted steps without inserting source-external explanations into the body","editorial pressure could expand finite-product decomposition and derivative invertibility","retain the concise source proof and ledger both standard ellipses as noncorrective","classify either compression as a defect or add an unmarked proof note","independent review found both steps standard valid and unambiguous","I.6 lines 1208-1215","working_noncorrective_independent_pass"
"N-046","running technical term","use unramified as the SGA-wide English form while preserving historical variants in notes","target controls use net or unexplained running net","unramified","net as unmarked running terminology","French non ramifié and established SGA English convention; controls are not authority","I.7 throughout","working_source_checked_independent_pass"
"N-047","capitalization","lowercase noetherian in ordinary prose","target controls capitalize Noetherian","noetherian","Noetherian mid-sentence","manager-controlled SGA-wide normalization baseline and French context","I.7 Proposition I.7.1 and Theorem I.7.6","working_source_checked_independent_pass"
"N-048","calculus terminology","use formal derivative for the derivative of a polynomial","current Markdown candidate uses derived polynomial","formal derivative","derived polynomial","French dérivé and standard algebraic English; formula review preserves every prime","I.7 lines 1223-1231 and 1408-1426","working_source_checked_independent_pass"
"N-049","commutative-algebra term","use different ideal for the ideal defined by the universal derivation","candidate pressure toward discriminant or unexplained different","different ideal with its formula retained","discriminant as a substitution","French idéal différente and the exact Omega quotient formula distinguish the construction","I.7 Corollary I.7.2","working_source_checked_independent_pass"
"N-050","prime-ideal relation","use contraction for trace of an ideal under a ring map","current Markdown candidate uses trace","contraction","trace","standard English avoids confusion with field trace and matches the displayed preimage relation","I.7 Proposition I.7.1","working_source_checked_independent_pass"
"N-051","source hierarchy","preserve headed and unheaded source units without imported proof wrappers or QED","external controls add proof headings or flatten notes","exact source hierarchy and no QED","candidate-added proof wrappers and QED symbols","French TeX environment sequence and original print were audited unit by unit","I.7 complete unit","working_source_checked_independent_pass"
"N-052","mathematical typography","render schemes rings ideals primes and localizations in TeX mathematics","current Markdown candidate uses plaintext and code formatting","mathematical TeX with exact primes and subscripts","code-formatted or plaintext formulas","formula-sensitive source comparison and final render audit","I.7 complete unit","working_source_checked_independent_pass"
"N-053","source-register disclosure","preserve unusual source register in an explicit editorial note while keeping technical body prose standard","smoothing pressure either erases jargon or repeats it unmarked","jargon in disclosure and surjective homomorphism in body","silent deletion or unmarked jargon in body","French line 1378 and independent terminology review","I.7 Theorem I.7.6 proof","working_source_checked_independent_pass"
"N-054","compound spelling","use closed semilocal as one word","target control uses semi-local","semilocal","semi-local","established mathematical English and SGA-wide spelling policy","I.7 starred remark","working_source_checked_independent_pass"
"N-055","algebra terminology","use monogenic for generated by one element","target control uses monogenous","monogenic","monogenous","standard algebraic English and established SGA-wide choice","I.7 starred remark","working_source_checked_independent_pass"
"N-056","logical connective","render c'est-à-dire as that is where it asserts an equivalent reformulation","initial English audit found or must induce","that is must induce","or must induce","French lines 1460-1466 and independent correction recheck","I.7 final localization argument","working_source_checked_independent_pass"
"N-057","heading number","preserve source number and grammatical number in translated headings","Thosgood uses plural Applications","Application to formal schemes","Applications to formal schemes","French heading lines 1493-1495 and original print p.13","I.8 section heading","working_source_checked_independent_pass"
"N-058","compound spelling","use closed subprescheme in established SGA1 terminology","Thosgood uses sub-prescheme","subprescheme","sub-prescheme","SGA1 cumulative baseline and direct source-role match","I.8.1 and I.8.3","working_source_checked_independent_pass"
"N-059","spelling","US neighborhood in running English","Thosgood uses neighbourhood","neighborhood","neighbourhood","manager-controlled SGA-wide spelling baseline","I.8.1","working_source_checked_independent_pass"
"N-060","covering terminology","use etale covering for revetement etale","candidate pressure uses cover or mixed forms","etale covering","etale cover","formal categorical object and established SGA1 usage","I.8.2 and I.8.4","working_source_checked_independent_pass"
"N-061","capitalization","lowercase noetherian as an adjective","Thosgood capitalizes Noetherian","noetherian","Noetherian","SGA-wide normalization baseline","I.8.4","working_source_checked_independent_pass"
"N-062","ideal-sheaf notation","use calligraphic notation consistently for a sheaf ideal when the source alternates glyphs","French text alternates J and mathcal J","mathcal J with explicit disclosure","silent mixed J and mathcal J","French lines 1601-1602 and 1617-1618; original print and independent audit","I.8.4","working_source_checked_disclosed_independent_pass"
"N-063","category terminology","retain ringed space when the source says espace annele","jcreinhold adds locally","ringed space","locally ringed space","no local-ring condition is asserted in the sentence","I.8.3 gluing argument","working_source_checked_independent_pass"
"N-064","citation expansion","expand an identified abbreviated locator without inventing a work or section","source prints Chap. I and its TeX comment identifies EGA","EGA Chapter I","Chapter I with no work named or an invented exact proposition","French source comment lines 1536-1538 and independent audit","I.8.1 proof","working_source_checked_independent_pass"
"N-065","mathematical direction","preserve directed isomorphism arrows even when prose says isomorphic","target controls flatten or reverse arrows","source-directed xrightarrow isomorphisms","undirected equality or reversed arrow","French formulas lines 1502 1580 and 1595","I.8 formulas","working_source_checked_independent_pass"
"N-066","spelling","US fiber in running English","target controls use fibre","residual fibers","residual fibres","manager-controlled SGA-wide spelling baseline","I.8.4","working_source_checked_independent_pass"
"N-067","heading register","literal source mathematical register unless misleading","Thosgood uses Invariance properties","Permanence properties","Invariance properties","French permanence describes preservation under passage between local etale rings and matches the established SGA register","I.9","working_source_checked_independent_pass"
"N-068","prime-ideal terminology","use current precise English without changing the source invariant","French rang and target controls use rank","height","rank","the assertion concerns prime ideals p and q under flat local passage; height is the precise English invariant","I.9 opening","working_source_checked_independent_pass"
"N-069","historical register","preserve claims about historical terminology","Thosgood changes encore courante to more modern","terminology still in use","more modern language","French lines 1667-1669 explicitly say the terminology is still current","I.9 opening","working_source_checked_independent_pass"
"N-070","spelling","US localization","Thosgood uses localisation","localization","localisation","manager-controlled SGA-wide US spelling baseline","I.9 opening","working_source_checked_independent_pass"
"N-071","graded notation","preserve source notation unless a documented normalization is source-safe","Thosgood uses gr bullet and jcreinhold uses plain gr*","operatorname gr with superscript star","gr bullet or plaintext gr*","French line 1698 and original print both show gr star; native TeX preserves semantics","I.9.1","working_source_checked_independent_pass"
"N-072","source typography and paragraph structure","preserve source emphasis and paragraph boundaries when they carry mathematical grouping","candidate and initial-draft pressure reduces emphasis and splits paragraphs","full source emphasis and continuous source paragraphs","partial emphasis and page-marker or display paragraph breaks","French em commands and blank-line structure lines 1656-1702; independent re-audit","I.9 opening and I.9.1 proof","working_source_checked_independent_pass"
"N-073","proof register","do not introduce a proof environment or QED glyph absent from the source","Thosgood wraps the proof and target controls modernize cqfd","unheaded proof prose ending This proves the proposition followed by parenthetical N.B.","proof wrapper QED glyph or modernized Note","French lines 1690-1702; established Expose I source-first convention","I.9.1","working_source_checked_independent_pass"
