"record_id","role","lineage_group","description","path_or_url","revision","bytes","sha256","coverage_or_scope","provenance_or_rights_caveat","evidence_status"
"JCR_CURRENT_I_7","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Current Markdown candidate with an I.7 slice","local witness withheld from payload; authority record JCR_CURRENT_I_7","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","68737","9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A","I.7 slice lines 478-660: 10103 bytes; SHA 9690E08683FAC96C532224DDE20C028E2F5D0DF01E4AFC4AEF69365EE27B0438","Self-described LLM translation; one comparison lineage only; notation diagrams and source defects require direct French audit","verified_control_only"
"JCR_LEGACY_I_7","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Stale local TeX conversion containing an I.7 slice","local witness withheld from payload; authority record JCR_LEGACY_I_7","recovered stale conversion","1026712","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","I.7 slice lines 1123-1342: 10564 bytes; SHA 429B071884FDE21DFFE88362F1412956077E2A201958B1C9483C76073D389D1A","Stale same-lineage conversion with poor Pandoc constructs; comparison only and never preferred over current Markdown or French authority","verified_control_only_stale"
"FR_SLICE_I_8","source_slice_authority","FRENCH_ARXIV_AUTHORITY","Exact LF-normalized source slice for Expose I section I.8","smf_doc-math_3_01.tex:1493-1653","closed working unit SGA1-I.8","7259","A8885501DFCE9760EA0EC20EB6894F8E45B53E71C131132238F24C7579D0A86D","Lines 1493-1653 inclusive; line 1654 begins I.9","Hash is of the exact LF-normalized UTF-8 source slice; French TeX remains the sole text authority","verified"
"ORIG_SCAN_SGA1_I8","original_print_audit_witness","ORIGINAL_FRENCH_PRINT_LINEAGE","User-recovered original-print SGA1 scan used for I.8 page and shared-defect adjudication","local witness withheld from payload; authority record ORIG_SCAN_SGA1_I8","local recovered witness checked 2026-07-19","2593116","7898CBEABA04C4BF1DFF6D784B6366103EEA482F724BAFA594BE791AD4AEE1F6","Physical PDF pages 24-26; printed Expose I pages 13-15","Audit witness only; not a translation substrate and excluded from public payload for rights and provenance hygiene","verified_audit_only"
"JM_I_8_CONTAINER","external_english_candidate_negative_coverage","HOSGOOD_DERIVATIVE_LINEAGE","jmoellermath Expose I TeX chapter checked for I.8 coverage","local witness withheld from payload; authority record JM_I_8_CONTAINER","29ac35d acquired snapshot","12973","5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3","Chapter container stops before I.8; no I.8 body","Correlated with Hosgood lineage and never authority; repository naming does not establish coverage","verified_control_only_absent"
"TH_I_8","external_english_candidate_unit","HOSGOOD_DERIVATIVE_LINEAGE","Hosgood tree candidate for SGA1 I.8","local witness withheld from payload; authority record TH_I_8","HEAD c4fd0e8; started fecbbec; finished ba02c670","6504","15785A4D60E40820D1352D58176D6171174F3A5E3697E359ADEDAB0CBFEA2632","Full I.8 lines 1-108; normalized slice SHA F8B93309511786146223C9D6ED396D0F9A1BAE64540750ED32F710E7FEE35A05","Correlated continuation of jmoellermath translator lineage; useful only as target-language control and contains source-formula regressions","verified_control_only"
"JCR_CURRENT_I_8","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Current Markdown candidate containing an I.8 slice","local witness withheld from payload; authority record JCR_CURRENT_I_8","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","68737","9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A","I.8 slice lines 661-762: 5907 bytes; SHA C7AB0D2DB1148C9CB2A01A41830E0616A868FF85825517DE973EC047ED5DEFA4","Self-described LLM translation; one comparison lineage only; every reuse requires direct French and formula audit","verified_control_only"
"JCR_LEGACY_I_8","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Stale local TeX conversion containing an I.8 slice","local witness withheld from payload; authority record JCR_LEGACY_I_8","recovered stale conversion","1026712","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","I.8 slice lines 1343-1476: 6415 bytes; SHA 1D14682262C334E442D6F70E12FE74B9F850BA2CDE3B9142B1A479577B45C738","Stale same-lineage conversion with poor Pandoc constructs; never preferred over current Markdown or French authority","verified_control_only_stale"
"FR_SLICE_I_9_1","source_authority_unit","FRENCH_ARXIV_AUTHORITY","French TeX semantic body and structural envelope for I.9 opening through Proposition I.9.1","local witness withheld from payload; authority record FR_SLICE_I_9_1","math/0206203v2 corrected source; orig=false","1094587","754E9FD6BC04BA52359D0CF4102AA01D2805A00B0E3E298CCD7396564CC7702D","Semantic lines 1654-1702: 2276 LF bytes SHA 17A095936F0E25B8F86A22134EE44398DCD7E6F5712520BA7758FAEB4AC81A08; structural envelope lines 1654-1703: 2277 bytes SHA 0AF0545B813A2676BC7B94A917B5C5BDE113D7391D26A783C8A6460E2D7FAA2C; next excluded line 1704 SHA 677A7543B9B095B634714BCD134877E4BE81979BB62A9B4FD7F28AD74AE64962","French TeX is sole text authority; modified English identifies itself and does not inherit a blanket content license","verified_source_authority"
"ORIG_SCAN_SGA1_I9_1","original_print_audit_witness","ORIGINAL_FRENCH_PRINT_LINEAGE","User-recovered original-print SGA1 scan used for I.9 page formula emphasis and pagination adjudication","local witness withheld from payload; authority record ORIG_SCAN_SGA1_I9_1","local recovered witness checked 2026-07-19","2593116","7898CBEABA04C4BF1DFF6D784B6366103EEA482F724BAFA594BE791AD4AEE1F6","Physical PDF page 26; marginal source pages 15-16; bound-volume footer 13","Audit witness only; not a translation substrate and excluded from public payload for rights and provenance hygiene","verified_audit_only"
"JM_I_9_1_CONTAINER","external_english_candidate_container","HOSGOOD_DERIVATIVE_LINEAGE","jmoellermath Expose I chapter checked for I.9.1 coverage","local witness withheld from payload; authority record JM_I_9_1_CONTAINER","commit 29ac35d","12973","5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3","No I.9 body found; container stops earlier","Repository naming and README do not prove coverage; target-language candidate only","verified_absent"
"TH_I_9_1","external_english_candidate_unit","HOSGOOD_DERIVATIVE_LINEAGE","Thosgood tree candidate for I.9 opening through I.9.1","local witness withheld from payload; authority record TH_I_9_1","HEAD c4fd0e8","15101","F1CA86515D3821F025F03C37702F26C0143A81369B0BA95BE944CA724B458587","Lines 1-45: 2451 LF bytes SHA AAA66BDD2793369D43928BAB2CDEE14DEEA209410E6C0AACC7962A42E6807A43","Correlated continuation of jmoellermath lineage; useful only as target-language control and contains heading terminology grading and field-name regressions","verified_control_only"
"JCR_CURRENT_I_9_1","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Current Markdown candidate containing I.9 opening through I.9.1","local witness withheld from payload; authority record JCR_CURRENT_I_9_1","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","68737","9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A","Lines 763-801: 2177 LF bytes SHA CCD8D102315730A29A3462926C2F49F9C152E57B2DDA9448B1030DE2B521F7C8","Self-described LLM translation; one comparison lineage only; formula rendered as plaintext and every reuse requires direct French audit","verified_control_only"
"JCR_LEGACY_I_9_1","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Stale local TeX conversion containing I.9 opening through I.9.1","local witness withheld from payload; authority record JCR_LEGACY_I_9_1","recovered stale conversion","1026712","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","Lines 1477-1525: 2325 LF bytes SHA 472F3A2E27827B4ECD85E1673900961CB6A0AF6FD978517B6BD51F3E6641F062","Stale same-lineage conversion with malformed Pandoc formula constructs; never preferred over current Markdown or French authority","verified_control_only_stale"
