"decision_id","french_term","spanish_term","sense","status","source_locator","evidence_note"
"SGA5-TERM-017","revêtement étale","recubrimiento étale","étale covering","provisional","SGA5_FR_WORKPASS:342-346","Recubrimiento is standard Spanish topology; specialized adjective follows TERM-003"
"SGA5-TERM-018","suite exacte","sucesión exacta","exact sequence","adopted","SGA5_FR_WORKPASS:342-346; established Spanish homological usage","Use sucesión rather than secuencia consistently"
"SGA5-TERM-019","suite spectrale","sucesión espectral","spectral sequence","adopted","SGA5_FR_WORKPASS:357-361; established Spanish homological usage","Birégulière becomes birregular"
"SGA5-TERM-020","dévissage","reducción sucesiva","inductive reduction by truncation/short exact steps","provisional","SGA5_FR_WORKPASS:357","Translate the reasoning rather than import an unexplained French noun"
"SGA5-TERM-021","dimension quasi-injective","dimensión cuasi-inyectiva","homological dimension relative to constructible modules","adopted","SGA5_FR_WORKPASS:370-406; TERM-016","Preserve source formula abbreviation q.inj while translating prose"
"SGA5-TERM-022","borne inférieure","ínfimo","greatest lower bound in extended reals","adopted","SGA5_FR_WORKPASS:371","Use the standard order-theoretic noun, not literal cota inferior in the definition sentence"
"SGA5-TERM-023","catégorie abélienne","categoría abeliana","abelian category","adopted","SGA5_FR_WORKPASS:387-397; established Spanish category-theory usage","Lowercase adjective in prose"
"SGA5-TERM-024","famille de générateurs","familia de generadores","generating family in an abelian category","adopted","SGA5_FR_WORKPASS:387-399; native algebra register uses generadores","Do not confuse with a basis"
"SGA5-TERM-025","corps séparablement clos","cuerpo separablemente cerrado","field with no nontrivial finite separable extensions","adopted","SGA5_FR_WORKPASS:405-406; TERM-012","Use cerrado rather than algebraicamente cerrado; preserve distinction"
"SGA5-TERM-026","quasi-fini","cuasifinito","scheme morphism with finite fibers and finite type","adopted","SGA5_FR_WORKPASS:408-418; standard Spanish algebraic-geometry formation","Write as one word in modern Spanish"
"SGA5-TERM-027","immersion ouverte","inmersión abierta","open immersion","adopted","SGA5_FR_WORKPASS:414; established Spanish algebraic-geometry usage","Use inmersión, not inclusión, because the morphism structure matters"
"SGA5-TERM-028","topos annelé","topos anillado","ringed topos","adopted","SGA5_FR_WORKPASS:420; established Spanish category/algebraic-geometry usage","Distinguish from a ringed space"
"SGA5-TERM-029","bidualisant","bidualizante","pair satisfying canonical biduality","provisional","SGA5_FR_WORKPASS:420; TERM-002","Keep parallel morphology with dualizante"
"SGA5-TERM-030","réflexif relativement à K","reflexivo con respecto a K","canonical double-dual morphism is an isomorphism","adopted","SGA5_FR_WORKPASS:420-430; standard Spanish module-theory usage","Use reflexivo; avoid reflective, which has a categorical sense"
"SGA5-TERM-031","réciproque","recíproco","converse implication","adopted","SGA5_FR_WORKPASS:438","Use recíproco as a substantive; do not use inverso"
"SGA5-TERM-032","équivalence de catégories","equivalencia de categorías","categorical equivalence","adopted","SGA5_FR_WORKPASS:442-449; established Spanish category-theory usage","Preserve opposite-category superscript and all boundedness signs"
"SGA5-TERM-033","catégorie triangulée","categoría triangulada","triangulated category","adopted","SGA5_FR_WORKPASS:434; established Spanish homological-algebra usage","Adjective triangulada, not triangular"
"SGA5-TERM-034","formule d'échange","fórmula de intercambio","functor-exchange isomorphism/formula","adopted","SGA5_FR_WORKPASS:453; standard six-functor terminology","Use intercambio consistently for exchange morphisms and formulas"
"SGA5-TERM-035","tor-dimension","dimensión Tor","finite Tor-amplitude condition","adopted","SGA5_FR_WORKPASS:455-468; standard Spanish homological-algebra usage","Capitalize Tor as the derived functor name"
"SGA5-TERM-036","limite inductive","límite inductivo","filtered/direct colimit in source wording","adopted","SGA5_FR_WORKPASS:455; established Spanish category-theory usage","Preserve source terminology rather than silently substituting colímite"
"SGA5-TERM-037","résolution gauche","resolución por la izquierda","complex resolving toward negative degrees","provisional","SGA5_FR_WORKPASS:468","Phrase makes the orientation explicit; revisit against native homological corpus"
"SGA5-TERM-038","sous-catégorie pleine","subcategoría plena","full subcategory","adopted","SGA5_FR_WORKPASS:472; established Spanish category-theory usage","Preserve full as plena, not completa"
"SGA5-TERM-039","isomorphisme fonctoriel","isomorfismo funtorial","natural/functorial isomorphism in the stated variables","adopted","SGA5_FR_WORKPASS:477-492; project convention","Funtorial preserves the source's emphasis without adding a separate naturality claim"
"SGA5-TERM-040","formule d'adjonction","fórmula de adjunción","tensor-Hom adjunction formula","adopted","SGA5_FR_WORKPASS:496-499; standard Spanish category-theory usage","Keep Cartan attribution and distinguish from adjunction arrow"
"SGA5-TERM-041","en dehors de deux bornes fixes","nulo salvo entre dos cotas fijas","cohomology vanishes outside a uniform bounded interval","adopted","SGA5_FR_WORKPASS:499-503; ultra bilingual audit 2026-07-17","Express the interval explicitly; fuera de dos cotas is malformed Spanish"
"SGA5-TERM-042","implication réciproque","implicación recíproca","converse direction","adopted","SGA5_FR_WORKPASS:503; TERM-031","Do not call it inverse implication"
"SGA5-TERM-043","caractéristiques résiduelles","características residuales","characteristics of residue fields","adopted","SGA5_FR_WORKPASS:513; established Spanish algebraic-geometry usage","Preserve plural because the base may have multiple residue characteristics"
"SGA5-TERM-044","dimension cohomologique","dimensión cohomológica","cohomological dimension of a derived functor","adopted","SGA5_FR_WORKPASS:523; established Spanish homological usage","Do not collapse to dimension"
"SGA5-TERM-045","formule d'induction","fórmula de inducción","extraordinary inverse-image duality formula","adopted","SGA5_FR_WORKPASS:538; SGA A XVIII reference fixes the sense","Not mathematical induction in this context; retain the historical formula name"
"SGA5-TERM-046","image directe habituelle/inhabituelle","imagen directa ordinaria/extraordinaria","Rf_* versus Rf_! in six-functor formalism","adopted-modernized","SGA5_FR_WORKPASS:543; canonical modern six-functor Spanish","Modern extraordinary is clearer than a literal inusual and preserves the contrast"
"SGA5-TERM-047","image inverse habituelle/inhabituelle","imagen inversa ordinaria/extraordinaria","f^* versus Rf^! in six-functor formalism","adopted-modernized","SGA5_FR_WORKPASS:543; canonical modern six-functor Spanish","Use the same ordinary/extraordinary opposition as direct images"
"SGA5-TERM-048","morphisme propre","morfismo propio","proper scheme morphism","adopted","SGA5_FR_WORKPASS:545-557; established Spanish algebraic-geometry usage","Do not translate as apropiado"
"SGA5-TERM-049","fibre","fibra","fiber of a sheaf/direct image","adopted","SGA5_FR_WORKPASS:568; established Spanish algebraic-geometry usage","Sense here is stalkwise fiber calculation"
"SGA5-TERM-050","morphisme radiciel","morfismo radicial","universally injective morphism","adopted","SGA5_FR_WORKPASS:570; standard Spanish EGA terminology","Preserve distinction from radical"
"SGA5-TERM-051","théorème de changement de base","teorema de cambio de base","finite-morphism base-change theorem","adopted","SGA5_FR_WORKPASS:570; established Spanish algebraic-geometry usage","Use cambio de base rather than cambio de la base"
"SGA5-TERM-052","morphisme quasi-fini séparé","morfismo cuasifinito y separado","quasi-finite separated scheme morphism","adopted","SGA5_FR_WORKPASS:574; established Spanish algebraic-geometry usage","Write cuasifinito as one word; coordinate adjectives with morfismo"
"SGA5-TERM-053","immersion ouverte","inmersión abierta","open immersion of schemes","adopted","SGA5_FR_WORKPASS:577; established Spanish algebraic-geometry usage","Do not use inclusión abierta when the scheme-theoretic morphism is intended"
"SGA5-TERM-054","théorème de finitude","teorema de finitud","constructibility/finiteness theorem in étale cohomology","adopted","SGA5_FR_WORKPASS:577; SGA A IX 2.14 fixes the sense","Preserve the named theorem rather than paraphrasing it as finiteness result"
"SGA5-TERM-055","Module inversible","módulo invertible","rank-one locally free coefficient module","adopted","SGA5_FR_WORKPASS:587-653; established Spanish algebraic-geometry usage","Lowercase módulo in running text; retain the source coefficient-ring subscript"
"SGA5-TERM-056","à isomorphisme unique près","salvo isomorfismo único","uniqueness up to unique isomorphism","adopted","SGA5_FR_WORKPASS:587; categorical Spanish usage","Do not weaken to merely up to isomorphism"
"SGA5-TERM-057","flèche de spécialisation","flecha de especialización","specialization map between geometric fibers","adopted","SGA5_FR_WORKPASS:650; SGAA VIII 7.2 fixes the sense","Use morfismo de especialización for the induced module maps"
"SGA5-TERM-058","localement constructible","localmente constructible","constructible-valued integer function","adopted","SGA5_FR_WORKPASS:655; standard Spanish sheaf-theoretic usage","Distinct from locally constant"
"SGA5-TERM-059","lieu singulier","lugar singular","nonregular locus","adopted","SGA5_FR_WORKPASS:690; standard Spanish algebraic-geometry usage","Use lugar rather than sitio in this geometric sense"
"SGA5-TERM-060","dévissage de faisceaux constructibles","devissage de haces constructibles","reduction by finite constructible stratification/filtration","provisional-retained-term","SGA5_FR_WORKPASS:698-713; SGA technical usage","Retain the established technical loanword pending a stronger native-source locator; do not paraphrase as arbitrary decomposition"
"SGA5-TERM-061","localisé strict","localización estricta","strict localization at a geometric point","adopted","SGA5_FR_WORKPASS:717-723,784,13189; standard Spanish étale-cohomology usage","Do not confuse with ordinary localization"
"SGA5-TERM-062","pureté cohomologique absolue","pureza cohomológica absoluta","absolute cohomological purity theorem","adopted","SGA5_FR_WORKPASS:725-737; standard Spanish algebraic-geometry usage","Keep cohomológica when the support-cohomology statement is meant"
"SGA5-TERM-063","diviseur strictement à croisements normaux","divisor de cruzamientos normales estrictos","strict normal-crossings divisor","adopted","SGA5_FR_WORKPASS:741-754; established Spanish resolution terminology","Preserve strict versus étale-locally normal-crossings distinction"
"SGA5-TERM-064","fortement désingularisable","fuertemente desingularizable","scheme admitting the stated Hironaka-style resolution property","provisional","SGA5_FR_WORKPASS:745-754; definition local to Exposé I 3.1.5","Use the literal property name because the source immediately defines its exact sense"
"SGA5-TERM-065","finitude cohomologique","finitud cohomológica","constructibility of derived direct image","adopted","SGA5_FR_WORKPASS:756-765; standard Spanish cohomological usage","Do not render as finitud de la cohomología, which narrows the claim"
"SGA5-TERM-066","adhérence schématique","clausura esquemática","scheme-theoretic closure","adopted","SGA5_FR_WORKPASS:784; standard Spanish algebraic-geometry usage","Preserve distinction from topological closure"
"SGA5-TERM-067","clôture parfaite","clausura perfecta","perfect closure of a field","adopted","SGA5_FR_WORKPASS:797,950; standard Spanish field-theory usage","Distinct from algebraic and separable closure"
"SGA5-TERM-068","mapping-cylinder","cilindro de la aplicación","mapping cylinder of a morphism in the derived-category argument","adopted","SGA5_FR_WORKPASS:877; standard Spanish homological-topology wording","Retain the construction, not merely mapping cone"
"SGA5-TERM-069","lemme des 5","lema de los cinco","five lemma","adopted","SGA5_FR_WORKPASS:927; standard Spanish homological-algebra usage","Use the conventional numeral name"
"SGA5-TERM-070","dualité de Pontryagin","dualidad de Pontryagin","Pontryagin duality for finite coefficient modules","adopted","SGA5_FR_WORKPASS:921; standard Spanish usage","Retain the eponym"
"SGA5-TERM-071","corps séparablement clos","cuerpo separablemente cerrado","separably closed field","adopted","SGA5_FR_WORKPASS:638,819; standard Spanish field-theory usage","Do not strengthen to algebraically closed"
"SGA5-TERM-072","présentation finie","presentación finita","finite presentation of a module or morphism","adopted","SGA5_FR_WORKPASS:651,758; standard Spanish algebraic-geometry usage","Keep distinct from finite type"
"SGA5-TERM-073","normalisé en un point","normalizado en un punto","dualizing complex equipped with the stated local identification","adopted","SGA5_FR_WORKPASS:963-968,1082-1087; definition in Exposé I 4.1 and 4.5","The fixed isomorphism is part of the normalization data"
"SGA5-TERM-074","schéma strictement local","esquema estrictamente local","spectrum of a strictly henselian local ring","adopted","SGA5_FR_WORKPASS:989,1194,1325; established Spanish étale terminology","Do not conflate with merely local or henselian"
"SGA5-TERM-075","formule d'induction complémentaire","fórmula de inducción complementaria","closed-immersion duality formula 4.2.1","adopted","SGA5_FR_WORKPASS:970-977,1165; source formula fixes the sense","Distinct from the ordinary induction formula"
"SGA5-TERM-076","dualité locale","dualidad local","local duality pairing for support cohomology","adopted","SGA5_FR_WORKPASS:956-1371; Hartshorne V 6.2 context","Retain dualidad rather than a generic pairing label"
"SGA5-TERM-077","cohomologie galoisienne","cohomología galoisiana","continuous group cohomology of the absolute Galois group","adopted","SGA5_FR_WORKPASS:1387-1435; standard Spanish adjective galoisiana","Use de Galois only in proper-name phrases such as group of Galois"
"SGA5-TERM-078","groupe profini","grupo profinito","profinite group","adopted","SGA5_FR_WORKPASS:1452; standard Spanish algebra usage","Use profinito as one word"
"SGA5-TERM-079","invariants / coinvariants","invariantes / coinvariantes","fixed submodule M^G and quotient M_G","adopted","SGA5_FR_WORKPASS:1415-1475; standard Spanish representation theory","Preserve the superscript/subscript distinction"
"SGA5-TERM-080","suite exacte de Kummer","sucesión exacta de Kummer","Kummer exact sequence","adopted","SGA5_FR_WORKPASS:1432; standard Spanish étale-cohomology usage","Retain the eponym"
"SGA5-TERM-081","dualité de Poincaré","dualidad de Poincaré","Poincaré duality pairing","adopted","SGA5_FR_WORKPASS:1365-1369; standard Spanish usage","Retain accent and eponym"
"SGA5-TERM-082","functoriel","funtorial","functorial/natural dependence","adopted","SGA5_FR_WORKPASS:1002,1208; native Spanish category-theory convention","Use funtor and funtorial, never functor/functorial in Spanish prose"
"SGA5-TERM-083","module monogène","módulo cíclico","module generated by one element","adopted","SGA5_FR_WORKPASS:1517,1544-1550; native UGR Álgebra Conmutativa Básica extracted_text lines 8613-8652 and 16795","Native Spanish evidence strongly favors módulo cíclico; reject the literal monógeno calque"
"SGA5-TERM-084","anneau noethérien à gauche","anillo noetheriano por la izquierda","left-noetherian noncommutative coefficient ring","adopted","SGA5_FR_WORKPASS:1504,1544,1624; native Spanish arXiv 1312.6798v1 extracted_text lines 197-204 and 831-904","Preserve the one-sided qualifier; do not silently strengthen to two-sided noetherian"
"SGA5-TERM-085","pseudo-cohérent","pseudocoherente","complex with finitely presented cohomology in the Appendix sense","provisional","SGA5_FR_WORKPASS:1508; definition in Appendix 1.2","Use the established Spanish prefix without a hyphen; retain the source-defined sense"
"SGA5-TERM-086","dimension topologique stricte","dimensión topológica estricta","Verdier pointwise vanishing dimension defined by local cohomology","adopted","SGA5_FR_WORKPASS:1568-1578; definition and notation dim.top in Appendix 2","Preserve estricta because it distinguishes this invariant from ordinary topological dimension"
"SGA5-TERM-087","augmentation","homomorfismo de aumentación","group-algebra augmentation map","adopted","SGA5_FR_WORKPASS:1550; corroborated by existing SGA 6 Spanish workpass idx532-537 line 164","Use the full map name when the kernel is the augmentation ideal"
"SGA5-TERM-088","pureté cohomologique au sens fort","pureza cohomológica en sentido fuerte","coefficient-enhanced purity condition defined by isomorphism 4.3","adopted","SGA5_FR_WORKPASS:1618-1620; Appendix Definition 4.4","Do not collapse this explicitly stronger condition into ordinary or absolute purity"
"SGA5-TERM-089","classe fondamentale locale","clase fundamental local","canonical local fundamental-class morphism","adopted","SGA5_FR_WORKPASS:1586-1590; established earlier at SGA5_FR_WORKPASS:725-737,1432","Keep the named class distinct from a global fundamental class"
"SGA5-TERM-090","majoration","acotación","upper-bound argument for quasi-injective dimension","adopted","SGA5_FR_WORKPASS:1622-1699; Proposition 5.1 proof","Use acotación for the bound; the proposition itself proves equality"
"SGA5-TERM-091","produit tensoriel externe","producto tensorial externo","external tensor product over a base","adopted","SGA5_FR_WORKPASS:1844,1849; Exposé III program","Keep externo to distinguish it from the internal tensor product"
"SGA5-TERM-092","catégorie fibrée / cofibrée","categoría fibrada / cofibrada","fibered and cofibered categories over schemes","adopted","SGA5_FR_WORKPASS:1844; standard Spanish category-theory morphology","Use fibrada and cofibrada consistently in the categorical sense"
"SGA5-TERM-093","correspondance cohomologique","correspondencia cohomológica","morphism-valued correspondence between complexes","adopted","SGA5_FR_WORKPASS:1838-1844; Exposé III scope","Do not shorten to correspondence when the cohomological enhancement matters"
"SGA5-TERM-094","terme local","término local","local contribution in the Lefschetz trace formula","adopted","SGA5_FR_WORKPASS:1840-1844,13399-13439; Exposé III scope and Exposé XII §4","Use término local consistently for the fixed-point contribution"
"SGA5-TERM-095","tor-indépendant","Tor-independiente","derived base-change independence condition","adopted","SGA5_FR_WORKPASS:1844; standard Spanish derived-algebra formation","Capitalize Tor as the derived functor name"
"SGA5-TERM-096","morphisme compactifiable","morfismo compactificable","morphism admitting a compactification for the exceptional direct-image formalism","adopted","SGA5_FR_WORKPASS:1874; Exposé III §1.2","Use the standard productive Spanish adjective; do not paraphrase it as proper or compact"
"SGA5-TERM-097","sorite","sorites","chain of standard consequences used in the six-operations formalism","provisional-retained-term","SGA5_FR_WORKPASS:1874; SGA 4 XVII 5.2.11","Retain the traditional technical noun sorites; distinguish it from an individual theorem"
"SGA5-TERM-098","flèche de type i","flecha de tipo i","one of the four variance-defined morphism classes over a base morphism","adopted","SGA5_FR_WORKPASS:1887-1900; Exposé III §1.4","Preserve flecha because the source defines and composes these four arrow types"
"SGA5-TERM-099","flèche de Künneth","flecha de Künneth","canonical comparison arrow for external products and direct or exceptional images","adopted","SGA5_FR_WORKPASS:1926-1949; Exposé III §§1.6-1.7","Keep flecha until the proposition proves the relevant comparison is an isomorphism"
"SGA5-TERM-100","morphisme trace","morfismo de traza","trace morphism in étale duality","adopted","SGA5_FR_WORKPASS:1959-1963; SGA 4 XVIII 2.9 and 3.2.5","Use de traza, not the literal attributive calque traza"
"SGA5-TERM-101","morphisme lisse purement de dimension relative n","morfismo liso de dimensión relativa pura n","smooth morphism with pure relative dimension","adopted","SGA5_FR_WORKPASS:1955; Exposé III Proposition 1.7.4","Attach pura to dimensión relativa, preserving the purity qualification"
"SGA5-TERM-102","dualité triviale","dualidad trivial","tensor-Hom/direct-image identification called trivial duality by the source","adopted","SGA5_FR_WORKPASS:2006-2009; Exposé III (2.1.4)","Preserve the source's quoted designation rather than replacing it with a broader duality label"
"SGA5-TERM-103","flèche d'évaluation","flecha de evaluación","evaluation morphism from an object tensored with its internal Hom","adopted","SGA5_FR_WORKPASS:2030-2038; Exposé III (2.2.2)","Use evaluación in the standard tensor-Hom sense"
"SGA5-TERM-104","isomorphisme de symétrie","isomorfismo de simetría","symmetry constraint used to permute tensor factors","adopted","SGA5_FR_WORKPASS:2039-2045; Exposé III §2.2","Keep simetría rather than silently recasting the constraint as commutativity"
"SGA5-TERM-105","formule de Lefschetz--Verdier","fórmula de Lefschetz--Verdier","relative trace formula whose compatibility is prepared in §2","adopted","SGA5_FR_WORKPASS:2141; Exposé III program","Retain both names and the TeX double dash"
"SGA5-TERM-106","topos annelé","topos anillado","topos equipped with a structure sheaf of rings","adopted","SGA5_FR_WORKPASS:2339; Exposé III §3.1; standard Spanish topos terminology","Use anillado as the established structural adjective"
"SGA5-TERM-107","correspondance cohomologique à support dans c","correspondencia cohomológica con soporte en c","cohomological correspondence represented on a specified support scheme","adopted","SGA5_FR_WORKPASS:2363-2377; Exposé III §3.2","Use con soporte en; do not calque the French preposition as a soporte en"
"SGA5-TERM-108","formule d'induction","fórmula de inducción","exceptional-pullback internal-Hom comparison (SGA 4 XVIII 3.1.12.2)","adopted","SGA5_FR_WORKPASS:2370-2377; Exposé III (3.2.1)","Retain the historical name and distinguish it from mathematical induction"
"SGA5-TERM-109","graphe d'un morphisme","grafo de un morfismo","scheme-theoretic graph in a fiber product","adopted","SGA5_FR_WORKPASS:2400-2434; native UGR algebraic-geometry register","Use grafo, not gráfica, for the scheme-theoretic construction"
"SGA5-TERM-110","relèvement","levantamiento","lift of a scheme morphism to a morphism between coefficient complexes","adopted","SGA5_FR_WORKPASS:2410-2429; Exposé III Example 3.2(b)","Use levantamiento in the standard lifting sense"
"SGA5-TERM-111","correspondance diagonale","correspondencia diagonal","cohomological correspondence supported on the diagonal","adopted","SGA5_FR_WORKPASS:2413-2418; Exposé III Example 3.2(b)(i)","Keep diagonal as the defining support, not merely an identity correspondence"
"SGA5-TERM-112","correspondance de Frobenius","correspondencia de Frobenius","cohomological correspondence supported on the graph of relative Frobenius","adopted","SGA5_FR_WORKPASS:2420-2429; Exposé III Example 3.2(b)(ii)","Preserve the base-field qualification when stated"
"SGA5-TERM-113","image directe d'une correspondance","imagen directa de una correspondencia","pushforward of a cohomological correspondence under a product morphism","adopted","SGA5_FR_WORKPASS:2501-2515; Exposé III (3.3.2)","Use imagen directa consistently for the correspondence and reserve flecha for its representing morphism"
"SGA5-TERM-114","accouplement de correspondances","apareamiento de correspondencias","pairing operation on cohomological correspondences","adopted","SGA5_FR_WORKPASS:2743; tex_corpus_expanded_validated_20260628/spanish/github_alexey-beshenov_cimat-tna/3-algebra-lineal.tex:205-209","Native mathematical Spanish supports apareamiento; retain the object complement de correspondencias"
"SGA5-TERM-115","cup-produit","producto cup","cohomological cup product on correspondence classes","adopted","SGA5_FR_WORKPASS:2766-2773; Universidad de Extremadura Apuntes de Topología Algebraica, APUNT4.pdf","Use producto cup, the established Spanish ordering; do not retain French cup-produit"
"SGA5-TERM-116","dualité parfaite","dualidad perfecta","pairing identifying each perfect complex with the dual of the other","adopted","SGA5_FR_WORKPASS:2778-2782; Exposé III §4.1","Use dualidad perfecta in the standard categorical sense"
"SGA5-TERM-117","localisation étale","localización étale","restriction to an étale neighborhood in the six-functor setting","adopted","SGA5_FR_WORKPASS:2834-2875; Exposé III §4.2","Retain the established loanword étale and distinguish this from localización estricta"
"SGA5-TERM-118","multiplicité d'intersection","multiplicidad de intersección","local intersection multiplicity at an isolated point","adopted","SGA5_FR_WORKPASS:2888-2892; Exposé III Example 4.3; standard Spanish intersection-theory usage","Use multiplicidad de intersección, not número de cruce"
"SGA5-TERM-119","cube commutatif","cubo conmutativo","three-dimensional commutative diagram used in the proper-direct-image theorem","adopted","SGA5_FR_WORKPASS:2899-2915; Exposé III Theorem 4.4","Use cubo for the diagrammatic object and preserve all named faces"
"SGA5-TERM-120","face cartésienne","cara cartesiana","cartesian square occurring as a face of a commutative cube","adopted","SGA5_FR_WORKPASS:2916-2928; Exposé III Theorem 4.4","Use cara for a cube face and cartesiana for the pullback condition"
"SGA5-TERM-121","bord extérieur","borde exterior","outer perimeter of a composed commutative diagram","adopted","SGA5_FR_WORKPASS:3083-3096; Exposé III proof of Theorem 4.4","Use borde exterior for the perimeter composite, not frontera"
"SGA5-TERM-122","schéma des points fixes","esquema de puntos fijos","scheme-theoretic intersection of a graph with the diagonal","adopted","SGA5_FR_WORKPASS:3387-3395; Exposé III Corollary 4.10","Retain esquema because the fixed locus carries scheme structure"
"SGA5-TERM-123","prolongation par zéro","prolongación por cero","extension by zero from the complement of a closed point","adopted","SGA5_FR_WORKPASS:3454-3462; Exposé III §4.13","Use prolongación por cero in the sheaf-theoretic sense"
"SGA5-TERM-124","catégorie dérivée filtrée","categoría derivada filtrada","derived category of complexes with finite filtrations","adopted","SGA5_FR_WORKPASS:3425-3445; Exposé III §4.13","Use filtrada for the category and preserve the finite-filtration qualification"
"SGA5-TERM-125","gradué associé","graduado asociado","graded object associated with a finite filtration","adopted","SGA5_FR_WORKPASS:3425-3462; Exposé III §4.13","Use graduado asociado consistently for gr(L)"
"SGA5-TERM-126","duale d'une correspondance","dual de una correspondencia","cohomological correspondence obtained by Verdier duality","adopted","SGA5_FR_WORKPASS:3464-3475; Exposé III §5.1","Use dual as a noun and preserve the reversal of source and target"
"SGA5-TERM-127","isomorphisme de bidualité","isomorfismo de bidualidad","canonical identification with the double dual","adopted","SGA5_FR_WORKPASS:3476-3486; Exposé III §5.1","Use bidualidad in the standard categorical sense"
"SGA5-TERM-128","composition de correspondances","composición de correspondencias","convolution-style composition through the middle factor","adopted","SGA5_FR_WORKPASS:3526-3569; Exposé III §5.2","Use composición and preserve the order (u,v) maps to vu"
"SGA5-TERM-129","correspondance composée","correspondencia compuesta","fiber-product correspondence obtained by composing two supports","adopted","SGA5_FR_WORKPASS:3560-3569; Exposé III §5.2","Use compuesta for the resulting correspondence"
"SGA5-TERM-130","correspondance d'intersection","correspondencia de intersección","correspondence on the intersection fiber product","adopted","SGA5_FR_WORKPASS:3609-3617; Exposé III §5.2","Distinguish the intersection correspondence from the composed correspondence"
"SGA5-TERM-131","terme local de Verdier","término local de Verdier","Verdier local contribution computed by a diagonal construction","adopted","SGA5_FR_WORKPASS:3690-3700; Exposé III §5.3","Retain Verdier's name and use término local consistently with the general ledger decision"
"SGA5-TERM-132","faisceau cohérent","haz coherente","coherent module sheaf in the Grothendieck-duality appendix","adopted","SGA5_FR_WORKPASS:3702-3716; coherent-sheaf Appendix","Use haz coherente in standard Spanish algebraic geometry"
"SGA5-TERM-133","perfection relative","perfección relativa","relative perfectness over a base scheme","adopted","SGA5_FR_WORKPASS:3728-3742; SGA 6 III 4","Use perfección for the finiteness property and perfecto relativo for objects"
"SGA5-TERM-134","complexe parfait relatif à S","complejo perfecto relativo a S","complex of finite relative Tor dimension with coherent cohomology","adopted","SGA5_FR_WORKPASS:3728-3767; coherent-sheaf Appendix §6.2","Preserve relativo a S; do not collapse this into absolute perfectness"
