"coverage_id","lane_scope","source_audit_artifact","row_source_artifact","row_count","current_url_summary","local_anchor_summary","source_level_status","pdf_html_fallback_status","license_or_access_signal_summary","exact_gap_or_blocker","next_source_canon_action","upload_policy","non_claim_boundary"
"R7COV011","Brunei/Singapore official route reinforcement","NOETHER_R7_BRUNEI_SINGAPORE_OFFICIAL_ROUTE_REINFORCEMENT_20260705.md","NOETHER_R7_BRUNEI_SINGAPORE_OFFICIAL_ROUTE_REINFORCEMENT_ROWS_20260705.csv","19","Rows record one DBP access blocker, Brunei MOE curriculum/SPN21/download routes, Brunei MOE PDF fallbacks, Singapore MOE/SEAB route tables, and GitHub source-package gaps.","No raw HTML/PDF payload is stored in outputs; Brunei PDF probes used temporary files and deleted them after hash/text checks.","No matching public GitHub TeX/source package or route-source repository found for Brunei/Singapore route clusters.","Official route and policy/curriculum provenance only; exact Malay higher-algebra proof prose remains absent or blocked.","Official public routes have no explicit open redistribution license observed; no license clearance claimed.","DBP/MABBIM direct route still fails under SSL; Singapore pages separate Mathematics from Malay-language rows with no Malay math overlap.","Use as Brunei/Singapore exact-content gap reinforcement; retry DBP TLS/browser route and item-level official math documents.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV012","SEA/Pacific source-return retry normalization","NOETHER_R7_SEA_PACIFIC_SOURCE_RETURN_RETRY_NORMALIZATION_20260705.md","NOETHER_R7_SEA_PACIFIC_SOURCE_RETURN_RETRY_NORMALIZATION_ROWS_20260705.csv","22","Rows record Khmer glossary/index routes, Lao JICA/Learning Passport routes, Santali Bharatavani routes, DepEd/Tagalog glossary routes, Hmong/Cambium blockers, Mien/Mon/Zhuang gaps, and GitHub source-package gaps.","No raw HTML/PDF payload is stored in outputs; PDF probes used temporary files and deleted them after hash/text checks.","No matching public GitHub TeX/source package or route-source repository found for Khmer/Lao/Santali/Cebuano/Hiligaynon clusters.","Source-return provenance only: glossary, lower-math, primary textbook, listing, language-context, platform, or blocker rows; no higher-algebra proof prose captured.","Public route/license signals vary by host; no license clearance claimed.","Cambium Filipino/Hmong routes return HTTP 403; JICA legacy route returns 404; Zhuang remains search-gap; Santali reading/PDF access remains uncaptured.","Use as SEA/Pacific retry/source-return state; continue official/university and item-level source acquisition before any downstream use.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV013","Malay-Indonesian publication source-package frontier","NOETHER_R7_MALAY_INDONESIAN_PUBLICATION_SOURCE_PACKAGE_FRONTIER_20260705.md","NOETHER_R7_MALAY_INDONESIAN_PUBLICATION_SOURCE_PACKAGE_FRONTIER_ROWS_20260705.csv","13","Rows record current remote publication hash matches, live access blockers, a Neliti HTML-wrapper route, GitHub rate-limit/source-package gaps, repository zero results, and secondary web false positives.","No raw HTML/PDF payload is stored in outputs; publication probes were remote hash/access checks only.","No matching public GitHub repository source packages found; code search was partial zero then rate-limited for Indonesian exact-title clusters.","Publication PDF fallback and candidate/fallback evidence only; no TeX/LaTeX/e-print/source archive package captured.","License/access signals vary by journal and route; no license clearance claimed.","UIN host DNS failed; Unipasby returned HTTP 403; UNPATTI returned HTTP 404; Neliti route returned HTML wrapper at prior PDF URL.","Repeat exact title/DOI/author/journal/source-host searches after rate-limit reset and keep ONMIPA/coursework TeX separate from article-source claims.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV014","PRPM/MABBIM comparator boundary refresh","NOETHER_R7_PRPM_MABBIM_COMPARATOR_BOUNDARY_REFRESH_20260705.md","NOETHER_R7_PRPM_MABBIM_COMPARATOR_BOUNDARY_REFRESH_ROWS_20260705.csv","14","Rows record current 200 PRPM/MABBIM comparator routes, one negative Noether query probe, DBP Brunei TLS blocker, DBP public-context route, and Kemendikdasmen timeout.","No raw HTML/PDF payload is stored in outputs; prior PRPM/MABBIM local snapshots remain pointers to the canonical source tree and new rows are remote-hash metadata only.","No TeX/LaTeX/e-print/source archive package captured; PRPM/MABBIM rows are official search or term-table provenance rather than publication source packages.","Comparator, governance-context, negative-query, and access-blocker evidence only; no corpus proof prose or local adoption content is captured.","PRPM pages show official DBP/PRPM access with copyright/licensing not established; all rows say no license clearance claimed.","Current PRPM remote hashes can differ from archived local snapshots; Brunei DBP still fails under SSL/TLS; Kemendikdasmen PDF route timed out; Noether query has no exact result signal.","Keep PRPM/MABBIM outside translation support and retry Brunei DBP via browser/manual TLS or alternate item URLs while searching for true source packages.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV015","GitHub rate-limit retry source-package search","NOETHER_R7_GITHUB_RATE_LIMIT_RETRY_SOURCE_PACKAGE_SEARCH_20260705.md","NOETHER_R7_GITHUB_RATE_LIMIT_RETRY_SOURCE_PACKAGE_SEARCH_ROWS_20260705.csv","13","Rows record a clean post-rate-limit GitHub code/repository retry for 11 exact Malay-Indonesian/JQMA/UPM clusters plus empty-repo and ONMIPA context metadata.","No raw TeX/PDF/source payload is stored in outputs; GitHub evidence is API query status, repository/tree/blob metadata, URLs, and explicit gap rows only.","No target publication TeX/LaTeX/e-print/source package found; one empty Struktur-Aljabar repository and two adjacent ONMIPA TeX context hits were classified as non-target source evidence.","Zero-result source-package gaps dominate; ONMIPA remains adjacent exam/prep context and not a target article package; empty repository is context only.","GitHub metadata shows no detected license for the repository hits; no license clearance claimed.","Prior GitHub rate-limit ambiguity is closed, but source-package gaps remain for Indonesian article clusters, JQMA Malay title, and UPM course clusters.","Continue journal/repository/author-sidecar searches; keep ONMIPA and empty-repo metadata separate from article-source claims.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV016","Brunei DBP HTTP fallback route capture","NOETHER_R7_BRUNEI_DBP_HTTP_FALLBACK_ROUTE_CAPTURE_20260705.md","NOETHER_R7_BRUNEI_DBP_HTTP_FALLBACK_ROUTE_CAPTURE_ROWS_20260705.csv","12","Rows separate DBP Brunei HTTPS reset/SSL blockers from HTTP fallback routes that return 200 and hashable official MABBIM/governance HTML.","No raw HTML/PDF/source payload is stored in outputs; HTTP fallback rows carry remote hashes, byte counts, protocol status, and signal counts only.","No TeX/LaTeX/e-print/source archive package found; DBP rows are official route/governance provenance rather than mathematical publication/source packages.","HTTP MABBIM page has MABBIM and one mathematics signal but zero Aljabar/Gelanggang/Modul/Noether signals; related routes have no higher-algebra signals.","Official DBP public HTTP routes have no explicit open redistribution license observed; no license clearance claimed.","HTTPS remains blocked for direct tooling; HTTP fallback closes broad access blocker but exact Brunei higher-algebra source content is still absent.","Use HTTP fallback as route provenance and continue item-level DBP/MOE math terminology/source search.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV017","Cambodia OER/Krou math route capture","NOETHER_R7_CAMBODIA_OER_KROU_MATH_ROUTE_CAPTURE_20260705.md","NOETHER_R7_CAMBODIA_OER_KROU_MATH_ROUTE_CAPTURE_ROWS_20260705.csv","12","Rows add Cambodia MoEYS/OER official mathematics route provenance, CC BY site-signal sidecars, Krou SSL blockers, and MoEYS storage wrapper rows.","No raw HTML/PDF/image/source payload is stored in outputs; rows carry remote hashes, byte counts, signal fields, and blocker notes only.","No TeX/LaTeX/e-print/source archive package or exact curriculum PDF body found; OER rows are official route/listing/curriculum-page provenance.","OER upper-secondary Mathematics page is a hashable Grade 10/11/12 route with CC BY site signal, but exact higher-algebra proof prose remains absent.","OER site shows Creative Commons Attribution 3.0 signal; all rows still say no license clearance claimed.","Krou Grade 12 mathematics route is search-visible but SSL-blocked; MoEYS storage PDF candidates returned tiny text/plain wrappers instead of PDFs.","Use OER as official Cambodia route anchor, retry Krou/manual TLS, and continue item-level math document discovery.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV018","Lao JICA primary math PDF set capture","NOETHER_R7_LAO_JICA_PRIMARY_MATH_PDF_SET_CAPTURE_20260705.md","NOETHER_R7_LAO_JICA_PRIMARY_MATH_PDF_SET_CAPTURE_ROWS_20260705.csv","16","Rows expand Lao JICA evidence from sample rows to the full exposed Grade 1-5 official mathematics PDF set plus portal hash.","No raw PDF/HTML/source payload is stored in outputs; PDFs were downloaded to temp, hashed, byte-counted, and deleted immediately.","No TeX/LaTeX/e-print/source archive found; official PDF fallback set only, covering primary textbooks and teacher guides.","Complete official primary-math PDF provenance, not higher-algebra proof prose and not Noether translation support.","Official JICA public routes have no explicit open redistribution license observed; no license clearance claimed.","Lao source-canon provenance is stronger at primary level, but secondary/university algebra/ring/module/group sources remain absent.","Keep as official Lao primary-math provenance and search separately for higher-algebra or source-level material.","manifest_only_temp_hash_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV019","Philippines DepEd LRMDS language math route capture","NOETHER_R7_PHILIPPINES_DEPED_LRMDS_LANGUAGE_MATH_ROUTE_CAPTURE_20260705.md","NOETHER_R7_PHILIPPINES_DEPED_LRMDS_LANGUAGE_MATH_ROUTE_CAPTURE_ROWS_20260705.csv","5","Rows refine Cebuano/Sinugbuanong Binisaya and Hiligaynon DepEd/LRMDS item/listing routes with live hashes, language/math/download signals, and file-body gaps.","No raw HTML/PDF/DOCX/source payload is stored in outputs; rows carry route hashes and signal fields only.","No TeX/LaTeX/e-print/source archive found; no direct unauthenticated file body URL exposed for item pages in this pass.","Official lower-grade item/listing route provenance only; not higher-algebra proof prose and not target article/source packages.","DepEd LRMDS pages show public route and terms/copyright/conditions signals; no license clearance claimed.","Item pages expose View/Download or PDF signals but exact file bodies remain uncaptured under current access pattern.","Use as official Philippine-language lower-math source-return provenance and continue file/body or university-source discovery.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV020","Santali Bharatavani/Sanchika math PDF capture","NOETHER_R7_SANTALI_BHARATAVANI_SANCHIKA_MATH_PDF_CAPTURE_20260705.md","NOETHER_R7_SANTALI_BHARATAVANI_SANCHIKA_MATH_PDF_CAPTURE_ROWS_20260705.csv","8","Rows upgrade Santali evidence from listing/item metadata to exact BVP06068 Sanchika PDF bitstream plus license sidecar hash.","No raw PDF/HTML/image/text/source payload is stored in outputs; PDF and license bitstreams were downloaded to temp, hashed, byte-counted, and deleted immediately.","No TeX/LaTeX/e-print/source archive found, but exact repository PDF body and rights sidecar are hashable.","Strong Santali mathematics textbook PDF witness for Classes VI-VIII/Ol Chiki; still PDF fallback and not translation authority.","Sanchika license sidecar is a copyright notice; no license clearance claimed.","Bharatavani reading route remains login-context, but Sanchika bitstream closes exact PDF-body provenance for BVP06068.","Keep as strongest Santali math source witness and continue source-level/higher-algebra searches separately.","manifest_only_temp_hash_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV021","Hmong/Filipino Cambium indexed glossary access boundary","NOETHER_R7_HMONG_FILIPINO_CAMBIUM_INDEXED_GLOSSARY_ACCESS_BOUNDARY_20260705.md","NOETHER_R7_HMONG_FILIPINO_CAMBIUM_INDEXED_GLOSSARY_ACCESS_BOUNDARY_ROWS_20260705.csv","8","Rows record search-indexed Cambium/Smarter Balanced Hmong and Filipino mathematics glossary PDF/resourceitem routes plus current direct 403 blockers.","No raw PDF/JSON/HTML/text/source payload is stored in outputs; all direct Cambium body probes returned 403 with no hashable payload.","No TeX/LaTeX/e-print/source archive found; search-indexed PDF/resourceitem routes are source-return candidates only.","Glossary route provenance and access-boundary evidence only; no exact PDF/JSON body captured and no translation authority.","Public Cambium assessment-resource URLs are search-visible but direct access is forbidden in current tooling; no license clearance claimed.","Search-index snippets expose candidate glossary routes, but current direct retrieval cannot capture byte counts, hashes, or local paths; pattern slugs remain blocker rows.","Retry via browser/manual route or official alternate API, then hash temp payloads if access opens; keep index excerpts out of translation support.","manifest_only_indexed_route_or_blocker_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV022","Myanmar LearnBig math textbook PDF capture","NOETHER_R7_MYANMAR_LEARNBIG_MATH_TEXTBOOK_PDF_CAPTURE_20260705.md","NOETHER_R7_MYANMAR_LEARNBIG_MATH_TEXTBOOK_PDF_CAPTURE_ROWS_20260705.csv","8","Rows add Myanmar/Burmese LearnBig item pages and exact temp-hashed kindergarten, Grade 5, Grade 6, and Grade 10 mathematics PDF bitstreams.","No raw PDF/HTML/text/source payload is stored in outputs; PDF bitstreams were downloaded to temp, hashed, byte-counted, and deleted immediately.","No TeX/LaTeX/e-print/source archive found; exact PDF fallback witnesses only.","Strong Myanmar/Burmese mathematics textbook PDF provenance, including Grade 10 secondary math, but not translation authority and not source-level TeX.","LearnBig pages carry Ministry/committee attribution and educational-use conditions; no license clearance claimed.","Official-source route beyond LearnBig/S3 still needs confirmation; no editable source package or higher-algebra publication source found.","Search official Myanmar MOE/source archive routes and university/journal algebra materials; keep LearnBig rows as PDF fallback witnesses.","manifest_only_temp_hash_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV023","Timor-Leste Learning Passport math metadata capture","NOETHER_R7_TIMOR_LESTE_LEARNING_PASSPORT_MATH_METADATA_CAPTURE_20260705.md","NOETHER_R7_TIMOR_LESTE_LEARNING_PASSPORT_MATH_METADATA_CAPTURE_ROWS_20260705.csv","29","Rows record the Timor-Leste Learning Passport landing page, public route JavaScript, and 27 hashable mathematics course metadata endpoints with 825 listed items.","No raw HTML/JS/JSON/PDF/video/text/source payload is stored in outputs; remote bodies were hashed in memory and represented by row metadata only.","No TeX/LaTeX/e-print/source archive found; public course metadata route evidence only.","Strong Timor-Leste/Tetun-Portuguese mathematics course route provenance, but no exact lesson/PDF/video/source body captured.","Public Learning Passport routes expose metadata without explicit open redistribution license; no license clearance claimed.","Metadata endpoints list course and item titles only; exact file bodies and source packages remain uncaptured under unauthenticated access.","Probe official item-body/file APIs or locate downloadable Timor-Leste mathematics PDFs corresponding to the course IDs.","manifest_only_remote_hash_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV024","Maori Pangarau Tahurangi PDF/access capture","NOETHER_R7_MAORI_PANGARAU_TAHURANGI_PDF_ACCESS_CAPTURE_20260705.md","NOETHER_R7_MAORI_PANGARAU_TAHURANGI_PDF_ACCESS_CAPTURE_ROWS_20260705.csv","12","Rows record three exact temp-hashed official Pangarau PDF bitstreams plus Kauwhata/Education Counts/UNESCO/IAOED access and wrapper blockers.","No raw PDF/HTML/text/source payload is stored in outputs; PDF and wrapper probes were temp-hashed and deleted immediately.","No TeX/LaTeX/e-print/source archive found; exact official PDF fallback plus access-boundary rows only.","Strong Aotearoa Maori/Pangarau curriculum PDF provenance, while official page and Te Reo BES body routes remain blocked or wrapper-only.","Official Ministry/Tahurangi blob routes are public; Kauwhata and Education Counts pages direct-403; legacy UNESCO/IAOED routes have wrapper/TLS blockers; no license clearance claimed.","Maori-language official page bodies and Te Reo BES PDF body remain uncaptured under current access; direct PDFs are English-version/fallback curriculum PDFs.","Retry Kauwhata/Education Counts through browser/manual access, resolve Te Reo PDF body, and search for source packages/resource bundles beyond PDF fallback.","manifest_only_temp_hash_or_blocker_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
