"branch_head","language_or_bucket","source_area","extension","file_count","total_bytes","source_use_label"
"212dfb1c7728f7c23274714434aa35d590e1aab7","audit","generated-draft",".md","3","9150","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","az","bodies",".html","1","26497","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","az","bodies",".pdf","2","10376218","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","az","bodies",".wiki","12","330810","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","az","ocr-witnesses",".txt","2","1092538","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","az","source-rescribe-workpass",".txt","2","11176","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ba","bodies",".html","2","128475","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ba","bodies",".wiki","14","468371","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ba","source-rescribe-workpass",".txt","2","15281","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","fable-pan-turkic","generated-draft",".csv","7","204717","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","fable-pan-turkic","generated-draft",".jsonl","1","1347","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","fable-pan-turkic","generated-draft",".md","2","2399","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","governance","generated-draft",".csv","4","12593","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","kk","bodies",".html","2","250020","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","kk","bodies",".pdf","1","1512894","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","kk","bodies",".txt","2","188732","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","kk","bodies",".wiki","13","76672","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","kk","ocr-witnesses",".txt","5","1781069","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ky","bodies",".html","2","63222","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ky","bodies",".pdf","4","24206616","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ky","bodies",".wiki","3","9368","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ky","ocr-witnesses",".txt","5","170559","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ky","source-rescribe-workpass",".txt","2","8267","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","mutual-wake","generated-draft",".csv","1","2830","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","mutual-wake","generated-draft",".md","1","631","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","source-recovery","generated-draft",".csv","13","159576","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","source-recovery","generated-draft",".json","3","118455","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","source-recovery","generated-draft",".md","6","7107","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","standardization-heuristics-20260706","generated-draft",".csv","11","143802","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","standardization-heuristics-20260706","generated-draft",".md","1","2820","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","term-occurrences","generated-draft",".csv","4","1745441","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","term-occurrences","generated-draft",".md","1","1184","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tk","bodies",".html","5","210238","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tk","bodies",".pdf","2","1149911","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tk","bodies",".wiki","5","8939","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tk","ocr-witnesses",".txt","2","110010","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tk","source-rescribe-workpass",".txt","6","201805","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".cfg","1","139","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".md","10","114662","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".pdf","4","1407166","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".sty","4","39312","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".tex","28","930045","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".txt","7","957784","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","bodies",".zip","1","455106","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr","ocr-witnesses",".txt","4","209014","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","transition-support","generated-draft",".csv","3","75252","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","transition-support","generated-draft",".md","1","1242","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","bodies",".html","3","1166303","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","bodies",".pdf","3","4762745","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","bodies",".txt","1","2927241","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","bodies",".wiki","6","18432","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","ocr-witnesses",".txt","3","1124316","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tt","source-rescribe-workpass",".txt","3","1992838","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies","","1","73442","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".html","11","568512","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".jpg","1","113776","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".log","1","0","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".md","2","1055","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".pdf","3","252569","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".sty","1","41503","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".tex","6","35496","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".wiki","1","6124","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","bodies",".zip","2","454705","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug","source-rescribe-workpass",".txt","11","500260","source-rescribe-workpass/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","uz","bodies",".html","6","1551582","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","uz","bodies",".pdf","1","1098440","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","uz","bodies",".txt","1","17841","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","uz","bodies",".wiki","12","92921","source-witness/source-body"
"212dfb1c7728f7c23274714434aa35d590e1aab7","uz","ocr-witnesses",".txt","5","55016","ocr-witness/recovery"
"212dfb1c7728f7c23274714434aa35d590e1aab7","validation","generated-draft",".csv","2","2520","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","validation","generated-draft",".md","2","9096","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","zero-row-blocker-payload-20260706","generated-draft",".csv","4","29267","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","zero-row-blocker-payload-20260706","generated-draft",".md","1","2331","generated-draft/noncanonical"
