authority_pdf_page	source_volume_page	paper_folio	unique_printed_page	prompt_id	work_disposition	capture_disposition	section_or_boundary_marker	raster_geometry	image_fallback_rule	copy_matter_exclusion
11	255	255	255	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
12	256	256	256	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 3. Relation between De Rham Homotopy Theory and Classical Homotopy Theory	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
13	257	257	257	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
14	258	258	258	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
15	259	259	259	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
16	260	260	260	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 4. Formality of Differential Algebras	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
17	261	261	261	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
18	262	262	262	P03	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 5. The De Rham Complex of a Compact Kähler Manifold	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
19	263	263	263	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
20	264	264	264	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
21	265	265	265	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
22	266	266	266	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
23	267	267	267	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
24	268	268	268	P04	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
25	269	269	269	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
26	270	270	270	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 6. The Main Theorem and Two Proofs	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
27	271	271	271	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
28	272	272	272	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 7. An Application	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
29	273	273	273	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
30	274	274	274	P05	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Q.E.D.; References 1-21; four address blocks; received line; terminal blank remainder	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
