item,tex/source form,Spanish policy,Japanese policy,notes
Fraktur uppercase S,\frS = \mathfrak S,sistema de funciones / symbol unchanged,関数系 / 記号は保持,Paper14 uses Fraktur S for systems of functions/forms
Fraktur p,\frp = \mathfrak p,ideal primo \frp,素イデアル \frp,Point-generating prime ideal
"Fraktur a,b,c,r,m","\fra, \frb, \frc, \frr, \frm",ideal variables preserved,イデアル変数として保持,Class/residual correspondence formulas
Fraktur f,\frf = \mathfrak f,conductor / ideal de puntos dobles by context,導手 / 二重点イデアル,Key Paper14 comparison term
Fraktur D,\frD = \mathfrak D,diferente / ideal de ramificación by context,異なるもの / 分岐イデアル,Different/ramification ideal formulas
Calligraphic polygons,"\calA, \calB, \calN",polígonos/divisores; symbols unchanged,多角形/除数; 記号は保持,Polygon class discussion
ell prime,\ell,preserve \ell in power-residue context,冪剰余文脈で \ell を保持,Avoid confusing with l-adic ell or numeral 1
German report title,Zahlbericht,retain German named title in roman/quotes,ドイツ語表題として保持,Hilbert named report
Paper 15 Fraktur group,\frH = \mathfrak H,grupo \frH,群 \frH,Finite group in §4.
Number field,\frK = \mathfrak K,cuerpo numérico \frK,数体 \frK,Generated by substitution coefficients.
Relation module,\frM = \mathfrak M,módulo \frM,加群 \frM,Module of identical relations.
Quadratic-relation module,\frN = \mathfrak N,módulo \frN,加群 \frN,Module generated by f_{ik,rs}.
Power-product system,\frS = \mathfrak S,sistema \frS,系 \frS,Power-product system in Theorem II.
Modulo helper,\tmod{#1},preserve formula form,数式で保持,Defined locally but not required in body output.
Determinant shorthand,(ik),preserve as (ik),数式で保持,Determinant alpha_i beta_k - beta_i alpha_k.
Residue-class indeterminates,\xi_{ik},preserve as \xi_{ik},数式で保持,Core notation in §3.
Basis invariant,\mathfrak I_i(x),invariante \mathfrak I_i(x),不変式 \mathfrak I_i(x),§4 added basis functions.
Partial derivative macro,\p = \partial,preserve as formula macro or define locally,数式マクロとして保持 / 未定義なら定義,Paper 16 formulas (5)--(8).
Modulo helper,\modu{#1},preserve formula form with operatorname,数式で保持,Used in formulas (1)--(3) and congruence before (10).
Greek capital Phi,\Phi,forma normal \Phi,正規形 \Phi,Core normal form symbol.
Greek capital Omega,\Omega,proceso \Omega,\Omega 過程,Series-expansion and correction formulas.
Greek Delta,\Delta,determinante \Delta,行列式 \Delta,Determinant of rows x,y,z.
Line-coordinate symbol,p_{ik},coordenadas de recta p_{ik},直線座標 p_{ik},Relations module in opening construction.
Complex-coordinate symbols,"t_i,t_{ik},t_{ikl}",coordenadas complejas/symbols unchanged,複素座標; 記号は保持,Normal-form expansion levels.
Power operator S,S=AB,operador S,作用素 S,Fischer operator in formulas (4)--(10).
Indexed coefficients,"a_i,c_i,\alpha_{ij},\beta_\rho",preserve indices and rational-number interpretation,添字と有理数解釈を保持,Explicit representation up to numerical coefficients.
Numbered equations,"(1)--(10), plus (2a)",preserve source numbering with \tag,\tag で番号を保持,No silent renumbering.
\mM; \mN; \mL,\mathfrak{M}; \mathfrak{N}; \mathfrak{L},Module symbols; preserve Fraktur in all languages.
\mG,\mathfrak{G},Residue-group symbol.
\mA; \mB; \mbarA; \mbarB,Fraktur subgroup symbols and overlined residue groups,Used for subgroup/isomorphic residue-group correspondence.
\ma; \mb; \mx; \my; \mz; \me,small Fraktur residue classes and unit,Maintain as math symbols; do not translate letters.
F\equiv G(\mM),congruence modulo a module,Kept source parenthetical notation; not rewritten as \pmod.
[\mM;\mN],least common multiple of modules,Bracket notation preserved.
(\mM;L),module generated by \mM and left multiples of L,Parenthetical module notation preserved.
Paper17 title source,"Differential- und Differenzenausdrücke",render title with both differential and difference expressions,表題では微分式および差分式を明示,Updated cumulatively from Batch26 source/control.
Fraktur subgroup cluster,"\mathfrak H, \mathfrak A_i, \mathfrak A_\varkappa",preserve as subgroup/group symbols,部分群/群記号として保持,Paper 17 §10 decomposition proof.
isomorphism classes,"t_{1i}, t_{i1}, t_{i\varkappa}",preserve subscripts exactly,添字を正確に保持,Formulas (31)--(35).
lambda matrix,"\lambda_{\rho\sigma}",preserve Greek lambda matrix notation,ギリシア文字の行列記法を保持,Formula (39).
residue-group symbols,"\xi, \eta",translate surrounding ODE text; preserve symbols,周囲の微分方程式文脈を訳し記号は保持,Paper 17 §12 examples.
resultant form,"R_{\mathfrak M}, R^{(i)}, Q^{(i)}",preserve as editable TeX,editable TeXとして保持,Paper 18.
primary decomposition,"[\mathfrak Q,\mathfrak Q_1,\ldots,\mathfrak Q_r]=[\mathfrak Q,\mathfrak L]",preserve bracket notation,角括弧記法を保持,Paper 18.
ideal macro,\ideal M -> \mathfrak{M},Use for all fraktur ideal letters in editable TeX,同じ,Local macro is \providecommand{\ideal}[1]{\mathfrak{#1}}.
ring domain symbol,\Sigma,Dominio de anillos base,基礎環領域,Keep Greek capital Sigma as source.
component exponent,\varrho,exponente / índice según syntax,指数 / 添字,Avoid replacing by rho.
component index,\sigma,número de componentes,成分数,Paper 19 decomposition formulas.
lcm bracket,"[A,B] or [\ideal A\ideal B]",mínimo común múltiplo,最小公倍数,Do not silently convert to intersection notation.
gcd parentheses,"(A,B)",máximo común divisor,最大公約数,Retain source notation in formulas.
proper divisibility sign,\equiv0(\ideal M),divisible by / congruent to zero modulo ideal,割り切られる / 合同零,Translate contextually; formulas unchanged.
lambda correction,\lambda\ge2,Use German-source inequality; not English-control malformed \lambda gtr 2,German source に従い \lambda\ge2,Recorded scan/source-control correction in §2 footnote.
barred prime ideal,\bar{\ideal P},preserve barred fraktur expression,上線付きフラクトゥールを保持,Used in Theorem VIII proof.

# Paper 19 part 2 additions
symbol_or_string,meaning,es_policy,ja_policy,note
\ideal D,unit ideal / all-element ideal,ideal unitario,単位イデアル,Footnote in §6 warns D is not necessarily a product unit.
\widehat{\ideal S}_i,complement-chain notation for lcm proof,complemento / notación de cadena,補元鎖の記法,Preserved as editable TeX.
\bar{\ideal R}_i,second representation component,segunda componente de representación,第二表示の成分,Preserved with bar rather than renaming.
[\ideal A\cdots\ideal B],least common multiple of ideals,mínimo común múltiplo,最小公倍数,Do not render as product unless source states equality.
\eqzero{\ideal A},congruence/divisibility modulo ideal,divisible/congruente módulo ideal,割り切れる／合同,Macro added in preamble for sections 9--12.
(\Sigma,T),double domain,dominio doble,二重領域,Module context in §9.
\mathfrak A,\mathfrak B,\mathfrak C,matrix classes,clases de matrices,行列の類,Fraktur capitals preserved.
(a_1\mid\cdots\mid a_n),elementary divisor system,sistema de divisores elementales,初等因子系,Vertical bars preserved.
\sim,class equivalence,equivalencia de clases,類同値,Preserved exactly.

# Paper 20-21 symbol delta
symbol,context,policy
\Phi(Z),Paper 20 algebraic equation for coefficients,Preserve uppercase Phi and argument; do not translate symbol.
\mathfrak P,Paper 20 prime ideal over coefficient ring,Use Fraktur P macro from cumulative method support.
"\zeta(u,a,b)",Paper 20 reducibility form specialization,Keep three-argument function notation exactly.
"\varrho, \sigma, \tau",Paper 20 degree indices,"Keep Greek letters; do not substitute Latin r,s,t."
N(\zeta(u)),Paper 20 norm/resultant-style expression,Keep operator N and parentheses as source/control.
"R(Z,u)",Paper 20 rational expression in proof,Preserve capitalization; no semantic renaming.
"\psi_\mu(d,\delta)",Paper 21 Lagrange expressions,Keep subscript and arguments; Spanish/Japanese text identifies as Lagrange expressions.
"p^\sigma(d,\delta)",Paper 21 covariant differential components,Keep superscript sigma; source has sigma-indexed family.
"\Omega, K",Paper 21 curvature forms,Keep displayed formulas (144)-(146) editable TeX.
\left[\begin{smallmatrix}ik\\ \mu\end{smallmatrix}\right],Paper 21 Christoffel-style bracket,"Preserve bracket notation, no conversion to Gamma symbols."
\left\{\begin{smallmatrix}ik\\ \sigma\end{smallmatrix}\right\},Paper 21 Christoffel/Ricci notation,Preserve brace notation as source notation.
G_\rho,Paper 21 finite-parameter group,Text clarifies finite-parameter sense.

# Paper 22 symbol delta
symbol_or_string,meaning,es_policy,ja_policy
\zero{...},congruence/divisibility convention \equiv0\pmod{...},Preserve as editable TeX; translate text contextually.,可除性／合同零を表す約束。TeX のまま保持。
\Gmod_{i-1}\mid\Mmod_{i-1},residue-class system of fundamental module modulo module,"sistema de clases residuales, not quotient set in prose only",基本加群の剰余類系として訳す
N(\Gmod\mid\Amod),norm of module transition,norma; keep N and vertical bar notation,ノルム。記号 N と縦棒を保持
R^{(i)}(x),resultant factor/form at stage i,factor/forma resultante de etapa i,第 i 段の終結式因子／形式
E^{(i)}(x),elementary-divisor form at stage i,forma de divisor elemental,初等因子形式
"\bar R^{(i)}(z,x)",explicit decomposed resultant after auxiliary variables,preserve bar and arguments; do not rename,上線と引数を保持
y=U(x),linear transformation used to define transformed ideals,keep uppercase U and variable order,大文字 U と変数順序を保持
\Amod/\Bmod,Dedekind-style quotient of modules,cociente de módulos; not quotient space unless classes are named,加群の商。剰余類系とは区別
\mideal/\gideal_{i-1},ideal quotient used in §7,cociente de ideales,イデアルの商
\bar z_i=\bar x_i+v_1\bar x_1+\cdots,auxiliary-variable separating transformation,preserve barred variables and v-parameters,バー付き変数と v パラメータを保持
Paper 23 title,Algebraische und Differentialvarianten,Invariantes algebraicos y diferenciales,代数不変式と微分不変式,"Title translated by mathematical sense/content, aligned with English control"
general linear transformation,x_i=\sum_k s_{ik}x_k',preserve formula; grupo lineal general,数式保持; 一般線型群,Formula (1)
weight equation,"I(a',b',...,x',y',...)=\Delta^\rho I(...)",peso \rho; determinante de sustitución,重み \rho; 置換行列式,Formula (3)
formal differential group,"d x_i, d\delta x_i formulas",preserve d/δ distinction,d/δ の区別を保持,Formula (4)
covariant derivative brackets,"[\Omega_i], [\Omega_i^{(1)}], ...",editable TeX; no screenshot,編集可能な TeX; スクリーンショット不可,Reduction theorem passage
Weyl-Schouten Übertragung,"\psi_i(d\delta x,d x,\delta x)",conexión; note transmisión,接続; 伝達を注記,Modern coherence for geometry integration
frak polynomial domain,"\frakS","preserve symbol; translate surrounding domain as dominio de polinomios",記号を保持し周囲を多項式領域と訳す,Paper 24 §1
prime ideal,"\frakp","ideal primo \frakp","素イデアル \frakp",Paper 24
primary ideal,"\frakq","ideal primario \frakq","準素イデアル \frakq",Paper 24
norm notation,"N^{(i)}, N^{(i)}_{[\fraka]}","norma; keep superscripts/subscripts","ノルム; 上添字/下添字保持",editable TeX
elementary divisor form,"E^{(i)}, P^{(i)}",forma de divisores elementales,初等因子形式,central Paper 24 notation
coordinate transform,"x_i=\sum_\nu u_{i\nu}y_\nu",preserve transformation numbering (1)/(1'),変換番号 (1)/(1') を保持,Paper 24 §1
zero system,"y_1^{(\nu)},\ldots,y_n^{(\nu)}",sistema de ceros,零点系,Theorem IV
Galois body,cuerpo de Galois,Galois 体,do not replace by modern closure terminology,use body/体 wording
dimension term,Dimension schlechthin,dimensión sin más,単にいう次元,keep contrast with Höchstdimension
prime-chain dimension,"\frakp_0=\frakp;\;\frakp_1,\ldots,\frakp_{n-i};\;\frakp_{n-i+1}",keep chain display intact,鎖表示を保持,Theorem VII
fundamental ideals,"\frakg_i,\frakh_i",ideal fundamental / associated stage,基本イデアル / 段,Theorem VIII and Lemma VI
norm factors,"Q_\lambda^{(i)},P_\lambda^{(i)},R^{(i)}",preserve indices and powers,添字と冪を保持,Theorems X-XI
characteristic-p examples,"p^g,p^f,P^{(2)}",do not normalize imperfect-field examples,不完全体例を正規化しない,Theorem XIV examples
absolute prime,"\mathfrak K,\mathfrak o^*,\mathfrak p^*",keep Fraktur/star notation,Fraktur と星印を保持,Theorems XVI-XVII

N25 norm notation,"N(\mathfrak a),N(\mathfrak p)",preserve norm symbols,ノルム記号を保持,Paper 25
N25 primary decomposition,"\mathfrak a=[\mathfrak q_1,\ldots,\mathfrak q_r]",preserve lcm bracket,最小公倍数括弧を保持,Paper 25
N25 linear factor product,"Q^{(i)}=\prod (x_i-lpha_{ij})",preserve product display,積表示を保持,Paper 25
N29 resolvent,"\Phi(z,u)=\prod_{k=1}^h(...) ",preserve Galois resolvent,リゾルベントを保持,Paper 29
N29 invariant coefficients,"G_{lphalpha_1\ldotslpha_n}(x)",preserve multi-index notation,多重添字を保持,Paper 29
N29 root-field hypothesis,"P^{1/p}",do not rewrite as algebraic closure,代数閉包に書き換えない,finite criterion context
Paper 30 Fraktur ring,\mR = \mathfrak{R},preserve as ring symbol,環記号として保持,Macro added to cumulative preamble
Paper 30 Fraktur fields,"\mK, \mL, \mG",preserve source symbol names,原記号を保持,Field/ring/extension symbols
Paper 30 ideals,"\ma, \mb, \mc, \mp, \mq",preserve Fraktur ideal letters,Fraktur イデアル文字を保持,Ideal letters throughout
bar notation,\mbar{\ma},preserve overline on ideal/module symbol,上線を保持,Integral closure/associated notation by context
ideal congruence,\pmod{\ma},modulo el ideal ...,イデアル ... を法として,Keep source modular notation
colon quotient,(\ma:\mb),cociente por dos puntos,コロン商,Do not rewrite to Hom notation
Greek rho,\varrho,preserve varrho,varrho を保持,Index/length notation
chain notation,\ma_1\supset\ma_2\supset\cdots,preserve inclusion direction,包含方向を保持,Divisor/multiple chain statements
composition-series symbols,\mathfrak{M}_i/\mathfrak{M}_{i+1},preserve quotient factors,商因子を保持,Paper 30 §10
Jordan--Hölder comparison,factor lists and permutation index,preserve formula structure,式構造を保持,Paper 30 §10

# Paper 31 additions
\bR=\mR[\bP],extension ring over algebraic closure,preserve barred fraktur R and P,上線付き Fraktur と P を保持,Defined in §3.
"[\mR,\bp_i]",contraction/intersection notation,do not rewrite as set-theoretic intersection only,集合交差だけに書き換えない,Contraction from extension ring to base ring.
"(0)=[\mq_1,\ldots,\mq_s]",lcm decomposition of zero ideal,preserve bracket notation,括弧の最小公倍数記法を保持,Primary/prime decomposition.
D_\mT,order discriminant,masculine el discriminante in running text,判別式として訳す,Formula preserved.
D_{\mT_\mP},localized order discriminant,preserve subscript nesting,添字の入れ子を保持,§8 quotient-ring passage.
S_{(\ma)}(\gamma),trace relative to class,traza respecto de la clase,類に関するトレース,§4--§5.
N(\gamma),norm relative to class/component,norma,ノルム,Keep N notation.
|S(\alpha_i\alpha_j)|,discriminant determinant,determinante discriminante,判別式行列式,Editable TeX; no image substitution.
\mT\mpideal,extension ideal in the order,ideal de extensión,拡大イデアル,No insertion of product dot unless source sense requires.
