action_id,source_relpath,action_kind,locator,latex_label,baseline_offset,baseline_line,baseline_column,insertion_text,baseline_file_sha256,successor_file_sha256,baseline_context_sha256,baseline_context,disposition
ega4.structural-target.sha256.0f4f46c16e08432d1e59101bca4a3965aed61c6d19abb222a9874a90443d9ecc,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.3.2,IV.11.2.3.2,22586,442,3,"\label{IV.11.2.3.2}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,844D00952DDF7740A95A3D2D7E5C952999A37CE4587C75C349C6619E12D1EA23,arrow{\varepsilon''\otimes 1}\mathrm{M}'\otimes_{\mathrm{A}'}\mathrm{N}'\to 0   \tag{11.2.3.2} \end{equation}  On the other hand there is a homomorphism of $\mathrm{A}'$-modules \[   v:\mathrm{R}'=\op,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.0b5bedaac61a58a6327f5d8f9035d2c57023c1ccbdf0c8be215f4fe4d0f1ee07,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.3.3,IV.11.2.3.3,23456,459,3,"\label{IV.11.2.3.3}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,4FD9FD80F25046FC7C791B0B410A140CF44B34E18ABC5D3F6CC33F2C5140C106,"\mathrm{N}' \ar[r] & \mathrm{M}'\otimes_{\mathrm{A}'}\mathrm{N}' \ar[r] & 0 }   \tag{11.2.3.3} \end{equation} is \emph{commutative}. For this, one verifies immediately $(\mathrm{M},~\mathrm{IV},~1)$ t",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.d023fb4513cb98b21ae3b979109ecfa8fc66d749a5417e44420975a64df65323,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.9.1,IV.11.2.9.1,48297,858,3,"\label{IV.11.2.9.1}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,CAA6C38CD13CE652181E2114E29AAAF976776A4D2EF107C8A547D1E1ED9A5169,{J}_\mu}(\mathrm{M}_\mu)   \end{cases}   \qquad\text{for }\lambda\leqslant\mu   \tag{11.2.9.1} \end{equation} are then bijective and $\operatorname{gr}^*_{\mathfrak{J}_\mu}(\mathrm{M}_\mu)$ is a flat ,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.2e4c1369b269808a85cf0591078050cae4fe747bd4de238cd0d56896eaec1cab,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.9.7,IV.11.2.9.7,70486,1133,3,"\label{IV.11.2.9.7}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,CD8CCD7BC43F3695EE3AEEE39360E46C0FF5DD94C0938EDF9FC8EF070E77E4EE,A}'}}   \operatorname{gr}^*_{\mathfrak{J}'}(\mathrm{M}')   \longrightarrow 0.   \tag{11.2.9.7} \end{equation}  Set \[   \mathrm{C}'_0=\mathrm{C}_0\otimes_{\mathrm{A}_0}\mathrm{A}'_0   =\mathrm{C}_0/\m,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.fcaf19b015d4e350162e10055b5dc04d5c67d3fb014ae77be009fad93b60643f,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.9.8,IV.11.2.9.8,71624,1163,3,"\label{IV.11.2.9.8}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,11226BF40CB19031C386BF2D321B5A9231B8A099E35C77A0C91F691D4832DBB8,"A}'}}   \operatorname{gr}^*_{\mathfrak{J}'}(\mathrm{M}')   \longrightarrow 0.   \tag{11.2.9.8} \end{equation}  \oldpage[IV-3]{131}  whence, by comparison with \hyperref[IV.11.2.9]{(11.2.9.7)}, an isom",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.860cbe877d335fd45e604a0486994669b13e348d49b71cfb55193571ab5e0c86,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.9.9,IV.11.2.9.9,77084,1219,1,"\label{IV.11.2.9.9}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,3E2DDE53D4CB62F5926C7B59B08095CAA5F5D598ECE0E92D8E98CA36A4F9B015,"m{N}_\lambda$. With this identification, we shall first prove: \begin{equation} \tag{11.2.9.9} \text{\emph{For $\lambda$ sufficiently large, the canonical homomorphism $v_\lambda:\mathrm{N}_\lambda\ot",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.3a342345786e9a8ebac3874891981bdf636fe270c3c6727de6bc4b6890c21420,source_aligned/ega4-11.tex,tag_label_before_tag,11.3.10.3,IV.11.3.10.3,115330,1689,3,"\label{IV.11.3.10.3}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,6DD5D4924D0A19AA52CD09D00C4576C494CC5AD58B432A8F9101581F660E8C7A,"peratorname{gr}^0(\mathrm{B})}\operatorname{gr}^*(\mathrm{B}) \ar[ur]_{w} & }   \tag{11.3.10.3} \end{equation}  The hypothesis $c)$ implies that $v$ is bijective $(\mathbf{0}_{\mathrm{III}},~10.2.1)$;",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.a385306f0b5b89b9e786a66f49bff880c18e01a956287384e280133432b4b85a,source_aligned/ega4-11.tex,bold_structural_anchor_before_heading,11.3.10.4,IV.11.3.10.4,116948,1697,1,"\phantomsection\label{IV.11.3.10.4}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,3419EAED45EBFD7B1E913D4FD9E2157DED369D6BDB7833DA7F45975008250897,"(ii) and (iii), holds, $\mathrm{B}$ is a flat $\mathrm{A}$-module. \end{proof}  \textbf{(11.3.10.4)} Lemma \sref{IV.11.3.10.2} being established, one deduces \sref{IV.11.3.10.1} by taking for $\mathfr",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.94421ec657f057a4c6953aae3277ac3625307ca3f8ca1d39a4918027e099f026,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.3.1,IV.13.2.3.1,13608,156,1,"\label{IV.13.2.3.1}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,8F322D55ACBB472FD88F22BC4BCE88126CF51CD5FAD7FB12F7028D3AC29CDAE2,"generic point of $Y$, $x$ a point of $X$, $y=f(x)$, and suppose that we have \[ \tag{13.2.3.1}   \dim(\sh{O}_x)=\dim(\sh{O}_y)+\dim(\sh{O}_x\otimes_{\sh{O}_y}k(y)). \] Then $f$ is equidimensional at t",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.2462bc0656b99658b27b9f97cb3b3edf9fe3ef321d32d274297a94cbf930b1ec,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.4.1,IV.13.2.4.1,14657,173,1,"\label{IV.13.2.4.1}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,22479C476FA9E54C13A4E08DDAEBAD5FD3E1DB32FE7AF67408A4A52FCBEB2CD4,"f[I]{I.5.2.2}, and $f'$ is of finite type \sref{IV.1.5.4}. Set, for brevity, \[ \tag{13.2.4.1}   A=\sh{O}_{Y,y},\quad B=\sh{O}_{X,x},\quad A'=\sh{O}_{Y',y},\quad B'=\sh{O}_{X',x}. \] The formula \sref",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.fc350153a01eda8728fbb266330c79576252e1444f9933ec71b007af1acdf5e0,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.4.2,IV.13.2.4.2,14883,178,1,"\label{IV.13.2.4.2}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,6B4ECD5F7D0FFF683C3A433938F07C9CBFF58C8FCC95FEF08DE76ABE4A3E1C55,"e dominant morphism $f'$ and to the irreducible preschemes $X'$, $Y'$, gives \[ \tag{13.2.4.2}   \dim(B')\leq\dim(A')+\dim(B'\otimes_{A'}k(y))-(\dim_x(f'^{-1}(y))-\dim(f'^{-1}(\eta'))) \] On the other",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.771280eea6804b092ae34facc1ecfe851bf5c0ed9156024b24575bfae2d04d0d,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.4.4,IV.13.2.4.4,15380,189,1,"\label{IV.13.2.4.4}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,41633DF11648AFBD6100CA18B7FA6DFA0EB5A3D839B7F0347B3169C289E4D56E," \] We deduce therefore first from \sref{IV.13.2.4.3} and \sref[0]{0.16.3.9} \[ \tag{13.2.4.4}   \dim(B')\leq\dim(A')+\dim(B'\otimes_{A'}k(y))\leq\dim(A)+\dim(B\otimes_A k(y)). \] Furthermore, by virt",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.96fac89f7919cd83bc6896a98d20afcdd13c97050b544374a66c90e7d4108f00,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.4.5,IV.13.2.4.5,15559,194,1,"\label{IV.13.2.4.5}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,AB5FF27ABC66AA202137027F1D61B69912892871A126B3FB26862B6C5AAC18C4," Furthermore, by virtue of \sref[0]{0.16.3.9}, we also have the inequalities \[ \tag{13.2.4.5}   \dim(B')\leq\dim(B)\leq\dim(A)+\dim(B\otimes_A k(y)). \] \end{env}  \oldpage[IV-3]{192}  Comparing thes",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.e12789175169839b23771780e89616272693f59193572fd4bcf3db660a2c73ac,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.6.1,IV.13.2.6.1,16998,234,1,"\label{IV.13.2.6.1}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,F75B3C00A4DC05C613196EBF88F30287CA5869D8D2113BA80FFB3771D05710CC,"re finite in number and that, by \sref{IV.5.1.2.1} and \sref[0]{0.14.2.1.1}, \[ \tag{13.2.6.1}   \dim(\sh{O}_{X,x})=\sup_i\dim(\sh{O}_{X_i,x}). \] The equivalence of conditions $b)$ and $c)$ in \sref{",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.f67d69feb22b275a510629a16d0da8e9e6b2e458b7e307b1f109193ee9caf8b9,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.9.1,IV.13.2.9.1,20031,287,3,"\label{IV.13.2.9.1}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,D2867A0F900AAA4D228E2DBE5D1EBCE3CFE22F98AD72F7DA3BAC588F44B07BC0,"))$, such that, for every $x'$ in a neighbourhood of $x$ in $Z$, we have   \[   \tag{13.2.9.1}     \dim(\sh{O}_{X,x'})=\dim(\sh{O}_{Y,y})+\dim(\sh{O}_{X,x'}\otimes_{\sh{O}_{Y,y}}k(y)).   \]   \item Th",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.0624c054d8881ddd00abdbd59120a758054ef419cd8f2fe36ecbb81ec711daa9,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.9.2,IV.13.2.9.2,20315,292,3,"\label{IV.13.2.9.2}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,599C439BB0E010F48441AE9720F5C3D78DE693C70AB201C8651DE48150E03C3C,"$\dim_x(f^{-1}(y))$, such that for the generic point $z$ of $Z$, we have   \[   \tag{13.2.9.2}     \dim(\sh{O}_{X,z})=\dim(\sh{O}_{Y,y}).   \] \end{enumerate} \end{corollary}  Let us show that $a)$ im",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.40069075bfc832bc0b50c6a58b20462e517c5640426f319ec0eac393e4b312fc,source_aligned/ega4-13.tex,tag_label_before_tag,13.2.10.2,IV.13.2.10.2,22290,319,3,"\label{IV.13.2.10.2}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,53E4A89CF39B6F933A196282CC017FD2F07F094B236179FC9AB381B2B20DDECF,"O}_{X,x}\otimes_{\sh{O}_{Y,y}}k(y)).   \]   \item For every $i$, we have   \[   \tag{13.2.10.2}     \dim(\sh{O}_{X,z_i})=\dim(\sh{O}_{Y,y}).   \]   \item For every $i$, there exists an irreducible com",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.456729c121e1f3696408cfce5c0a000bbf7be69eac83c422687b11d3b7ebdf73,source_aligned/ega4-13.tex,tag_label_before_tag,13.3.7.1,IV.13.3.7.1,38649,502,1,"\label{IV.13.3.7.1}
",E8BCB3311C416B17B8188C8334CFD3A1BB99AED690816670D1477E23EFA8A271,AE19EF10904A39C2F961CA7BBAA27C1FC8E95511025BE04C88FC03FF39310019,2C69CBBD9590D102B29ED226FD4085C3D348C3AAF8D00B48488C6D2A163F1512,"nite type and equidimensional, $Z$ a closed subset of $X$. Then the function \[ \tag{13.3.7.1}   x\mapsto\operatorname{codim}_x(Z\cap f^{-1}(f(x)),f^{-1}(f(x))) \] is lower semi-continuous in $X$. \en",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.b92c108bdfa077dd890c1db7b2ade2517524ad6f62fd5a4fae7047a2335de5a0,source_aligned/ega4-17.tex,tag_label_before_tag,17.5.1.1,IV.17.5.1.1,42732,607,1,"\label{IV.17.5.1.1}
",DB3E1B20D03CB66126E0B6A3F2C06A2A6968493D882BA88BF293E2FD0717F85C,BEFD65D02FCCA41F9294632FD63575380B063B5B0BA63C9D30F644EA4412A2FB,80F7A8897980C4964431837315A8A0937D0A4EB34A4DACAFCD696F27F31DB239,ak{q}/\mathfrak{J}_\mathfrak{q}^2$ generate this $B_\mathfrak{q}$-module and \[ \tag{17.5.1.1} \det\left(\frac{\partial u_i}{\partial T_{j_k}}\right)\notin\mathfrak{q}. \]  \oldpage[IV]{68}  Now let $,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.3cd0d1ca05518bcf9756199697a4c239aeb2fc6ecab44bb038efbe9e2702ae87,source_aligned/ega4-17.tex,tag_label_before_tag,17.5.1.2,IV.17.5.1.2,45711,634,1,"\label{IV.17.5.1.2}
",DB3E1B20D03CB66126E0B6A3F2C06A2A6968493D882BA88BF293E2FD0717F85C,BEFD65D02FCCA41F9294632FD63575380B063B5B0BA63C9D30F644EA4412A2FB,7C6D63B2ADE7DC390A6BE7C3F35D63602F94035B245A8EF823AFC1EFAE87EE8C,^2 \] generate this $(B_\mathfrak{q}/\mathfrak{r}B_\mathfrak{q})$-module and \[ \tag{17.5.1.2} \det\left(\frac{\partial v_i}{\partial T_{j_k}}\right)\notin\mathfrak{q}B_\mathfrak{q}/\mathfrak{r}B_\mat,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.07819d8ee8cc1bcd4d4f9352765fcfd7e7df8af1b76ace48810cad387132c039,source_aligned/ega4-17.tex,tag_label_before_tag,17.10.3.1,IV.17.10.3.1,96876,1312,1,"\label{IV.17.10.3.1}
",DB3E1B20D03CB66126E0B6A3F2C06A2A6968493D882BA88BF293E2FD0717F85C,BEFD65D02FCCA41F9294632FD63575380B063B5B0BA63C9D30F644EA4412A2FB,BE381C690D11271F02AD02EAAD69FC60BB1818CD4B73AC5C253CB54591536349,"\to Y$, $g:Y\to Z$ be two smooth morphisms. Then for every $x\in X$, one has \[ \tag{17.10.3.1} \dim_x(g\circ f) = \dim_x f + \dim_{f(x)} g. \] \end{corollary}  \begin{proof} Indeed, $g\circ f$ is smo",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.aa460281c4e747d6aa97002809984b88e42ec912f90c360be8c51ce58030458b,source_aligned/ega4-18.tex,tag_label_before_tag,18.8.6.1,IV.18.8.6.1,152826,1741,3,"\label{IV.18.8.6.1}
",F215B6E084A388C6883E98E6C108FA580EE3144EDA305A6627535730F7DD20BE,1A22338535D77AC799479032153A7F86C9A518F0ECEF3CB82DF2F843F26F9391,3304BAE14121115A493A14982F5DF6E0B306FC7738CDCC5EE210E2F0C18B3D78,ive limit \begin{equation}   \omega:\varinjlim k(\mathrm{A}_\lambda)\to\Omega   \tag{18.8.6.1} \end{equation} is a $k$\emph{-isomorphism}. It suffices indeed to prove that for every finite separable e,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.a2f033271acae0063930ee2297969e532c01a5aeac83c7106e4e768d0c4bb333,source_aligned/ega4-18.tex,tag_label_before_tag,18.8.6.2,IV.18.8.6.2,153855,1751,3,"\label{IV.18.8.6.2}
",F215B6E084A388C6883E98E6C108FA580EE3144EDA305A6627535730F7DD20BE,1A22338535D77AC799479032153A7F86C9A518F0ECEF3CB82DF2F843F26F9391,5A5424349CDA609C35B944D09552EC66CB9F3464A9597A2392614F694C9D8ABC,"njlim k(\mathrm{A}_\lambda)\xrightarrow{\sim}k(\varinjlim\mathrm{A}_\lambda);   \tag{18.8.6.2} \end{equation} identifying these two fields, one deduces a $k$-isomorphism \[   \omega^{-1}:\Omega\xright",APPLIED_INVISIBLE_STRUCTURAL_TARGET
