candidate_id,pattern_kind,source_relpath,source_line,source_column,source_offset,source_end_offset,visible_tex,normalized_visible,locator_token,volume_hint,target_label,target_id,baseline_pdf_destination,candidate_target_count,candidate_target_labels,classification,disposition,resolution_basis,source_sha256,source_span_sha256,context
ega4.reference.candidate.sha256.871ef9247578a6a70332104666712e2032d9a2032487a7ba579735fe02326ac7,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,162,95,6010,6025,\sref{IV.1.5.4},\sref{IV.1.5.4},1.5.4,IV,IV.1.5.4,ega4.c04.prop.1-5-4,subsection.1.5,1,IV.1.5.4,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,B46B451A7274FC5D80C0F9B52D6AF477F79F40E2E3122E6B37B71CB074BDEEAD,"overline{\{z\}}$ is rare in $\overline{\{y\}}$. This completes the proof. \end{proof} \begin{proof}[Proof of \sref{IV.4.1.2}, continued] The corollary proves (ii). \emph{(iii)} The sufficiency of the stated conditions follows immediately from (i), (ii), and \sref{IV.1.5.4}(v). To prove necessity, choose a dense open subset $U$ of $X$ that is the union of pairwise disjoint irreducible affine open subsets $U_i$ $(1\leq i\leq m)$, each containing a maximal point of $X$ \sref[0]{0.2.1.6}. We may further suppose that $X$ is reduced;"
ega4.reference.candidate.sha256.ab35305cc0fefdf908c00aed8f12e48342894ae56d8aa0f7becca7bb639ef67a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,163,194,6223,6240,\sref[0]{0.2.1.6},\sref[0]{0.2.1.6},0.2.1.6,0,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,E290A2E0B584DE5097B679AD9335BE677EBE4430039F2E9F91A5FEACED2BEDCA,"itions follows immediately from (i), (ii), and \sref{IV.1.5.4}(v). To prove necessity, choose a dense open subset $U$ of $X$ that is the union of pairwise disjoint irreducible affine open subsets $U_i$ $(1\leq i\leq m)$, each containing a maximal point of $X$ \sref[0]{0.2.1.6}. We may further suppose that $X$ is reduced; if $X$ is affine, we may of course take $U=X$. \oldpage[IV-2]{54} The same argument as in \sref{IV.4.1.2.1} shows that, if $\dim(U_i)=n_i$, there exists a $k$-morphism \[ g_i:U_i\longrightarrow\mathbf{V}_k^{n_i}"
ega4.reference.candidate.sha256.477a74ee35726963b06ab86df26b390be9fbbf8ce39b0f0908031a577c18bb45,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,168,25,6378,6396,\sref{IV.4.1.2.1} ,\sref{IV.4.1.2.1},4.1.2.1,IV,IV.4.1.2.1,ega4.c04.cor.4-1-2-1,section*.89,1,IV.4.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,1F8A06B3C42F55A6CD05B3C3ACFAD2646D8E2FCB9FA93D32C09606B44B77D4FF,"disjoint irreducible affine open subsets $U_i$ $(1\leq i\leq m)$, each containing a maximal point of $X$ \sref[0]{0.2.1.6}. We may further suppose that $X$ is reduced; if $X$ is affine, we may of course take $U=X$. \oldpage[IV-2]{54} The same argument as in \sref{IV.4.1.2.1} shows that, if $\dim(U_i)=n_i$, there exists a $k$-morphism \[ g_i:U_i\longrightarrow\mathbf{V}_k^{n_i} \] that is finite and dominant, hence surjective \sref[II]{II.6.1.10}. Set \[ n=\dim(X)=\sup_i n_i. \] For every $n_i$ there is a morphism \[ h_i:\mathbf{V}"
ega4.reference.candidate.sha256.a42ff23d817c8859f04551f2cdf1b5edf039fdc9dec1b0729e7b81d7cfa2d190,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,172,47,6549,6569,\sref[II]{II.6.1.10},\sref[II]{II.6.1.10},6.1.10,II,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,93BB215B60B36EB3DC5CB81E5A201446E472BA83C5C57ED1DE0FF01E2656A029,"$X$ is affine, we may of course take $U=X$. \oldpage[IV-2]{54} The same argument as in \sref{IV.4.1.2.1} shows that, if $\dim(U_i)=n_i$, there exists a $k$-morphism \[ g_i:U_i\longrightarrow\mathbf{V}_k^{n_i} \] that is finite and dominant, hence surjective \sref[II]{II.6.1.10}. Set \[ n=\dim(X)=\sup_i n_i. \] For every $n_i$ there is a morphism \[ h_i:\mathbf{V}_k^{n_i}\longrightarrow\mathbf{V}_k^n \] which is the closed immersion corresponding to the canonical homomorphism \[ k[T_1,\ldots,T_n]\longrightarrow k[T_1,\ldots,T_{n_i}]"
ega4.reference.candidate.sha256.fe301901271a2faf243f704f1c547085c842225cd2d683fe011515ad36564a6f,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,208,11,7511,7529,\sref{IV.4.1.2.1} ,\sref{IV.4.1.2.1},4.1.2.1,IV,IV.4.1.2.1,ega4.c04.cor.4-1-2-1,section*.89,1,IV.4.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,1F8A06B3C42F55A6CD05B3C3ACFAD2646D8E2FCB9FA93D32C09606B44B77D4FF,"rrow\mathbf{V}_k^{n'} \] corresponding to the canonical injection \[ k[T_1,\ldots,T_{n'}]\longrightarrow k[T_1,\ldots,T_n]. \] The morphism $p$ is faithfully flat, hence surjective. \end{proof} \begin{remark}[4.1.3] \phantomsection \label{IV.4.1.3} Corollary \sref{IV.4.1.2.1} shows that in formula \sref{IV.4.1.1.1} one may let $x$ run through the set of all points of $X$. \end{remark} \begin{corollary}[4.1.4] \phantomsection \label{IV.4.1.4} Let $X$ be a prescheme locally of finite type over a field $k$, and let $K$ be an extensio"
ega4.reference.candidate.sha256.55bdb8eecc2053e2d586fe20d202605286d0887ffddef401001c67841a5f3263,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,208,51,7551,7569,\sref{IV.4.1.1.1} ,\sref{IV.4.1.1.1},4.1.1.1,IV,IV.4.1.1.1,ega4.c04.eq.4-1-1-1,AMS.85,1,IV.4.1.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,99B2582F181137DF5AE2B11A9B67FD503970E6C4035EDFE8353BF19818572F4D,"o the canonical injection \[ k[T_1,\ldots,T_{n'}]\longrightarrow k[T_1,\ldots,T_n]. \] The morphism $p$ is faithfully flat, hence surjective. \end{proof} \begin{remark}[4.1.3] \phantomsection \label{IV.4.1.3} Corollary \sref{IV.4.1.2.1} shows that in formula \sref{IV.4.1.1.1} one may let $x$ run through the set of all points of $X$. \end{remark} \begin{corollary}[4.1.4] \phantomsection \label{IV.4.1.4} Let $X$ be a prescheme locally of finite type over a field $k$, and let $K$ be an extension of $k$. Then \[ \dim(X\otimes_k K)=\di"
ega4.reference.candidate.sha256.b87d197fee405bd8d88223f6376c44ca77e24af5208f650ebac59cdd55c7970d,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,227,20,8014,8030,\sref{IV.2.2.13},\sref{IV.2.2.13},2.2.13,IV,IV.2.2.13,ega4.c04.cor.2-2-13,AMS.10,1,IV.2.2.13,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,9C6AF8DD44BA3B0A370B0114E3F3F38ADDF849101CBC926F9DCD289A9E7D00C2,"eld $k$, and let $K$ be an extension of $k$. Then \[ \dim(X\otimes_k K)=\dim(X). \] \end{corollary} \begin{proof} It is enough to consider the case in which $X$ is of finite type over $k$. The morphism \[ u:X\otimes_k K\longrightarrow X \] is faithfully flat \sref{IV.2.2.13}(i). Thus, if $U$ is an everywhere dense open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\ma"
ega4.reference.candidate.sha256.f70f85765fff0507e019e73aaa09f5b08b25ae7302d2835397efb3b460f6063a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,232,28,8152,8168,\sref{IV.2.3.10},\sref{IV.2.3.10},2.3.10,IV,IV.2.3.10,ega4.c04.thm.2-3-10,AMS.11,1,IV.2.3.10,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,E884F8171FA95E6753ACE37DE9AAFD9EA24BAEC9EE23C7873AF3305D62F6CCB9,"r the case in which $X$ is of finite type over $k$. The morphism \[ u:X\otimes_k K\longrightarrow X \] is faithfully flat \sref{IV.2.2.13}(i). Thus, if $U$ is an everywhere dense open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\mathbf{V}_K^n \] \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}. The corollary follows. \end{proof} \begin{corollary}[4.1.5] \phantomsection \la"
ega4.reference.candidate.sha256.21f77e9c7dcc212cb6b3e889ffeadb044c26f2da5a4e60fd53ce29788d7bf748,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,241,1,8305,8323,\sref[I]{I.3.5.2} ,\sref[I]{I.3.5.2},3.5.2,I,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,D9D2D82348F608ABE7333CA3BD48B12CB07A8728C8BB613847697B9D2200915B,"U$ is an everywhere dense open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\mathbf{V}_K^n \] \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}. The corollary follows. \end{proof} \begin{corollary}[4.1.5] \phantomsection \label{IV.4.1.5} Let $X$ and $Y$ be two preschemes locally of finite type over a field $k$. Then \[ \dim(X\times_k Y)=\dim(X)+\dim(Y). \] \end{corollary} \be"
ega4.reference.candidate.sha256.4e8c094e7848504a6bc09f9c85eadae9e66f6dfb87d53566d63945bd4a7a45c4,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,241,23,8327,8346,\sref[II]{II.6.1.5},\sref[II]{II.6.1.5},6.1.5,II,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,5A8407BA898AC959119172756118412C51285843DD1C35539E8C2D6B704E3EF3,"nse open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\mathbf{V}_K^n \] \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}. The corollary follows. \end{proof} \begin{corollary}[4.1.5] \phantomsection \label{IV.4.1.5} Let $X$ and $Y$ be two preschemes locally of finite type over a field $k$. Then \[ \dim(X\times_k Y)=\dim(X)+\dim(Y). \] \end{corollary} \begin{proof} It is enough"
ega4.reference.candidate.sha256.67de86d2a846fea6ad2e5a94d9a959325d5eb932f79e3eacbecda4d1348a9c9f,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,267,18,8866,8881,\sref{IV.4.1.2},\sref{IV.4.1.2},4.1.2,IV,IV.4.1.2,ega4.c04.thm.4-1-2,section*.88,1,IV.4.1.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,792A0B86EC6030A94D5C924B46A9CCD7CB8183CB9E7553352D6C1515DD577F83,"to prove the following. Let $U$ and $V$ be affine neighbourhoods of points $x\in X$ and $y\in Y$ such that \[ \operatorname{tr.deg}_k\kappa(x)=m=\dim(U), \qquad \operatorname{tr.deg}_k\kappa(y)=n=\dim(V). \] Then \[ \dim(U\times_k V)=m+n. \] Equivalently, by \sref{IV.4.1.2}, we may suppose that there exist finite surjective $k$-morphisms \[ f:X\longrightarrow\mathbf{V}_k^m, \qquad g:Y\longrightarrow\mathbf{V}_k^n. \] The product morphism \[ f\times g:X\times_k Y\longrightarrow\mathbf{V}_k^{m+n} \] is finite and surjective \sref["
ega4.reference.candidate.sha256.dd2123ac4d5b56b11aa3c1f9d9b1c656d263049a649f2aa5133cc4b3f650f22d,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,277,26,9135,9153,\sref[I]{I.3.5.2} ,\sref[I]{I.3.5.2},3.5.2,I,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,D9D2D82348F608ABE7333CA3BD48B12CB07A8728C8BB613847697B9D2200915B,"4.1.2}, we may suppose that there exist finite surjective $k$-morphisms \[ f:X\longrightarrow\mathbf{V}_k^m, \qquad g:Y\longrightarrow\mathbf{V}_k^n. \] The product morphism \[ f\times g:X\times_k Y\longrightarrow\mathbf{V}_k^{m+n} \] is finite and surjective \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}, and the result follows. \end{proof}"
ega4.reference.candidate.sha256.e63df24081cdda3947c5ca9f3a8c3f6ed29a22dbb87656947e8a6fe80bdd3a41,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,277,48,9157,9176,\sref[II]{II.6.1.5},\sref[II]{II.6.1.5},6.1.5,II,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,5A8407BA898AC959119172756118412C51285843DD1C35539E8C2D6B704E3EF3,"that there exist finite surjective $k$-morphisms \[ f:X\longrightarrow\mathbf{V}_k^m, \qquad g:Y\longrightarrow\mathbf{V}_k^n. \] The product morphism \[ f\times g:X\times_k Y\longrightarrow\mathbf{V}_k^{m+n} \] is finite and surjective \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}, and the result follows. \end{proof}"
ega4.reference.candidate.sha256.b95a9a6bbb4f77aaa0374d480382dfc94d4da5edce0b26d251bb84550a2063bf,explicit_sref,components/01_section51_dimension_of_preschemes.tex,19,8,511,528,\sref[0]{0.16.1} ,\sref[0]{0.16.1},0.16.1,0,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,F7BA64F750D28DDF1E7D3FF7985A8EA0A1C27FFF9FA4DD5B5E4CEA241CFE5CFE,"f commutative algebra set out in Chapter~0, \S\S~16 and~17. \subsection{Dimension of preschemes} \phantomsection \label{subsection:IV.5.1} \begin{env}[5.1.1] \phantomsection \label{IV.5.1.1} Let $A$ be a ring and let $\mathfrak J$ be an ideal of $A$. Recall \sref[0]{0.16.1} that the definitions in the theory of the dimension of a ring \sref[0]{0.16.1.1} and those in the theory of the combinatorial dimension of topological spaces \sref[0]{0.14.1.2} give the following relations: \begin{align} \dim(\Spec(A))&=\dim(A), \tag{5.1.1.1}\"
