application_id,candidate_id,pattern_kind,source_relpath,source_line,source_column,source_offset,source_end_offset,visible_tex,normalized_visible,locator_token,volume_hint,target_label,target_id,baseline_pdf_destination,candidate_target_count,candidate_target_labels,classification,disposition,resolution_basis,source_sha256,source_span_sha256,context
ega4.reference.application.sha256.f70f85765fff0507e019e73aaa09f5b08b25ae7302d2835397efb3b460f6063a,ega4.reference.candidate.sha256.f70f85765fff0507e019e73aaa09f5b08b25ae7302d2835397efb3b460f6063a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,232,28,8152,8168,\sref{IV.2.3.10},\sref{IV.2.3.10},2.3.10,IV,IV.2.3.10,ega4.c04.thm.2-3-10,AMS.11,1,IV.2.3.10,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,E884F8171FA95E6753ACE37DE9AAFD9EA24BAEC9EE23C7873AF3305D62F6CCB9,"r the case in which $X$ is of finite type over $k$. The morphism \[ u:X\otimes_k K\longrightarrow X \] is faithfully flat \sref{IV.2.2.13}(i). Thus, if $U$ is an everywhere dense open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\mathbf{V}_K^n \] \sref[I]{I.3.5.2} and \sref[II]{II.6.1.5}. The corollary follows. \end{proof} \begin{corollary}[4.1.5] \phantomsection \la"
ega4.reference.application.sha256.67de86d2a846fea6ad2e5a94d9a959325d5eb932f79e3eacbecda4d1348a9c9f,ega4.reference.candidate.sha256.67de86d2a846fea6ad2e5a94d9a959325d5eb932f79e3eacbecda4d1348a9c9f,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,267,18,8866,8881,\sref{IV.4.1.2},\sref{IV.4.1.2},4.1.2,IV,IV.4.1.2,ega4.c04.thm.4-1-2,section*.88,1,IV.4.1.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,792A0B86EC6030A94D5C924B46A9CCD7CB8183CB9E7553352D6C1515DD577F83,"to prove the following. Let $U$ and $V$ be affine neighbourhoods of points $x\in X$ and $y\in Y$ such that \[ \operatorname{tr.deg}_k\kappa(x)=m=\dim(U), \qquad \operatorname{tr.deg}_k\kappa(y)=n=\dim(V). \] Then \[ \dim(U\times_k V)=m+n. \] Equivalently, by \sref{IV.4.1.2}, we may suppose that there exist finite surjective $k$-morphisms \[ f:X\longrightarrow\mathbf{V}_k^m, \qquad g:Y\longrightarrow\mathbf{V}_k^n. \] The product morphism \[ f\times g:X\times_k Y\longrightarrow\mathbf{V}_k^{m+n} \] is finite and surjective \sref["
ega4.reference.application.sha256.294d6f7c0f2787d789d53ad4171a8d05fcf23a57b6f542c5c7e9f89d6e10fc56,ega4.reference.candidate.sha256.294d6f7c0f2787d789d53ad4171a8d05fcf23a57b6f542c5c7e9f89d6e10fc56,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,74,34,2433,2451,\eqref{IV.5.1.2.1},\eqref{IV.5.1.2.1},5.1.2.1,IV,IV.5.1.2.1,ega4.c04.eq.5-1-2-1,AMS.306,1,IV.5.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,308A9F09C163B1CF502DDC522C114E9D3EFBF4E3EF29F3D52595B64D03806048,"\end{proposition} \begin{proof} Indeed, the irreducible closed subsets of $X$ containing $y$ are canonically in bijection with the irreducible closed subsets of $\Spec(\sh O_{X,y})$ \sref[I]{I.2.4.2}, and hence with the prime ideals of $\sh O_{X,y}$; formula \eqref{IV.5.1.2.1} follows from the definitions. In particular, this recovers the fact that the generic points of the irreducible components of $X$ are the only points $x\in X$ such that $\dim(\sh O_x)=0$ \sref[I]{I.1.1.14}. \end{proof} \oldpage[IV-2]{87} \begin{corollary}[5"
ega4.reference.application.sha256.90a2507335f39356eed9790c6b8a8d0784524c58fd44dd82a830424cf48b049d,ega4.reference.candidate.sha256.90a2507335f39356eed9790c6b8a8d0784524c58fd44dd82a830424cf48b049d,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,102,9,3193,3211,\eqref{IV.5.1.3.2},\eqref{IV.5.1.3.2},5.1.3.2,IV,IV.5.1.3.2,ega4.c04.eq.5-1-3-2,AMS.309,1,IV.5.1.3.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,34128220D4D266885A987F5B529FA0217B60267E5ED80FA489A1D8CEA2F388A9,"ver, if $X$ is locally Noetherian, then for every $x\in Y$, \begin{equation} \operatorname{codim}_x(Y,X) =\inf_{\substack{y\in Y\\x\in\overline{\{y\}}}} \dim(\sh O_{X,y}). \tag{5.1.3.2}\label{IV.5.1.3.2} \end{equation} \end{corollary} \begin{proof} Formula \eqref{IV.5.1.3.2} follows from \eqref{IV.5.1.3.1} and \sref[0]{0.14.2.6}. This corollary allows us to \emph{define}, for any subset $Y$ of a prescheme $X$, the \emph{codimension} $\operatorname{codim}(Y,X)$ of $Y$ in $X$ to be the right-hand side of \eqref{IV.5.1.3.1}. \end{pr"
ega4.reference.application.sha256.86af493aa4fcf3f003873be47435046c6b1a3ae0f3614d1373a351523125720b,ega4.reference.candidate.sha256.86af493aa4fcf3f003873be47435046c6b1a3ae0f3614d1373a351523125720b,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,103,1,3225,3243,\eqref{IV.5.1.3.1},\eqref{IV.5.1.3.1},5.1.3.1,IV,IV.5.1.3.1,ega4.c04.eq.5-1-3-1,AMS.308,1,IV.5.1.3.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,0702CFEFDF7BF7049F13646EE0FA0F9ABD68E07881A8F4DC0F300B895D0B9E1F,"n, then for every $x\in Y$, \begin{equation} \operatorname{codim}_x(Y,X) =\inf_{\substack{y\in Y\\x\in\overline{\{y\}}}} \dim(\sh O_{X,y}). \tag{5.1.3.2}\label{IV.5.1.3.2} \end{equation} \end{corollary} \begin{proof} Formula \eqref{IV.5.1.3.2} follows from \eqref{IV.5.1.3.1} and \sref[0]{0.14.2.6}. This corollary allows us to \emph{define}, for any subset $Y$ of a prescheme $X$, the \emph{codimension} $\operatorname{codim}(Y,X)$ of $Y$ in $X$ to be the right-hand side of \eqref{IV.5.1.3.1}. \end{proof} \begin{proposition}[5.1.4]"
ega4.reference.application.sha256.8bc40b3d21411b2083dbb2d7c1c7198d13da6bb4da89ca8d93a1e5b8d6312807,ega4.reference.candidate.sha256.8bc40b3d21411b2083dbb2d7c1c7198d13da6bb4da89ca8d93a1e5b8d6312807,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,107,4,3444,3462,\eqref{IV.5.1.3.1},\eqref{IV.5.1.3.1},5.1.3.1,IV,IV.5.1.3.1,ega4.c04.eq.5-1-3-1,AMS.308,1,IV.5.1.3.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,0702CFEFDF7BF7049F13646EE0FA0F9ABD68E07881A8F4DC0F300B895D0B9E1F,"Formula \eqref{IV.5.1.3.2} follows from \eqref{IV.5.1.3.1} and \sref[0]{0.14.2.6}. This corollary allows us to \emph{define}, for any subset $Y$ of a prescheme $X$, the \emph{codimension} $\operatorname{codim}(Y,X)$ of $Y$ in $X$ to be the right-hand side of \eqref{IV.5.1.3.1}. \end{proof} \begin{proposition}[5.1.4] \phantomsection \label{IV.5.1.4} For every prescheme $X$, one has \begin{equation} \dim(X)=\sup_{x\in X}\dim(\sh O_x). \tag{5.1.4.1}\label{IV.5.1.4.1} \end{equation} If every irreducible closed subset of $X$ contains a"
ega4.reference.application.sha256.bff4cc6ceea92b7d1f90f8c043e1354cd567c05562241ff4b16f1ee44a3c6e47,ega4.reference.candidate.sha256.bff4cc6ceea92b7d1f90f8c043e1354cd567c05562241ff4b16f1ee44a3c6e47,explicit_sref,components/01_section51_dimension_of_preschemes.tex,137,1,4394,4411,\sref{IV.5.1.11} ,\sref{IV.5.1.11},5.1.11,IV,IV.5.1.11,ega4.c04.cor.5-1-11,section*.323,1,IV.5.1.11,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,C327A35E667B789E432F8D9B8C09745C11E805FA48537672F963F92FAC8A6A9F,"ry irreducible closed subset of $X$ contains a closed point, one may plainly restrict to the local schemes at closed points of $X$. Every irreducible closed subset of $X$ contains a closed point when $X$ is quasi-compact \sref[0]{0.2.1.3}; we shall see below \sref{IV.5.1.11} that the same is true when $X$ is locally Noetherian. \end{proof} \begin{corollary}[5.1.5] \phantomsection \label{IV.5.1.5} A prescheme $X$ is catenary if and only if the local ring $\sh O_x$ is catenary for every $x\in X$. If, in addition, every irreducible"
ega4.reference.application.sha256.b6dc36f544c4c452a2765b54e0f6f0570184d341342cfd99c813ba3324b04a12,ega4.reference.candidate.sha256.b6dc36f544c4c452a2765b54e0f6f0570184d341342cfd99c813ba3324b04a12,explicit_sref,components/01_section51_dimension_of_preschemes.tex,152,32,4882,4897,\sref{IV.5.1.4},\sref{IV.5.1.4},5.1.4,IV,IV.5.1.4,ega4.c04.prop.5-1-4,section*.310,1,IV.5.1.4,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,C7180540F2EAD0D798516DA7130303C221018A6823AAB89527252A1EF9DDDE6F,"ery $x\in X$. If, in addition, every irreducible closed subset of $X$ contains a closed point, then for $X$ to be catenary it is enough that $\sh O_x$ be catenary for every closed point $x$ of $X$. \end{corollary} \begin{proof} The argument is the same as in \sref{IV.5.1.4}, since it is a matter of comparing chains of irreducible closed subsets with the same endpoints. \end{proof} \begin{env}[5.1.6] \phantomsection \label{IV.5.1.6} We now examine the more special properties tied to Noetherian hypotheses. Recall \sref[0]{0.16.2"
ega4.reference.application.sha256.6128f74a867258f788a9395e275502790c79dff5327448bdf644a6c2d93c895d,ega4.reference.candidate.sha256.6128f74a867258f788a9395e275502790c79dff5327448bdf644a6c2d93c895d,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,168,15,5426,5444,\eqref{IV.5.1.2.1},\eqref{IV.5.1.2.1},5.1.2.1,IV,IV.5.1.2.1,ega4.c04.eq.5-1-2-1,AMS.306,1,IV.5.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,308A9F09C163B1CF502DDC522C114E9D3EFBF4E3EF29F3D52595B64D03806048,"a Noetherian local ring $A\ne0$ has finite dimension, equal to the minimum number of generators of an ideal of definition of $A$. For every prime ideal $\mathfrak p$ of $A$, its height, equal to $\dim(A_{\mathfrak p})$, is therefore also finite. Together with \eqref{IV.5.1.2.1}, \eqref{IV.5.1.3.1}, and \eqref{IV.5.1.4.1}, these facts show the following. \end{env} \begin{proposition}[5.1.7] \phantomsection \label{IV.5.1.7} For every nonempty closed subset $Y$ of a locally Noetherian prescheme $X$, the number $\operatorname{codim}(Y,"
ega4.reference.application.sha256.3e650b4fe405dd3339de8421f4594fd02792ae0f37f6f603497f24ed866ec870,ega4.reference.candidate.sha256.3e650b4fe405dd3339de8421f4594fd02792ae0f37f6f603497f24ed866ec870,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,168,35,5446,5464,\eqref{IV.5.1.3.1},\eqref{IV.5.1.3.1},5.1.3.1,IV,IV.5.1.3.1,ega4.c04.eq.5-1-3-1,AMS.308,1,IV.5.1.3.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,0702CFEFDF7BF7049F13646EE0FA0F9ABD68E07881A8F4DC0F300B895D0B9E1F,"ing $A\ne0$ has finite dimension, equal to the minimum number of generators of an ideal of definition of $A$. For every prime ideal $\mathfrak p$ of $A$, its height, equal to $\dim(A_{\mathfrak p})$, is therefore also finite. Together with \eqref{IV.5.1.2.1}, \eqref{IV.5.1.3.1}, and \eqref{IV.5.1.4.1}, these facts show the following. \end{env} \begin{proposition}[5.1.7] \phantomsection \label{IV.5.1.7} For every nonempty closed subset $Y$ of a locally Noetherian prescheme $X$, the number $\operatorname{codim}(Y,X)$ is finite. If $X"
ega4.reference.application.sha256.da55ac3aa439e8fb9bbca6b239f0c65161e0517d0de44c1ba7ac49e804c89eda,ega4.reference.candidate.sha256.da55ac3aa439e8fb9bbca6b239f0c65161e0517d0de44c1ba7ac49e804c89eda,explicit_eqref,components/01_section51_dimension_of_preschemes.tex,169,1,5470,5488,\eqref{IV.5.1.4.1},\eqref{IV.5.1.4.1},5.1.4.1,IV,IV.5.1.4.1,ega4.c04.eq.5-1-4-1,AMS.311,1,IV.5.1.4.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,7FF04BD534DABEB348169BB3F2D684CA42725BDB9FBFA33C5C1B2648FD1E57C6,AB8A592D243ED8469B43AE388B5BEED1BB60896A3C4D727816739C45384CC65F,"imension, equal to the minimum number of generators of an ideal of definition of $A$. For every prime ideal $\mathfrak p$ of $A$, its height, equal to $\dim(A_{\mathfrak p})$, is therefore also finite. Together with \eqref{IV.5.1.2.1}, \eqref{IV.5.1.3.1}, and \eqref{IV.5.1.4.1}, these facts show the following. \end{env} \begin{proposition}[5.1.7] \phantomsection \label{IV.5.1.7} For every nonempty closed subset $Y$ of a locally Noetherian prescheme $X$, the number $\operatorname{codim}(Y,X)$ is finite. If $X$ is Noetherian and affi"
