"branch_head","blocker_id","scope","path","finding","next_action","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-011","B3 session12 0D/1233/A7D transfer audit","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1C6BD129_R3_0D148231_SOURCE_GATED_BOUNDARY_20260706_PLACEHOLDER_REVIEW.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-012","B3 session12 0D/1233/A7D transfer audit","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_A7D70DEA_OLDB_DE6C_READONLY_DELTA_AUDIT_20260706_PLACEHOLDER_REVIEW.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-013","R6 1233 source-start continuation","uploader-transfer/r6-1233d6f-current-head-source-start-continuation-20260706/R6_1233D6F_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706/blockers/R6_1233D6F_EXACT_BLOCKERS_AND_NEXT_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-OLP-MISSING-OPENLOGIC","OLP/OpenTranslation direct source in B3 ZIP","carried-forward-source-zip-support","No ZIP entry path matched 'openlogic' in the local source-corpus archive.","Keep prior body-backed OLP handoff as separate source witness; do not infer direct OLP source body from this ZIP.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-OLP-MISSING-OPENINTRO","OLP/OpenTranslation direct source in B3 ZIP","carried-forward-source-zip-support","No ZIP entry path matched 'openintro' in the local source-corpus archive.","Keep prior body-backed OLP handoff as separate source witness; do not infer direct OLP source body from this ZIP.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-OLP-MISSING-DMOI","OLP/OpenTranslation direct source in B3 ZIP","carried-forward-source-zip-support","No ZIP entry path matched 'dmoi' in the local source-corpus archive.","Keep prior body-backed OLP handoff as separate source witness; do not infer direct OLP source body from this ZIP.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-OLP-MISSING-SETS-FUNCTIONS-RELATIONS","OLP/OpenTranslation direct source in B3 ZIP","carried-forward-source-zip-support","No ZIP entry path matched 'sets-functions-relations' in the local source-corpus archive.","Keep prior body-backed OLP handoff as separate source witness; do not infer direct OLP source body from this ZIP.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-RAW-BODY-NOT-PACKAGED","B3 distribution","carried-forward-source-zip-support","Raw ZIP body is 5,689,612,655 bytes and not packaged by this lane.","B3 handles raw corpus distribution decisions outside GitHub single-file limits.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-PDF-BINARY-NOT-TEXT-SCANNED","PDF/archive entries","carried-forward-source-zip-support","PDF and nested archive-like entries are indexed as provenance but not text-scanned in this support slice.","Route PDF/OCR or nested archive extraction to a dedicated extraction lane if needed.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","ZIP-LARGE-TEXT-SCAN-LIMIT","large text/TeX entries","carried-forward-source-zip-support","117 relevant text/TeX entries exceeded the per-entry scan limit of 500000 bytes.","Schedule chunked large-entry scanning if owner lanes need deeper context.","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-REVIEWER-RETURN-001","OLP/relation-function reviewer return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\SESSION_K_REVIEWER_RETURN_INTAKE_TEMPLATE_20260704.csv","reviewer-return intake material is a blank template, not a real reviewer return","keep counts zero until dated reviewer/source evidence appears","review-only support only"
