table,source_page,row,column_or_columns,current_reading,status,audit_origin,evidence,notes
I,91,14,all columns 0-21,live TeX row 14; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,prior RA31 repairs survive
I,91,15,all columns 0-21,live TeX row 15; populated and empty cells checked,current_head_row_reopened_after_fix,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,L_vartheta fix survives
I,91,16,all columns 0-21,live TeX row 16; populated and empty cells checked,current_head_row_reopened_after_fix,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,exponent 4 fix survives
I,91,17,all columns 0-21,live TeX row 17; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,18,all columns 0-21,live TeX row 18; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,19,all columns 0-21,source-empty row retained,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; current output p41 1000dpi,empty-row guard
I,91,20,all columns 0-21,source-empty row retained,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; current output p41 1000dpi,empty-row guard
I,91,21,all columns 0-21,live TeX row 21; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,KH^3u exponent family survives
II,92,0,all columns 0-16,live TeX row 0; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,1,all columns 0-16,live TeX row 1; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,2,all columns 0-16,live TeX row 2; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,3,all columns 0-16,live TeX row 3; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,4,all columns 0-16,live TeX row 4; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,5,all columns 0-16,live TeX row 5; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,6,all columns 0-16,live TeX row 6; populated and empty cells checked,current_head_row_reopened_after_fix,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,three-line x5 cell fix survives
II,92,7,all columns 0-16,live TeX row 7; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA33 repairs survive
II,92,8,all columns 0-16,live TeX row 8; populated and empty cells checked,current_head_row_reopened_after_fix,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,theta_nu x1 fix and RA34 repairs survive
II,92,9,all columns 0-16,live TeX row 9; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,10,all columns 0-16,live TeX row 10; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,11,all columns 0-16,live TeX row 11; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,12,all columns 0-16,live TeX row 12; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,13,all columns 0-16,live TeX row 13; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,14,all columns 0-16,live TeX row 14; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,15,all columns 0-16,live TeX row 15; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,16,all columns 0-16,live TeX row 16; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,17,all columns 0-16,live TeX row 17; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,18,all columns 0-16,live TeX row 18; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,19,all columns 0-16,live TeX row 19; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 checked row survives
II,92,20,all columns 0-16,live TeX row 20; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,21,all columns 0-16,live TeX row 21; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
II,92,22,all columns 0-16,source-empty row retained,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; current output p42 1000dpi,empty-row guard
II,92,23,all columns 0-16,live TeX row 23; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p092 full 650dpi; p092 1000dpi strips; current output p42 1000dpi,RA34 repairs survive
