fix_id,source_page,tex_anchor,old_text,new_text,source_reading,mathematical_or_editorial_impact,finder,adjudicator,evidence_path,replacement_count,integration_status
P02-WEB-011-p092-tableII-r8c1-nu,92,Table II u8 x1,"\mcell{s_j(asu)^3\\s_k(Ks^2u)^6\\((\vartheta\nu x),s,u)^4\\(\theta_\eta su)^3}","\mcell{s_j(asu)^3\\s_k(Ks^2u)^6\\((\vartheta\nu x),s,u)^4\\(\theta_\nu su)^3}",theta_nu,linked subscript identity,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p092_slice2of3_1000dpi.png,1,promoted_into_current_head
P02-WEB2-012-p060-083-embedded-nu-family,60-83,embedded linked-form symbol family,jv; kv; vv_1; widehat-v forms inside the linked family,j\\nu; k\\nu; \\nu\\nu_1; widehat-{\\nu} in source-controlled loci,Greek nu in the linked invariant-form family; genuine polar Latin v retained,mathematical symbol-family identity in compound tokens,external proposal lane continuing P02 lane,local integration lane exact second-delta rebase and family-count/survival check,02_inputs/web_second_partial/Web_P02_p058_090_tables_cum_de(1).tex; current_head_to_final_P02.diff,68 nu insertions,promoted_into_current_head
P02-WEB2-013-p065-modulo,65,line broken modulo phrase,"modulo u_10(s,varrho,t,i,J)","modulo (s,varrho,t,i,J)",source visibly breaks the word modulo as mod u / lo; no u_10 subscript,mathematical modulus qualifier,external proposal lane continuing P02 lane,local integration lane inspected full 650-dpi page and 1000-dpi strips,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p065_650dpi.png,1,promoted_into_current_head
P02-LOCAL-014-p061-delete-Daher,61,transition before formula (17.),Daher followed by formula (17.),formula (17.) directly follows preceding display,no source word Daher,source prose continuity,external proposal lane found; local integration lane applied after direct source reopen,local integration lane source inspection and final rendered-page QA,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p061_650dpi.png; 04_renders/after_second_tranche/output_p024-024.png,1,promoted_into_current_head
P02-LOCAL-015-p080-matrix-continuation-stars,80,Section 23 C split matrix,two continuation markers absent,upper-right and lower-left continuation stars restored with split border geometry,two source continuation stars,matrix continuation and data geometry,external proposal lane found; local integration lane reconstructed,local integration lane checked source p80 and compiled output p35,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p080_650dpi.png; 04_renders/after_second_tranche/output_p035_041-035.png,2,promoted_into_current_head
P02-LOCAL-016-p082-matrix-continuation-stars,82,Section 24 A split matrix,two continuation markers absent,upper-right and lower-left continuation stars restored with split border geometry,two source continuation stars,matrix continuation and data geometry,external proposal lane found; local integration lane reconstructed,local integration lane checked source p82 and compiled output p36,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p082_650dpi.png; 04_renders/after_second_tranche/output_p035_041-036.png,2,promoted_into_current_head
P02-LOCAL-017-p085-087-centered-product-dots,85-87,system/product headings,System I-III; System II-III; System III-III; Produkte II-III; Produkte III-III,System I\\cdot III; System II\\cdot III; System III\\cdot III; Produkte II\\cdot III; Produkte III\\cdot III,source centered multiplication dots,mathematical system-product notation,external proposal lane found; local integration lane applied,local integration lane checked source pp85-87 and compiled output pp38-39,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p085_650dpi; p086; p087; 04_renders/after_second_tranche/output_p035_041-038.png,5,promoted_into_current_head
P02-LOCAL-018-p087-parenthetical-exclusion,87,products containing contravariants sentence,sentence unparenthesized,source parentheses restored around the full exclusion sentence,source parenthetical apparatus,logical scope and source punctuation,external proposal lane found; local integration lane applied,local integration lane checked source p87 and output p38,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p087_650dpi.png; 04_renders/after_second_tranche/output_p035_041-038.png,1,promoted_into_current_head
P02-LOCAL-019-p087-A8-A9-brace,87,formulas A8-A9,two ungrouped displays without attribution,"A8-A9 grouped under source right brace with (aus 7)),",source brace and attribution,proof dependency and display geometry,external proposal lane found; local integration lane reconstructed,local integration lane checked source p87 and output p39,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p087_650dpi.png; 04_renders/after_second_tranche/output_p035_041-039.png,1 grouped display,promoted_into_current_head
P02-LOCAL-020-p088-B3-B4-brace,88,formulas B3-B4,two ungrouped displays without attribution,"B3-B4 grouped under source right brace with (aus 1) und A 6)),",source brace and attribution,proof dependency and display geometry,external proposal lane found; local integration lane reconstructed,local integration lane checked source p88 and output p39,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p088_650dpi.png; 04_renders/after_second_tranche/output_p035_041-039.png,1 grouped display,promoted_into_current_head
P02-LOCAL-021-p088-B5-attribution,88,formula B5,attribution omitted,"(aus 3), 4) und A 8)), restored",source dependency attribution,proof dependency,external proposal lane found; local integration lane applied,local integration lane checked source p88 and output p39,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p088_650dpi.png; 04_renders/after_second_tranche/output_p035_041-039.png,1,promoted_into_current_head
P02-LOCAL-022-p089-formula13-parenthesis,89,formula 13 citation,"(Formel (20.),","(Formel (20.)),",source closing parenthesis,citation punctuation and scope,external proposal lane found; local integration lane applied,local integration lane checked source p89 and output p39,02_source_authority/P02_second_tranche_source/paper_02/full_650dpi/noether_paper02_printed_p089_650dpi.png; 04_renders/after_second_tranche/output_p035_041-039.png,1,promoted_into_current_head
