"relative_path","bytes","last_write","sha256","archive_entries","tex_like_entries","pdf_entries","language_hint","listing_error"
"20260628T211448Z_persian_arabic_tex_source_first\persian_farsi\yazd-thesis\yazd-thesis.zip","3594552","2026-06-28T23:14:51","F3763EA0C5D732D72BDFE381D75EF5663C10560C8BB7592073F32A459E73B460","56","13","5","arabic_persianate_rtl",
"20260628T211531Z_persian_arabic_tex_source_first\arabic\arabi\arabi.zip","5341677","2026-06-28T23:15:35","CF3B7B3F0A4CFBC84BF499289DDD297AE4D269E46C5818F4F9E1B898B29DF063","288","20","8","arabic_persianate_rtl",
"20260628T211531Z_persian_arabic_tex_source_first\arabic\arabtex\arabtex.zip","2717990","2026-06-28T23:15:37","9B23210D0BFA3B8616509FBA94BEC057C14D4C80B6D0D27333F41F6F8468B5E1","245","94","2","arabic_persianate_rtl",
"20260628T211531Z_persian_arabic_tex_source_first\persian_farsi\thesis-qom\thesis-qom.zip","1496659","2026-06-28T23:15:32","9FD85AA1E996263D3EB3E5F7112FCDE239C90491D5A60CF91F842CFCC1F81B45","35","16","1","arabic_persianate_rtl",
"20260628T211531Z_persian_arabic_tex_source_first\persian_farsi\xepersian\xepersian.zip","1113494","2026-06-28T23:15:34","F1C7230199A887920AD97F90C335BB965478BD40E43985FF0BB859C7A939FC11","25","10","2","arabic_persianate_rtl",
"20260628T211531Z_persian_arabic_tex_source_first\persian_farsi\yazd-thesis\yazd-thesis.zip","3594552","2026-06-28T23:15:33","F3763EA0C5D732D72BDFE381D75EF5663C10560C8BB7592073F32A459E73B460","56","13","5","arabic_persianate_rtl",
"20260628T211612Z_persian_arabic_tex_source_first\arabic\arabi\arabi.zip","5341677","2026-06-28T23:16:17","CF3B7B3F0A4CFBC84BF499289DDD297AE4D269E46C5818F4F9E1B898B29DF063","288","20","8","arabic_persianate_rtl",
"20260628T211612Z_persian_arabic_tex_source_first\arabic\arabtex\arabtex.zip","2717990","2026-06-28T23:16:18","9B23210D0BFA3B8616509FBA94BEC057C14D4C80B6D0D27333F41F6F8468B5E1","245","94","2","arabic_persianate_rtl",
"20260628T211612Z_persian_arabic_tex_source_first\persian_farsi\thesis-qom\thesis-qom.zip","1496659","2026-06-28T23:16:13","9FD85AA1E996263D3EB3E5F7112FCDE239C90491D5A60CF91F842CFCC1F81B45","35","16","1","arabic_persianate_rtl",
"20260628T211612Z_persian_arabic_tex_source_first\persian_farsi\xepersian\xepersian.zip","1113494","2026-06-28T23:16:15","F1C7230199A887920AD97F90C335BB965478BD40E43985FF0BB859C7A939FC11","25","10","2","arabic_persianate_rtl",
"20260628T211612Z_persian_arabic_tex_source_first\persian_farsi\yazd-thesis\yazd-thesis.zip","3594552","2026-06-28T23:16:14","F3763EA0C5D732D72BDFE381D75EF5663C10560C8BB7592073F32A459E73B460","56","13","5","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\arabic\ctan\arabi-add\CTAN-ARAB-SRC-02.zip","172419","2026-06-28T23:35:26","5379EBE455EF632DC8F28CBEC18D3FFD5F5086A67A4D692E21ADC8FB4E127C4A","5","1","2","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\arabic\ctan\arabic-book\CTAN-ARAB-SRC-01.zip","543773","2026-06-28T23:35:25","57E8F7E7148719450C599D0C924DECD5F2290EF11676EAF3DA437F45783D197C","7","3","1","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\arabic\ctan\na-box\CTAN-ARAB-MATH-02.zip","986188","2026-06-28T23:35:25","DDFD9DEAC6A873A5E8CB5ADA3A06A273EEE0A7336BD6E9D114484725F12AE222","12","3","2","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\arabic\ctan\sexam\CTAN-ARAB-MATH-01.zip","1160723","2026-06-28T23:35:24","0C1B1045854821292358313E4EB9EEE012999B090FC6E9820285FFA3AAB7CA9B","23","7","4","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\ctan\simurgh\CTAN-PERS-SRC-01.zip","591133","2026-06-28T23:35:27","C4B0019E3E78B624C2FFFBB31A84263A02EAC1C559BDB8D727F414344755FE28","80","66","2","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Advanced-Math-Problems\GH-PERS-ALG-03.zip","213913","2026-06-28T23:34:54","E8B8855492EB73254DD68BC5D672DAB6D226B966F0694DD2C86593DEC350713C","4","1","1","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Linear-Algebra-Gilbert-Strang-Persian\GH-PERS-ALG-01.zip","1410262","2026-06-28T23:34:52","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","42","20","20","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\ArsalanDalvand_atomathix-latex\GH-PERS-MATH-03.zip","925128","2026-06-28T23:35:13","F7EA328EB75B02496561E2BD24FB09A71459E6FB18F99DA0F6995E328D7C1B0B","116","106","2","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\KooroshSadri_farsimath\GH-PERS-PKG-01.zip","55817","2026-06-28T23:35:22","55F1174D903B1F8A3D6B13275D5940223C66239E81E82CF048BCACD4B0084AAA","37","1","32","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\OpenBookshelf_DiscreteMathematics-Persian\GH-PERS-MATH-01.zip","4886220","2026-06-28T23:34:56","E1B0129F1F2360EAB9FE1B610AE4723B2D524D34286169A0B087DCCDF380C128","1440","1027","0","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\RohamN0_mathematical-logic-persian\GH-PERS-MATH-02.zip","237713","2026-06-28T23:35:12","6313A0DD31068F2905B7BA189A124DC7877A162F41C577DFC19A8D0C82C5E06B","49","34","1","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\SireJeff_linear-algebra-3blue1brown-notes\GH-PERS-ALG-02.zip","2006520","2026-06-28T23:34:53","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","44","30","4","arabic_persianate_rtl",
"20260628T213451Z_deep_tex_source_register\persian_farsi\github\SMotlaq_bsc-thesis\GH-PERS-GLOSS-01.zip","49473466","2026-06-28T23:35:21","49CDE5842B452902866B37FB7EFC7AD850E27860E892DF4B0E43A22463893E25","194","22","1","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\arabic\ctan\arabi-add\CTAN-ARAB-SRC-02.zip","172419","2026-06-28T23:36:32","5379EBE455EF632DC8F28CBEC18D3FFD5F5086A67A4D692E21ADC8FB4E127C4A","5","1","2","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\arabic\ctan\arabic-book\CTAN-ARAB-SRC-01.zip","543773","2026-06-28T23:36:31","57E8F7E7148719450C599D0C924DECD5F2290EF11676EAF3DA437F45783D197C","7","3","1","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\arabic\ctan\na-box\CTAN-ARAB-MATH-02.zip","986188","2026-06-28T23:36:30","DDFD9DEAC6A873A5E8CB5ADA3A06A273EEE0A7336BD6E9D114484725F12AE222","12","3","2","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\arabic\ctan\sexam\CTAN-ARAB-MATH-01.zip","1160723","2026-06-28T23:36:30","0C1B1045854821292358313E4EB9EEE012999B090FC6E9820285FFA3AAB7CA9B","23","7","4","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\ctan\simurgh\CTAN-PERS-SRC-01.zip","591133","2026-06-28T23:36:32","C4B0019E3E78B624C2FFFBB31A84263A02EAC1C559BDB8D727F414344755FE28","80","66","2","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Advanced-Math-Problems\GH-PERS-ALG-03.zip","213913","2026-06-28T23:36:01","E8B8855492EB73254DD68BC5D672DAB6D226B966F0694DD2C86593DEC350713C","4","1","1","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Linear-Algebra-Gilbert-Strang-Persian\GH-PERS-ALG-01.zip","1410262","2026-06-28T23:35:59","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","42","20","20","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\ArsalanDalvand_atomathix-latex\GH-PERS-MATH-03.zip","925128","2026-06-28T23:36:14","F7EA328EB75B02496561E2BD24FB09A71459E6FB18F99DA0F6995E328D7C1B0B","116","106","2","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\KooroshSadri_farsimath\GH-PERS-PKG-01.zip","55817","2026-06-28T23:36:29","55F1174D903B1F8A3D6B13275D5940223C66239E81E82CF048BCACD4B0084AAA","37","1","32","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\OpenBookshelf_DiscreteMathematics-Persian\GH-PERS-MATH-01.zip","4886220","2026-06-28T23:36:03","E1B0129F1F2360EAB9FE1B610AE4723B2D524D34286169A0B087DCCDF380C128","1440","1027","0","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\RohamN0_mathematical-logic-persian\GH-PERS-MATH-02.zip","237713","2026-06-28T23:36:12","6313A0DD31068F2905B7BA189A124DC7877A162F41C577DFC19A8D0C82C5E06B","49","34","1","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\SireJeff_linear-algebra-3blue1brown-notes\GH-PERS-ALG-02.zip","2006520","2026-06-28T23:36:00","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","44","30","4","arabic_persianate_rtl",
"20260628T213558Z_deep_tex_source_register\persian_farsi\github\SMotlaq_bsc-thesis\GH-PERS-GLOSS-01.zip","49473466","2026-06-28T23:36:28","49CDE5842B452902866B37FB7EFC7AD850E27860E892DF4B0E43A22463893E25","194","22","1","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\arabic\ctan\arabi-add\CTAN-ARAB-SRC-02.zip","172419","2026-06-28T23:38:03","5379EBE455EF632DC8F28CBEC18D3FFD5F5086A67A4D692E21ADC8FB4E127C4A","5","1","2","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\arabic\ctan\arabic-book\CTAN-ARAB-SRC-01.zip","543773","2026-06-28T23:38:02","57E8F7E7148719450C599D0C924DECD5F2290EF11676EAF3DA437F45783D197C","7","3","1","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\arabic\ctan\na-box\CTAN-ARAB-MATH-02.zip","986188","2026-06-28T23:38:01","DDFD9DEAC6A873A5E8CB5ADA3A06A273EEE0A7336BD6E9D114484725F12AE222","12","3","2","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\arabic\ctan\sexam\CTAN-ARAB-MATH-01.zip","1160723","2026-06-28T23:38:00","0C1B1045854821292358313E4EB9EEE012999B090FC6E9820285FFA3AAB7CA9B","23","7","4","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\ctan\simurgh\CTAN-PERS-SRC-01.zip","591133","2026-06-28T23:38:03","C4B0019E3E78B624C2FFFBB31A84263A02EAC1C559BDB8D727F414344755FE28","80","66","2","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Advanced-Math-Problems\GH-PERS-ALG-03.zip","213913","2026-06-28T23:37:41","E8B8855492EB73254DD68BC5D672DAB6D226B966F0694DD2C86593DEC350713C","4","1","1","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\AlirezaKachouei_Linear-Algebra-Gilbert-Strang-Persian\GH-PERS-ALG-01.zip","1410262","2026-06-28T23:37:38","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","42","20","20","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\ArsalanDalvand_atomathix-latex\GH-PERS-MATH-03.zip","925128","2026-06-28T23:37:50","F7EA328EB75B02496561E2BD24FB09A71459E6FB18F99DA0F6995E328D7C1B0B","116","106","2","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\KooroshSadri_farsimath\GH-PERS-PKG-01.zip","55817","2026-06-28T23:37:59","55F1174D903B1F8A3D6B13275D5940223C66239E81E82CF048BCACD4B0084AAA","37","1","32","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\OpenBookshelf_DiscreteMathematics-Persian\GH-PERS-MATH-01.zip","4886220","2026-06-28T23:37:42","E1B0129F1F2360EAB9FE1B610AE4723B2D524D34286169A0B087DCCDF380C128","1440","1027","0","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\RohamN0_mathematical-logic-persian\GH-PERS-MATH-02.zip","237713","2026-06-28T23:37:49","6313A0DD31068F2905B7BA189A124DC7877A162F41C577DFC19A8D0C82C5E06B","49","34","1","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\SireJeff_linear-algebra-3blue1brown-notes\GH-PERS-ALG-02.zip","2006520","2026-06-28T23:37:40","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","44","30","4","arabic_persianate_rtl",
"20260628T213737Z_deep_tex_source_register\persian_farsi\github\SMotlaq_bsc-thesis\GH-PERS-GLOSS-01.zip","49473466","2026-06-28T23:37:58","49CDE5842B452902866B37FB7EFC7AD850E27860E892DF4B0E43A22463893E25","194","22","1","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\chinese\ctan_ctex\ASIA-EAST-CN-03.zip","1371442","2026-06-28T23:46:59","636B6A6ECB8541EF0F36E5569033CA30EE93A7575D30AF8FD3B31A7962521B64","10","3","1","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\chinese\EasonSYC_maths-notes\ASIA-EAST-CN-01.zip","1049452","2026-06-28T23:46:57","C9DAD7A5616D28294990667828A24917E8EFDCC1C27041BC810006C66DF4BFDB","32","9","9","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\chinese\KelvinHoKaHim_undergraduate-mathematics\ASIA-EAST-CN-02.zip","335788","2026-06-28T23:46:58","2EB8BA4AF5117C493E4C5776499691E787156683F5324B5C6466F23C7E1EC0F2","18","7","1","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\cjk\ctan_xecjk\ASIA-EAST-CJK-01.zip","1424768","2026-06-28T23:47:00","AA39C6922A69F2BB4741FF81FF8686C0D34F210A3978D53BB163F55401DD3E64","6","1","2","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\japanese\24dakenlo_math_remedial\ASIA-EAST-JA-01.zip","4425649","2026-06-28T23:47:01","64D22579E2B466A087541991539E315F63AD683BDF4D328F1A09C1A9FA7B8B99","227","21","1","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\japanese\ctan_luatexja\ASIA-EAST-JA-03.zip","4173802","2026-06-28T23:47:04","DDA7F9467E025B58DEC77B95574251841AE8982A9DBD3036D4F1BF16A18DD4BA","119","51","7","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\japanese\masamichiIto_seminar_materials\ASIA-EAST-JA-02.zip","4766090","2026-06-28T23:47:03","8DDE205E172221F0EEC35698D5959E3DC2D78695396A91D6A203C9E1AF70BC11","31","2","28","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\korean\A-H4NU_kaist-math-notes\ASIA-EAST-KO-01.zip","5506205","2026-06-28T23:47:07","C2B6ACBB37BCED39CA88901B78D0235CB16396F7543EC8D7F1388BDCC58953F6","207","170","9","cjk",
"20260628T214627Z_asia_wide_tex_source_register\east_asia\korean\ctan_kotex-utils\ASIA-EAST-KO-02.zip","148484","2026-06-28T23:47:10","288F4659D0A7FD12A058D29C6FF5BD702B867987AEAC929DBEC9671F4B48B357","10","0","0","cjk",
"20260628T214627Z_asia_wide_tex_source_register\south_asia\bengali\ctan_bangla\ASIA-SOUTH-BN-01.zip","351171","2026-06-28T23:47:20","7D2BF26422C6D4AE14CEC4CB1517463F5587EB2CBDA60D725B994B4C49592885","8","3","1","south_asia",
"20260628T214627Z_asia_wide_tex_source_register\south_asia\bengali\ctan_latexbangla\ASIA-SOUTH-BN-02.zip","149791","2026-06-28T23:47:20","B47D939B866520CAB440ACFF10F19BED3253F3AB04FD5DFE6CBA6CE7AB6AFF09","5","2","1","south_asia",
"20260628T214627Z_asia_wide_tex_source_register\south_asia\devanagari\ctan_velthuis\ASIA-SOUTH-DEV-01.zip","5604883","2026-06-28T23:47:19","AF0EE3B8658A2928EE392804521F2A38B408459F0F6484B1BD6A6646707BC358","295","12","8","south_asia",
"20260628T214627Z_asia_wide_tex_source_register\south_asia\urdu_arabic_script\ctan_polyglossia\ASIA-SOUTH-UR-01.zip","736157","2026-06-28T23:47:21","0910B01E8C07D9D8AC88B2BE9F98E240200073F231BC2B7339FAABE284BEADD5","296","12","1","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\southeast_asia\vietnamese\ctan_vntex\ASIA-SE-VI-04.zip","7605465","2026-06-28T23:47:15","F2752EFA562F3A743D3724A6C7D4DF8E827ADA94AE2A1BFF1652657A347ABBE8","513","84","9","southeast_asia",
"20260628T214627Z_asia_wide_tex_source_register\southeast_asia\vietnamese\MarkNguGoLaTeX_VMOSolutionNotes\ASIA-SE-VI-02.zip","1082252","2026-06-28T23:47:13","81222868F6A6B0A5DB31464D0384F4479D8DD55BE562EE14DB3AEC20E674C720","33","4","3","southeast_asia",
"20260628T214627Z_asia_wide_tex_source_register\southeast_asia\vietnamese\moonshineTP_olympiad-mathematics-2024\ASIA-SE-VI-03.zip","11393","2026-06-28T23:47:14","22C0E65E6A76AC0096E58FD8E6B7BDA595A8836C7B86DB5E0B7A46B3A537322A","3","2","0","southeast_asia",
"20260628T214627Z_asia_wide_tex_source_register\southeast_asia\vietnamese\TheTangentLine_VietnameseMathematics\ASIA-SE-VI-01.zip","6374350","2026-06-28T23:47:13","93B05BBC50AFADE26603046198FE613922B1F50F46E5F3E72929FA3C12C7E7EF","56","5","6","southeast_asia",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\arabic\ctan_na-box\ASIA-WEST-ARAB-02.zip","986188","2026-06-28T23:46:53","DDFD9DEAC6A873A5E8CB5ADA3A06A273EEE0A7336BD6E9D114484725F12AE222","12","3","2","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\arabic\ctan_sexam\ASIA-WEST-ARAB-01.zip","1160723","2026-06-28T23:46:51","0C1B1045854821292358313E4EB9EEE012999B090FC6E9820285FFA3AAB7CA9B","23","7","4","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\hebrew\mattyrot_Math_LaTeX_Hebrew_Template\ASIA-WEST-HE-01.zip","8925","2026-06-28T23:46:53","D57A57EE7CCB8A0EDAA165268286C04576C8DB9FC34F458CF2C448239846A51D","5","4","0","unknown",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\persian\AlirezaKachouei_Linear-Algebra-Gilbert-Strang-Persian\ASIA-WEST-PERS-01.zip","1410262","2026-06-28T23:46:28","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","42","20","20","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\persian\OpenBookshelf_DiscreteMathematics-Persian\ASIA-WEST-PERS-03.zip","4886220","2026-06-28T23:46:31","E1B0129F1F2360EAB9FE1B610AE4723B2D524D34286169A0B087DCCDF380C128","1440","1027","0","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\persian\SireJeff_linear-algebra-3blue1brown-notes\ASIA-WEST-PERS-02.zip","2006520","2026-06-28T23:46:30","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","44","30","4","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\persian\SMotlaq_bsc-thesis\ASIA-WEST-PERS-04.zip","49473466","2026-06-28T23:46:50","49CDE5842B452902866B37FB7EFC7AD850E27860E892DF4B0E43A22463893E25","194","22","1","arabic_persianate_rtl",
"20260628T214627Z_asia_wide_tex_source_register\west_asia\turkish\kadirhanpolat_probability-statistics\ASIA-WEST-TR-01.zip","455106","2026-06-28T23:46:54","3A9ECA7982417FB908762A0F13BC9B59C389BF35D95242CD7A027A38868007DE","60","32","0","unknown",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\chinese\ctan_ctex\ASIA-EAST-CN-03.zip","1371442","2026-06-28T23:52:35","636B6A6ECB8541EF0F36E5569033CA30EE93A7575D30AF8FD3B31A7962521B64","10","3","1","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\chinese\EasonSYC_maths-notes\ASIA-EAST-CN-01.zip","1049452","2026-06-28T23:52:34","C9DAD7A5616D28294990667828A24917E8EFDCC1C27041BC810006C66DF4BFDB","32","9","9","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\chinese\KelvinHoKaHim_undergraduate-mathematics\ASIA-EAST-CN-02.zip","335788","2026-06-28T23:52:34","2EB8BA4AF5117C493E4C5776499691E787156683F5324B5C6466F23C7E1EC0F2","18","7","1","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\cjk\ctan_xecjk\ASIA-EAST-CJK-01.zip","1424768","2026-06-28T23:52:36","AA39C6922A69F2BB4741FF81FF8686C0D34F210A3978D53BB163F55401DD3E64","6","1","2","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\japanese\24dakenlo_math_remedial\ASIA-EAST-JA-01.zip","4425649","2026-06-28T23:52:38","64D22579E2B466A087541991539E315F63AD683BDF4D328F1A09C1A9FA7B8B99","227","21","1","cjk",
