"zip_path","language_hint","tex_like_entries","sample_paths"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","bs","55","slavic_source_canon/bs/bs/amwolff_WAT-MM/assignment.tex | slavic_source_canon/bs/bs/andrija-urosevic_BPP_HGGA/pres.tex | slavic_source_canon/bs/bs/kkumer_simetrije/1_grupe.tex | slavic_source_canon/bs/bs/kkumer_simetrije/2_reprezentacije.tex | slavic_source_canon/bs/bs/kkumer_simetrije/3_irreps.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","bs","49","bs/bs/amwolff_WAT-MM/assignment.tex | bs/bs/andrija-urosevic_BPP_HGGA/pres.tex | bs/bs/bornagojsic_dismat2/zadace/dz08/main.tex | bs/bs/bornagojsic_dismat2/zadace/dz09/main.tex | bs/bs/bornagojsic_dismat2/zadace/dz10/main.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","bs","6","bs/bornagojsic_dismat2/zadace/dz09/main.tex | bs/CZDanol_AnotherCraft/master_thesis_CZ/diplomka-01-chapters.tex | bs/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | bs/Headary_maturita/cj/sources/spolecenstvo_prstenu.tex | bs/karel-brinda_tp-zpevnik/songs/01_folk/Greenhorni_Rovnou_tady_rovnou.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","cnr","6","slavic_source_canon/cnr/CZDanol_AnotherCraft/master_thesis_CZ/diplomka-01-chapters.tex | slavic_source_canon/cnr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | slavic_source_canon/cnr/bornagojsic_dismat2/zadace/dz09/main.tex | slavic_source_canon/cnr/Headary_maturita/cj/sources/spolecenstvo_prstenu.tex | slavic_source_canon/cnr/karel-brinda_tp-zpevnik/songs/01_folk/Greenhorni_Rovnou_tady_rovnou.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","cnr","6","cnr/bornagojsic_dismat2/zadace/dz09/main.tex | cnr/CZDanol_AnotherCraft/master_thesis_CZ/diplomka-01-chapters.tex | cnr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | cnr/Headary_maturita/cj/sources/spolecenstvo_prstenu.tex | cnr/karel-brinda_tp-zpevnik/songs/01_folk/Greenhorni_Rovnou_tady_rovnou.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","cs","49","slavic_source_canon/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | slavic_source_canon/cs/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | slavic_source_canon/cs/cs/jbrezmorf_AMA/scripta.tex | slavic_source_canon/cs/cs/xiaoxiae_soc-paper-2019/paper.tex | slavic_source_canon/cs/knedl1k_B2M01TIK/midterm/main.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","cs","41","cs/cs/chejnik_LaTex-ICSS/letters/a.tex | cs/cs/CZDanol_AnotherCraft/master_thesis_CZ/diplomka-01-chapters.tex | cs/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | cs/cs/EbrithilNogare_mff/LS1/zapoctak_-_had_3D/document.tex | cs/cs/EbrithilNogare_mff/ZS3/lingebra/ke_zkousce.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","cs","8","cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | cs/JoHavel_MFFNotes/MA7/Reprezentace/ReprezentaceC.tex | cs/knedl1k_B2M01TIK/midterm/main.tex | cs/pkonas_AutoGenBook/output/book/sections/3-5.tex | cs/reasonablecow_share/math/abstract-algebra/readme.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","de","54","sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/endmatter/post44/Noether_Post44_Algebra_der_hyperkomplexen_Groessen_German_TeX_witness_body.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/endmatter/post45/Noether_Post45_Kapferer_Noether_Multiplizitaetsbedingungen_German_TeX_witness_body.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/endmatter/postbibliography/Noether_PostBibliography_Terminal_Material_German_TeX_witness_body.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper01/Noether_Paper01_German_FINAL_AUDITED_slice.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper01/Noether_Paper01_German_local_restart_source.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","de","95","source_roots/modern_latex_manuscripts_noether_sources/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_Original_German_MODERN_TEX.tex | source_roots/modern_latex_manuscripts_noether_sources/final-numbered-papers-audit-with-table-restoration/Noether_FINAL_Cumulative_Original_German_MODERN_TEX_numbered_papers_complete_AUDITED.tex | source_roots/modern_latex_manuscripts_noether_sources/final-numbered-papers-audit-with-table-restoration/patches/Noether_Paper34_Product_Table_Patch_Original_German_MODERN_TEX.tex | source_roots/modern_latex_manuscripts_noether_sources/paper-level-edition/paper22-complete/Noether_Batch32_Paper22_sections04_07_complete_Original_German_MODERN_TEX.tex | source_roots/modern_latex_manuscripts_noether_sources/paper-level-edition/paper22-complete/Noether_Cumulative_Original_German_MODERN_TEX_through_Paper22_complete.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","de","54","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_NunoSempere_Apuntes/Teoria de Galois/TeoriaGalois.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_NunoSempere_Apuntes/Teoria de Galois/tex/TG_Resumen.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_NunoSempere_Apuntes/Teoria de Galois/tex/TeoriaGalois_Ejs.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_apuntes-uam-infomat_apuntes/Teoria de Galois/tikz/ejercicios/img1-ej1-h2.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_apuntes-uam-infomat_apuntes/Teoria de Galois/tikz/ejercicios/img1-ej2-h2.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","dsb","12","slavic_source_canon/dsb/ajienator_template-skripsi-latex-ilkom/abstrak.tex | slavic_source_canon/dsb/anjaaaj_anjarac/2-matematika.tex | slavic_source_canon/dsb/BukuInformatika_python/OVERVIEW.docx.tex | slavic_source_canon/dsb/chamik_ksp-latex-template/template.tex | slavic_source_canon/dsb/dirsulaiman_skripsi/skripsi.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","dsb","14","dsb/2black0_Template-LaTeX-Tugas-Akhir-Sarjana-Terapan-UNY/Project/untouch/xx-preambles.tex | dsb/ajienator_template-skripsi-latex-ilkom/abstrak.tex | dsb/AndrewMathas_WebQuiz/doc/examples/index-cz.tex | dsb/anjaaaj_anjarac/2-matematika.tex | dsb/BukuInformatika_python/OVERVIEW.docx.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","en","50","sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper01/Noether_Paper01_English_FINAL_AUDITED_control_slice.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper01/Noether_Paper01_English_local_control.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper02/Noether_Paper02_English_FINAL_AUDITED_control_slice.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper03/Noether_Paper03_English_FINAL_AUDITED_control_slice.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper04/Noether_Paper04_English_FINAL_AUDITED_control_slice.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","en","39","source_roots/modern_latex_manuscripts_noether_sources/final-numbered-papers-audit-with-table-restoration/patches/Noether_Paper34_Product_Table_Patch_English_MODERN_TEX.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/en/p07_en.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/en/p08_en.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/en/p09_en.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/en/p10_en.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","en","47","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/2401.04069v4/english.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/spanish/github_alexey-beshenov_notas-san-salvador/algebra-2019/extra/divisibilidad-en-Z.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260629T021729Z_optimal_access_intercomprehension_research/kuhn_2015_arxiv_1507_01701_source_extracted/diagram_en.tex | source_roots/noether_slavic_canonical_sources/paper01/Noether_Paper01_English_FINAL_AUDITED_control_slice.tex | source_roots/noether_slavic_canonical_sources/paper01/Noether_Paper01_English_local_control.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","es","50","romance_source_canon/ES-B-002_notas-san-salvador/definitions.tex | romance_source_canon/ES-B-002_notas-san-salvador/salvador.bib | romance_source_canon/ES-B-002_notas-san-salvador/algebra-2018/11-anillos-ejercicios.tex | romance_source_canon/ES-B-002_notas-san-salvador/algebra-2018/11-anillos.tex | romance_source_canon/ES-B-002_notas-san-salvador/algebra-2018/12-anillos-conmutativos-ejercicios.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_ES_FR_20260704.zip","es","1240","sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/AlgebraConmutativa.bib | sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/AlgebraConmutativa.tex | sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex | sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex | sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/3_Variedades.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","es","134","source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/es/p07_es.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/es/p08_es.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/es/p09_es.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/es/p10_es.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/es/p11_es.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","es","187","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/2307.10288v4/sln.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/2404.04056v2/slice_torus2.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/2409.00793v2/TheBigWrap.bib | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/2409.00793v2/TheBigWrap.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/2412.04824v1/2412.04824v1.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip","fa","1218","sources/fa_discrete_mathematics_persian/DiscreteMathematics-Persian-master/Contents/AoPS/body.tex | sources/fa_discrete_mathematics_persian/DiscreteMathematics-Persian-master/Contents/Appreciation.tex | sources/fa_discrete_mathematics_persian/DiscreteMathematics-Persian-master/Contents/CombinatorialAnalysis/CountingwithGeneratingFunctions/DiophantineEquation/body.tex | sources/fa_discrete_mathematics_persian/DiscreteMathematics-Persian-master/Contents/CombinatorialAnalysis/CountingwithGeneratingFunctions/DiophantineEquation/example1.tex | sources/fa_discrete_mathematics_persian/DiscreteMathematics-Persian-master/Contents/CombinatorialAnalysis/CountingwithGeneratingFunctions/DiophantineEquation/example2.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","fa","1232","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/persian_farsi/thesis-qom/source/thesis-qom/doc/dicen2fa.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/persian_farsi/yazd-thesis/source/yazd-thesis/dicen2fa.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T213451Z_deep_tex_source_register/persian_farsi/ctan/simurgh/source/simurgh/doc/simurgh-doc.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T213451Z_deep_tex_source_register/persian_farsi/ctan/simurgh/source/simurgh/doc/simurgh-logo.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T213451Z_deep_tex_source_register/persian_farsi/ctan/simurgh/source/simurgh/tex/simurgh-abjad.sty"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","fa","2","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260702T212500Z_persianate_dari_tajik_invariant_algebra_refresh/raw_tex/farsi_sut_group_theory_pset6.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260702T212500Z_persianate_dari_tajik_invariant_algebra_refresh/raw_tex/farsi_sut_group_theory_pset7.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_ES_FR_20260704.zip","fr","263","sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex | sources/fr_es_compact_corpus/tex_corpus/french/0605500v2/indice2.tex | sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/art-djament-3.tex | sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/article3-introb.tex | sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/f-nab.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_LiveArxivCandidates_20260705.zip","fr","2","romance_live_arxiv_candidates_20260705/extracted/2506.03851v1/FrenchMacrosClspadic.tex | romance_live_arxiv_candidates_20260705/extracted/2506.03851v1/FrenchTheoremsClspadic.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","fr","1","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/0711.3658v2/fr0g_.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","fr","1","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T083000Z_spanish_covariant_tex_broader_retry/raw_candidates/breandan__kotlingrad__latex__thesis_fr__chapter3_dsl.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","gl","1","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/math_0107137v2/rel_gl.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","hr","63","slavic_source_canon/hr/f-hluchnik_zpevnik/pisnicky/rovnoujotadyrovnou.tex | slavic_source_canon/hr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | slavic_source_canon/hr/Hendrix-CS_programming-team/reference/Hendrix-comprog-reference.tex | slavic_source_canon/hr/hr/amwolff_WAT-MM/assignment.tex | slavic_source_canon/hr/hr/andrija-urosevic_BPP_HGGA/pres.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","hr","54","hr/hr/amwolff_WAT-MM/assignment.tex | hr/hr/andrija-urosevic_BPP_HGGA/pres.tex | hr/hr/blakemcbride_Kiss/manual/GroovyOverview.tex | hr/hr/bornagojsic_dismat2/zadace/dz08/main.tex | hr/hr/bornagojsic_dismat2/zadace/dz09/main.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","hr","9","hr/bornagojsic_dismat2/zadace/dz09/main.tex | hr/f-hluchnik_zpevnik/pisnicky/rovnoujotadyrovnou.tex | hr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | hr/Headary_maturita/cj/sources/dlouhy_siroky_a_kratkozraky.tex | hr/Headary_maturita/cj/sources/fimfarum.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","hsb","1","slavic_source_canon/hsb/ousidus_magisterka-2026/tekst/chapters/3-theoretical.tex"
