reader	pdf_page	printed_page	content_bbox_pt	page_size_pt	outside_media_box	status
readers/PAPER_IV_EN_PP065_086.pdf	8	72	61.937,38.790,535.039,683.462	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	9	73	61.086,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	10	74	61.937,38.790,532.920,528.170	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	11	75	61.937,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	12	76	61.806,38.790,534.430,554.171	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	13	77	62.362,38.790,534.430,470.135	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	14	78	61.980,38.790,535.033,435.100	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	15	79	61.937,38.790,534.430,526.955	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	16	80	61.086,38.790,535.041,494.859	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	17	81	61.937,38.790,534.432,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	18	82	61.969,38.790,534.422,523.202	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	19	83	61.969,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	20	84	61.969,38.790,535.041,431.462	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	21	85	61.969,38.790,535.042,480.852	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	22	86	61.937,38.790,535.035,511.395	595.280,841.890	NO	PASS
readers/PAPER_IV_APPARATUS_S02.pdf	1	APPARATUS	73.246,71.583,523.701,800.193	595.280,841.890	NO	PASS
readers/PAPER_IV_APPARATUS_S02.pdf	2	APPARATUS	73.297,73.097,523.701,800.193	595.280,841.890	NO	PASS
readers/PAPER_IV_APPARATUS_S02.pdf	3	APPARATUS	73.155,73.097,521.789,800.193	595.280,841.890	NO	PASS
