printed_page	authority_pdf_page	layer	before	after	evidence	disposition
78	95	FR_QUOTATION_MARKS	»…« around Theorem I and the two particular theorems	Printed „…“ around all three statements	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Theorem I and the p=12n+1 / p=28n+1,28n+9,28n+25 quoted statements	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	FR_EN_HEADING	R28 small capitals for Théorème I. / Theorem I.	Source mixed-case, letter-spaced centred heading; English title translated without small-cap normalization	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Centred Théorème I. heading	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76;77;78;79;80	92;93;94;95;96;97	FR_EN_PARAGRAPH_STRUCTURE	R28 generic paragraph spacing/indentation, detached from physical source continuations	Unindented continuing blocks on pp75–76 and at heads of pp77–78/80; source paragraph starts retained, including quoted statements and section 5	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Visible source paragraph indentation and the two cross-page text splits; see qa/s02/UNIT_ALIGNMENT.tsv	SOURCE_PARAGRAPH_STRUCTURE_RESTORED
75;78	92;95	EN_BIBLIOGRAPHICAL_TITLE	Untranslated italic Théorie des Nombres in the English R28 text	Italic Theory of Numbers, consistent with accepted S01 translation treatment	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; p75 reciprocal-law citation and p78 table reference; French titles remain unchanged	SOURCE_TITLE_TRANSLATED
75	92	EN_TEXT_AND_PUNCTUATION	relatively prime); and it is known, by a known theorem that follows easily … (… no. 197), that every	relatively prime) and one knows by a known theorem that follows easily … (… no. 197) that every	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; French: (où … sont premiers entre eux) et l’on sait par un théorème connu qui se déduit facilement … (… no. 197) que tout	FULL_SOURCE_CORRESPONDENCE_RESTORED
75	92	EN_PUNCTUATION	odd), and suppose; common divisor; and since; with respect to b; so that	odd) and suppose; common divisor, and since; with respect to b, so that	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; French corresponding junctions: impair) et supposons; diviseur commun, et comme; par rapport à b, de sorte	CORRECTED_FROM_ATTACHED_AUTHORITY
76	93	EN_PUNCTUATION	remarkable result: if	remarkable result: If	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Final unindented source paragraph: résultat remarquable: Si	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	EN_PUNCTUATION	the equation t²±cδu²=p is soluble	the equation t²±cδu²=p, is soluble	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Source auxiliary theorem retains a comma after the displayed-in-prose relation p, before soit résoluble	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	EN_PUNCTUATION	(where ψ is supposed even), one; p: if; biquadratic residue according; b=7, etc.; with respect to p if	(where ψ is supposed even) one; p: If; biquadratic residue, according; b=7 etc.; with respect to p, if	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; All corresponding punctuation in Theorem I, the b=3,b=7 introduction and the two quoted corollaries; both inserted commas after the even-parenthesis removed	CORRECTED_FROM_ATTACHED_AUTHORITY
79	96	EN_PUNCTUATION	p=t²−au², where	p=t²−au² where	full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; First paragraph of section 5: p=t²−au² où, without a comma after the relation	CORRECTED_FROM_ATTACHED_AUTHORITY
80	97	EN_PUNCTUATION	The number of changes will therefore be even when	The number of changes will therefore be even, when	full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Source: Le nombre des changements sera donc pair, lorsque	CORRECTED_FROM_ATTACHED_AUTHORITY
86	103	FR_EN_DISPLAY_PUNCTUATION	S02 first direct-source draft: three trailing baseline dots in each of the last two reciprocity rows	Three baseline ellipsis dots plus the printed terminal point in both rows (four visible dots per row)	full PDF 103 = scope leaf 24: qa/s02/source/p086_authority.png; Two final rows, enlarged in qa/s02/source/p086_reciprocity_detail.png; before-draft files preserved in qa/s02/build/repair_history	DIRECT_SOURCE_DRAFT_CORRECTED
