layer	inherited_path	inherited_tex_line	inherited_unit	printed_pages	line	role	disposition	evidence
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	18			{1\textsuperscript{er} Mémoire. Suite: pages imprimées 75--80.}	ADDED_EDITORIAL_TITLE	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	19			\end{center}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	20				WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	21	par.001	75	\unitid{dirichlet.v1.p04b.par.001}Il est très facile de s'assurer que les nombres $E$ et $F$ sont premiers entre eux. En effet, soit $\delta$ un facteur simple quelconque de $E$ (qui sera nécessairement impair, $E$ étant lui même impair) et supposons que $\delta$ divise aussi $F$. L'inspection des équations précédentes fait voir que $\delta$ serait, dans cette supposition, diviseur commun de $t+\psi$ et $t-\psi$, et diviserait par conséquent le nombre $t$, qui est la demi-somme des précédents. Mais on voit d'un autre côté que $\delta$, comme diviseur premier de $E$, divise $m^2$, et par conséquent $m$ et $u$ ($u$ étant $=mu'$). Les nombres $t$ et $u$ auraient donc, dans cette supposition, le facteur commun $\delta$, ce qui est absurde, $p=t^2-bu^2$ étant un nombre premier. Il est donc prouvé que $E$ et $F$ ne sauraient avoir de diviseur commun, et comme le produit de ces nombres est un carré, chacun d'eux est pareillement un carré. On a donc:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	22	eq.001	75	\unitid{dirichlet.v1.p04b.eq.001}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	23	eq.001	75	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	24	eq.001	75	\leg{E}{b}=1,\qquad \leg{F}{b}=1.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	25	eq.001	75	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	26	eq.001	75		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	27	par.002	75	\unitid{dirichlet.v1.p04b.par.002}Quant aux nombres $K$ et $L$, ils sont de même tels qu'on ait:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	28	eq.002	75	\unitid{dirichlet.v1.p04b.eq.002}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	29	eq.002	75	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	30	eq.002	75	\leg{K}{b}=1,\qquad \leg{L}{b}=1.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	31	eq.002	75	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	32	eq.002	75		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	33	par.003	75	\unitid{dirichlet.v1.p04b.par.003}En effet, on voit par la dernière équation (p. 74) que ces nombres divisent l'un et l'autre la formule $\varphi'^2+bu'^2$ (où $\varphi'$ et $bu'$ sont premiers entre eux) et l'on sait par un théorème connu qui se déduit facilement de la loi de réciprocité (\emph{Théorie des Nombres}, no. 197) que tout diviseur impair $R$ d'une pareille formule est tel que $\leg{R}{b}=1$. Multipliant la première des dernières relations par la troisième, la seconde par la quatrième, il viendra:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	34	eq.003	75	\unitid{dirichlet.v1.p04b.eq.003}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	35	eq.003	75	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	36	eq.003	75	\leg{EK}{b}=1,\qquad \leg{FL}{b}=1,	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	37	eq.003	75	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	38	eq.003	75	ou, ce qui est la même chose:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	39	eq.004	75	\unitid{dirichlet.v1.p04b.eq.004}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	40	eq.004	75	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	41	eq.004	75	(\delta)\qquad \leg{t+\psi}{b}=1,\qquad \leg{t-\psi}{b}=1.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	42	eq.004	75	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	43	eq.004	75		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	44	par.004	75	\unitid{dirichlet.v1.p04b.par.004}En examinant d'une manière semblable le cas de $\varphi$ divisible par $b$, on trouvera que, dans ce cas, l'un des nombres $t+\psi$ et $t-\psi$ est divisible par $b$, et que l'autre est, comme dans le cas dont nous venons de nous occuper, résidu quadratique par rapport à $b$, de sorte qu'en désignant par $t\pm\psi$ celui de ces nombres qui est divisible par $b$, on a:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	45	eq.005	75	\unitid{dirichlet.v1.p04b.eq.005}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	46	eq.005	75	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	47	eq.005	75	(\delta')\qquad t\pm\psi\equiv0\pmod b,\qquad	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	48	eq.005	75	\leg{t\mp\psi}{b}=1.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	49	eq.005	75	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	50	eq.005	75		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p075_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	51	par.005	76	\unitid{dirichlet.v1.p04b.par.005}Il résulte du théorème énoncé à la fin du paragraphe précédent que, pour décider si $-b$ est ou n'est pas résidu biquadratique par rapport à $p$, tout se réduit à la question de savoir si $t$ est ou n'est pas résidu quadratique par rapport à $b$. Nous pouvons maintenant faire voir, au moyen des résultats que nous venons d'obtenir, que cette dernière question peut être décidée sans connaître $t$, c'est-à-dire sans qu'il soit nécessaire de mettre $p$ sous la forme $t^2-bu^2$. Supposons d'abord $\varphi$ non-divisible par $b$. Les relations $(\delta)$, qui ont lieu dans ce cas, peuvent être présentées de cette manière, en observant que $b$ est un nombre premier $4n+3$:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	52	eq.006	76	\unitid{dirichlet.v1.p04b.eq.006}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	53	eq.006	76	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	54	eq.006	76	\leg{\psi+t}{b}=1,\qquad \leg{\psi-t}{b}=-1.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	55	eq.006	76	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	56	eq.006	76		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	57	par.006	76	\unitid{dirichlet.v1.p04b.par.006}On tire immédiatement de l'équation $p=t^2-bu^2$: $t^2\equiv p\pmod b$, résultat qui fait voir qu'en résolvant la congruence $\chi^2\equiv p\pmod b$, et désignant par $\chi$ l'une de ses racines prise au hasard, on aura $t\equiv\chi$, ou $t\equiv-\chi\pmod b$. Dans le premier cas, on a:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	58	eq.007	76	\unitid{dirichlet.v1.p04b.eq.007}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	59	eq.007	76	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	60	eq.007	76	\leg{t}{b}=\leg{\chi}{b},\qquad \leg{\chi+\psi}{b}=1,	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	61	eq.007	76	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	62	eq.007	76	car il est évident que les expressions $\leg{t}{b}$ et $\leg{t+\psi}{b}$ ne changent pas en mettant à la place de $t$ un autre nombre $\chi$ qui ne diffère de $t$ que par un multiple de $b$. En multipliant les dernières relations entre elles, il viendra:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	63	eq.008	76	\unitid{dirichlet.v1.p04b.eq.008}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	64	eq.008	76	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	65	eq.008	76	\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	66	eq.008	76	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	67	eq.008	76		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	68	par.007	76	\unitid{dirichlet.v1.p04b.par.007}Considérons maintenant l'autre cas dans lequel $t\equiv-\chi\pmod b$. On aura alors:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	69	eq.009	76	\unitid{dirichlet.v1.p04b.eq.009}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	70	eq.009	76	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	71	eq.009	76	\leg{t}{b}=-\leg{\chi}{b},\qquad \leg{\psi+\chi}{b}=-1,	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	72	eq.009	76	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	73	eq.009	76	la dernière de ces relations résultant de la formule $\leg{\psi-t}{b}=-1$, si l'on met à la place de $-t$ le nombre $\chi$ qui n'en diffère que par un multiple de $b$. En multipliant les relations précédentes entre elles, on trouvera, comme plus haut:	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	74	eq.010	76	\unitid{dirichlet.v1.p04b.eq.010}	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	75	eq.010	76	\[	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	76	eq.010	76	\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	77	eq.010	76	\]	AUTHOR_TEXT_MATH_OR_STRUCTURE	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	78	eq.010	76		WRAPPER_OR_BLANK	SOURCE_REPLAYED; CORRECTED_DERIVATIVE_ONLY_ACCEPTED	qa/s02/source/p076_authority.png
