printed_page	expected_scope_leaf	expected_authority_pdf_page	expected_role	mapping_evidence	source_inspected	french	english	apparatus
87	25	104	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
88	26	105	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
89	27	106	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
90	28	107	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
91	29	108	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
92	30	109	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
93	31	110	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
94	32	111	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
95	33	112	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
96	34	113	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
97	35	114	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
98	36	115	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
