layer	physical_page	printed_page	text_sha256	record_sha256	source_record_sha256	status
source	14	93	B7A4E9C773DD852C3BE950789AB0BB81C96BF454878217D0270D2540E76208FC	E124A1953D646FAE1F5C19C9877B39B8F48E688E2CAA45169696636E26FD71FA	E124A1953D646FAE1F5C19C9877B39B8F48E688E2CAA45169696636E26FD71FA	VERIFIED_FROM_PACKET
english	14	93	607703750361CEA1E578F1CC0147662F859820E623EAA68210FBFCF1B5C96655	BE425D6BA2D39C062B04388344DD4833F0507AF6F6AE3A7CFC686CE7DFA8A0FD	E124A1953D646FAE1F5C19C9877B39B8F48E688E2CAA45169696636E26FD71FA	VERIFIED_FROM_PACKET
apparatus	14	93	24C629CA3ADB33B368283A855B1217854F1F5211200C4C978A02999E16104740	FDBAB92F7F5491ABB7F7937340967A8D29826FB29F6C1543074164F0C193B708	E124A1953D646FAE1F5C19C9877B39B8F48E688E2CAA45169696636E26FD71FA	VERIFIED_FROM_PACKET
source	15	94	019E91232B1EE012AF81ACB1551047AFA24EBE8FCD8623FF2090A32C865DB55A	C0F741FB66F5F64170F17AB73651DB2C12025856FB9577ED18D45149927204E3	C0F741FB66F5F64170F17AB73651DB2C12025856FB9577ED18D45149927204E3	VERIFIED_FROM_PACKET
english	15	94	1C124AB17A89A4647CE7A3365D3116092BB5012013858B6204241E7DF952A58E	3D6923BC854A14DE87E3E265B0647581B014B3F241FB0F3EFD1FA9DA91EE7678	C0F741FB66F5F64170F17AB73651DB2C12025856FB9577ED18D45149927204E3	VERIFIED_FROM_PACKET
apparatus	15	94	D987DDDE6161DE0AB8C9EB4A780F338BD8B7508458D02CCBC2D6B32107304A6D	CA7E425110BCF2B686768D6EE900A9D0111687887A87FB35CD831C034B34BB80	C0F741FB66F5F64170F17AB73651DB2C12025856FB9577ED18D45149927204E3	VERIFIED_FROM_PACKET
source	16	95	AAA623796A9C3EC2AAF75ABFEEC0B7C5A85B447087B07EA7508C1CE09D45B17C	C4CD5A66973E223BEB7E6EEB812AA22BD85A33388DB06F5C57C1CF579411587F	C4CD5A66973E223BEB7E6EEB812AA22BD85A33388DB06F5C57C1CF579411587F	VERIFIED_FROM_PACKET
english	16	95	1B5A5ACB0406E511C391EA24F0138FF313F926270F2EF2B3EDAB4447344B9791	AD425A1D75B912ABCB9FD4E7B28844AD33D4FE8111C65CE5EC656284A3C80A7D	C4CD5A66973E223BEB7E6EEB812AA22BD85A33388DB06F5C57C1CF579411587F	VERIFIED_FROM_PACKET
apparatus	16	95	7AF1F63432DBB34D9DBDBBCC98A1F866F3701E7CEB319DE46B80FA1D0DDB3B29	DC27BB8656D52AEE29A78267A4165AA54FF78BBA1C915959B33BE376B62B6F54	C4CD5A66973E223BEB7E6EEB812AA22BD85A33388DB06F5C57C1CF579411587F	VERIFIED_FROM_PACKET
source	17	96	FF69ED723AE2A7B95E720D7EBB74FCC596114ACFF4297BE9D5F03102F3342A2C	2EAD9ED926F2F86DF0509F9E12CF608049E2BEE5CFC363CA00C4EC5670A87D0D	2EAD9ED926F2F86DF0509F9E12CF608049E2BEE5CFC363CA00C4EC5670A87D0D	VERIFIED_FROM_PACKET
english	17	96	0C45F23C09FCCB49206EF9244DFA9B40FA53631D768E88E31192B8BBB325793D	8BEC53B0914D4ADD714F4A2D74A19A5025619E56359877EFA88B5A81409A99AC	2EAD9ED926F2F86DF0509F9E12CF608049E2BEE5CFC363CA00C4EC5670A87D0D	VERIFIED_FROM_PACKET
apparatus	17	96	EEA685C86D74E26153690CE95C555E37E0394C15FC68069B5D2CFF9140AB6264	1E481F22658844BCC95E0ABD51A56385E63AE04570F9AAF9CC5A418A2DCE1D79	2EAD9ED926F2F86DF0509F9E12CF608049E2BEE5CFC363CA00C4EC5670A87D0D	VERIFIED_FROM_PACKET
source	18	97	ED467265A5785C16B483B5F333F1EA9FF10CC1FAF65AA9E8DA399DC264D768AE	7AFD8C046DE3DBB515DCA729C123CFAB6E39341C825C3B8F6EB2CF6874D99354	7AFD8C046DE3DBB515DCA729C123CFAB6E39341C825C3B8F6EB2CF6874D99354	VERIFIED_FROM_PACKET
english	18	97	9E7262606B04B98A682D5C26FE1E4E679625D28CDBBDFF868A98E9714D235BE7	ED19AC67656307A1B0F3E7EEC9725DFB880AE294BC050570A13512DF6FEF64B3	7AFD8C046DE3DBB515DCA729C123CFAB6E39341C825C3B8F6EB2CF6874D99354	VERIFIED_FROM_PACKET
apparatus	18	97	0E5B9F1A5CF5BC41670A0242BF9816332EC299B60A9F831B09864EB086459ED6	47FDC29B65F374961522CC5E310CC9808473E537EF3FCB3951CEF6F3BB754EBC	7AFD8C046DE3DBB515DCA729C123CFAB6E39341C825C3B8F6EB2CF6874D99354	VERIFIED_FROM_PACKET
source	19	98	714AB09FA199C38BE888E0878D96EB25EA982FB0BF8C31F189353C1170C7C699	FF351EE8E2034B5D54AB695CC007B683D610F8BA74E4A3B61335246B508B0BDD	FF351EE8E2034B5D54AB695CC007B683D610F8BA74E4A3B61335246B508B0BDD	VERIFIED_FROM_PACKET
english	19	98	CFFA394E41F7D372AD05816F4554FF1CC38E4DC6D6A9A9610B21AD968B41B90F	4741C4115316A8D632B09E06B56658E4E526AE64C894054FE0176B1CFFCB60F5	FF351EE8E2034B5D54AB695CC007B683D610F8BA74E4A3B61335246B508B0BDD	VERIFIED_FROM_PACKET
apparatus	19	98	857F4E91236C3FA23936A1C8A7557D542E5EC2C211BA0BDF315B968BF68A1850	D2577A2E02AA72C686547D43D22AC12CC3D7412C7436A83E1D7CFC5289A94459	FF351EE8E2034B5D54AB695CC007B683D610F8BA74E4A3B61335246B508B0BDD	VERIFIED_FROM_PACKET
source	20	99	9581CFF29FA72AB6A458D12FE1D8AA0857B6639296490850C1097D132D14D3C0	E54F85B9B929D5DCC111B0041EB5D504D85355720788BA8CCCD9E37D65BABF1C	E54F85B9B929D5DCC111B0041EB5D504D85355720788BA8CCCD9E37D65BABF1C	VERIFIED_FROM_PACKET
english	20	99	9CBCA2214B2AFBDDFF2750D2B5E525815563232E84AD916E30ECF0842967EECE	5E33B51FF613509B80648C949006EEA7B0E45F8867726C0F4A306708E9A1C8ED	E54F85B9B929D5DCC111B0041EB5D504D85355720788BA8CCCD9E37D65BABF1C	VERIFIED_FROM_PACKET
apparatus	20	99	4DB36F4EA6E7408188B90592CF6327E47C28A53DBEC51C3570F83A932BD11616	698BDA748402FD5793ACA6D50C008DCBCB5C50D7E045FEA6654447E43C2F5DB7	E54F85B9B929D5DCC111B0041EB5D504D85355720788BA8CCCD9E37D65BABF1C	VERIFIED_FROM_PACKET
source	21	100	B461D62D80DAB0A6FF70AF19B68E863AFFA06E3A5E009B565B0FCE4C35EDB117	1E4CF5B373CF50E80F9EFC1313FA92B9BC3D24FBF7F0DE5AC6385F4ED5BC8557	1E4CF5B373CF50E80F9EFC1313FA92B9BC3D24FBF7F0DE5AC6385F4ED5BC8557	VERIFIED_FROM_PACKET
english	21	100	955BFEA901DA29AC1B8648DB0FA81B3D785CD76829A880BD1E8A707C7CDE4E9E	2ED8742A3E16FA40BA84526BCE0753F0C20288740BF6157A693A327632015F6F	1E4CF5B373CF50E80F9EFC1313FA92B9BC3D24FBF7F0DE5AC6385F4ED5BC8557	VERIFIED_FROM_PACKET
apparatus	21	100	007072BC789A1C135A4015D7A4434DA60FF2FE7E6A44563FCFB5EF887F6AC4A1	D5EE41B6A3DEFE6E4F8B28A5F52FD857BF0BCF30C0467D0556387A78A8CE604C	1E4CF5B373CF50E80F9EFC1313FA92B9BC3D24FBF7F0DE5AC6385F4ED5BC8557	VERIFIED_FROM_PACKET
source	22	101	97302E5F1314A6B140A8BA5842B1927085A555056156168EC5D90F438B0A05CA	40449B09BA29FBDDA2DBF25D321ECD86E926363064ADE5B80E4A503BDA3EB062	40449B09BA29FBDDA2DBF25D321ECD86E926363064ADE5B80E4A503BDA3EB062	VERIFIED_FROM_PACKET
english	22	101	D8963568A01E45FF4E46DEF61D257AD6B3DEB575C9E5E5DAA6E117C4CDA1324F	52C2DC639FCF2FADEB7615D8CCD9CD212A09A3F01720557BE9D5519C5262D3F4	40449B09BA29FBDDA2DBF25D321ECD86E926363064ADE5B80E4A503BDA3EB062	VERIFIED_FROM_PACKET
apparatus	22	101	39D396895DEF46FFB2225B4BDAE21D183FA91FF9B84426A57ED484E6474EE940	6627A1F2C4E45D8BCC6A5F2368CAE7242055A0C8DA450AC7772AF4DBE04CDC74	40449B09BA29FBDDA2DBF25D321ECD86E926363064ADE5B80E4A503BDA3EB062	VERIFIED_FROM_PACKET
source	23	102	ABD75186D40E815E9CB12FB3F93FD28F9349B52BA40858D2EBE5868B3336DFD8	280355AEFC2B4BFDBD7589F03527088AB4F8C85BCCC7A3F103476E7E5D27BB69	280355AEFC2B4BFDBD7589F03527088AB4F8C85BCCC7A3F103476E7E5D27BB69	VERIFIED_FROM_PACKET
english	23	102	54991FC0450D8743A902AB50F8432E5649B529CD29AFFF2E746C128A4902135E	226230DD5E58CA9C4A715FEE056F2A54E88400DDC1120C5F74AC2741AA0AEF0E	280355AEFC2B4BFDBD7589F03527088AB4F8C85BCCC7A3F103476E7E5D27BB69	VERIFIED_FROM_PACKET
apparatus	23	102	52215BC11C470503FDC4DACE97E8493409CFBCBA9B6D08308411F31535914D71	776E495BD74F7976422B994122AABF8D55E10C860368C6004B3D2A034A7C732D	280355AEFC2B4BFDBD7589F03527088AB4F8C85BCCC7A3F103476E7E5D27BB69	VERIFIED_FROM_PACKET
source	24	103	416E35011481A2D085FDC7511367F95B6800D6E691DA40F7216FFA6B55155EF6	3D4589DF546A411FE046129B066A4AB3185A1071354DCDDB4114F15112C4B0D6	3D4589DF546A411FE046129B066A4AB3185A1071354DCDDB4114F15112C4B0D6	VERIFIED_FROM_PACKET
english	24	103	D15A930039847DC73CA5C454C2B3A7331BAD7521A009DEF4BC56804CAB2B1B15	F79F95E76AB39F2023254F1E4D1B4DB458B0B9AA3198F7569A8F856303B33AC0	3D4589DF546A411FE046129B066A4AB3185A1071354DCDDB4114F15112C4B0D6	VERIFIED_FROM_PACKET
apparatus	24	103	D16434CE2471C140D4954018959024F2738849DBF5E34AFA71F7E3FBFD1A55CE	F5EFC3F196AC1A3F172FCE04057E1691AD59A7EA89A6747D31F94326E17C9AB6	3D4589DF546A411FE046129B066A4AB3185A1071354DCDDB4114F15112C4B0D6	VERIFIED_FROM_PACKET
source	25	104	F1260F88794AEA165868B867FB9C85B6F7ACD99675928A147466155EFC9355BE	5061EF887AA2CF6242FAD8AA48B2624E29C5FB2FC4787589A88F9A0A7542D9D7	5061EF887AA2CF6242FAD8AA48B2624E29C5FB2FC4787589A88F9A0A7542D9D7	VERIFIED_FROM_PACKET
english	25	104	6603D7851A444311BA5A0ABD304FDB5F109119942DE97DBAD6F5FA05C93543E9	3FF3491611082D3597A95855204FA29770F3BFBAD68DE70DF874670F7DAAB1C8	5061EF887AA2CF6242FAD8AA48B2624E29C5FB2FC4787589A88F9A0A7542D9D7	VERIFIED_FROM_PACKET
apparatus	25	104	251D9A7DD6A3508F3E69104D6323CAB3EA852D2FF5E8F16252CD39D623389294	78C21FCB01FEB70E6241FB47AEF1891513271302D5D8029E493AB882CE02837C	5061EF887AA2CF6242FAD8AA48B2624E29C5FB2FC4787589A88F9A0A7542D9D7	VERIFIED_FROM_PACKET
source	26	105	C333C88AA3F415252DA6FAAC456A46B64CE77218DC868F133D6172741BB2232E	2DB77F523FA1AE4292C38A6AA2EEBF9F81E5572C69AB4BB1907EBDCD45261F8C	2DB77F523FA1AE4292C38A6AA2EEBF9F81E5572C69AB4BB1907EBDCD45261F8C	VERIFIED_FROM_PACKET
english	26	105	23E4FAD0BDB6E7BBB5363151AD902D6E7F6B18077C3431BE0CD7A5E8C7C1EC11	C9165A312494DF72F8D2ED31FFAB9E0987C8B349D5C6C1F69E62FDFBCFF761AC	2DB77F523FA1AE4292C38A6AA2EEBF9F81E5572C69AB4BB1907EBDCD45261F8C	VERIFIED_FROM_PACKET
apparatus	26	105	FF23A5741F73114AE38BB1CCEA310989DA21C165639516231014A391214CD9DE	3497A56D04EFFB8F0DFD81DFE662CEFAE429306BB68FC11D3E46251B116F4A01	2DB77F523FA1AE4292C38A6AA2EEBF9F81E5572C69AB4BB1907EBDCD45261F8C	VERIFIED_FROM_PACKET
source	27	106	E5E4E451CB89FBF8ACC5867C65059E0FDBD02829038C3C64C22658BD5DE90554	E6CEBDF34DC001EC7B26A5BA581F08AD0C849948A80ED517A52741B9B27B5922	E6CEBDF34DC001EC7B26A5BA581F08AD0C849948A80ED517A52741B9B27B5922	VERIFIED_FROM_PACKET
english	27	106	86ACF0FBEBDD8949D7D3287C4CEB96A5B9473C4C9A586A35DB24977C09A140A1	EE16EB469ABA917162641E858B25065E5719D64B7B4A8577873C2C226E245480	E6CEBDF34DC001EC7B26A5BA581F08AD0C849948A80ED517A52741B9B27B5922	VERIFIED_FROM_PACKET
apparatus	27	106	5C1412891C8F156AABE7DEF79D6708414226A9B2A05E8ED1923AA62A691D9A92	33E1086FE96B14F29D779514E09C1E6556795A70544EC73234B04BE32207A989	E6CEBDF34DC001EC7B26A5BA581F08AD0C849948A80ED517A52741B9B27B5922	VERIFIED_FROM_PACKET
source	28	107	3FB2A6EFF52682080476E0C565751E67F76F36B7175F7675870D908B6E1A676A	CD2627B1B9CB8B4562F5A8C6C8625DA6BFB4B5AF3EA9225DF7E502948856202C	CD2627B1B9CB8B4562F5A8C6C8625DA6BFB4B5AF3EA9225DF7E502948856202C	VERIFIED_FROM_PACKET
english	28	107	02597EC6C7CD7CF82C221DC34625DAEA194DD0E127E5B6440824B6E1848292EE	5F5785BC9688D407182ED8B0E84FFD657ACC952AED7E15A17D9804C045610D96	CD2627B1B9CB8B4562F5A8C6C8625DA6BFB4B5AF3EA9225DF7E502948856202C	VERIFIED_FROM_PACKET
apparatus	28	107	BA9CD98A175DDAC76CEF7EA205D9F7F3E0166984F9B11DA986827EC5FB1345C1	7401CE4F14C7E9AB3A9176E247F2CBCE5A85A8BA4BFDD251FFD98DB30AA8DC03	CD2627B1B9CB8B4562F5A8C6C8625DA6BFB4B5AF3EA9225DF7E502948856202C	VERIFIED_FROM_PACKET
source	29	108	703E111DFB8EC8DFD4029B44E12BED79319AE3274706C57427DE80E54DBB39E1	1A18F06112F4F99E52BFFDDFF727799313CB20A5AA64BF7D0DC1EF1FFBD30DFB	1A18F06112F4F99E52BFFDDFF727799313CB20A5AA64BF7D0DC1EF1FFBD30DFB	VERIFIED_FROM_PACKET
english	29	108	C4BE73953B7BFB19EE25308F4FD13ADB8AFC9322F9FC0FB9D2643FAADAFDC154	2D4A60755AE384B1BFB1CF1FFAE871EFA955546084EE2A1E40C849CF376F4EC1	1A18F06112F4F99E52BFFDDFF727799313CB20A5AA64BF7D0DC1EF1FFBD30DFB	VERIFIED_FROM_PACKET
apparatus	29	108	C64C84534B0D7487DE2F868B86EF3772A45181D31307849B9C0BEB29728E6160	30E9104C33897464D2FE1B12739065339E74C7CE9F48AE2C625E9D61E775EAFA	1A18F06112F4F99E52BFFDDFF727799313CB20A5AA64BF7D0DC1EF1FFBD30DFB	VERIFIED_FROM_PACKET
source	30	109	61C146E8DA05E11303D96B632127D7A25FA5CD811B55F3BD22A52FEEB1AC2437	D4CA3278FA52EEA99033DC9E7A6160B5A986D8D829AF0A7874A6B7870835CD07	D4CA3278FA52EEA99033DC9E7A6160B5A986D8D829AF0A7874A6B7870835CD07	VERIFIED_FROM_PACKET
