physical_page	printed_page	relative_path	bytes	sha256	pixel_dimensions	role	accepted_editorial_bytes
25	104	assets/authority_pages/p025.png	55389	CF738B80C733F07F7CE57CC66486E3A36BC12806FB7C38124D37F1C0CEE93C17	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
26	105	assets/authority_pages/p026.png	48088	CC519797AC7790A9E89CA355B18D112877D8E709E8188337563EA0C711496494	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
27	106	assets/authority_pages/p027.png	65398	24CB923B1200A5C85EC666866C2083AD8B05DA3941AD471F750AC6C4A0529DD5	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
28	107	assets/authority_pages/p028.png	58000	E02EA69BBA81C4B9344FA85455A42581305515E5E91889FFAD9E599EB8619788	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
29	108	assets/authority_pages/p029.png	50455	11EBF5763EB979DD88EBD27049BB61124AB51CC4042AE7168F77A0EB618B7545	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
30	109	assets/authority_pages/p030.png	44201	C085BD548ADB221B82AC52E5A3C34318961AA0BD988D0AB6542816D258CB8926	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
31	110	assets/authority_pages/p031.png	47601	BA0B9A7F71A2F624D1AB57107959EDDAC3D7CA80C30936B93677B6694CD05C1B	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
32	111	assets/authority_pages/p032.png	62976	BA96818286F00FC559B425BAF21CE03B3E4D6482B4A3AB7D046E8CB3455F56F9	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
33	112	assets/authority_pages/p033.png	66537	3B793176F0EED50D112B314DFCDF184D72697E0D080732C7F378A916FFBA0C9B	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
34	113	assets/authority_pages/p034.png	51917	B378EC239E86CBAC5D1F858F058550C0C711321248884F61E859CD2465E65D8E	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
35	114	assets/authority_pages/p035.png	50947	04A5E67FC9F47BAFED0D83054BD6400F08D66658C9A2BC2D64A452919C8AE8DB	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
36	115	assets/authority_pages/p036.png	62143	6E454E5EC6E8197B791AAAA472246EC605FCBD7E1F27BA836ADBFF6E9FB42BF9	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
37	116	assets/authority_pages/p037.png	59392	EA54334773ADA2702804A3B96F0989E5DA4A65470276C70647269342BD82C46D	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
38	117	assets/authority_pages/p038.png	58996	D322119B6B8B16DEEF859BA673BC8AF97C3B7F801642FF934BBBEBFA544AF92E	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
39	118	assets/authority_pages/p039.png	46619	DFA1EDD7AECEB414C4B7543A2048D5CCC1110CF692C6626C93EAF944A5366038	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
40	119	assets/authority_pages/p040.png	55802	6A0F5D8563E391768CBB4D18D0541B4A613E5137761302E0400F74F9F99200C4	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
41	120	assets/authority_pages/p041.png	49830	E59EEDBA9FF0972B5C05CBE4A69C1D91C1DC9DB5296D69C0D71FE6CA1136F52B	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
42	121	assets/authority_pages/p042.png	56790	7C3BA4A4B88D94A89B6B37121DB8C4D25D613373CE42030BA10F66B446D8EA90	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
43	122	assets/authority_pages/p043.png	58087	DA04E6A1507D089AD9005F2C17A955C271929FBDC5134EC311DE60333605CE4D	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
44	123	assets/authority_pages/p044.png	58318	A5D94A21D3DAFB5FF982D0D9ABF39A96FA6A411E3AC7323DB14C01CB2B20484F	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
45	124	assets/authority_pages/p045.png	49498	CFCA0D70F72E11F9D350DADFEECEEE4C8D95217EC420AFDDA5DCEC05594BF565	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
46	125	assets/authority_pages/p046.png	56741	1C2D56D51A6738A7183E5C3C3091425A74CB05C5BE334459CDFD18414B76DFFE	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
47	126	assets/authority_pages/p047.png	63311	40F7007E414A4556A04C8F24F6C288E9E78540C15C3A471535AFEF7051A3C69E	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
48	127	assets/authority_pages/p048.png	27839	643B85EA5E7A5AC6B45E345E1B8F8A262C0C9B423CE199452C6232445DA7F1B8	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
49	128	assets/authority_pages/p049.png	43153	C8F487A598ED77B1EAED50B7EFACC0B792C84B8BCC14C7AC34363E371D29FC35	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
50	129	assets/authority_pages/p050.png	56514	5D94AC44078559382505D77D911895235517F855C60DF640FB0DDF055BA9070A	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
51	130	assets/authority_pages/p051.png	40136	28704E9FA1730F8730EED0330BFCA46DBBBFEB48FDC9D0048A6C9D9381501C30	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
52	131	assets/authority_pages/p052.png	43606	3DF60D96FBABAEDB880B0DB071F6BD8241DE05F0423BDC8ECEC3A5C11F476B90	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
53	132	assets/authority_pages/p053.png	42667	EE24E3F042A1DF8CCC4E6BAD59CAFE0D969A36C78C174887427B173AC076D030	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
54	133	assets/authority_pages/p054.png	40182	316126817E4AF66A80FFC16F5D073806243F11806550BDA59A56AF428198D630	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
55	134	assets/authority_pages/p055.png	47369	6EF85513598BEAB400F0472726EB6FE0D265F087862A847F5442DA4653C0E55F	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
56	135	assets/authority_pages/p056.png	55507	8880FA4CE3B21341B9DE6B411F65CED2C06B887B843BD46F8561C5C1DF5BB232	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
57	136	assets/authority_pages/p057.png	47581	0D26ECF70ACC3D6331AFCFAA69E6C87FC1DE9C1F853C839C5FD4CAFD9A5CE4E5	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
58	137	assets/authority_pages/p058.png	18024	4D0CF31FF07BA6CF28FFACB686A5505E4A45A5FD04FA684A7A327AC0B1AE73F3	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
