probe_id,platform,target_language_or_access_target,query,source_url,http_status,result_count,local_metadata_path,metadata_sha256,header_metadata_path,header_sha256,rate_limit_metadata_path,rate_limit_sha256,topic_language_tags,top_metadata_summary,license_or_access_signal,source_gate_decision,gap_or_blocker_note,upload_policy,promotion_allowed
R9-R3-GH-11,GitHub repository search API,Wolof,wolof xayma mathematics source,https://api.github.com/search/repositories,not_queried,not_queried,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_11_wolof.json,7BE65C45F410DA1A5AE092F7AC21642ED8B10538E842BE66FA169416EAD85B76,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_11_wolof.headers.json,EEA059780DDABBDDDAA2A8F5E7DF5782A6DD53071EA5311EC3D928465BAFA00F,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Wolof; West Africa; mathematics; endonym=xayma,GitHub query skipped to conserve exhausted/limited search quota; Hugging Face query still run for this row.,not queried; no license signal,not_queried_due_github_search_quota_conservation,GitHub source archive search still requires a later authenticated or reset-quota pass.,Do not upload as source corpus; no source evidence captured.,false
R9-R3-GH-12,GitHub repository search API,Yoruba,isiro yoruba mathematics source,https://api.github.com/search/repositories,not_queried,not_queried,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_12_yoruba.json,40976F849D85029DE3006FBF4B27A48622CDF902204A6ADF5BD5225D5F0FFD12,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_12_yoruba.headers.json,8D822D336DA87475FEAE00E12A70E788353C6862D3124EF2F67B7CA15696D63A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Yoruba; West Africa; mathematics; endonym=isiro,GitHub query skipped to conserve exhausted/limited search quota; Hugging Face query still run for this row.,not queried; no license signal,not_queried_due_github_search_quota_conservation,GitHub source archive search still requires a later authenticated or reset-quota pass.,Do not upload as source corpus; no source evidence captured.,false
R9-R3-GH-13,GitHub repository search API,AF05 South Sudan access target,south sudan language mathematics source archive,https://api.github.com/search/repositories,not_queried,not_queried,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_13_af05_south_sudan_access_target.json,179672D80B6E4FB3C8FA10EAB83DF6636B999065C46F378748258DC6C2D80F21,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_13_af05_south_sudan_access_target.headers.json,E7A0BC123714EF88F8BF754BAA641EE80D7667DAE89E5E1FF8F4B5B8633A2729,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,South Sudan access target; Africa; mathematics source acquisition,GitHub query skipped to conserve exhausted/limited search quota; Hugging Face query still run for this row.,not queried; no license signal,not_queried_due_github_search_quota_conservation,GitHub source archive search still requires a later authenticated or reset-quota pass.,Do not upload as source corpus; no source evidence captured.,false
R9-R3-GH-14,GitHub repository search API,AF06 Omotic/Southern Non-Bantu access target,omotic language mathematics source archive,https://api.github.com/search/repositories,not_queried,not_queried,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_14_af06_omotic_southern_non_bantu_access_target.json,B33FC75C3FA9564CB57576992B3A30622A476DF7BB4DA4317652FF28D5863283,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_skipped_14_af06_omotic_southern_non_bantu_access_target.headers.json,9B196C22C0352ED9FA0D908330494DE37BF5EA71DD308F1390BCDEA856EFB9DA,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Omotic/Southern Non-Bantu access target; Ethiopia; mathematics source acquisition,GitHub query skipped to conserve exhausted/limited search quota; Hugging Face query still run for this row.,not queried; no license signal,not_queried_due_github_search_quota_conservation,GitHub source archive search still requires a later authenticated or reset-quota pass.,Do not upload as source corpus; no source evidence captured.,false
R9-R3-HF-01,Hugging Face dataset search API,Hausa,lissafi hausa source textbook mathematics,https://huggingface.co/api/datasets?search=lissafi+hausa+source+textbook+mathematics&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_01_hausa.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_01_hausa.headers.json,59833BD2C6AEA9BB66DE29CCCF77EA76F0DF11265E55648A6C3AF518476ABEAC,,,Hausa; West Africa; mathematics; endonym=lissafi,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-02,Hugging Face dataset search API,Igbo,igbo mgbakọ na mwepụ mathematics source,https://huggingface.co/api/datasets?search=igbo+mgbak%E1%BB%8D+na+mwep%E1%BB%A5+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_02_igbo.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_02_igbo.headers.json,90799DD0FB031F64539E332E5DD4FF8D88A501DE263BA9417028E67086034441,,,Igbo; West Africa; mathematics; endonym=mgbakọ na mwepụ,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-03,Hugging Face dataset search API,Amharic,አማርኛ ሂሳብ mathematics source,https://huggingface.co/api/datasets?search=%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B+%E1%88%82%E1%88%B3%E1%89%A5+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_03_amharic.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_03_amharic.headers.json,FEC0009FA87F5D4525ED18D1018BEF9CB9512B715555D07B71A07107CAEE65C5,,,Amharic; Horn of Africa; Ethiopic; mathematics; endonym=ሂሳብ,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-04,Hugging Face dataset search API,Afar/Qafar,qafar xisab afar mathematics source,https://huggingface.co/api/datasets?search=qafar+xisab+afar+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_04_afar_qafar.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_04_afar_qafar.headers.json,174599CF2C5A1BF93EE7A7D0114A87991635A7008B80B84C767ECFE1560868F8,,,Afar/Qafar; Horn of Africa; mathematics; endonym=xisab,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-05,Hugging Face dataset search API,Somali,xisaab somali mathematics source,https://huggingface.co/api/datasets?search=xisaab+somali+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_05_somali.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_05_somali.headers.json,BE1329B3EC960668C33D2A99333AFEBC83387E95684E834BAABF1E4401F01851,,,Somali; Horn of Africa; mathematics; endonym=xisaab,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-06,Hugging Face dataset search API,Oromo/Afaan Oromo,herrega afaan oromo mathematics source,https://huggingface.co/api/datasets?search=herrega+afaan+oromo+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_06_oromo_afaan_oromo.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_06_oromo_afaan_oromo.headers.json,0F8360FC19037E6A7FDC3F6467ABFC4F50DFD952487686833078ACDDC882E0C4,,,Oromo/Afaan Oromo; Horn of Africa; mathematics; endonym=herrega,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-07,Hugging Face dataset search API,Tigrinya/Tigrigna,ትግርኛ ሒሳብ mathematics source,https://huggingface.co/api/datasets?search=%E1%89%B5%E1%8C%8D%E1%88%AD%E1%8A%9B+%E1%88%92%E1%88%B3%E1%89%A5+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_07_tigrinya_tigrigna.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_07_tigrinya_tigrigna.headers.json,97758169339A26584EB0E0A75DDFC03AFEE85F372BEB90FD9FF962B64CF57773,,,Tigrinya/Tigrigna; Horn of Africa; Ethiopic; mathematics; endonym=ሒሳብ,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-HF-08,Hugging Face dataset search API,Fulfulde/Fulani,fulfulde hisaabu mathematics source,https://huggingface.co/api/datasets?search=fulfulde+hisaabu+mathematics+source&limit=5&full=true,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_08_fulfulde_fulani.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\hf_08_fulfulde_fulani.headers.json,0B382B09EEDF2F008589394AEE4A376CC7AD90F9849FEB230CAB22A1B9634F88,,,Fulfulde/Fulani; West Africa; mathematics; endonym=hisaabu,no dataset metadata results,metadata only; license tag missing in top records,metadata_only_not_admitted,"Dataset search metadata only; no dataset files or source bodies were downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
