"packet","paper","segment_id","source_anchor","formula_neighboring_note","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","source_use_label_faa2","boundary_faa2","current_head","carryforward_head","source_use_label_faa2_support","boundary_faa2_support"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0013","$n$ten Einheitswurzeln","Coefficient domain with nth roots of unity; retain $n$th root condition.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0015","$u_0=u_1x_1+u_2x_2+\cdots+u_nx_n$","Displayed linear form and homogeneous resultant are the central formula anchors.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0016","Resultante von je $n$ Polynomen","Sufficient-not-necessary condition; no promotion to theorem beyond source wording.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","P18-S0005","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","P18-S0006","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","P18-S0006","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","P18-S0007","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","P18-S0007","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","P32-S0024","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","P32-S0025","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","P32-S0026","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","P32-S0027","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","P32-S0028","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
