row_id,language_lane,english_concept,draft_target_rendering,term_alternatives_or_scope,source_context_note,formula_neighboring_usage_note,interlinear_or_linguistic_scaffold,source_use_label,non_claim_boundary
term-ja-0032,japanese,representation,表現,,"Existing queue row is ready for page-context note entry: local extraction recorded 35/35 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: representation -> 表現; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0033,japanese,representation theory,表現論,,"Existing queue row is ready for page-context note entry: local extraction recorded 6/6 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: representation theory -> 表現論; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0005,japanese,Artin/Artinian,アルティン／アルティン的,Artin; Artinian,"Existing queue row is ready for page-context note entry: local extraction recorded 5/5 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: Artin/Artinian -> アルティン／アルティン的; alternatives/register scope: Artin; Artinian,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0006,japanese,Artinian/Artin,アルティン的／アルティン,Artinian; Artin,"Existing queue row is ready for page-context note entry: local extraction recorded 5/5 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: Artinian/Artin -> アルティン的／アルティン; alternatives/register scope: Artinian; Artin,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0007,japanese,finite-dimensional,有限次元,,"Existing queue row is ready for page-context note entry: local extraction recorded 17/17 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: finite-dimensional -> 有限次元; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0008,japanese,finitely generated,有限生成,,"Existing queue row is ready for page-context note entry: local extraction recorded 40/40 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: finitely generated -> 有限生成; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0034,japanese,ideal,イデアル,,"Existing queue row is ready for page-context note entry: local extraction recorded 63/63 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: ideal -> イデアル; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0035,japanese,semisimple ring,半単純環,,"Existing queue row is ready for page-context note entry: local extraction recorded 7/7 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: semisimple ring -> 半単純環; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0036,japanese,principal ideal,主イデアル,,"Existing queue row is ready for page-context note entry: local extraction recorded 11/11 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: principal ideal -> 主イデアル; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0037,japanese,commutative ring,可換環,,"Existing queue row is ready for page-context note entry: local extraction recorded 31/31 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: commutative ring -> 可換環; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0038,japanese,quotient ring,商環,,"Existing queue row is ready for page-context note entry: local extraction recorded 2/2 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: quotient ring -> 商環; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0039,japanese,maximal ideal,極大イデアル,,"Existing queue row is ready for page-context note entry: local extraction recorded 17/17 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: maximal ideal -> 極大イデアル; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0040,japanese,ring,環,,"Existing queue row is ready for page-context note entry: local extraction recorded 70/70 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: ring -> 環; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0041,japanese,prime ideal,素イデアル,,"Existing queue row is ready for page-context note entry: local extraction recorded 18/18 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: prime ideal -> 素イデアル; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0001,japanese,algebra,代数,代数学,"Existing queue row is ready for page-context note entry: local extraction recorded 57/57 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: algebra -> 代数; alternatives/register scope: 代数学,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0002,japanese,basis theorem,基底定理,ヒルベルトの基底定理 when Hilbert context is explicit,"Existing queue row is ready for page-context note entry: local extraction recorded 1/1 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: basis theorem -> 基底定理; alternatives/register scope: ヒルベルトの基底定理 when Hilbert context is explicit,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0004,japanese,field,体,,"Existing queue row is ready for page-context note entry: local extraction recorded 79/79 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: field -> 体; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0014,japanese,isomorphism,同型,同型写像 when the morphism itself is foregrounded,"Existing queue row is ready for page-context note entry: local extraction recorded 73/73 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: isomorphism -> 同型; alternatives/register scope: 同型写像 when the morphism itself is foregrounded,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0015,japanese,homomorphism,準同型,準同型写像,"Existing queue row is ready for page-context note entry: local extraction recorded 54/54 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: homomorphism -> 準同型; alternatives/register scope: 準同型写像,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0016,japanese,automorphism,自己同型,,"Existing queue row is ready for page-context note entry: local extraction recorded 1/1 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: automorphism -> 自己同型; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0017,japanese,endomorphism,自己準同型,,"Existing queue row is ready for page-context note entry: local extraction recorded 2/2 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: endomorphism -> 自己準同型; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0021,japanese,norm,ノルム,,"Existing queue row is ready for page-context note entry: local extraction recorded 12/12 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: norm -> ノルム; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0022,japanese,ring of integers,整数環,,"Existing queue row is ready for page-context note entry: local extraction recorded 10/10 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: ring of integers -> 整数環; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0023,japanese,decomposition of primes,素イデアル分解,素数の分解 when primes rather than prime ideals are foregrounded,"Existing queue row is ready for page-context note entry: local extraction recorded 2/2 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: decomposition of primes -> 素イデアル分解; alternatives/register scope: 素数の分解 when primes rather than prime ideals are foregrounded,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0024,japanese,class number,類数,,"Existing queue row is ready for page-context note entry: local extraction recorded 3/3 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: class number -> 類数; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-zh-hans-0011,simplified_chinese,right module,右模,,"Manual/source-review row: the original extraction row recorded 0/1 exact page hits, so this draft does not resolve the gate. Use the source-backed Chinese/Japanese native math shelf plus the July 3 CJK hard-term/codepoint redo to guide manual confirmation, then keep reviewer-packet population blocked until native/source review. Module compounds require special review because the strong base term is short and easy to overmatch.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Simplified Chinese draft scaffold: right module -> 右模; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-zh-hans-0012,simplified_chinese,submodule,子模,,"Manual/source-review row: the original extraction row recorded 0/1 exact page hits, so this draft does not resolve the gate. Use the source-backed Chinese/Japanese native math shelf plus the July 3 CJK hard-term/codepoint redo to guide manual confirmation, then keep reviewer-packet population blocked until native/source review. Module compounds require special review because the strong base term is short and easy to overmatch.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Simplified Chinese draft scaffold: submodule -> 子模; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-zh-hans-0014,simplified_chinese,module,模,,"Manual/source-review row: the original extraction row recorded 0/39 exact page hits, so this draft does not resolve the gate. Use the source-backed Chinese/Japanese native math shelf plus the July 3 CJK hard-term/codepoint redo to guide manual confirmation, then keep reviewer-packet population blocked until native/source review. Module compounds require special review because the strong base term is short and easy to overmatch.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Simplified Chinese draft scaffold: module -> 模; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-zh-hans-0015,simplified_chinese,module homomorphism,模同态,,"Manual/source-review row: the original extraction row recorded 0/3 exact page hits, so this draft does not resolve the gate. Use the source-backed Chinese/Japanese native math shelf plus the July 3 CJK hard-term/codepoint redo to guide manual confirmation, then keep reviewer-packet population blocked until native/source review. Module compounds require special review because the strong base term is short and easy to overmatch.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Simplified Chinese draft scaffold: module homomorphism -> 模同态; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-zh-hans-0022,simplified_chinese,irreducible representation,不可约表示,,"Manual/source-review row: the original extraction row recorded 0/43 exact page hits, so this draft does not resolve the gate. Use the source-backed Chinese/Japanese native math shelf plus the July 3 CJK hard-term/codepoint redo to guide manual confirmation, then keep reviewer-packet population blocked until native/source review. Representation rows should be checked against content-confirmed Chinese representation-theory TeX downloads.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Simplified Chinese draft scaffold: irreducible representation -> 不可约表示; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
