row_id,surface,risk,kind,replacement_hint,source_file,line,context,apply_action,citation_form,current_lemma,warning
entirely,vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,211,predstavjenje od $\cO$ jest vpolně reducibilno.,record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
power-exponent,stepenu,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,253,Čislo ireducibilnyh predstavjenj od $\mathfrak{Z}$ v $\Gamma$ jest ravno stepenu,deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,306,kde $n_i$ jest stepenj $i$-togo ireducibilnogo predstavjenja i,deferred_no_apply,,,deferred
power-exponent,stepenjev,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,315,\item Suma kvadratov stepenjev ireducibilnyh predstavjenj jest ravna porjadku,deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,317,\item Vsaky stepenj $n_i$ děli porjadok grupy $h$.,deferred_no_apply,,,deferred
entirely,vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,332,"Grupovo kolco abelovej grupy jest vpolně reducibilno točno togda, kogda",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
entirely,vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,338,biti vpolně reducibilno.,record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
entirely,vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,340,"Ako ale $h \not\equiv 0 \pmod{p}$, teda $\mathfrak{o}$ jest vpolně reducibilno,",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
remain-ostati,obstajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,363,"obstajut homomorfizmy od $\mathfrak{U}$, $\mathfrak{U}$ jest ravno podkolcu",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,383,$\mathfrak{P}$ invariantno tělo. Nehaj $\KK$ imaje konečny stepenj $n$ nad,deferred_no_apply,,,deferred
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,384,$\mathfrak{P}$. Togda važi:,human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,428,"Ako to ireducibilno predstavjenje imaje stepenj $r$, togda stepenj kakogokoli",deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,428,"Ako to ireducibilno predstavjenje imaje stepenj $r$, togda stepenj kakogokoli",deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,436,$\mathfrak{R}_\mathfrak{P}$ stepena $t$ nad $\mathfrak{P}$.,deferred_no_apply,,,deferred
remain-ostati,obstajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,470,"\emph{ekvivalentnymi}, ako obstajut elementi $c_s \in \KK^*$ taki, že",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,485,Nehaj $\mathfrak{R}_\mathfrak{P}$ bude normalno kolco stepena $t^2$ nad,deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,511,Nehaj $\KK$ bude ciklično razširjujoče polje od $\mathfrak{P}$ stepena $n$ s,deferred_no_apply,,,deferred
corresponds,Sootvětně,candidate_after_review,lexeme_switch,odpovědati-family; rehead lemma; manual inflection,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,601,$\mathfrak{H}$ jest invariantna grupa těla $\mathfrak{S}$. Sootvětně: ako $H$,prepare_candidate_rewrites_after_review,odpovědati,sootvětstvovati,lexicon group lemma should be re-headed to odpovědati
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,613,komutativnom slučaju.,human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,620,v komutativnom slučaju.,human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,627,(recipročno predstavjenje prvogo stepena od $\mathfrak{S}$ v $K$) možno,deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,629,koliko ukazuje stepenj $s$ od $T$ nad $\mathfrak{S}$.,deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,638,v $K$. Poneže ta klasa predstavjenj imaje stepenj~1 --- bo po konstrukciji $K$,deferred_no_apply,,,deferred
remain-ostati,obstajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,639,"v $K$ obstajut těla recipročno izomorfne k $\mathfrak{S}$, --- vsi proste lěve",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,641,"idealov, koliko ukazuje jego stepenj nad $P$:",deferred_no_apply,,,deferred
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,676,"slučaju jasno, bo one naležali k različnym klasam predstavjenj. Tut naprotiv",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,696,"upotrěbiti i v komutativnom slučaju, samo tam sut izlišne.)",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,702,"obstaje najmanje $s$ različnyh za $T$, mora byti",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,748,$\{\mathfrak{R}\}$. Togda važi: ako $\mathfrak{S}_{r_{1}}$ i,human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,765,"matrično kolco $r_{1}$-togo stepena nad $\mathfrak{M}_{m}$, i to jest naravno",deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,766,matrično kolco $mr_{1}$-togo stepena nad $\mathfrak{M}$. Togda zaključujemo,deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,800,"stepenj~1 --- imaje rang~1 nad $\mathfrak{R}$, tedy rang $t^{2}$ nad $P$.",deferred_no_apply,,,deferred
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,803,"$\mathfrak{R}$ ne obstaje tělo, čiji centar takodže jest $P$.",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,815,"$\mathfrak{S}$ s $P$ kako centrom, obstaje podtělo $\mathfrak{G}$ od",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,820,Vo vsakom slučaju obstaje klasa $\{\mathfrak{G}\}$ so svojstvom,prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,820,Vo vsakom slučaju obstaje klasa $\{\mathfrak{G}\}$ so svojstvom,human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,833,"$\mathfrak{R} \times \mathfrak{G}_{1}$ jest ale matrično kolco stepena,",deferred_no_apply,,,deferred
reg-dopuščati,dopušča,deferred_no_apply,deferred,deferred; allow/admit variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,836,"proste idealy ranga~1 nad $\mathfrak{R}$, bo $\mathfrak{R}$ dopušča",deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,837,"recipročne predstavjenja prvogo stepena v $\mathfrak{R}$, zato",deferred_no_apply,,,deferred
assumption-noun,predpostavlja,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,880,"V slědujučih izslědovanjah o osnovnom polju $P$ predpostavlja se, že ono jest",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
assumption-noun,predpostavku,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,881,"sovršeno; vmesto togo možno učiniti i obćejšu predpostavku, že se razgledajut",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,889,"$\mathfrak{R}$ nehaj bude stepena~$r$, togda ono jest maksimalno komutativno",deferred_no_apply,,,deferred
power-exponent,stepenj,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,895,$n$ jest stepenj od $Z$ nad $P$. Za kolco $\mathfrak{R}_{r}$ razširjeno s,deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,905,"kolco stepena $r \cdot t = n$ nad $\varGamma$ (teorem~4, str.~23,",deferred_no_apply,,,deferred
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,934,"ktore sut proste, bo važi $\mathfrak{l}_{i} = \mathfrak{S}_{r}\mathfrak{l}_{i}$.",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,966,"K každoj parě indeksov $(\nu, \mu)$ obstaje najmanje jedna konjugovana para",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstajuči,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1149,"bude, po predpostavce obstajuči, razklad na konjugovane lěve idealy; pri tom",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
assumption-noun,predpostavce,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1149,"bude, po predpostavce obstajuči, razklad na konjugovane lěve idealy; pri tom",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
assumption-noun,predpostavky,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1153,izpolnjene te same predpostavky:,citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1159,"Togda obstaje regularny element $A$ iz $\mathfrak{R}_{r}$ tak, že",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
assumption-noun,predpostavljene,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1176,$\mathfrak{A}$ predpostavljene sut izomorfne.,citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
corresponds,sootvětnymi,candidate_after_review,lexeme_switch,odpovědati-family; rehead lemma; manual inflection,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1301,$\mathfrak{m}_{i}$ imajut byti sootvětnymi idealami (vyvedenymi iz,prepare_candidate_rewrites_after_review,odpovědati,sootvětstvovati,lexicon group lemma should be re-headed to odpovědati
corresponds,sootvětnyh,candidate_after_review,lexeme_switch,odpovědati-family; rehead lemma; manual inflection,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1302,sootvětnyh komponentov $Z_{\varGamma}$ ili $Z'_{\varGamma}$). Togda,prepare_candidate_rewrites_after_review,odpovědati,sootvětstvovati,lexicon group lemma should be re-headed to odpovědati
length,dlugosti,candidate_after_review,orthography,dolgost/dȯlgosť; orthographic normalization,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1308,jest ideal absolutnoj dlugosti $n$. $\mathfrak{A}_{j}$ jest invariantny pri,prepare_candidate_rewrites_after_review,dȯlgosť (co-sanctioned: dȯlžina),dlugost,two sanctioned forms; corpus dlugost = pl-flavored spelling of dolgost
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1310,$\mathfrak{l}_{i}$; zato obstaje,prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
length,dlugost,candidate_after_review,orthography,dolgost/dȯlgosť; orthographic normalization,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1318,$u$ prostyh idealov (bo absolutna dlugost jest $n$). Naša pomočna lema,prepare_candidate_rewrites_after_review,dȯlgosť (co-sanctioned: dȯlžina),dlugost,two sanctioned forms; corpus dlugost = pl-flavored spelling of dolgost
remain-ostati,obstajanje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1341,"$\mathfrak{R}_{r} = P_{r}$, ili obstajanje $n$-člennogo lěvogo ideala",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1358,"Každy element $\{\mathfrak{R}\}$ grupy $\mathfrak{A}$ ima konečny red $A$,",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1415,"poněže red $\{\mathfrak{R}\}$ jest ravny redu $\{\alpha\}$, red",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,redu,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1415,"poněže red $\{\mathfrak{R}\}$ jest ravny redu $\{\alpha\}$, red",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1415,"poněže red $\{\mathfrak{R}\}$ jest ravny redu $\{\alpha\}$, red",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
