row_id,apply_action,risk,kind,citation_form,current_lemma,confidence,occurrences,files,surface_counts,candidate_normalizations,replacement_hint,warning,branch_evidence
assumption-noun,citation_rehead_only_or_no_text_change,citation_rehead_only,doublet_documentation,prědpoložeńje,prědpoloženje,high,534,169,predpostavjenju:50; predpostaviti:35; predpoloženju:30; predpostavjenja:28; predpostavlja:26; predpostavce:24; prědpoloženju:20; predpostavjenje:19; prědpostavce:18; predpostavky:16; predpoloženo:13; predpoloženje:12,,citation rehead/document doublet; no global replace,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka,předpoklad W; założenie pl; pretpostavka S
carry-out,citation_rehead_only_or_no_text_change,citation_rehead_only,sense_documentation,provesti,provesti / izvesti,high,135,67,izvedeny:24; izvedene:22; provesti:20; izvesti:15; izvedeno:15; izvedena:7; izvedenogo:6; izvedenym:6; izvedemo:4; izvedenomu:3; izvedenom:3; izvedenoj:2,,"documentation split only: provesti=perform, izvesti=derive","dict splits the senses: provesti=perform, izvesti=derive. Corpus uses izvesti for both — register doc should adopt the dict split (provesti=carry out construction, izvesti=derive result)",izved S72; przeprowadz pl33; provés cs20
remain-ostati,prepare_candidate_rewrites_after_review,context_check_only,sense_split,ostati / ostavati,ostati,high,357,92,obstaja:102; obstaje:71; obstajut:38; obstavajut:33; obstajanje:20; obstajajut:20; obstava:18; obstavaje:12; obstajati:11; obstavanje:8; obstajanja:7; obstavati:4,"obstava -> context-check (obstajati=exist family, not remain)",context-check: remain vs exist; no automatic rewrite,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4),zůst W; pozosta pl; ostaj S+E
power-exponent,deferred_no_apply,deferred_no_apply,deferred,,,,1216,176,stepena:380; stepen:165; stepenj:140; stepenev:66; stepeni:64; stepenjev:40; stepenja:39; stepenovyh:36; stepenov:29; stepenove:26; stepenu:24; stupnja:24,,deferred; power/exponent variant scatter,deferred,
reg-dopuščati,deferred_no_apply,deferred_no_apply,deferred,,,,294,119,dopušča:88; dopuščajut:30; dopustime:30; dopuskaje:22; dopuskajut:21; dopustimy:16; dopustet:12; dopustima:10; dopustimyh:10; dopustja:8; dopusča:8; dozvoljaje:7,,deferred; allow/admit variant scatter,deferred,
series-sequence-red,human_review_before_any_apply,human_review_only,high_divergence,ręd (with mandatory 4-branch gloss block),ręd,medium,1235,122,rędov:204; rędy:194; ręd:169; red:103; reda:86; redov:75; rěda:72; rędami:68; ręda:45; redy:41; redu:32; rędah:31,red/rěd -> ręd (nasal) orthography,human review: high-divergence series/row/order; mandatory gloss,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off,řada W31; szereg pl; niz S172; zaporedje sl47; ISV ręd leans E
case-instance,human_review_before_any_apply,human_review_only,homograph_risk,slučaj,slučaj,high,680,190,slučaju:387; slučaj:163; slučajah:28; slučaja:24; slućaju:22; slućaj:14; slučaje:13; slučaji:12; slučajem:5; slučajam:3; slučajno:3; slučajev:2,slućaj -> slučaj orthography; pripad/padě (W-leak) -> slučaj with W-gloss,"human review: case/instance, belongs homograph risk",hr pripada=belongs homograph noted (F12c),slučaj S97+E; případ/przypad W200
holds-is-valid,human_review_before_any_apply,human_review_only,register_extension,važiti (REGISTER EXTENSION),važi,medium,549,181,važi:497; velja:21; važiti:17; važy:8; važit:2; važilo:2; veljalo:1; važili:1,platn* -> važi* in prose with W-gloss documented,human review: register-extension holds/valid,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question,važi S-only; platí W-only; velja sl
however,human_review_before_any_apply,human_review_only,homograph_risk,jednako (with homograph usage-note),však,medium,191,84,vsak:127; však:37; jednako:23; odnako:4,corpus však/odnako occurrences -> reviewer choice: normalize to jednako OR keep as documented flavoring,human review: however/equally homograph risk,"HOMOGRAPH WARNING: hr/sr jednak(o)=equal(ly) — in math prose where 'equally' is frequent, prefer sentence positions that disambiguate, or use ipak for contrast; this row NEEDS the reviewer",však W-only; ipak/vendar/međutim S; pl jednak=however but hr jednak=equal (F12c catch)
reg-rěšenje,human_review_before_any_apply,human_review_only,dict_sense_tension,rěšeńje (math: solution-of-equation),rěšenje,high,110,34,rěšenje:39; rěšenja:34; rěšenj:17; rěšeno:7; rěšenju:4; rěšenjam:4; rěšene:2; rěšenjami:1; rěšena:1; rěšenomu:1,reseno -> rěšeno orthography,human review; dict-sense tension but math usage supported,"dict-sense tension (decision vs solution) documented; cs řešení supports the math usage — no change needed, note kept",řešení W; rozwiązanie pl; rešitev sl; rješenje S
entirely,record_sanctioned_doublet_no_global_replace,sanctioned_doublet_record,doublet,sȯvsěm,sovsěm,high,185,64,popolno:165; vpolně:20,"sasvim -> sovsěm in prose (or keep as S-alias, reviewer call)",sovsěm/vpolně/popolno all sanctioned; no global replace,popolno is dict-sanctioned; v4 scatter note amended,sovsem E; sasvim S44; zcela W11
reg-sostojati,record_sanctioned_doublet_no_global_replace,sanctioned_doublet_record,doublet,sȯstojati sę (iz),sostojati,high,6,6,sklada se:4; skladaje se:2,sastoji->sostoji orthography only,sostoji orthography only for sastoji; skladati is sanctioned doublet,do NOT eliminate skladati — community-sanctioned,sostoji S25; skládá/składa W30; no pan root
