priority,lane,target,local_status,source_type,source_or_id,action
P1,sensor fusion/recent survey,A Survey of Multi-sensor Fusion Perception for Embodied AI,not in packet,arXiv HTML/source candidate,arXiv:2506.19769,Recent review; good glossary/topic-map source for sensor fusion. Check length and safety framing.
P1,event/sensor fusion/recent survey,Event-based Sensor Fusion and Application on Odometry,not in packet,arXiv HTML/source candidate,arXiv:2410.15480,Good recent source for event cameras + IMU/LiDAR odometry.
P1,statistics/filtering,"Särkkä & Svensson, Bayesian Filtering and Smoothing, 2nd ed",not in packet,free author PDF; no public TeX found,Aalto author PDF 2023,Use PDF extraction/reference; concise and mathematically clean.
P1,statistics/filtering robust,Robust Bayesian Filtering and Smoothing Using Student's t Distribution,not in packet,arXiv source candidate,arXiv:1703.02428,Good focused paper for robust filtering/outliers; source likely available from arXiv.
P2,operations research,Open Optimization OR Book,not in packet,GitHub source for LP/IP/NLP with Python/Julia examples,open-optimization/open-optimization-or-book,Strong LaTeX/source-ready replacement/supplement for Hillier where public source matters.
P2,optimization,"Kochenderfer & Wheeler, Algorithms for Optimization",PDF extraction usable; 621 pp in packet,book source not found; official ancillary notebooks/figure code/slides exist,"algorithmsbooks/algforopt-notebooks, optimization-ancillaries, algforopt-slides",Use PDF extraction for prose; use notebooks/slides/code for examples and consistency.
P2,optimization,Tufte Algorithms Book Template,not in packet,LaTeX template used for Algorithms for Optimization; GitHub,sisl/tufte_algorithms_book,Useful typesetting scaffold for Ukrainian applied-math booklets.
P2,convex optimization,"Boyd & Vandenberghe, Convex Optimization",not in packet,official free PDF; example/figure code public; no book TeX,stanford.edu/~boyd/cvxbook,Use as reference; not a TeX source.
P2,PDE/numerics,Benoit Dionne PDE lecture notes,not in packet,GitHub LaTeX source,BenoitDionne/PDE,Source-ready PDE replacement/supplement; check level and license.
P2,finite elements/numerics,"Langtangen–Mardal, Introduction to Numerical Methods for Variational Problems",not in packet,GitHub source/resources; free PDF,hplgit/fem-book,High-value source-ready FEM/numerical PDE target.
P2,RF/antenna,Peeter Joot ECE1229 Advanced Antenna Theory notes,not in packet,GitHub LaTeX source,peeterjoot/ece1229-antenna,Potential LaTeX-ready substitute/supplement for Balanis antenna theory; check license and scope.
P2,DSP,"Think DSP, 2nd edition",not in packet,GitHub notebook/book source; Python focus,AllenDowney/ThinkDSP2,Practical source-backed DSP supplement; not as rigorous as Osgood but faster to translate/adapt.
P2,SDR/comms,Software Defined Radio for Engineers / SDR For Engineers,not in packet,free book/code repositories; no book TeX confirmed,sdrforengineers GitHub organization,Use code/labs as support; not a direct TeX source replacement.
P3,data science/ML,Probabilistic Machine Learning book series,not in packet,"GitHub source/release ecosystem; Jupyter/HTML/PDF, MIT license for repo",probml/pml-book,Useful for ML/probability source-backed reference; not first battlefield-practical lane.
P3,ML math,Mathematics for Machine Learning,not in packet,"GitHub companion notebooks; official PDF; source for notebooks, not full TeX book",mml-book/mml-book.github.io,Use as terminology/reference for linear algebra/PCA/Gaussian models.
HOLD,tracking/ballistics,"Blackman & Popoli, Modern Tracking Systems",local PDF extraction poor/none; likely scanned image despite OCR metadata,no public TeX found,local PDF only,Do not public-queue; OCR or replacement source only for authorized controlled review.
HOLD,ballistics,"McCoy, Modern Exterior Ballistics",local PDF extraction poor/none; scanned,no public TeX found,local PDF only,Do not public-queue. Requires OCR if used under controlled review.
HOLD,missile guidance,"Zarchan, Tactical and Strategic Missile Guidance",PDF text extraction good,no public TeX found,local PDF only,"Do not public-queue; if used, restrict to non-operational glossary/math foundations."
