"blocker_id","scope","blocker_class","exact_path_or_evidence","next_recovery_action","generated_support_status","authority_ethics_boundary"
"R6-INSUFFICIENT-R6-ACTIVE-034","Guatemala Uspanteko","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-035","Hnahnu/Otomi","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-036","Maya","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-037","Mexico CONALITEG Indigenous primary","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-038","Mexico CONALITEG viewers/catalogue","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-039","Mexico CONALITEG/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-040","Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-041","Nahuatl","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-042","Nahuatl / Indigenous-language education candidate","source_canon_insufficient","source_acquisition_or_gap_only","If pursued, inspect repository source-body language and mathematics content under a separate capture policy, record file hashes, license scope, source-owner/reviewer route, and B3 payload boundary before any movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-043","Paraguay Guarani","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-044","Paraguay Guarani/Matematica PRODEPA","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-045","Paraguay MEC CMS","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-046","Peru Quechua/Aymara","source_canon_insufficient","source_acquisition_or_gap_only","Wait for reviewer/source-owner/reuse returns; no duplication.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-047","Peru Quechua/Aymara existing reader","source_canon_insufficient","source_acquisition_or_gap_only","Do not duplicate Peru EIB reader; wait for reviewer/source-owner/reuse returns.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-048","Quechua Central","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-049","Quechua Chanka","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-050","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-051","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-052","ASL","source_canon_insufficient","source_acquisition_or_gap_only","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-053","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-054","ASL, LSQ, DGS, International Sign, future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-055","DGS","source_canon_insufficient","source_acquisition_or_gap_only","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-056","LSQ","source_canon_insufficient","source_acquisition_or_gap_only","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-057","International Sign comparator","source_canon_insufficient","source_acquisition_or_gap_only","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-AUTH-REVIEWER-RETURNS","reviewer/source-owner returns","route evidence exists, but no reviewer/source-owner return approval","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","obtain explicit reviewer/source-owner returns before authority promotion","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-COMMUNITY","native/community authority","index is not community consent or source authority","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","separate source-body provenance from community authority/consent route","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-KICHWA","Ecuador Kichwa CNIB","probe metadata only; source body still insufficient","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","retry official CNIB body route and source-owner path","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-GUARANI","Paraguay Guarani/PRODEPA","route/probe only; no Guarani mathematics source body","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","retry MEC/PRODEPA routes and alternate official indexes","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-SIGN-MEDIA","DGS/ASL/LSQ sign/access","metadata/HTML/JSON only; no media/source-owner clearance","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-OCR","Aymara/Quechua OCR/Unicode","OCR witness is not source truth; Unicode/orthography/source-PDF return pending","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/OCR_UNICODE_SOURCE_RETURN_LEDGER.csv","source-PDF comparison and reviewer route before reuse","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-AUTH-ZIP-TEX","source archive / TeX","2 ZIPs audited, 79 entries, 0 TeX-family entries; source-archive search remains open","outputs/r6-source-archive-content-audit-cycle10-20260706","continue source-archive search and B3 decide whether to package ZIP audit","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","blocker_carry_forward"
"R6-PAYLOAD-DRAFT-FILTER","payload source-only boundary","2 Cycle 8 draft-like rows were excluded from literal source witness payload","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/literal-source-witnesses","Keep generated-draft support in separate draft/non-canonical artifacts only when source baseline and authority route permit","not produced in this artifact","blocker_carry_forward"
