"packet","source_root","destination_root","file_count","bytes","large_files","archive_files"
"PERSIANATE_TAJIK_FAA2C330_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_CONTINUATION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_FAA2C330_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_CONTINUATION_20260706","interlanguage-sidecar/persianate-tajik-faa2c330-current-head-source-gated-boundary-continuation-20260706","32","726701","0","0"
"R2_FAA2C330_HEARTBEAT_CURRENT_HEAD_CONTINUATION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_HEARTBEAT_CURRENT_HEAD_CONTINUATION_20260706","language-source-bodies/pan-turkic-faa2c330-heartbeat-current-head-continuation-20260706","14","95849","0","0"
"R2_FAA2C330_SOURCE_USE_ADVERSE_FABLE_LEDGER_REFRESH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_SOURCE_USE_ADVERSE_FABLE_LEDGER_REFRESH_20260706","language-source-bodies/pan-turkic-faa2c330-source-use-adverse-fable-ledger-refresh-20260706","17","76816","0","0"
"R2_FAA2C330_TOKEN_RESET_MUTUAL_WAKE_RECOVERY_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_TOKEN_RESET_MUTUAL_WAKE_RECOVERY_20260706","language-source-bodies/pan-turkic-faa2c330-token-reset-mutual-wake-recovery-20260706","16","45875","0","0"
"R3_FAA2C330_0D_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T145622Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FAA2C330_0D_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706\R3_FAA2C330_0D_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T145622Z","interlanguage-sidecar/rtl-persianate-arabic-faa2c330-0d-current-head-source-gated-boundary-20260706","18","6051707","0","0"
"R3_FAA2C330_ROMANCE_MUTUAL_WAKE_RELAY_20260706_20260706T150215Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FAA2C330_ROMANCE_MUTUAL_WAKE_RELAY_20260706\R3_FAA2C330_ROMANCE_MUTUAL_WAKE_RELAY_20260706_20260706T150215Z","coordination/r3-faa2c330-romance-mutual-wake-relay-20260706","5","2610","0","0"
"R6_FAA2C330_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_FAA2C330_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706","uploader-transfer/r6-faa2c330-current-head-source-start-continuation-20260706","16","309289","0","0"
"R6_FAA2C330_TOKEN_RESET_MUTUAL_WAKE_RECOVERY_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_FAA2C330_TOKEN_RESET_MUTUAL_WAKE_RECOVERY_20260706","uploader-transfer/r6-faa2c330-token-reset-mutual-wake-recovery-20260706","17","305335","0","0"
"R9_FAA2C330_AUTHORITY_ETHICS_BLOCKER_LEDGER_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_FAA2C330_AUTHORITY_ETHICS_BLOCKER_LEDGER_20260706","uploader-transfer/r9-faa2c330-authority-ethics-blocker-ledger-20260706","13","196738","0","0"
"R9_FAA2C330_SOURCE_GATED_DRAFT_REVIEWPACK_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_FAA2C330_SOURCE_GATED_DRAFT_REVIEWPACK_20260706","uploader-transfer/r9-faa2c330-source-gated-draft-reviewpack-20260706","12","317121","0","0"
"R9_FAA2C330_TOKEN_RESET_RECOVERY_SEARCH_WORKPACK_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_FAA2C330_TOKEN_RESET_RECOVERY_SEARCH_WORKPACK_20260706","uploader-transfer/r9-faa2c330-token-reset-recovery-search-workpack-20260706","12","273864","0","0"
"SLAVIC_FAA2C330_AUTHORITY_ETHICS_RECOVERY_AUDIT_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_FAA2C330_AUTHORITY_ETHICS_RECOVERY_AUDIT_20260706","interlanguage-sidecar/slavic-faa2c330-authority-ethics-recovery-audit-20260706","13","19788","0","0"
"SLAVIC_FAA2C330_SOURCE_GATED_DRAFT_SUPPORT_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_FAA2C330_SOURCE_GATED_DRAFT_SUPPORT_20260706","interlanguage-sidecar/slavic-faa2c330-source-gated-draft-support-20260706","22","321783","0","0"
"SLAVIC_FAA2C330_TOKEN_RESET_CURRENT_HEAD_RECHECK_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_FAA2C330_TOKEN_RESET_CURRENT_HEAD_RECHECK_20260706","interlanguage-sidecar/slavic-faa2c330-token-reset-current-head-recheck-20260706","25","228759","0","0"
