stable_id,volume,authority_sha256,pdf_physical_page,printed_page,french_source_file,french_source_line,french_source_text,english_source_file,english_source_sha256,english_source_line,english_current_text,source_backed_disposition,status
EG-EGA-I-P38-GAMMA-HOM-MISSING-PAREN-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,37,38,source/ega1/ega0-1-fr.tex,2223-2227,"Gamma(U,sheaf-Hom_A(F,G))=Hom_(A|U)(F|U,G|U)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,171-174,"Gamma(U,sheaf-Hom_A(F,G)=Hom_(A|U)(F|U,G|U)",The English display omits the closing parenthesis of Gamma and therefore changes the rendered formula; restore the exact source grouping in a no-overwrite successor,CONFIRMED_ENGLISH_FORMULA_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P38-PHI-DOMAIN-RESTRICTION-INDEX-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,37,38,source/ega1/ega0-1-fr.tex,2272-2278,"phi_lambda_mu:(V_mu_lambda,A_mu|V_mu_lambda) isomorphic to (V_lambda_mu,A_lambda|V_lambda_mu)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,209-214,"phi_lambda_mu:(V_mu_lambda,A_mu|V_lambda_mu) isomorphic to (V_lambda_mu,A_lambda|V_lambda_mu)",Direct NUMDAM restricts A_mu to its domain V_mu_lambda; the English V_lambda_mu subscript is source-inexact and must be V_mu_lambda in a no-overwrite successor,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P41-INVERSE-IMAGE-HEADING-A-VS-B-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,40,41,source/ega1/ega0-1-fr.tex,2490,"Image réciproque d'un B-Module",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,371,"Inverse image of an A-module",Direct NUMDAM prints B-Module and the subsection itself constructs inverse images of B-modules as A-modules; the English heading must say B-module,CONFIRMED_ENGLISH_MATHEMATICAL_HEADING_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P41-ENDOWS-WITH-THE-A-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,40,41,source/ega1/ega0-1-fr.tex,2500-2503,"l'homomorphisme theta-sharp munit A d'une structure de psi-star(B)-Module",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,381-383,"the homomorphism theta-sharp endows A with the a psi-star(B)-module structure",The English contains the duplicated articles 'the a'; it must read 'with a' in the no-overwrite successor,CONFIRMED_ENGLISH_GRAMMAR_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P42-PSI-MORPHISM-PLURAL-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,41,42,source/ega1/ega0-1-fr.tex,2674-2677,"un homomorphisme ... s'appelle encore un Psi-morphisme de G dans F",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,507-511,"a homomorphism ... is still called a Psi-morphisms from G to F",The direct NUMDAM source is singular and the English article also requires singular; change 'a Psi-morphisms' to 'a Psi-morphism' in the no-overwrite successor,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P42-ON-EN-DEDUIT-MISSING-FROM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,41,42,source/ega1/ega0-1-fr.tex,2726-2728,"On en déduit (3.7.1) un homomorphisme",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,547-548,"We obtain (3.7.1) a homomorphism",The English drops the relational preposition carried by 'en déduit'; it must read 'We deduce from (3.7.1) a homomorphism' or equivalent,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P43-IDENTITY-PSISTAR-B-VS-G-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,42,43,source/ega1/ega0-1-fr.tex,2746-2751,"l'homomorphisme identique de Psi-star(G) ... rho_G:G->Psi-star(Psi-star(G))",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,563-568,"the identity homomorphism of Psi-star(B) ... rho_G:G->Psi-star(Psi-star(G))",NUMDAM and the displayed unit map both require the identity of Psi-star(G); the English B is a mathematical transcription error and must be G,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P43-NEITHER-OR-VS-NOR-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,42,43,source/ega1/ega0-1-fr.tex,2760-2761,"Ils ne sont en général ni injectifs ni surjectifs",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,577-578,"They are in general neither injective or surjective",The correlative conjunction must be 'neither injective nor surjective',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P43-INDUCTIVE-SYSTEM-VS-LIMIT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,42,43,source/ega1/ega0-1-fr.tex,2812-2818,"u_lambda ... formant un système inductif",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,607-613,"u_lambda ... form an inductive limit",NUMDAM says the morphisms form an inductive system; the English 'inductive limit' changes the categorical statement and must be 'inductive system',CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P43-NORMALLY-MISSPELLED-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,42,43,source/ega1/ega0-1-fr.tex,2833-2836,"est normalement muni d'une structure",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,624-626,"is normaly equipped with the a ... module structure",The inherited English misspells 'normally'; restore the second l in the no-overwrite successor,CONFIRMED_ENGLISH_SPELLING_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P43-WITH-THE-A-DUPLICATE-ARTICLE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,42,43,source/ega1/ega0-1-fr.tex,2833-2836,"est normalement muni d'une structure",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,624-626,"is normaly equipped with the a ... module structure",The English duplicates the articles 'the a'; it must read 'with a module structure',CONFIRMED_ENGLISH_GRAMMAR_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P44-UPRIME-VS-VPRIME-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,43,44,source/ega1/ega0-1-fr.tex,2891-2897,"Soit H un C-Module, u' un homomorphisme ...; le composé v''=v o v' ... H ->[v'] Psi'_*(G)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,663-672,"Let H be a C-module, u' a homomorphism ...; the composition v''=v o v' ... H ->[v'] Psi'_*(G)",Direct NUMDAM prints u' only at the introduction but every defining composition and arrow uses v'; canonical French retains printed u' while English must use v' consistently with an immediate visible source-typo note,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P45-QUASICOHERENT-U-V-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,44,45,source/ega1/ega0-1-fr.tex,2973-2977,"On dit ... voisinage ouvert U ... F|V ... O_X^(I)|V -> O_X^(J)|V",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,40,"there is an open neighbourhood U ... F|U ... O_X^(I)|U -> O_X^(J)|U",Direct NUMDAM introduces U and then prints V in all three restrictions; canonical French retains printed V while the English correction to U is source-justified and must carry an immediate visible source-typo note,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P45-ERRATUM-II-EXTERNAL-ADDITION-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,44,45,source/ega1/ega0-1-fr.tex,2959-2968,"5.1.2 ends after saying that the converse is false in general",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,35,"Erratum II: If G is generated by its sections over Y then f*(G) is generated by its sections over X since f* is right exact",The sentence is absent from the bounded NUMDAM EGA I body; do not import it into diplomatic French and retain it in English only under a separately bound Erratum-II authority,EXTERNAL_ERRATUM_ADDITION_ABSENT_FROM_NUMDAM_BODY_REQUIRES_SEPARATE_AUTHORITY_BINDING
EG-EGA-I-P45-522-Y-IN-Y-VS-V-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,44,45,source/ega1/ega0-1-fr.tex,3023-3029,"les (s_i)_y engendrent F_y pour tout y dans V",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,68,"the (s_i)_y generate F_y for all y in Y",NUMDAM quantifies y over the neighbourhood V; English Y is a mathematical variable transcription error and must be V,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P46-523-V-S-VS-V-X-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,45,46,source/ega1/ega0-1-fr.tex,3047-3051,"s_i restricted to V(x) equals u(t_i)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,81,"s_i restricted to V(s) equals u(t_i)",NUMDAM prints V(x); English V(s) is a variable transcription error and must be V(x),CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P46-523-MAXIMAL-VS-UPPER-INDEX-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,45,46,source/ega1/ega0-1-fr.tex,3053-3055,"soit mu un indice supérieur à tous les lambda(x_k)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,83,"let mu be the maximal index of the lambda(x_k)",The directed index set only supplies an index above all finitely many lambda(x_k); English must say an upper bound or an index greater than all rather than a maximal index,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P46-FU-MISSING-STAR-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,45,46,source/ega1/ega0-1-fr.tex,3073-3076,"comme f_U est exact à droite",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,98,"since Erratum II f_U^* is right exact",The preceding identity and the application to f_U^*(v) require f_U^*; canonical French retains the printed missing star and the marked English restoration is source-justified,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P47-531-TWO-FOLLOWING-WORD-ORDER-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,46,47,source/ega1/ega0-1-fr.tex,3136-3137,"vérifie les deux conditions suivantes",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,133,"if it satisfies the two following conditions",English idiom requires 'the following two conditions'; preserve the source order only in French,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P47-532-INVERSE-VS-CONVERSE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,46,47,source/ega1/ega0-1-fr.tex,3152-3154,"la réciproque n'est pas nécessairement exacte",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,145-146,"the inverse is not necessarily true",The logical converse is intended; English must say 'the converse need not hold' rather than 'the inverse is not necessarily true',CONFIRMED_ENGLISH_LOGICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P47-534-ERRATUM-II-EXTERNAL-ADDITION-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,46,47,source/ega1/ega0-1-fr.tex,3170-3176,"5.3.4 ends after coherence of F+G and F intersection G",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,162,"Erratum II: exact sequence A to B to C to D to E with A B D E coherent implies C coherent",The sentence is absent from the bounded NUMDAM EGA I body; do not import it into diplomatic French and retain it in English only under a separately bound Erratum-II authority,EXTERNAL_ERRATUM_ADDITION_ABSENT_FROM_NUMDAM_BODY_REQUIRES_SEPARATE_AUTHORITY_BINDING
