"queue_id","category","volume","authority_locator","authority_sha256","english_source_locator","claimed_authority_reading","current_english_claim","evidence_locator","evidence_sha256","stable_id","status"
"EGA1-SR-006","SUBSTANTIVE_SOURCE_READING","EGA_I","EGA II witness printed p.221 for EGA I item","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:1265","French calls 1.8.7 a proposition","English calls 1.8.7 a corollary","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/SOURCE_ALIGNMENT_LOG.md","8F52B76B68747ED10483BE0A9B30DDBEDEC7C7E21BEF30B7AAFB518A04C736B4","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-007","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.98 / PDF physical 97","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-2.tex:48","French says generic point of X","English says generic point of Y","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_authority_physical097_printed098_prop215_generic_point_X_slip_vectorcrop_mutool_5000dpi.png","7BCAD2C216852EE99CF8D7E5ADF8C7F5B98A8D6F6E52B78B22727F226A3D71FC","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-008","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.109 / PDF physical 108","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-3.tex:398-400","French product pair f","English uses product pair (g,psi)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_authority_physical108_printed109_env338_product_pair_f_source_slip_vectorcrop_mutool_5000dpi.png","D57996FBB6010CDCD032C68E29BA719AA77AAFC4ED209CA9A55A6D743C543BDA","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-009","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.114 / PDF physical 113","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-3.tex:751","French says monomorphism","English says homomorphism","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_authority_physical113_printed114_prop349_tensor_homomorphism_fullpage_mutool_5000dpi.png","D134DF5CBF02CA308016DB9539FF3378FE7282C7866099DBFC163B9401194242","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-010","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.122 / PDF physical 121","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-4.tex:152","French reverses theta-sharp direction","English uses psi-star(O_X) to O_Y","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p121_sec42_detail_5000.png","DA505182C9C1403D729B1679C2CEBD1619324CE2716FDC8C09132923C155B9F0","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-011","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.153","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-6.tex:745","French says W_1 is a neighbourhood of x","English uses y=f(x)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p153_sec66_5000.png","7D467A7C19143E8F6C9688A16417C25F41B90AABB20974ED98556CCFE507DB09","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-012","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.166","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-8.tex:133","French x in V(a)=W intersect F","English uses F=W intersect V(a)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p165_sec82_5000.png | <REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p166_sec82_5000.png","B0904732A0BA333FDCEF38B75741A8890F799A686D81CF6D091C6A6803097024 | E234FE06BC3E610DD2688D371D835FC0B7891871A8A06BCFA12F1FE8BE6930E6","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-013","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.178","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-9.tex:768","French/inherited injection j","English uses i","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p177_sec95_5000.png | <REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega1_p178_sec95_5000.png","B7BD44A1664BDF45714564FABD773BE35A12EA016061690EE56B0F44BE18C7CB | A0D82625042E9EFD86C8F8EA29F1973765B27359158652A008DB6B1C2E35BC8A","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-014","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.180 / crop keyed p.179","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-9.tex:837","French/inherited reversed exponents","English uses B^n to B^m","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/sec96_bands/p179_band1.png | <REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/sec96_bands/p179_band2.png","A81D29AEEFFAD0EE11156C75F99254E89BDAFD9C1BDAA013436BEF7D7A3EC027 | 36BADE5C838C83DFA92D20DBCE5F58EA4D451B9ACC8881B3AB0C83E1ED4A9FF3","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-015","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.210","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-10.tex:1457","French f=g composed with j","English uses f=j composed with g","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_600dpi_raw/sec1014/ega1-001.png","CCF08D2597658E533C2A57C4E7A5D7989C80FBE4FC5E8A4E8024ED62E7EAC4C1","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-016","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.223 / PDF physical 222","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-backmatter-index-terminology.tex:268","Source index Sum of preschemes points to I.3.6.1","English points to I.3.1.1 and discloses source reading","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/SOURCE_ALIGNMENT_LOG.md","8F52B76B68747ED10483BE0A9B30DDBEDEC7C7E21BEF30B7AAFB518A04C736B4","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA2-SR-001","SUBSTANTIVE_SOURCE_READING","EGA_II","printed p.7 / PDF physical 4","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega2/ega2-1.tex:118-120","French lambda in S","English uses lambda in A","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega2_english_source_aligned_successor_20260729_r1/qa/authority_p4_printed7_600dpi/authority_physical_p4.png","6B29DC9997F2FFE8EB35BE4CED0DFCDF592DBB3103C266E23AAA3EFD92EEDC6D","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA2-SR-002","SUBSTANTIVE_SOURCE_READING","EGA_II","printed p.9 / PDF physical 6","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega2/ega2-1.tex:220-222","French Gamma(U,B-tilde)=B","English uses Gamma(S,B-tilde)=B","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega2_english_source_aligned_successor_20260729_r1/qa/authority_p5_p6_printed8_9_600dpi/authority-006.png","881CC2B0CD5EA5D6E17CD8A6788FB183715E21D236F185D3134B69B77B751847","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA2-SR-003","SUBSTANTIVE_SOURCE_READING","EGA_II","printed p.10 / PDF physical 7","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega2/ega2-1.tex:281-282","French additionally says B is finite type over A and cites I.9.6.2","English omits the clause as recorded absent from 1.4.3 and unneeded","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega2_english_source_aligned_successor_20260729_r1/qa/authority_phys7_8_printed10_11_600dpi/authority-007.png","B8EA53FA5528965A11F8AE0546D737EC01C9D853A8610586CCAB54B018A32DFC","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA2-SR-004","SUBSTANTIVE_SOURCE_READING","EGA_II","printed p.37 / PDF physical 34","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega2/ega2-2.tex:1094-1097","French alpha_d(f^n) and alpha_d(f^k)","English uses alpha_nd and alpha_kd","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega2_english_source_aligned_successor_20260729_r1/qa/authority_phys34_35_300dpi/authority-034.png","FEACB004EED7345A1423A89FC0BCF7D5C6F61E478239C15C382C7042AD096116","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA3-SR-001","SUBSTANTIVE_SOURCE_READING","EGA_III_2","printed p.210","3AD9D3710BCEEBB44B4FBAA976DCD05A719DB6FA2DCF2523C5A6669CE72C59CC","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega3/ega3-7-9.tex:298-301","Recorded French proof omits (-1)^(i_0)","English includes (-1)^(i_0)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega3/ega3-7-9.tex","4A0EFABF3BC7382A8F77871BB82E5DACBF7F59F76251DA964B18E384494C95F1","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA4-SR-001","SUBSTANTIVE_SOURCE_READING","EGA_IV_1","printed p.233","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/ega4-1.source_aligned_r1.tex:553","French v composed with u","English uses u composed with v","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/ega4-1.source_aligned_r1.tex","7B0216E93F00779F097E2433CBA52B92029B667374379640591F7909F97A9A5F","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA4-SR-002","SUBSTANTIVE_SOURCE_READING","EGA_IV_2","printed p.91","C3E960AA1C5C37046E8892D8A3CAC098E2738164136B5CDAA5D5D893F89931DA","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/components/02_section42_associated_prime_cycles.tex:240-242","French X=Spec(A)","English uses Spec(B)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/components/02_section42_associated_prime_cycles.tex","F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA4-SR-003","SUBSTANTIVE_SOURCE_READING","EGA_IV_2","printed p.95","C3E960AA1C5C37046E8892D8A3CAC098E2738164136B5CDAA5D5D893F89931DA","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/components/05_section55_dimension_formula_finite_type.tex:97-99","Printed locator (5.5.1.2)","English visibly redirects to (5.5.1.1)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/controls/REFERENCE_EXCEPTION_DISPOSITIONS.csv","BEF47F48AAB24B53E97B6171B53C45805E0F782CF8C46DB3AE65AD625D6742A8","ega4.reference.candidate.sha256.62b6932f0b0fd6ee72684a32f69d5a4df785723c5e7c90a515346dfbea1f7c3e","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA4-SR-004","SUBSTANTIVE_SOURCE_READING","EGA_IV_2","printed p.101","C3E960AA1C5C37046E8892D8A3CAC098E2738164136B5CDAA5D5D893F89931DA","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/components/06_section56_dimension_formula_universally_catenary.tex:504-506","French says fraction field of A","English says residue field of A","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA4_English_complete_source_aligned_reference_v2_reader_20260801_r4/source/components/06_section56_dimension_formula_universally_catenary.tex","9E0AF2B3458085DE846483B4421435E8459C0E1B5FDD16E857396FF55272F247","","PENDING_DIRECT_NUMDAM_RECHECK"
