role,path,bytes,sha256
"sealed-to-final technical diff","controls/prefix_repairs_integration_postseal/SEALED_TO_FINAL_TECHNICAL.diff",2301,02C056F33A07B662C7B75EF041D3059234BD0ED9A547AAE3B304FDC64BAB1979
"complete extraction ledger","ledgers/COMPLETE_LAYER_EXTRACTION_LEDGER.csv",1967,5E9349760792477B8FDEBF1D4040A69FFDB97F74FAA1048F1074D8ACDB8822EC
"unchanged French workpass","C:/IL_GitHub/00_main_current/sources/sga/sga6-claude-workpass-source-rescribe-20260704/sga6_fr_workpass.tex",1318579,77703F2D7E8FF9000C2C1E7320A903A48ADE00BF62C8F5F240FF88C42ED82703
"independent review report","controls/final_independent_review/INDEPENDENT_REVIEW_COMPLETE.md",8961,1CEF0C05B477ECB96F2FF61A4F0795AA6F808BD3BABA6EB4D554317465A5F1EC
"tail equivalence ledger","controls/final_independent_review/TAIL_EQUIVALENCE.csv",2303,959E828F37079E4A0A64A84F9E143CF68B25428DB090A1B728F83C1AC110692B
"targeted visual ledger","controls/final_independent_review/TARGETED_VISUAL_CHECK.csv",2190,9CF4EFBE4422F993CA56C1C429BE7B8B381FBBD70BB443BADEB79C1EF38E666E
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-009.png",312852,5AD517C91E3FFD72509D3103C30B3F0776A5AB428C0EC8BA7D559B00AD2F3CED
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-080.png",303577,6EF7A8244BDFDB6D29E032E964FC24CDFDBE9710AFCC6C88409D2F0A59604433
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-081.png",287243,48C4E0BCE0DCE8FC8BBA75D5BEC25B418289449B795666FDAE3A3C0B8EDEED7B
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-152.png",369510,20DD6C22AA5911D34731E6E56E2545FC9E1C73E256F07FF8987C3829FC2ABA95
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-157.png",283479,DFD1F66B46AEE380048F821777277DA388D34543511DCF944821454A6EB5CE07
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-191.png",267869,15A932A0446FF015EA7EC1FCF43BEEAFCA8A974A66E2FB6955FC832481BB1868
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-192.png",290476,777B496204F088EB4E2CD5E9EA81498E89FBDFE4192926D784449EA7B48A9FC9
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-206.png",357798,6AB10DB21E84002378D94A96E29E2F96B328FDAB1D85758368F8956697F52B96
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-224.png",366049,18B506DAB4E9B902570E604A4434BDD8DEEF9C39D63F3541C137E2597EDEE7DA
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-272.png",285118,844AE57B0681FF9D9113469AADEC919FF09673425EAF39F6DD985A1CC49EAD9F
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-273.png",283963,C81409D848E36FB72B49B0717A286413164DD25175CA73AB5D3F5B81016E5D82
"target render","controls/final_independent_review/target_pages_clean_final/complete-page-381.png",154396,636D2A55DD355926DECD174D65B8A1F71C5DFBE776E349D0E8746D429A501194
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-273.png",219604,EEE68306318F717445093DD730DAA0B580C286D58641DBA6C31CB6A83FF7672E
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-343.png",250724,D79BE0C7803AE58866A7094C89D59BEE7976ADE6172E983BBFCB64683B7D45D3
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-351.png",241145,E761F66CF9B18F3844C3A8508232F6F49FB7A25EFDF52764354468F4F8E79257
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-364.png",243030,8D43975138819994FC5AB2DBB3177712AA0CFB9BE5DCDD858A2B80F69824CBB9
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-366.png",266947,3C4693717C34F3CA3D9AF3D7CF93FF076FCAD02338AE5C5340FDAC53A60DE78C
"complete tail full-page render","controls/final_independent_review/tail_equivalence_clean_final/complete-381.png",117809,B507275F94C099D8066F284E0A683F703C9AC19B76B45DFCFFDA52AB24FF614C
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-273-body.png",102020,339F78D383221B1646B727F1A01115A8C1F9B96AA399D1EA4934F7BE152A0B37
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-343-body.png",116159,4BB9C172819689E15E5048938EA6111565ED5EDF3CFD79F976BF11AB49DD6533
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-351-body.png",111199,F90C009E97A2F93741CB3033EB5414D1E5DB1EEE103DD31363A2CAD74D767AC4
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-364-body.png",113769,F4304986B0F88FAF800D4FA75804182742C8E3CC68F302B14C24FD1830B58111
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-366-body.png",124086,FD357B7B879AADB52B4E6A1EB27DB68818CEE5F8B6010849F8429606F90C504B
"complete tail body crop","controls/final_independent_review/tail_equivalence_clean_final/complete-381-body.png",47145,C78C186D8D4D4CBFC1686A4D10C25DC67388748FF4F93C098A4E1B2FD0C87AE5
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-001-body.png",102020,B94093F928F82D6537AE60D615BD8EBD66D441A216EC226F120ECC9A178680FE
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-071-body.png",116159,4298C08961DCA33595A47BE2F4DF307A5928DF3BE142E33C9A21C35FD1CEFA93
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-079-body.png",111199,FBF960C90DFEDFAD7F65853C15B8C086F69046BAE388A7DBBF7CC32B86638E7F
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-092-body.png",113769,C7740FD7CB5908127AEC7F1C1D6CA1C9F8CE83DAA803F016CDB2BE593AA0C815
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-094-body.png",124086,F6C9D329FCD46924599EBBDA0A1FCF188CBBE4AEE486E5E600D18478A908890B
"standalone tail body crop","controls/final_independent_review/tail_equivalence_clean_final/standalone-109-body.png",47145,D50A12DE5EBE01CDAC6E4E43DBE7D2D30438D68007CD6F2E650C8CF6E6FB66EC
