"row_type","witness_id","language_or_scope","topic_tags","source_title","source_url","source_type","local_path","text_or_ocr_path","sha256","text_sha256","bytes","text_bytes","access_metadata","license_or_access_signal","topic_confirmation_hits","evidence_status","next_gate","non_claim_boundary"
"scan_text_or_ocr_inventory","TXTSCAN-011","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","418CA1F74D09193C4B854B5EDB18CEC91BE7D8311341BC6D8253C027C4E9CDD9","418CA1F74D09193C4B854B5EDB18CEC91BE7D8311341BC6D8253C027C4E9CDD9","102","102","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-012","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","D5C6C0072CD91B5BF21399DA259804C75B486E6E92803F830B2A18735E765B4F","D5C6C0072CD91B5BF21399DA259804C75B486E6E92803F830B2A18735E765B4F","188100","188100","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-013","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt","CCEC1BCB142DAA90430DA35C32DB2E38107B029B88027FD894199F3EED6C26A0","CCEC1BCB142DAA90430DA35C32DB2E38107B029B88027FD894199F3EED6C26A0","38","38","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-014","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","EEA80E9A23FECC163565A92547B2130CD1D983A88F95028C363473D6B5267FDA","EEA80E9A23FECC163565A92547B2130CD1D983A88F95028C363473D6B5267FDA","340172","340172","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-015","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","0D64D9171B87FB86EC8312108B32054797DE76310764899882D0E532049DC5AE","0D64D9171B87FB86EC8312108B32054797DE76310764899882D0E532049DC5AE","823510","823510","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-016","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","379004806E15E1EDAC0DE8A16C80F899AD842DF33F42A209C12833A2DF14F9E0","379004806E15E1EDAC0DE8A16C80F899AD842DF33F42A209C12833A2DF14F9E0","763176","763176","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-017","mixed/derived","derived machine text/OCR sidecar","source_package_gate_20260704_SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf.txt","20ABFCE7581CA453ED69707ACD3D591FEC5C81454FBC2B2F3EE6127C5947CE79","20ABFCE7581CA453ED69707ACD3D591FEC5C81454FBC2B2F3EE6127C5947CE79","1037227","1037227","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-018","mixed/derived","derived machine text/OCR sidecar","source_package_gate_20260704_SPG-TK-003_kitaphana_book_2157_download.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-TK-003_kitaphana_book_2157_download.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-TK-003_kitaphana_book_2157_download.pdf.txt","D54743CD7109980117C4A27A83761AE7E9D995D2B8A2CB23700B91B23907D9D8","D54743CD7109980117C4A27A83761AE7E9D995D2B8A2CB23700B91B23907D9D8","66811","66811","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-019","Turkmen","Turkmen; mathematics olympiad; polynomial base; köpagza","Kesgitle matematika olimpiada meseleler","https://kesgitle.edu.tm/bookpdf/69517a6e1233c2af1004dbbb3eacd6b2/Annaorazow%20O~Matematikadan%20olimpiada%20%C3%BC%C3%A7in%20mesleler.pdf","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-001_kesgitle_matematikadan_olimpiada_meseleler.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-001_kesgitle_matematikadan_olimpiada_meseleler.txt","2B68B260B1F19186CA6DACC25724455653216B7F21E006050A7390ED60D67683","2B68B260B1F19186CA6DACC25724455653216B7F21E006050A7390ED60D67683","548856","548856","included in 22-file local text/OCR exact hard-row exhaustion scan","no explicit reusable license found in capture","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-020","Turkmen","Turkmen; algebra; elementary mathematics; köpagza","Kitaphana Algebra we elementar matematika book 15","https://www.kitaphana.net/electronic-book/15","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-002_kitaphana_book_15_algebra_we_elementar_matematika.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-002_kitaphana_book_15_algebra_we_elementar_matematika.txt","321D636C07A9E8B255DD620F0B69E5E8C14010EAA940402F0B74AA22C0CB9F6C","321D636C07A9E8B255DD620F0B69E5E8C14010EAA940402F0B74AA22C0CB9F6C","402780","402780","included in 22-file local text/OCR exact hard-row exhaustion scan","no explicit reusable license found in capture","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-021","Turkmen","Turkmen; mathematical dictionary; algebra; terminology provenance","Kitaphana Russian-Turkmen mathematical explanatory dictionary book 1403","https://www.kitaphana.net/electronic-book/1403","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-003_kitaphana_book_1403_russian_turkmen_math_dictionary.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-003_kitaphana_book_1403_russian_turkmen_math_dictionary.txt","A53BC6FF20EE68B987450F341B7F79279973FE33EBF1D430C6CCDCA53C1E96E1","A53BC6FF20EE68B987450F341B7F79279973FE33EBF1D430C6CCDCA53C1E96E1","368971","368971","included in 22-file local text/OCR exact hard-row exhaustion scan","no explicit reusable license found in capture","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-022","Tatar","Tatar; algebra; polynomial base; күпбуын","Edu.tatar 7 klass algebra educational minimum","https://edu.tatar.ru/upload/storage/org112/files/7%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%20%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0.pdf","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-001_edu_tatar_7_class_algebra_minimum.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-001_edu_tatar_7_class_algebra_minimum.txt","7AE9610B43D75E70680C7CB7BF2D593EDACB5BFC015A0759B0DE688AEF862165","7AE9610B43D75E70680C7CB7BF2D593EDACB5BFC015A0759B0DE688AEF862165","17883","17883","included in 22-file local text/OCR exact hard-row exhaustion scan","no explicit reusable license found in capture","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-023","Tatar","Tatar; algebra; polynomial base; күпбуын","Test edu.tatar algebra 7 class program","https://test-edu.tatar.ru/upload/storage/org1827/files/%D0%90%D0%9B%D0%93%D0%95%D0%91%D0%A0%D0%90%207%20%D0%9A%D0%9B%D0%90%D0%A1%D0%A1.pdf","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-002_test_edu_tatar_algebra_7_program.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-002_test_edu_tatar_algebra_7_program.txt","3F219B50001D62DEE8D763B8CA788CBC604BC4729C48142B61DB3D532A9B7FF0","3F219B50001D62DEE8D763B8CA788CBC604BC4729C48142B61DB3D532A9B7FF0","147253","147253","included in 22-file local text/OCR exact hard-row exhaustion scan","no explicit reusable license found in capture","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
