"id","isv","addition","partOfSpeech","en","ru","be","uk","pl","cs","sk","sl","hr","sr","mk","bg","intelligibility"
"3833","prųžina","","f.","spring","пружина","спружына","пружина","sprężyna","pružina","pružina","!vzmet, vzmet","opruga, feder","опруга, федер","пружина","!пролет","!"
"3950","grupovati","","v.tr. ipf.","group","группировать","групаваць","групувати","grupować","seskupovat, shromažďovat","zoskupovať, zhromažďovať","!skupina","grupirati","груписати","групира","групирам","!"
"4056","směly","","adj.","bold, daring","смелый, храбрый","смеласць, адважны, мужны","!сміливий, хоробрий","śmiały, odważny","odvážný, smělý, chrabrý","odvážny, smelý, chrabrý","!krepko, pogumno","smion, hrabar, junačan","смео, храбар","храбар, смел","!смела, дръзка","!"
"4542","umožnjati","","v.tr. ipf.","enable, make possible","позволять, делать возможным","дазваляць, рабіць магчымым","!дозволяти, робити можливим","umożliwiać","umožňovat","umožňovať","!množijo","umnožavati","умножавати","овозможува","!позволи, да направи възможно","!"
"4543","umožniti","","v.tr. pf.","enable, make possible","позволить, сделать возможным","дазволіць, зрабіць магчымым","!дозволити, зробити можливим","umożliwić","umožnit","umožniť","!množijo","umnožiti","умножити","овозможи","!позволи, да направи възможно","!"
"4607","pri","(+6)","prep.","during (a rule of a king)","при (правлении кого-либо), во времена","пры (кіраванні кагосьці), у часы, у поры","під час (правління кого-небудь), в часи","podczas, w obecności","při, během","pri, počas","!za, med, medtem ko","pri, dok, uz, za","при, током, за време","при, за време на, во текот (на владеењето на кралот)","!по време на (обикновено на краля)","!"
"4869","kolikosť","","f.","quantity, amount","количество","колькасць","кількість","ilość","množství","množstvo","!količina","količina, kvantiteta","количина","количина","колко (количество)","!"
"5393","prěnositi","","v.tr. ipf.","bring over, transfer","переносить","пераносіць, трываць","переносити","przenosić","přenášet, přemísťovat","prenášať, premisťovať","!prenašajo, prpemeštati","prenositi","преносити, премештати","пренесува","!- донеси, да се предадат","!"
"5394","prěnesti","","v.tr. pf.","bring over, transfer","перенести","перанесці","перенести","przenieść","přenést, přemístit","preniesť, premiestniť","!prenaša, prenese","prenijeti","пренети, преместити","пренесе","!- донеси, да се предадат","!"
"5439","snesti","","v.tr. pf.","bring down","снести","знесці","знести","znieść","snést","zniesť","!knock, knock down","oboriti, srušiti","оборити, срушити","сруши, да сруши","!събори","!"
"5440","snositi","","v.tr. ipf.","bring down","сносить","знасіць, зносіць","!зносити","znosić","snášet","znášať","!medved","snositi","сносити","се урне, собори","!събори","!"
"5454","vnositi","","v.tr. ipf.","bring in","вносить","уносіць","вносити","wnosić","vnášet","vnášať","!vpišite","unositi","уносити","внесува","внасям","!"
"5455","vnesti","","v.tr. pf.","bring in","внести","унесці, надаць, занесці","внести","wnieść","vnést","vniesť","!vpišite","unijeti","унети","внесе","внеса","!"
"5504","vvezti","","v.tr. pf.","bring in (by transport)","ввезти, привезти","увезці, завезці, прывезці","!ввезти, привезти","wwieźć, przywieźć","přivézt, dovézt","priviezť, doviezť","!svinec (avto)","dovesti","довести (колима)","довезе","доставя","!"
"5505","vvoziti","","v.tr. ipf.","bring in (by transport)","ввозить, привозить","увозіць, прывозіць","!ввозити, привозити","wwozić, przywozić","přivážet, dovážet","privážať, dovážať","!svinec (avto)","uvoziti","довести (колима)","довезува","доставям","!"
"5508","odvoziti","","v.tr. ipf.","bring away","отвозить, увозить","адвозіць, адвазіць, завозіць, выводзіць, вывезці","відвозити, вивозити","odwozić","odvážet","odvážať","!prevaža","odvoziti","одвозити","одвезува","!- донеси","!"
"5509","odvezti","","v.tr. pf.","bring away","увезти, отвезти","адвезці, вывесці, завесці, павезці","відвезти","odwieźć","odvézt","odviezť","!vzletno promet","odvesti","одвести превозом","одвезе","!- донеси","!"
"5540","izvoditi","","v.tr. ipf.","lead out, bring out","выводить","выводзіць","виводити","wyprowadzać","vyvádět, vyprovázet","vyvádzať, vyprevádzať","!opravlja","izvoditi","изводити","изведува","извеждам","!"
"5637","snižeńje","","n.","reduction, lowering","снижение","зніжэнне, паніжэнне","зниження","obniżenie, promocja (ceny)","snížení","zníženie","!zmanjševanje","sniženje, snižavanje","снижење","снижение, намаление","снижение","!"
"5656","zaustaviti","","v.tr. pf.","stop, bring to a standstill","остановить, задержать","запыніць, спыніць, супыніць, затрымаць","!зупинити, затримати","zahamować, zatrzymać","zastavit","zastaviť","!zaustavitev, zaustavitev","zaustaviti, spriječiti, onemogućiti","зауставити, закочити","запре","спра, задържа","!"
"5676","motvųz","","m.","string, cord, rope","шнур, верёвка","матуз, шнур, вяроўка, аборка","мотуз, мотузок, шнур","sznur, powróz, lina","provázek, šňůra, lano, motouz","špagát, šnúra, lano, motúz","!vrvice, vrvi,","uže, konop, konopac","канап, уже, коноп","макара","конец, кабел, въже","!"
"5679","vŕvka","","f.","cord, string","верёвка, шнур","вяроўка, аборка, шнур","мотузка, мотузок, шнур, вірьовка","przewód, sznurek","provaz, šňůra","povraz, šnúra","!kabel, vrvice","kabel, konopac,","кабл, кабал, кабел, жица, шњур, гајтан","врвка","връвка","!"
"5680","strunny instrument","","m.","string instrument","струнный инструмент","струнны інструмент","струнний інструмент","instrument strunowy","smyčcový nástroj","sláčikový nástroj","!niz merilnik","žičani instrument","жичани инструмент","жичен инструмент","!струнен инструмент","!"
"5681","strunny kvartet","","m.","string quartet","струнный квартет","струнны квартэт","струнний квартет","kwartet smyczkowy","smyčcový kvartet","sláčikový kvartet","!godalni kvartet","gudački kvartet","гудачки квартет","гудачки квартет","!струнен квартет","!"
"5731","sųsědny","","adj.","neighbouring, neighboring, adjacent","соседний, близлежащий, смежный","суседні, блізкі, сумежны, блізкалеглы (зап.)","сусідній, довколишній, суміжний","sąsiedni, przylegający","sousední, sousedící, přilehlý","susedný, susediací, priľahlý","!sosednji, ki je blizu","susjedni","суседан, који је у близини","соседен","!до","!"
"5829","v vrěmenu","(+2)","prep.","during","во время, в течение","у час, на працягу","протягом, під час","podczas, w czasie","během, v čase","v priebehu, v čase, prez","!med","za vrijeme, tijekom, tokom","током","за време, во текот","!по време на","!"
"5883","ekipa","","f.","crew, squad, team","экипаж, отряд, команда","экіпаж, атрад, каманда","екіпаж, загін, команда","ekipa, grupa, drużyna, oddział","posádka, tým, ekipa","posádka, tím","!ekipa, ekipa, ekipa","ekipa, tim, momčad","екипа, тим, момчад","екипа, тим","екип, екипаж, отряд, отбор, взвод, бригада, команда, група, тим","!"
"6039","veseľje","","n.sg.","cheering, merriment, fun, gaiety","веселье","весялосць","!веселощі","radość, wesołość","veselí, zábava","veselie, zábava","!veselje, sreča","veselje, radost","весеље, радост","веселба","веселба","!"
"6042","sluh","","m.","hearing (sense)","слух (чувство)","слых (адчуванне)","слух","słuch","sluch","sluch","sluh","sluh","слух","слух","слух","!"
"6645","bojazny","","adj.","fearful, fearing","боязливый, пугливый","боязны, пужлівы, палахлівы","боязкий, лякливий","bojaźliwy, bojący się, lękliwy","obávající se, plachý","plachý, bojazlivý, obávajúci sa","boječ","plašljiv, uplašen","плашљив, уплашен","уплашени, стравувајќи","уплашен (от)","!"
"8518","koljce","","n.","ring","кольцо","кальцо, кола, пярсцёнак","кільце","pierścień","prsten","prsteň","!obroč","prsten","прстен","прстен","пръстен","!"
"8793","cvětųći","","adj.","blooming, blossoming, flowering","цветущий","квітнеючы (няўхв.), аквітны, крамяны (пра чалавека), расквітнелы, які (што) квітнее","квітучий","kwitnący","kvetoucí","kvitnúci","cveteč","cvatući","цветајући, у цвату","цветен, расцутен","цветущ","!"
"9365","najem","","m.sg.","hire, hiring, rent","найм, аренда","наём, арэнда","оренда, найом","wynajęcie, wynajem, komorne, czynsz","nájemné, nájem, činže","nájomné, nájom","!najem","najam","најам","наем","отдаване под наем","!"
"9445","narušeńje","","n.","infringement, violation","нарушение","парушэнне, зламанне (слова), нястраўнасць (для страваводу), нарушэнне","порушення","naruszenie, pogwałcenie","porušení","porušenie","!oslabitve, narušaj","rušenje, narušavanje","нарушење, нарушај","нарушување, повредување, прекршување","нарушение","!"
"9709","niša","","f.","niche (field of activity)","ниша (сфера деятельности)","ніша (сфера дзейнасці)","ніша (сфера діяльності)","nisza (zakres działalności)","nika, pole působnosti","pole pôsobnosti","!nišo (področje dejavnosti)","polje, oblast, područje, djelokrug, sfera djelatnosti","ниша (област активности)","ниша (област на активност)","ниша","!"
"9712","nizańje","","n.sg.","lowering","снижение, понижение, спуск","зніжэнне, паніжэнне, спуск","зниження","obniżanie","snižování","znižovanie","!spuščanje","snižavanje, snizivanje","снижавање","намалување, снижување","намаляване","!"
"9885","obrųčka","","f.","wedding ring","обручальное кольцо","заручальны пярсцёнак","обручка","obrączka","snubní prsten","snubný prsteň","!prstan, poročni prstan, vitice (Arch.)","vjenčani prsten, burma","бурма, венчани прстен, витица (арх.)","бурма, свадбен прстен","!годежен пръстен","!"
"11517","privoditi","","v.tr. ipf.","bring about, evoke, lead to","приводить (к последствиям), вызывать, провоцировать","прыводзіць (да наступстваў), выклікаць, правакаваць","призводити (до наслідків), викликати, провокувати","wywoływać","přivádět, vyvolávat, vést k, způsobovat, zapřičiňovat","privádzať, vyvolávať, viesť k, spôsobovať, zapríčiňovať","!povzroči, sklicujoč (pomnilnik, itd).","izazivati","изазивати, призивати (успомене итд.)","предизвикува, провоцира","!да, да предизвика, да доведе до","!"
"11645","provod","","m.","wire, wiring","провод, проводка","провад, дрот, праводка, правядзенне","дріт, проводка","przewód","drát, kabel, vodič","drôt, kábel, vodič","!žice, kabel","vodič, provodnik, konduktor, kabel","проводник, кабл","проводник, жица, инсталации","!тел, кабели","!"
"11681","pųtovańje","","n.","journey, trip, voyage, travelling, wandering","путешествие, странствие","падарожжа, вандроўка, падарожнічанне, вандраванне","подорож, мандрівка","podróż, podróżowanie","cesta, cestování, putování","cesta, cestovanie, putovanie","!potovanje","putovanje","путовање","патување","!пътешествие, пътуване, пътешествие, пътуване, крейсерска","!"
"12348","izslušańje","","n.","hearing (legal procedure)","слушание (юр.), рассмотрение","слуханне (юр.), допыт","слухання","przesłuchanie","vyslechnutí, výslech","vypočutie, počúvanie, výsluch","zaslišanje","saslušanje","саслушање","сослушување","изслушване","!"
"12655","strašeny","","adj.","fearing","устрашённый, испуганный","застрашаны, спалоханы, злякнуты (дыял.), зляканы (дыял.), апуджаны, спужаны","зляканий, переляканий","wystraszony","ustrašený, vystrašený","ustrašený, vystrašený","!prestrašen, strah","prestrašen, zastrašen, uplašen","престрашен, уплашен","стравувајќи","!страх","!"
"12750","svaťbena obrųčka","","f.","wedding ring","обручальное кольцо","заручальны пярсцёнак","!обручка","obrączka ślubna","svatební prsten","svadobný prsteň","!Poročni prstan","vjenčani prsten","венчани прстен","свадбен прстен","!годежен пръстен","!"
"13644","vędneńje","","n.sg.","wilting, withering","увядание","завяданне, змарненне, звяданне, марненне","!в'янення","więdnięcie","vadnutí","vädnutie","!venjenje","venjenje","вењење","свенување, овенување","!увехнали, изсушаване","!"
"15372","råzcvět","","m.","flowering","расцвет, цветение","росквіт, расцвітанне","розквіт, цвітіння","rozkwit, kwitnięcie","rozkvět","rozkvet","!cvetenja","cvjetanje, cvat","цветање, цват","цветање, расцветување","!цъфтеж","!"
"15686","žrěńje","","n.sg.","devouring, glutting","пожирание, жраньё","пажыранне, з'яданне, паглынанне","пожирання","żarcie","žraní","žranie","žrenje","žderanje, žderancija","ждерање","ждерење","поглъщане, изяждане","!"
"16457","trojka","","num.subst.","three, threesome, group of three","тройка, группа трёх","тройка, тройца","трійка","trójka","trojka","trojka","!Trojka","trojka, trojac, trio","тројка","тројка","!три, три, група от три","!"
