"fix_id","printed_page","tex_anchor","source_reading","current_reading","required_action","evidence","status"
"TAIL-20260719-F018","723","21540","h congruent 0 (p)","h = 0 (p)","restore source congruence relation","dense_crops_1300dpi/p723_h_congruence_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F019","723","21530","M. Z.; source-emphasized Gruppenring von G in P","M.Z.; phrase plain","restore source spacing and emphasis","full_pages_650dpi/tail-13.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F020","724","21566,21583","h not-congruent 0(p); h not-congruent 0(p); h_i not-congruent 0(p)","three ordinary not-equal relations","restore the three source noncongruence relations; retain ordinary equality in the later parenthetical","dense_crops_1300dpi/p724_congruence_family_1300dpi.png; dense_crops_1300dpi/p724_parenthetical_congruence_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F021","724","21568,21583,21587","M. Z.; w. z. b. w.; emphasized h Charaktere von A and Hauptcharakter","M.Z.; w.z.b.w.; phrases plain","restore source spacing and emphasis","full_pages_650dpi/tail-14.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F022","725","21612","h not-congruent 0(p)","h not-equal 0(p)","restore source noncongruence relation","full_pages_650dpi/tail-15.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F023","725","21610,21644","d. h.; fully emphasized character-relation conclusion","d.h.; conclusion plain","restore source spacing and emphasis","full_pages_650dpi/tail-15.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F024","726","21652-21658,21702,21707-21708","source-emphasized opening proposition, Beweis label, full main theorem, and both numbered formulations","all listed loci plain","restore the source emphasis without changing mathematical content","full_pages_650dpi/tail-16.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F025","727","21712,21729,21740","w. z. b. w.; d. h.; d. h.","w.z.b.w.; d.h.; d.h.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-17.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F026","727","21714","bold marker 2. followed by roman text fuehren wir auf 1. zurueck","entire paragraph heading bold","separate the bold paragraph marker from the roman continuation","full_pages_650dpi/tail-17.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F027","728","21797-21805","complete lemma statement source-emphasized, including its opening display, prose, and closing identity","lemma statement plain","restore source emphasis across the theorem block without changing formulas","full_pages_650dpi/tail-18.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F028","729","21844","bold proof marker 2. followed by roman proof text","plain marker and text","restore the source numbered proof-marker styling","full_pages_650dpi/tail-19.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F029","729","21915","d. h.; w. z. b. w.","d.h.; w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-19.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F030","730","21925","Satz 1 label followed by source-emphasized theorem statement","entire theorem line plain","restore source theorem styling","full_pages_650dpi/tail-20.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F031","730","21929","bold proof marker 2. followed by roman proof text","plain marker and text","restore the source numbered proof-marker styling","full_pages_650dpi/tail-20.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F032","730","21937","w. z. b. w.","w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-20.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F033","732","22063","w. z. b. w.","w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-22.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F034","733","22095,22101","w. z. b. w.; w. z. b. w.","w.z.b.w.; w.z.b.w.","restore source-visible abbreviation spacing in both proofs","full_pages_650dpi/tail-23.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F035","734","22133,22147,22175","w. z. b. w. at all three proof conclusions","w.z.b.w. at all three proof conclusions","restore source-visible abbreviation spacing","full_pages_650dpi/tail-24.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F036","734","22135","bold marker 2. followed by roman proof text","plain marker and text","restore the source numbered proof-marker styling","full_pages_650dpi/tail-24.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F037","735","22191","w. z. b. w.","w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-25.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F038","736","22228","w. z. b. w.","w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-26.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F039","736","22234,22238","source emphasis on eines, abgeschlossen, and Null","all three loci plain","restore source semantic emphasis without changing prose","full_pages_650dpi/tail-26.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F040","737","22251","d. h.","d.h.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-27.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F041","738","22274,22319","d. h.; w. z. b. w.","d.h.; w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-28.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F042","741","22440","d. h.","d.h.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-31.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F043","742","22510,22534","source-emphasized Pseudomatrizeneinheiten and first assoziiert","both loci plain","restore source terminology emphasis","full_pages_650dpi/tail-32.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F044","743","22576","mathfrak l_i = mathfrak K_{r Gamma} e_i","mathfrak l_i = mathfrak K_r e_i","restore the omitted extension-field subscript Gamma","full_pages_650dpi/tail-33.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F045","744","22625,22627","source-emphasized opening clauses of proof parts 1 and 2","clauses plain after the Beweis label","restore source proof-clause emphasis","full_pages_650dpi/tail-34.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F046","745","22718,22722","source-emphasized product-definition phrase; emphasized Zum Beweis marker","both loci plain","restore source emphasis without changing formulas","full_pages_650dpi/tail-35.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F047","746","22781","source-emphasized descended-ideal statement","statement plain","restore source emphasis on the conclusion of proof part 2","full_pages_650dpi/tail-36.png","integrated_compiled_twice_render_checked"
