route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes
R029,lld,Ladin,Rhaeto-Romance,Ladin,standards by valley,Dolomites,Latn,core_expansion,,valley-tagged institutional lexicon plus native technical source,No source acquired,Ladin readers by standard,true,Italian and Romansh are adjacent only
R030,pms,Piedmontese,Western Romance,Gallo-Italic,regional standard,Piedmont,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Piedmontese readers,true,Italian is not a proxy
R031,lmo,Lombard,Western Romance,Gallo-Italic,regional standards,Lombardy and Swiss Ticino,Latn,core_expansion,,region-tagged dictionary plus native technical source,No source acquired,Lombard readers by region,true,Italian is not a proxy
R032,lij,Ligurian,Western Romance,Gallo-Italic,regional standard,Liguria and Monaco,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Ligurian readers,true,Italian is not a proxy
R033,gii-emr,Emilian-Romagnol,Western Romance,Gallo-Italic,regional continuum,Emilia-Romagna and nearby regions,Latn,core_expansion,,Emilian and Romagnol tagged dictionaries plus native technical sources,No source acquired,Separate Emilian and Romagnol sampling,true,Italian is not a proxy
R034,vec,Venetian,Western Romance,Venetan,regional standard,Veneto and nearby regions,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Venetian readers,true,Italian is not a proxy
R035,nap,Neapolitan,Western Romance,Italo-Dalmatian,regional standard,Southern mainland Italy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Neapolitan readers,true,Italian is not a proxy
R036,scn,Sicilian,Western Romance,Italo-Dalmatian,regional standard,Sicily and southern Calabria,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Sicilian readers,true,Italian is not a proxy
R037,co,Corsican,Western Romance,Italo-Dalmatian,regional standard,Corsica,Latn,core_expansion,,institutional dictionary plus native technical source,No source acquired,Corsican readers,true,French and Italian are not proxies
R038,ist,Istriot,Western Romance,Italo-Dalmatian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native technical or educational text,No source acquired,Istriot readers or expert elicitation,true,Italian and Venetian are not proxies
R039,dlm,Dalmatian,Western Romance,Italo-Dalmatian,extinct historical,Dalmatian coast,Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,No modern intelligibility cohort claim
R040,sc,Sardinian,Insular Romance,Sardinian,umbrella standard,Sardinia,Latn,core_expansion,,institutional standard lexicon plus native mathematics or education source,No source acquired,Sardinian readers,true,Italian is not a proxy
R041,src,Logudorese Sardinian,Insular Romance,Sardinian,regional standard,Central and northern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Logudorese readers,true,Umbrella Sardinian is not a proxy
R042,sro,Campidanese Sardinian,Insular Romance,Sardinian,regional standard,Southern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Campidanese readers,true,Umbrella Sardinian is not a proxy
R043,sdc,Sassarese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northwest Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Sassarese readers,true,Italian and Sardinian are not proxies
R044,sdn,Gallurese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northeast Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Gallurese readers,true,Italian and Sardinian are not proxies
R045,rup,Aromanian,Eastern Romance,Aromanian,minority standards,Balkans,Latn,core_expansion,,academic dictionary plus native mathematics or education source,No source acquired,Aromanian readers,true,Romanian is not a proxy
R046,ruq,Megleno-Romanian,Eastern Romance,Megleno-Romanian,endangered local varieties,Greece and North Macedonia,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy
R047,ruo,Istro-Romanian,Eastern Romance,Istro-Romanian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy
R048,ro-md,Romanian in Moldova,Eastern Romance,Daco-Romanian,regional standard,Moldova,Latn,core_expansion,,Moldovan edition-tagged mathematics source,No region-tagged source acquired,Moldovan Romanian readers,true,Romanian corpus needs region metadata
R049,ro-cyrl-hist,Moldovan Cyrillic historical,Eastern Romance,Daco-Romanian,historical script layer,Moldova and former USSR,Cyrl,historical_diachronic,,dated educational editions with script metadata,No source acquired,Historical/script evidence only,true,Do not merge scripts silently
R050,ast,Asturian,Western Romance,Astur-Leonese,standard,Asturias,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Asturian readers,true,Spanish is not a proxy
R051,leo,Leonese,Western Romance,Astur-Leonese,regional varieties,León and Zamora,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Leonese readers,true,Spanish and Asturian are not proxies
R052,mwl,Mirandese,Western Romance,Astur-Leonese,official regional standard,Miranda do Douro,Latn,core_expansion,,official educational source plus lexicon,No source acquired,Mirandese readers,true,Portuguese is not a proxy
R053,an,Aragonese,Western Romance,Ibero-Romance,regional standard,Aragon,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Aragonese readers,true,Spanish is not a proxy
R054,lad,Judaeo-Spanish / Ladino,Western Romance,Ibero-Romance,diaspora standards,Mediterranean diaspora,Latn;Hebr,core_expansion,,script-tagged dictionaries plus native technical or educational source,No source acquired,Judaeo-Spanish readers by script,true,Spanish is not a proxy
R055,ext,Extremaduran,Western Romance,Ibero-Romance,regional varieties,Extremadura,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Extremaduran readers,true,Spanish is not a proxy
R056,ca-val,Valencian,Western Romance,Occitano-Romance,regional standard,Valencian Community,Latn,core_expansion,,Valencian edition-tagged mathematics source,No region-tagged source acquired,Valencian readers,true,Catalan evidence remains standard-tagged
R057,ca-bal,Balearic Catalan,Western Romance,Occitano-Romance,regional varieties,Balearic Islands,Latn,core_expansion,,Balearic edition-tagged mathematics source,No region-tagged source acquired,Balearic readers,true,Catalan evidence remains region-tagged
R058,mxi,Mozarabic,Western Romance,Ibero-Romance,extinct historical,Medieval Iberia,Arab;Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,Diachronic input only
R059,la,Latin,Romance ancestor,Latin,classical medieval and scientific registers,Europe,Latn,historical_diachronic,,dated critical and scientific editions,No source acquired,Historical evidence only,true,Not counted as a modern Romance cohort
R060,pap,Papiamento,Romance-lexifier contact,Creole,standard,Caribbean,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default
R061,ht,Haitian Creole,Romance-lexifier contact,Creole,standard,Haiti,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default
