tranche,source_ledger_path,source_ledger_sha256,term_id,source_term,target_term,sense,status,source_evidence,original_wordweb_link,effective_wordweb_link,link_change_status,semantic_compatibility_status,semantic_compatibility_rationale,alternatives_or_crosswalk,adverse_evidence,source_rationale,attestation_effect,promotion_effect
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG24,reziprok ringhomomorph,homomorfism reciproc de anels,multiplication-reversing ring homomorphism,historical_construction_candidate,R823:21071,T18-S1 + T17-S2,T18-S1 + T17-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-homomorfism,ordinary reciprocal/inverse,Immediately defined by exact product and sum order,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG25,Produkt,producto,multiplicative product,construction_candidate,R823:21071,T14-S1,T14-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,produit; prodotto; producte,commercial product,Final vowel retained here as branch-balanced test word,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG26,Summe,suma,additive sum,construction_candidate,R823:21071,T14-S1,none_not_in_60_concept_spine,corrected_v10,false_nearest_match_removed,Additive sum is not the T14-S1 multiplicative-product sense; no exact core node exists.,somme; somma,summa/direct-sum compounds differ,Short Ibero-Italo form with French sidecar only,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG27,kommutativer Körper,corp commutativ,commutative algebraic field,source_preserving_candidate,R823:21077,T02-S1,T02-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,corps commutatif; campo commutativo,body/field senses,Consistent with historical Körper translation in this tranche,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG28,gespiegelte Matrizen,matrices transponite,transposed matrices,editorial_modernization_logged,R823:21077,T38-S1,T38-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matrices réfléchies,mirror/reflection could be misread,Mathematical operation identified as transpose; requires source-expert confirmation,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG29,Zuordnung,association,assignment/correspondence,construction_candidate,R823:21077;21081,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,correspondentia; application,ordinary association,Learned transparent noun,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG30,Ringisomorphismus,isomorfism de anels,ring isomorphism,construction_candidate,R823:21077,T19-S1,T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,isomorfismo; isomorphisme,similarity is weaker,Uses consistent -ism derivation,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG31,Symbol,simbol,formal symbol,construction_candidate,R823:21081;21087,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,símbolo; symbole; simbolo,ordinary emblem sense,Consonantal learned form,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG32,Addition,addition,addition operation,construction_candidate,R823:21081,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,adición; addition; addizione,not set union,Learned operation noun,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG33,Multiplikation,multiplication,multiplication operation,construction_candidate,R823:21081,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,multiplicación; multiplication; moltiplicazione,operation type context required,Learned operation noun,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG34,Menge der Symbole,collection de simbols,set/collection of symbols,constructed_hold_word,R823:21087,C2-set,C2-set,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,ensemble; conjunto; insieme; mulțime,four-way no-attractor split,Uses neutral learned collection only as a test; explicitly sent for review,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG35,reziprok isomorpher Ring,anel isomorf reciproc,opposite/reciprocal-isomorphic ring,historical_construction_candidate,R823:21079;21087,T01-S1 + T19-S1,T01-S1 + T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,opposite ring; anneau opposé,reciprocal is not ordinary inverse,Exact operation definition controls the sense,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG36,Darstellungsklasse,classe de representation,equivalence class of representations under conjugation,construction_candidate,R823:21089;21095,T17-S1 + T19-S1,T17-S1 + T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,clase de representaciones; classe de représentations; classe di rappresentazioni,class in programming or social senses,Analytic compound keeps the head concept distinct from representation,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG37,direkte Darstellung,representation direct,direct representation,carried_construction_candidate,R823:21091,T17-S1,T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación directa; représentation directe; rappresentazione diretta,direct may mean unmediated in ordinary prose,Reuses the explicitly defined T001 form,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG38,isomorphe Darstellung,representation isomorf,isomorphic representation,construction_candidate,R823:21091,T17-S1 + T19-S1,T17-S1 + T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación isomorfa; représentation isomorphe; rappresentazione isomorfa,equivalent is not automatically identical to every isomorphism,Learned shared stem with the distinction stated in the sense note,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG39,elementweise,cata matrice,matrix by matrix in the representation image,analytic_source_expansion,R823:21091,T38-S1,T38-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,elemento a elemento; terme à terme; elemento per elemento,ordinary each-element readings can obscure that C is a matrix,Names the iterated represented matrix explicitly,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG40,reguläre Matrix,matrice regular,invertible/nonsingular matrix in this historical passage,source_preserving_with_modern_note,R823:21091;21097,T38-S1,T38-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matrice invertibile; matriz no singular; matrice non singulière,regular matrix has other modern specialized senses,Preserves the historical wording while the editorial note fixes the intended invertibility sense,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG41,transformieren,transformar,conjugate each representing matrix by P,construction_candidate,R823:21091;21093;21097,T19-S1,T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,conjugar; transformer; trasformare,generic transformation is broader than conjugation,Exact P inverse C P formula controls the narrower use,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG42,zuordnen,associar,assign the transformed matrix to ring element c,construction_candidate,R823:21091,T18-S1,T18-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,asignar; associer; associare,ordinary social association,Argument order is made explicit in the target sentence,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG43,äquivalent,equivalente,equivalent under the section's regular-matrix transformation,construction_candidate,R823:21093;21095;21097,T19-S1,T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,equivalente; équivalent; echivalent,false collapse into isomorphic or equal,Definition is local and the distinction is explicitly logged,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG44,reziproke Darstellung,representation reciproc,reciprocal/anti-representation,historical_construction_candidate,R823:21097,T17-S2,T17-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-representation; représentation réciproque,ordinary reciprocal or inverse sense,Reuses T001's source-facing label under its multiplication-reversing definition,none_existing_evidence_only,none
R823_HG_T002,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,HG45,feste reziproke Darstellung,representation reciproc fix,fixed reciprocal representation anchoring an equivalence class,construction_candidate,R823:21097,T17-S2 + T19-S1,T17-S2 + T19-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,représentation réciproque fixée; rappresentazione reciproca fissata,fixed can mean repaired or immutable,Class-definition context supplies the anchor sense,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG46,Darstellungsmodul,modul de representation,representation module,carried_construction_candidate,R823:21099,T05-S1 + T17-S1,T05-S1 + T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation; módulo de representación,module/modulo false-sense trap,Reuses the sense-scoped T001 analytic compound,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG47,direkter Darstellungsmodul,modul direct de representation,direct representation module,historical_construction_candidate,R823:21101;21103,T05-S1 + T17-S1,T05-S1 + T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation direct; módulo de representación directa,direct can be ordinary unmediated,Exact source-facing subtype label,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG48,Doppelmodul,bimodul,bimodule with two compatible actions,construction_candidate,R823:21103,T05-S1,T05-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,bimódulo; bimodule; bimodulo,not merely any module with two labels,Action order and mixed associativity equation define the sense,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG49,Linksmodul,action in le forma cm,left module action,equation_first_hold_word,R823:21103,T05-S1,T05-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module à gauche; módulo izquierdo; modulo sinistro,left/right lexemes split sharply across branches,Operand order carries the side without promoting a lexical side word,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG50,Rechtsmodul,action in le forma m tau,right module action,equation_first_hold_word,R823:21103,T05-S1,T05-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module à droite; módulo derecho; modulo destro,left/right lexemes split sharply across branches,Operand order carries the side without promoting a lexical side word,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG51,durchlaufendes Assoziativgesetz,lege associativ mixed,mixed associativity of commuting module actions,analytic_construction_candidate,R823:21103,T05-S1,T05-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,associativité mixte; ley asociativa mixta,ordinary associativity of one multiplication is weaker,The exact equation controls scope,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG52,direkte Summe,suma direct,direct sum decomposition,construction_candidate,R823:21103;21111,T16-S2,T16-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,somme directe; suma directa; somma diretta,ordinary sum or direct product,Prose declares directness while source plus signs are retained,none_existing_evidence_only,none
R823_HG_T003,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,HG53,eingliedriger T-Modul,modul de T generate per un sol elemento,one-generator summand with zero annihilator,analytic_source_expansion,R823:21103,T05-S1,T05-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module monogène; módulo cíclico,cyclic module alone does not encode zero annihilator,Unpacks the historical word and retains the stated implication,none_existing_evidence_only,none
