residual_id,source_file,source_line,source_column_1based,visible_locator_tex,normalized_locator,final_class,candidate_id,resolved_target_id,destination_label,manual_audit_status,reason,context
sga2.r6.residual.000011,parts/00_introduction.tex,51,25,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000008,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command,", which takes up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems from the viewpoi"
sga2.r6.residual.000012,parts/00_introduction.tex,51,36,\Ref{XIII.6},6,linked_internal_edge,sga2.r6.candidate.000009,sga2.e13.6.structural.6,XIII.6,not_required_internal_or_structural,preexisting_latex_reference_command,"es up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems from the viewpoint of \'etale"
sga2.r6.residual.000013,parts/00_introduction.tex,61,10,\Ref{I},,linked_internal_edge,sga2.r6.candidate.000010,sga2.e01.front.structural.i,I,not_required_internal_or_structural,preexisting_latex_reference_command,"apters~I through~III\nof the EGA. Here is an outline of the contents of the present volume.\nExpos\'e~\Ref{I} contains the sorites of \og cohomology with support in\n$Y$\fg, $H_Y^*(X,F)$, where $Y$ is a closed "
sga2.r6.residual.000014,parts/00_introduction.tex,66,1,\Ref{I},,linked_internal_edge,sga2.r6.candidate.000011,sga2.e01.front.structural.i,I,not_required_internal_or_structural,preexisting_latex_reference_command,"et $X-Y$, and that is the abutment of a very useful\n\og \emph{local-to-global spectral sequence}\fg\n\Ref{I}~\Ref{I.2.6}, involving the \emph{sheaves} of cohomology\n\og with support in $Y$\fg, $\sheaf{H}_Y^*("
sga2.r6.residual.000015,parts/00_introduction.tex,66,9,\Ref{I.2.6},2.6,linked_internal_edge,sga2.r6.candidate.000012,sga2.e01.2.theorem.2-6,I.2.6,not_required_internal_or_structural,preexisting_latex_reference_command,", and that is the abutment of a very useful\n\og \emph{local-to-global spectral sequence}\fg\n\Ref{I}~\Ref{I.2.6}, involving the \emph{sheaves} of cohomology\n\og with support in $Y$\fg, $\sheaf{H}_Y^*(F)$\nde{The "
sga2.r6.residual.000016,parts/00_introduction.tex,72,10,\Ref{II},,linked_internal_edge,sga2.r6.candidate.000013,sga2.e02.front.structural.ii,II,not_required_internal_or_structural,preexisting_latex_reference_command,"fg role analogous to\nthat played by tubular neighborhoods of $Y$ in differential geometry.\nExpos\'e~\Ref{II} studies the preceding notions for quasi-coherent sheaves\non preschemes, and Expos\'e~\Ref{III} rela"
sga2.r6.residual.000017,parts/00_introduction.tex,73,29,\Ref{III},,linked_internal_edge,sga2.r6.candidate.000014,sga2.e03.front.structural.iii,III,not_required_internal_or_structural,preexisting_latex_reference_command,"os\'e~\Ref{II} studies the preceding notions for quasi-coherent sheaves\non preschemes, and Expos\'e~\Ref{III} relates them to the classical notion\nof \emph{depth} (\Ref{III}~\Ref{III.3.3}).\n\nExpos\'es~\Ref{IV}"
sga2.r6.residual.000018,parts/00_introduction.tex,74,18,\Ref{III},,linked_internal_edge,sga2.r6.candidate.000015,sga2.e03.front.structural.iii,III,not_required_internal_or_structural,preexisting_latex_reference_command,"sheaves\non preschemes, and Expos\'e~\Ref{III} relates them to the classical notion\nof \emph{depth} (\Ref{III}~\Ref{III.3.3}).\n\nExpos\'es~\Ref{IV} and~\Ref{V} give forms of \emph{local duality}, which\nmay be co"
sga2.r6.residual.000019,parts/00_introduction.tex,74,28,\Ref{III.3.3},3.3,linked_internal_edge,sga2.r6.candidate.000016,sga2.e03.3.proposition.3-3,III.3.3,not_required_internal_or_structural,preexisting_latex_reference_command," preschemes, and Expos\'e~\Ref{III} relates them to the classical notion\nof \emph{depth} (\Ref{III}~\Ref{III.3.3}).\n\nExpos\'es~\Ref{IV} and~\Ref{V} give forms of \emph{local duality}, which\nmay be compared with Se"
sga2.r6.residual.000020,parts/00_introduction.tex,76,11,\Ref{IV},,linked_internal_edge,sga2.r6.candidate.000017,sga2.e04.front.section.iv,IV,not_required_internal_or_structural,preexisting_latex_reference_command,"Ref{III} relates them to the classical notion\nof \emph{depth} (\Ref{III}~\Ref{III.3.3}).\n\nExpos\'es~\Ref{IV} and~\Ref{V} give forms of \emph{local duality}, which\nmay be compared with Serre's projective duali"
sga2.r6.residual.000021,parts/00_introduction.tex,76,24,\Ref{V},,linked_internal_edge,sga2.r6.candidate.000018,sga2.e05.front.structural.v,V,not_required_internal_or_structural,preexisting_latex_reference_command,"tes them to the classical notion\nof \emph{depth} (\Ref{III}~\Ref{III.3.3}).\n\nExpos\'es~\Ref{IV} and~\Ref{V} give forms of \emph{local duality}, which\nmay be compared with Serre's projective duality theorem\n("
sga2.r6.residual.000022,parts/00_introduction.tex,78,2,\Ref{XII},,linked_internal_edge,sga2.r6.candidate.000019,sga2.e12.front.structural.xii,XII,not_required_internal_or_structural,preexisting_latex_reference_command," give forms of \emph{local duality}, which\nmay be compared with Serre's projective duality theorem\n(\Ref{XII}~\Ref{XII.1.1}). We note that both kinds of duality theorem are\nsubstantially generalized in \sisi{H"
sga2.r6.residual.000023,parts/00_introduction.tex,78,12,\Ref{XII.1.1},1.1,linked_internal_edge,sga2.r6.candidate.000020,sga2.e12.1.theorem.1-1,XII.1.1,not_required_internal_or_structural,preexisting_latex_reference_command,"s of \emph{local duality}, which\nmay be compared with Serre's projective duality theorem\n(\Ref{XII}~\Ref{XII.1.1}). We note that both kinds of duality theorem are\nsubstantially generalized in \sisi{HARTSHORNE}{Har"
sga2.r6.residual.000024,parts/00_introduction.tex,80,43,\Ref{IV},,linked_internal_edge,sga2.r6.candidate.000021,sga2.e04.front.section.iv,IV,not_required_internal_or_structural,preexisting_latex_reference_command,"ly generalized in \sisi{HARTSHORNE}{Hartshorne}'s seminar\n(cited in the footnote at the end of \Exp \Ref{IV})\refstepcounter{toto}\n\de{\label{noteconrad}Hartshorne's book contains sign errors and, more\nimport"
sga2.r6.residual.000025,parts/00_introduction.tex,99,11,\Ref{VI},,linked_internal_edge,sga2.r6.candidate.000023,sga2.e06.front.structural.vi,VI,not_required_internal_or_structural,preexisting_latex_reference_command,"tability\fg, \emph{J.~Amer. Math. Soc.} \textbf{9}\n(1996), \numero 1, p\ptbl~205--236).}\n\nExpos\'es~\Ref{VI} and~\Ref{VII} give elementary technical notions used in\nExpos\'e~\Ref{VIII} to prove the \emph{fini"
sga2.r6.residual.000026,parts/00_introduction.tex,99,24,\Ref{VII},,linked_internal_edge,sga2.r6.candidate.000024,sga2.e07.front.structural.vii,VII,not_required_internal_or_structural,preexisting_latex_reference_command,"\emph{J.~Amer. Math. Soc.} \textbf{9}\n(1996), \numero 1, p\ptbl~205--236).}\n\nExpos\'es~\Ref{VI} and~\Ref{VII} give elementary technical notions used in\nExpos\'e~\Ref{VIII} to prove the \emph{finiteness theorem"
sga2.r6.residual.000027,parts/00_introduction.tex,100,10,\Ref{VIII},,linked_internal_edge,sga2.r6.candidate.000025,sga2.e08.front.structural.viii,VIII,not_required_internal_or_structural,preexisting_latex_reference_command,bl~205--236).}\n\nExpos\'es~\Ref{VI} and~\Ref{VII} give elementary technical notions used in\nExpos\'e~\Ref{VIII} to prove the \emph{finiteness theorem}\n(\Ref{VIII}~\Ref{VIII.2.3}). This theorem gives necessary an
sga2.r6.residual.000028,parts/00_introduction.tex,101,2,\Ref{VIII},,linked_internal_edge,sga2.r6.candidate.000026,sga2.e08.front.structural.viii,VIII,not_required_internal_or_structural,preexisting_latex_reference_command,"ve elementary technical notions used in\nExpos\'e~\Ref{VIII} to prove the \emph{finiteness theorem}\n(\Ref{VIII}~\Ref{VIII.2.3}). This theorem gives necessary and sufficient\nconditions, for a coherent sheaf $F$ o"
sga2.r6.residual.000029,parts/00_introduction.tex,101,13,\Ref{VIII.2.3},2.3,linked_internal_edge,sga2.r6.candidate.000027,sga2.e08.2-2.corollary.2-3,VIII.2.3,not_required_internal_or_structural,preexisting_latex_reference_command,"ry technical notions used in\nExpos\'e~\Ref{VIII} to prove the \emph{finiteness theorem}\n(\Ref{VIII}~\Ref{VIII.2.3}). This theorem gives necessary and sufficient\nconditions, for a coherent sheaf $F$ on a noetherian "
sga2.r6.residual.000030,parts/00_introduction.tex,106,59,\Ref{IX},,linked_internal_edge,sga2.r6.candidate.000028,sga2.e09.front.structural.ix,IX,not_required_internal_or_structural,preexisting_latex_reference_command,"to X$ is the inclusion). It is one of the\ncentral technical results of the seminar, and in Expos\'e~\Ref{IX} we show\nhow a theorem of this kind can be used to establish a \og comparison\ntheorem\fg and an \og "
sga2.r6.residual.000031,parts/00_introduction.tex,112,35,\Ref{X},,linked_internal_edge,sga2.r6.candidate.000031,sga2.e10.front.structural.x,X,not_required_internal_or_structural,preexisting_latex_reference_command,"oldS\S 4 and~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{XI}, devoted\nrespectively to Lefschetz-type theorems for the fundamental group and\nfor\pag"
sga2.r6.residual.000032,parts/00_introduction.tex,112,47,\Ref{XI},,linked_internal_edge,sga2.r6.candidate.000032,sga2.e11.front.structural.xi,XI,not_required_internal_or_structural,preexisting_latex_reference_command,"~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{XI}, devoted\nrespectively to Lefschetz-type theorems for the fundamental group and\nfor\pageoriginale th"
sga2.r6.residual.000033,parts/00_introduction.tex,120,12,\Ref{IX},,linked_internal_edge,sga2.r6.candidate.000033,sga2.e09.front.structural.ix,IX,not_required_internal_or_structural,preexisting_latex_reference_command,"ow one to pass from\n$Y$ to the formal completion of $X$ along $Y$, and then to apply the\nresults of~\Ref{IX} in order to pass from there to an open\n\emph{neighborhood} $U$ of $Y$ in $X$. To pass from $U$ to $"
sga2.r6.residual.000034,parts/00_introduction.tex,125,41,\Ref{X},,linked_internal_edge,sga2.r6.candidate.000034,sga2.e10.front.structural.x,X,not_required_internal_or_structural,preexisting_latex_reference_command,"ete set in the cases under consideration. This explains the\ninteraction, in the proofs of Expos\'es~\Ref{X}, \Ref{XI}, and \Ref{XII},\nbetween local and global results, particularly in certain inductions. The"
sga2.r6.residual.000035,parts/00_introduction.tex,125,50,\Ref{XI},,linked_internal_edge,sga2.r6.candidate.000035,sga2.e11.front.structural.xi,XI,not_required_internal_or_structural,preexisting_latex_reference_command,"n the cases under consideration. This explains the\ninteraction, in the proofs of Expos\'es~\Ref{X}, \Ref{XI}, and \Ref{XII},\nbetween local and global results, particularly in certain inductions. The\nmain resu"
sga2.r6.residual.000036,parts/00_introduction.tex,125,64,\Ref{XII},,linked_internal_edge,sga2.r6.candidate.000036,sga2.e12.front.structural.xii,XII,not_required_internal_or_structural,preexisting_latex_reference_command,"der consideration. This explains the\ninteraction, in the proofs of Expos\'es~\Ref{X}, \Ref{XI}, and \Ref{XII},\nbetween local and global results, particularly in certain inductions. The\nmain results obtained in"
sga2.r6.residual.000037,parts/00_introduction.tex,127,26,\Ref{X},,linked_internal_edge,sga2.r6.candidate.000037,sga2.e10.front.structural.x,X,not_required_internal_or_structural,preexisting_latex_reference_command,"\nbetween local and global results, particularly in certain inductions. The\nmain results obtained in~\Ref{X} and~\Ref{XI} are the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}"
sga2.r6.residual.000038,parts/00_introduction.tex,127,38,\Ref{XI},,linked_internal_edge,sga2.r6.candidate.000038,sga2.e11.front.structural.xi,XI,not_required_internal_or_structural,preexisting_latex_reference_command,"al and global results, particularly in certain inductions. The\nmain results obtained in~\Ref{X} and~\Ref{XI} are the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}) and\n\Ref{XI"
sga2.r6.residual.000039,parts/00_introduction.tex,128,21,\Ref{X},,linked_internal_edge,sga2.r6.candidate.000039,sga2.e10.front.structural.x,X,not_required_internal_or_structural,preexisting_latex_reference_command,ductions. The\nmain results obtained in~\Ref{X} and~\Ref{XI} are the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}) and\n\Ref{XI}~\Ref{XI.3.14} (the \emph{parafactoriality theo
sga2.r6.residual.000040,parts/00_introduction.tex,128,29,\Ref{X.3.4},3.4,linked_internal_edge,sga2.r6.candidate.000040,sga2.e10.3.theorem.3-4,X.3.4,not_required_internal_or_structural,preexisting_latex_reference_command,. The\nmain results obtained in~\Ref{X} and~\Ref{XI} are the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}) and\n\Ref{XI}~\Ref{XI.3.14} (the \emph{parafactoriality theorem}). Notic
sga2.r6.residual.000041,parts/00_introduction.tex,129,1,\Ref{XI},,linked_internal_edge,sga2.r6.candidate.000041,sga2.e11.front.structural.xi,XI,not_required_internal_or_structural,preexisting_latex_reference_command,Ref{XI} are the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}) and\n\Ref{XI}~\Ref{XI.3.14} (the \emph{parafactoriality theorem}). Notice that\nthese theorems are proved by cohom
sga2.r6.residual.000042,parts/00_introduction.tex,129,10,\Ref{XI.3.14},3.14,linked_internal_edge,sga2.r6.candidate.000042,sga2.e11.3-14.structural.3-14,XI.3.14,not_required_internal_or_structural,preexisting_latex_reference_command,re the theorems of\n\emph{local nature} \Ref{X}~\Ref{X.3.4} (the \emph{purity theorem}) and\n\Ref{XI}~\Ref{XI.3.14} (the \emph{parafactoriality theorem}). Notice that\nthese theorems are proved by cohomological techn
sga2.r6.residual.000043,parts/00_introduction.tex,131,19,\Ref{XII},,linked_internal_edge,sga2.r6.candidate.000043,sga2.e12.front.structural.xii,XII,not_required_internal_or_structural,preexisting_latex_reference_command,"tice that\nthese theorems are proved by cohomological techniques of an essentially\nglobal nature. In~\Ref{XII}, using the preceding local results, one\nobtains global variants for projective schemes over a field"
sga2.r6.residual.000044,parts/00_introduction.tex,134,9,\Ref{XII},,linked_internal_edge,sga2.r6.candidate.000044,sga2.e12.front.structural.xii,XII,not_required_internal_or_structural,preexisting_latex_reference_command,"er a field, or more\ngenerally over a more or less arbitrary base scheme; typical statements\ninclude \Ref{XII}~\Ref{XII.3.5} and \Ref{XII}~\Ref{XII.3.7}.\n\nIn~\Ref{XIII}, we review some of the many problems and "
sga2.r6.residual.000045,parts/00_introduction.tex,134,19,\Ref{XII.3.5},3.5,linked_internal_edge,sga2.r6.candidate.000045,sga2.e12.3-5.structural.3-5,XII.3.5,not_required_internal_or_structural,preexisting_latex_reference_command,", or more\ngenerally over a more or less arbitrary base scheme; typical statements\ninclude \Ref{XII}~\Ref{XII.3.5} and \Ref{XII}~\Ref{XII.3.7}.\n\nIn~\Ref{XIII}, we review some of the many problems and conjectures\nsu"
sga2.r6.residual.000046,parts/00_introduction.tex,134,37,\Ref{XII},,linked_internal_edge,sga2.r6.candidate.000046,sga2.e12.front.structural.xii,XII,not_required_internal_or_structural,preexisting_latex_reference_command,"y over a more or less arbitrary base scheme; typical statements\ninclude \Ref{XII}~\Ref{XII.3.5} and \Ref{XII}~\Ref{XII.3.7}.\n\nIn~\Ref{XIII}, we review some of the many problems and conjectures\nsuggested by the"
sga2.r6.residual.000047,parts/00_introduction.tex,134,47,\Ref{XII.3.7},3.7,linked_internal_edge,sga2.r6.candidate.000047,sga2.e12.3-7.structural.3-7,XII.3.7,not_required_internal_or_structural,preexisting_latex_reference_command,"ore or less arbitrary base scheme; typical statements\ninclude \Ref{XII}~\Ref{XII.3.5} and \Ref{XII}~\Ref{XII.3.7}.\n\nIn~\Ref{XIII}, we review some of the many problems and conjectures\nsuggested by the results and m"
sga2.r6.residual.000048,parts/00_introduction.tex,136,4,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000048,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command,"ry base scheme; typical statements\ninclude \Ref{XII}~\Ref{XII.3.5} and \Ref{XII}~\Ref{XII.3.7}.\n\nIn~\Ref{XIII}, we review some of the many problems and conjectures\nsuggested by the results and methods of the se"
sga2.r6.residual.000049,parts/00_introduction.tex,139,34,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000049,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command,"ting concern cohomological and homotopical Lefschetz-type theorems\nfor complex analytic spaces; \cf \Ref{XIII}, pages 26 and following\n\de{Essentially all the conjectures stated in~\Ref{XIII} and \Ref{XIV}\nhave"
sga2.r6.residual.000050,parts/00_introduction.tex,140,47,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000050,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command,"alytic spaces; \cf \Ref{XIII}, pages 26 and following\n\de{Essentially all the conjectures stated in~\Ref{XIII} and \Ref{XIV}\nhave now been proved; see the footnotes in those sections for references\nand comments"
sga2.r6.residual.000051,parts/00_introduction.tex,140,62,\Ref{XIV},,linked_internal_edge,sga2.r6.candidate.000051,sga2.e14.front.structural.xiv,XIV,not_required_internal_or_structural,preexisting_latex_reference_command,"\cf \Ref{XIII}, pages 26 and following\n\de{Essentially all the conjectures stated in~\Ref{XIII} and \Ref{XIV}\nhave now been proved; see the footnotes in those sections for references\nand comments.}. In the con"
sga2.r6.residual.000052,parts/00_introduction.tex,144,4,\Ref{XIV},,linked_internal_edge,sga2.r6.candidate.000052,sga2.e14.front.structural.xiv,XIV,not_required_internal_or_structural,preexisting_latex_reference_command,"ext of the \'etale cohomology of\nschemes\pageoriginale, the corresponding conjectures are proved\nin~\Ref{XIV} by a duality technique that should apply equally in the\ncomplex analytic case (\cf the comments in "
sga2.r6.residual.000053,parts/00_introduction.tex,145,44,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000053,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command," by a duality technique that should apply equally in the\ncomplex analytic case (\cf the comments in \Ref{XIII}, p\ptbl~25, and\n\Ref{XIV}~\Ref{XIV.6.4}). But the corresponding homotopical statements\nfor analytic"
sga2.r6.residual.000054,parts/00_introduction.tex,146,1,\Ref{XIV},,linked_internal_edge,sga2.r6.candidate.000054,sga2.e14.front.structural.xiv,XIV,not_required_internal_or_structural,preexisting_latex_reference_command,"t should apply equally in the\ncomplex analytic case (\cf the comments in \Ref{XIII}, p\ptbl~25, and\n\Ref{XIV}~\Ref{XIV.6.4}). But the corresponding homotopical statements\nfor analytic spaces, and more particul"
sga2.r6.residual.000055,parts/00_introduction.tex,146,11,\Ref{XIV.6.4},6.4,linked_internal_edge,sga2.r6.candidate.000055,sga2.e14.6-4.section.6-4,XIV.6.4,not_required_internal_or_structural,preexisting_latex_reference_command,"pply equally in the\ncomplex analytic case (\cf the comments in \Ref{XIII}, p\ptbl~25, and\n\Ref{XIV}~\Ref{XIV.6.4}). But the corresponding homotopical statements\nfor analytic spaces, and more particularly those inv"
sga2.r6.residual.000056,parts/00_introduction.tex,149,6,\Ref{XIV},,linked_internal_edge,sga2.r6.candidate.000056,sga2.e14.front.structural.xiv,XIV,not_required_internal_or_structural,preexisting_latex_reference_command,"re particularly those involving the\nfundamental group, seem to require entirely new techniques\n(\cf \Ref{XIV}~\Ref{XIV.6.4}).\n\nI am happy to thank all those who, in various capacities, helped bring the\npresent"
sga2.r6.residual.000057,parts/00_introduction.tex,149,16,\Ref{XIV.6.4},6.4,linked_internal_edge,sga2.r6.candidate.000057,sga2.e14.6-4.section.6-4,XIV.6.4,not_required_internal_or_structural,preexisting_latex_reference_command,"larly those involving the\nfundamental group, seem to require entirely new techniques\n(\cf \Ref{XIV}~\Ref{XIV.6.4}).\n\nI am happy to thank all those who, in various capacities, helped bring the\npresent volume to pub"
sga2.r6.residual.000058,parts/01_expose_I.tex,95,22,Proposition 1.1,1.1,structural_declaration_or_tag,sga2.r6.candidate.000059,sga2.e01.1.proposition.1-1,I.1.1,not_required_internal_or_structural,semantic_target_heading_declaration,"Z}(\restr{F}{U})\subset\Gamma(\restr{F}{U})$.\nIn summary, we have the following result.\n\n\begin{sgastatement}{Proposition 1.1}\sgareaderlabel{I.1.1}{1.1}\nThere exists a unique subsheaf $i^!(F)$ of $i^*(F)$ such that, for every\nopen sub"
sga2.r6.residual.000059,parts/01_expose_I.tex,148,57,(8),8,resolved_internal_edge,sga2.r6.candidate.000063,sga2.e01.1.equation.8,eq:I.8,not_required_internal_or_structural,unique_target_from_syntactic_scope, Thus there is a \emph{canonical homomorphism} in the\nopposite direction:\footnote{The original reference was (8).}\n\begin{equation}\n  F\longrightarrow\uGamma_Z(F).\n  \tag{$8''$}\label{eq:I.8''}\n\end{equation}\nThis is none 
sga2.r6.residual.000060,parts/01_expose_I.tex,179,22,Proposition 1.2,1.2,structural_declaration_or_tag,sga2.r6.candidate.000066,sga2.e01.1.proposition.1-2,I.1.2,not_required_internal_or_structural,semantic_target_heading_declaration,[\n  i_!: \uC_Z\longrightarrow\uC_X\n\]\ndefined by the following proposition.\n\n\srcpage{9}\n\begin{sgastatement}{Proposition 1.2}\sgareaderlabel{I.1.2}{1.2}\nLet $G$ be a sheaf of abelian groups on $Z$.  There exists a unique\nsubsheaf of $
sga2.r6.residual.000061,parts/01_expose_I.tex,210,22,Proposition 1.3,1.3,structural_declaration_or_tag,sga2.r6.candidate.000067,sga2.e01.1.proposition.1-3,I.1.3,not_required_internal_or_structural,semantic_target_heading_declaration,"pends functorially on $G$ (and is in\nfact an exact functor of $G$).  We therefore have:\n\n\begin{sgastatement}{Proposition 1.3}\sgareaderlabel{I.1.3}{1.3}\nThere is an isomorphism of bifunctors in $G$ and $F$, where $G$ is a\nsheaf of abe"
sga2.r6.residual.000062,parts/01_expose_I.tex,234,22,Corollary 1.4,1.4,structural_declaration_or_tag,sga2.r6.candidate.000068,sga2.e01.1.corollary.1-4,I.1.4,not_required_internal_or_structural,semantic_target_heading_declaration,"e{10} that $i_!$ is exact, and hence takes\nmonomorphisms to monomorphisms, we conclude:\n\n\begin{sgastatement}{Corollary 1.4}\sgareaderlabel{I.1.4}{1.4}\nIf $F$ is injective, then $i^!(F)$ is injective; consequently\n$\uGamma_Z(F)=i_*i^"
sga2.r6.residual.000063,parts/01_expose_I.tex,239,70,Proposition~1.3,1.3,linked_internal_edge,sga2.r6.candidate.000069,sga2.e01.1.proposition.1-3,I.1.3,not_required_internal_or_structural,preexisting_hyperref_payload,"$ is also injective.\n\end{sgastatement}\n\nReplacing $X$ by a variable open subset $U$ of $X$, \hyperref[I.1.3]{Proposition~1.3}\nalso gives:\n\n\begin{sgastatement}{Corollary 1.5}\sgareaderlabel{I.1.5}{1.5}\nThere is an isomorphism, functor"
sga2.r6.residual.000064,parts/01_expose_I.tex,242,22,Corollary 1.5,1.5,structural_declaration_or_tag,sga2.r6.candidate.000070,sga2.e01.1.corollary.1-5,I.1.5,not_required_internal_or_structural,semantic_target_heading_declaration,"$X$ by a variable open subset $U$ of $X$, \hyperref[I.1.3]{Proposition~1.3}\nalso gives:\n\n\begin{sgastatement}{Corollary 1.5}\sgareaderlabel{I.1.5}{1.5}\nThere is an isomorphism, functorial in $F$ and $G$,\n\begin{equation}\n  \uHom(i_!("
