paper,title,modern_english_title,segments,segment_pages,cleaned_original_language_pdf,page_count,status
18,Les schémas de modules de courbes elliptiques,Moduli schemes of elliptic curves,Paper_18_Part_1.pdf; Paper_18_Part_2.pdf; Paper_18_Part_3.pdf; Paper_18_Part_4.pdf,26; 31; 24; 15,cleaned_original_language_pdfs_001_029/18_Moduli_schemes_of_elliptic_curves.pdf,96,compiled_and_recombined
19,Théorie de Hodge III,Hodge theory III,Paper_19_Part_1.pdf; Paper_19_Part_2.pdf,25; 22,cleaned_original_language_pdfs_001_029/19_Hodge_theory_III.pdf,47,compiled_and_recombined
20,La conjecture de Weil I,The Weil conjecture I,Paper_20.pdf,35,cleaned_original_language_pdfs_001_029/20_The_Weil_conjecture_I.pdf,35,compiled_and_recombined
21,Formes modulaires de poids 1,Modular forms of weight 1,Paper_21.pdf,14,cleaned_original_language_pdfs_001_029/21_Modular_forms_of_weight_1.pdf,14,compiled_and_recombined
22,Poids dans la cohomologie des variétés algébriques,Weights in the cohomology of algebraic varieties,Paper_22.pdf,6,cleaned_original_language_pdfs_001_029/22_Weights_in_the_cohomology_of_algebraic_varieties.pdf,6,compiled_and_recombined
23,Real homotopy theory of Kähler manifolds,Real homotopy theory of Kaehler manifolds,Paper_23.pdf,33,cleaned_original_language_pdfs_001_029/23_Real_homotopy_theory_of_Kaehler_manifolds.pdf,33,compiled_and_recombined
24,Fibrés vectoriels complexes à groupe structural discret,Complex vector bundles with discrete structure group,Paper_24.pdf,3,cleaned_original_language_pdfs_001_029/24_Complex_vector_bundles_with_discrete_structure_group.pdf,3,compiled_and_recombined
25,Le support du caractère d’une représentation supercuspidale,Support of the character of a supercuspidal representation,Paper_25.pdf,2,cleaned_original_language_pdfs_001_029/25_Support_of_the_character_of_a_supercuspidal_representation.pdf,2,compiled_and_recombined
26,Les constantes locales de l’équation fonctionnelle de la fonction L d’Artin d’une représentation orthogonale,Local constants in the functional equation of the Artin L-function of an orthogonal representation,Paper_26.pdf,19,cleaned_original_language_pdfs_001_029/26_Local_constants_in_the_functional_equation_of_the_Artin_L_function_of_an_orthogonal_repr.pdf,19,compiled_and_recombined
27,Representations of reductive groups over finite fields,Representations of reductive groups over finite fields,Paper_27_Part_1.pdf; Paper_27_Part_2.pdf,49; 9,cleaned_original_language_pdfs_001_029/27_Representations_of_reductive_groups_over_finite_fields.pdf,58,compiled_and_recombined
28,Les difféomorphismes du cercle (d’après M. Herman),Diffeomorphisms of the circle after M. Herman,Paper_28.pdf,17,cleaned_original_language_pdfs_001_029/28_Diffeomorphisms_of_the_circle_after_M_Herman.pdf,17,compiled_and_recombined
29,Extensions centrales non résiduellement finies de groupes arithmétiques,Nonresidually finite central extensions of arithmetic groups,Paper_29.pdf,11,cleaned_original_language_pdfs_001_029/29_Nonresidually_finite_central_extensions_of_arithmetic_groups.pdf,11,compiled_and_recombined
