paper_no,title,pdf_page_count,translation_status,note
58,Structures de Hodge mixtes réelles,6,complete_english_ready,completed in previous translation batches
59,Interprétation motivique de la conjecture de Zagier reliant polylogarithmes et régulateurs,25,not_started_or_rough_only,
60,"Singularités des espaces de modules de Hilbert, en les caractéristiques divisant le discriminant",21,not_started_or_rough_only,
61,A quoi servent les motifs?,19,complete_english_ready,completed in previous translation batches
62,Décompositions dans la catégorie dérivée,14,complete_english_ready,completed in previous translation batches
63,On the locus of Hodge classes,25,complete_english_ready,completed in previous translation batches
64,"Déformations de l’algèbre des fonctions d’une variété symplectique: comparaison entre Fedosov et De Wilde, Lecomte",31,not_started_or_rough_only,
65,La série exceptionnelle de groupes de Lie,6,complete_english_ready,completed in previous translation batches
66,La série exceptionnelle de groupes de Lie II,6,complete_english_ready,completed in previous translation batches
67,Extensions centrales de groupes algébriques simplement connexes et cohomologie galoisienne,55,not_started_or_rough_only,
68,Local behavior of Hodge structures at infinity,17,complete_english_ready,completed in previous translation batches
69,Action du groupe des tresses sur une catégorie,17,not_started_or_rough_only,
70,Quelques idées maı̂tresses de l’oeuvre de A. Grothendieck,9,complete_english_ready,completed in previous translation batches
71,"L’algèbre de cohomologie du complément, dans un espace affine, d’une famille finie de sous-espaces affines",16,not_started_or_rough_only,
72,Central extensions of reductive groups by K2,81,complete_english_ready,completed in previous translation batches
73,A counterexample to a 1961 “theorem” in homological algebra,24,complete_english_ready,completed in previous translation batches
74,"On the exceptional series, and its descendants",5,complete_english_ready,completed in previous translation batches
75,Catégories tensorielles,26,not_started_or_rough_only,
76,Groupes fondamentaux motiviques de Tate mixte,56,partial,direct translation started; not complete
77,The Hodge conjecture,5,complete_english_ready,completed in previous translation batches
78,"La catégorie des représentations du groupe symétrique St , lorsque t n’est pas un entier naturel",65,not_started_or_rough_only,
79,Voevodsky’s lectures on motivic cohomology 2000/2001,55,complete_english_ready,completed in previous translation batches
80,"Equivalence numérique, équivalence cohomologique et théorie de Lefschetz des variétés abéliennes sur les corps finis",12,complete_english_ready,completed in previous translation batches
81,Extended Euler congruence,2,complete_english_ready,completed in previous translation batches
82,"Le groupe fondamental motivique de Gm − μN pour N = 2, 3, 4, 6 ou 8",53,not_started_or_rough_only,
83,Le théorème de plongement de Nagata,10,complete_english_ready,completed in previous translation batches
84,"Finitude de l’extension de Q engendrée par des traces de Frobenius, en caractéristique finie",23,not_started_or_rough_only,
85,"Multizêtas, d’après Francis Brown",26,not_started_or_rough_only,
86,Counting local systems with principal unipotent local monodromy,64,complete_english_ready,completed in previous translation batches
87,Semi-simplicité de produits tensoriels en caractéristique p,27,not_started_or_rough_only,
88,Comptage de faisceaux ℓ-adiques,34,not_started_or_rough_only,
89,The first fundamental theorem of invariant theory for the orthosymplectic super group,17,complete_english_ready,completed in previous translation batches
90,On complete reducibility in characteristic p,27,complete_english_ready,completed in previous translation batches
