paper_no,title,pdf_page_count,source_language_lane,source_tex_status,english_status,french_translation_status
39,Relèvement des surfaces K3 en caractéristique nulle,22,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
40,Duality for representations of a reductive group over a finite field,8,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
41,Duality for representations of a reductive group over a finite field II,6,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
42,Intégration sur une cycle évanescent,15,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
43,Division algebras and the Hausdorff-Banach-Tarski paradox,7,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
44,Faisceaux pervers,174,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
45,Le lemme de Gabber; Représentations ℓ-adiques,20,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
46,Preuve des conjectures de Tate et de Shafarevitch (d’après G. Faltings),17,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
47,Trace Paley-Wiener theorem for reductive p-adic groups,13,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
48,Monodromy of hypergeometric functions and non-lattice integral monodromy,85,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
49,Un théorème de finitude pour la monodromie,19,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
50,Relèvements modulo p2 et décomposition du complexe de de Rham,24,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
51,Le déterminant de la cohomologie,85,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
52,Survey of Drinfel’d modules,67,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
53,Le groupe fondamental de la droite projective moins trois points,219,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
54,Catégories tannakiennes,85,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
55,Filtrations de Hodge et par l’ordre du pôle pour les hypersurfaces singulières,12,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
56,Groupe de Heisenberg et réalité,10,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
57,Le symbole modéré,35,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
58,Structures de Hodge mixtes réelles,6,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
59,Interprétation motivique de la conjecture de Zagier reliant polylogarithmes et régulateurs,25,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
60,"Singularités des espaces de modules de Hilbert, en les caractéristiques divisant le discriminant",21,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
61,A quoi servent les motifs?,19,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
62,Décompositions dans la catégorie dérivée,14,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
63,On the locus of Hodge classes,25,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
64,"Déformations de l’algèbre des fonctions d’une variété symplectique: comparaison entre Fedosov et De Wilde, Lecomte",31,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
65,La série exceptionnelle de groupes de Lie,6,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
66,La série exceptionnelle de groupes de Lie II,6,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
67,Extensions centrales de groupes algébriques simplement connexes et cohomologie galoisienne,55,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
68,Local behavior of Hodge structures at infinity,17,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
69,Action du groupe des tresses sur une catégorie,17,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
70,Quelques idées maı̂tresses de l’oeuvre de A. Grothendieck,9,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
71,"L’algèbre de cohomologie du complément, dans un espace affine, d’une famille finie de sous-espaces affines",16,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
72,Central extensions of reductive groups by K2,81,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
73,A counterexample to a 1961 “theorem” in homological algebra,24,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
74,"On the exceptional series, and its descendants",5,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
75,Catégories tensorielles,26,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
76,Groupes fondamentaux motiviques de Tate mixte,56,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,partial_direct_translation_started,fr_ready_original_source_language
77,The Hodge conjecture,5,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
78,"La catégorie des représentations du groupe symétrique St , lorsque t n’est pas un entier naturel",65,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
79,Voevodsky’s lectures on motivic cohomology 2000/2001,55,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
80,"Equivalence numérique, équivalence cohomologique et théorie de Lefschetz des variétés abéliennes sur les corps finis",12,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
81,Extended Euler congruence,2,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
82,"Le groupe fondamental motivique de Gm − μN pour N = 2, 3, 4, 6 ou 8",53,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
83,Le théorème de plongement de Nagata,10,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_translated_or_normalized_prior_batch,fr_ready_original_source_language
84,"Finitude de l’extension de Q engendrée par des traces de Frobenius, en caractéristique finie",23,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
85,"Multizêtas, d’après Francis Brown",26,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
86,Counting local systems with principal unipotent local monodromy,64,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
87,Semi-simplicité de produits tensoriels en caractéristique p,27,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
88,Comptage de faisceaux ℓ-adiques,34,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
89,The first fundamental theorem of invariant theory for the orthosymplectic super group,17,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
90,On complete reducibility in characteristic p,27,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
