record_id,logical_source_id,language,variety_code,standard_or_idiom,region,script,secondary_language,institution,publication_date,retrieved_at,domain,domain_tags,domain_review_status,register,title_or_query,representation,source_bytes,source_sha256,search_text_sha256,search_text_contract,public_upstream_locator,locator_visibility,revision_or_version,source_use_status,license_signal,license_status,hash_verification,sense_review_status,corpus_topic_eligible,native_source,generated,dedupe_status,counting_eligible,term_promotion_eligible,corpus_role,active_body_eligible,official_lexical_reference,translation_family_id,translation_sibling_status,specialist_algebra_eligible,intake_source_id,intake_manifest_sha256
TRANSFER-0006,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_chapitre1.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,28956,34AB8D749F6B9198FCD63A0E3B44ACF27BA3DA37FC6C60188B371BF39F41488E,34AB8D749F6B9198FCD63A0E3B44ACF27BA3DA37FC6C60188B371BF39F41488E,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0007,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_chapitre2.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,183245,F94DCBA4304BABE70B5AD846902B1FBC8927025CF7E74E91C774AD62157F67AD,F94DCBA4304BABE70B5AD846902B1FBC8927025CF7E74E91C774AD62157F67AD,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0008,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_chapitre3.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,39162,1F95C04BE1959DDAEC3AF3566D9F39D38B815C88FCFBA1BDCA0BBCDE5D88D63E,1F95C04BE1959DDAEC3AF3566D9F39D38B815C88FCFBA1BDCA0BBCDE5D88D63E,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0009,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_conclusion.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,3551,774E5101CFE5E90CD73DB673432D48AE65CCA930C6DB51F6B344FCA062452637,774E5101CFE5E90CD73DB673432D48AE65CCA930C6DB51F6B344FCA062452637,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0011,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_introduction.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,6066,D75D460C5D8EC83FA1C9566BC15AD85C040BD17CBCA8A3158D5AC0D22C80AB48,D75D460C5D8EC83FA1C9566BC15AD85C040BD17CBCA8A3158D5AC0D22C80AB48,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0012,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_remerciements.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,168,6A0B0C8325968F33B73C481918880F8DE4C638BE5A56DA1135540ADBF6A23634,6A0B0C8325968F33B73C481918880F8DE4C638BE5A56DA1135540ADBF6A23634,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0013,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_resume.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,1038,2F58EBE545FAB973511C26AB563DBBDB239963AD095540EB9C1B4935C330D0AE,2F58EBE545FAB973511C26AB563DBBDB239963AD095540EB9C1B4935C330D0AE,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0014,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1712.04728v2,tex,231970,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1712.04728; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0015,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingUpDownFrench-2018.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1712.04728v2,tex,1163,F0B60299A60251645D654D8FA6411EF1E0E817217FBCFDDF9C8BC385FFA235D0,F0B60299A60251645D654D8FA6411EF1E0E817217FBCFDDF9C8BC385FFA235D0,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1712.04728; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0026,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,2209.02110v1,tex,179855,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,Creative Commons license link present on arXiv page,unresolved,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0027,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,module_theory,module_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,2307.03598v1,tex,87092,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,Creative Commons license link present on arXiv page,unresolved,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,true,,
TRANSFER-0029,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/11-anillos-ejercicios.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,24998,8A7E3E7564D19D1A08ADD4D99C545047600D129F05D2B4BB70C7BCD37D027650,8A7E3E7564D19D1A08ADD4D99C545047600D129F05D2B4BB70C7BCD37D027650,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
TRANSFER-0030,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/11-anillos.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,80073,0B78196FB162C9231C89BA34216CCB03E6F42AB09D977734B6612F7612F64737,0B78196FB162C9231C89BA34216CCB03E6F42AB09D977734B6612F7612F64737,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
TRANSFER-0031,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/12-anillos-conmutativos-ejercicios.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,18008,F5798483A12806935FF3058EF4C54597FE46F6DE0E937D647649CE355FE33D5F,F5798483A12806935FF3058EF4C54597FE46F6DE0E937D647649CE355FE33D5F,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
TRANSFER-0032,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/12-anillos-conmutativos.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,96221,3E5DAF488A87DC74314124897432ADFE117EA8E0533B8EB8F81E44C255A2825A,3E5DAF488A87DC74314124897432ADFE117EA8E0533B8EB8F81E44C255A2825A,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
TRANSFER-0033,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/capitulos/11-anillos.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,824,C76295A6AE9702BF249473363EB2942B8A646ED905E89507DD3EBE0BFC6AB25F,C76295A6AE9702BF249473363EB2942B8A646ED905E89507DD3EBE0BFC6AB25F,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
TRANSFER-0034,TRANSFER-ES-B-002_notas-san-salvador-outputs/source_canon_repo_text_probe/ES-B-002_notas-san-salvador/algebra-2018/capitulos/12-anillos-conmutativos.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,ring_theory,ring_theory,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,ES-B-002_notas-san-salvador,tex,902,0BAF39CD70EFEF4B9DBC07EF1192607C78190ACA2370C7AAFBAB884824C1CFFB,0BAF39CD70EFEF4B9DBC07EF1192607C78190ACA2370C7AAFBAB884824C1CFFB,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,spanish-repo-tex-body-presence; source-witness-candidate; license-gap-no-clearance; not-promoted,"GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local ZIP has 102 entries and no LICENSE/COPYING file; 64 text-like archive files scanned (2,022,298 bytes) with 0 repository license-grant hits, 1 third-party AMS .bst copyright notice, 3 false positives; linked cadadr teaching pages HTTP 200 with 0 rights/license hits; no license-clearance claim",unresolved_no_explicit_grant,match,not_term_sense_reviewed,true,false,false,primary_unique,false,false,preserved_noncounting_source_or_alias,false,false,,not_declared,false,,
