route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes,current_active_body_count,current_active_bytes,current_domains,current_source_ids,current_general_school_math_body_count,current_specialist_algebra_body_count,inherited_form_attestation_count,inherited_forms_are_corpus_attestation,current_license_status,evidence_status,corpus_manifest_sha256,review_status,official_lexical_reference_source_count,official_lexical_reference_record_count,official_lexical_reference_source_ids,official_lexical_reference_license_status,lexical_reference_only_not_body,translation_family_count,official_translation_sibling_body_count,latest_acquisition_intake_source_ids,specialist_algebra_gap_status
R013,rm-vallader,Vallader,Rhaeto-Romance,Romansh,regional idiom,Lower Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired; official lexical reference does not close the body gap,Separate Vallader cohort,true,Rumantsch Grischun is not a proxy; Official school-math lexical crosswalk present; running and specialist-algebra bodies remain absent; 2026-07-18 intake: body_acquired_pending_integration_review,1,1679743,"'coordinate_geometry',;'fractions',;'measurement',;'proportional_reasoning',;'solution_register'];'symmetry',;'word_problems',;['arithmetic',",CURATED-GRCH-AP25-1G-M1-VALL,1,0,0,false,unresolved_no_explicit_reuse_grant,active_substantive_body_and_official_lexical_reference_present,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_plus_official_lexical_reference,1,30,CURATED-RM-MULTI-GRCH-LP21-GLOSSARI-2017,copyright_status_unresolved_no_explicit_reuse_grant,false,1,1,GRCH-AP25-1G-M1-VALL,explicit_zero_specialist_algebra_body
R014,oc,Occitan,Western Romance,Occitano-Romance,standard/pluricentric,Occitania,Latn,core_expansion,,institutional lexicon plus revision-pinned mathematical source,No source acquired,Occitan readers,true,Catalan is adjacent evidence only,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R015,oc-aranese,Aranese,Western Romance,Occitano-Romance,official Gascon standard,Val d'Aran,Latn,core_expansion,,official educational mathematics source plus lexicon,No source acquired,Aranese readers,true,Occitan umbrella is not a substitute,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R016,oc-gascon,Gascon,Western Romance,Occitano-Romance,regional standard,Gascony,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gascon readers,true,Aranese evidence must be tagged separately,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R017,frp,Arpitan / Franco-Provençal,Western Romance,Arpitan,regional standards,France Switzerland and Italy,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Arpitan readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R018,wa,Walloon,Western Romance,Oïl,regional standard,Wallonia,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Walloon readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R019,pcd,Picard,Western Romance,Oïl,regional standard,Picardy and Hainaut,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Picard readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R020,nrf,Norman,Western Romance,Oïl,regional standard,Normandy and Channel Islands,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Norman readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R021,fr-gallo,Gallo,Western Romance,Oïl,regional standard,Brittany and Maine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gallo readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R022,fr-bgm,Burgundian-Morvandiau,Western Romance,Oïl,regional standard,Burgundy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Burgundian readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R023,fr-fc,Franc-Comtois,Western Romance,Oïl,regional standard,Franche-Comté and Swiss Jura,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Franc-Comtois readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R024,fr-champ,Champenois,Western Romance,Oïl,regional standard,Champagne,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Champenois readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R025,fr-lor,Lorrain,Western Romance,Oïl,regional standard,Lorraine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Lorrain readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R026,fr-poit,Poitevin-Saintongeais,Western Romance,Oïl,regional standard,West-central France,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Poitevin-Saintongeais readers,true,French is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R027,fro,Old French,Western Romance,Oïl,historical,Medieval France,Latn,historical_diachronic,,critical edition and historical dictionary,No source acquired,Historical evidence only,true,Not scored as a modern reader cohort,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R028,fur,Friulian,Rhaeto-Romance,Friulian,standard,Friuli,Latn,core_expansion,,institutional lexicon plus native mathematics or education source,No source acquired,Friulian readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R029,lld,Ladin,Rhaeto-Romance,Ladin,standards by valley,Dolomites,Latn,core_expansion,,valley-tagged institutional lexicon plus native technical source,No source acquired,Ladin readers by standard,true,Italian and Romansh are adjacent only,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R030,pms,Piedmontese,Western Romance,Gallo-Italic,regional standard,Piedmont,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Piedmontese readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R031,lmo,Lombard,Western Romance,Gallo-Italic,regional standards,Lombardy and Swiss Ticino,Latn,core_expansion,,region-tagged dictionary plus native technical source,No source acquired,Lombard readers by region,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R032,lij,Ligurian,Western Romance,Gallo-Italic,regional standard,Liguria and Monaco,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Ligurian readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R033,gii-emr,Emilian-Romagnol,Western Romance,Gallo-Italic,regional continuum,Emilia-Romagna and nearby regions,Latn,core_expansion,,Emilian and Romagnol tagged dictionaries plus native technical sources,No source acquired,Separate Emilian and Romagnol sampling,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R034,vec,Venetian,Western Romance,Venetan,regional standard,Veneto and nearby regions,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Venetian readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R035,nap,Neapolitan,Western Romance,Italo-Dalmatian,regional standard,Southern mainland Italy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Neapolitan readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R036,scn,Sicilian,Western Romance,Italo-Dalmatian,regional standard,Sicily and southern Calabria,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Sicilian readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R037,co,Corsican,Western Romance,Italo-Dalmatian,regional standard,Corsica,Latn,core_expansion,,institutional dictionary plus native technical source,No source acquired,Corsican readers,true,French and Italian are not proxies,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R038,ist,Istriot,Western Romance,Italo-Dalmatian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native technical or educational text,No source acquired,Istriot readers or expert elicitation,true,Italian and Venetian are not proxies,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R039,dlm,Dalmatian,Western Romance,Italo-Dalmatian,extinct historical,Dalmatian coast,Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,No modern intelligibility cohort claim,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R040,sc,Sardinian,Insular Romance,Sardinian,umbrella standard,Sardinia,Latn,core_expansion,,institutional standard lexicon plus native mathematics or education source,No source acquired,Sardinian readers,true,Italian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R041,src,Logudorese Sardinian,Insular Romance,Sardinian,regional standard,Central and northern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Logudorese readers,true,Umbrella Sardinian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R042,sro,Campidanese Sardinian,Insular Romance,Sardinian,regional standard,Southern Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Campidanese readers,true,Umbrella Sardinian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R043,sdc,Sassarese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northwest Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Sassarese readers,true,Italian and Sardinian are not proxies,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R044,sdn,Gallurese,Insular Romance,Transitional Sardinian-Corsican,regional standard,Northeast Sardinia,Latn,core_expansion,,regional lexicon plus native technical source,No source acquired,Gallurese readers,true,Italian and Sardinian are not proxies,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R045,rup,Aromanian,Eastern Romance,Aromanian,minority standards,Balkans,Latn,core_expansion,,academic dictionary plus native mathematics or education source,No source acquired,Aromanian readers,true,Romanian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R046,ruq,Megleno-Romanian,Eastern Romance,Megleno-Romanian,endangered local varieties,Greece and North Macedonia,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R047,ruo,Istro-Romanian,Eastern Romance,Istro-Romanian,endangered local varieties,Istria,Latn,core_expansion,,academic dictionary plus archived native educational text,No source acquired,Expert and heritage-reader cohort,true,Romanian is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R048,ro-md,Romanian in Moldova,Eastern Romance,Daco-Romanian,regional standard,Moldova,Latn,core_expansion,,Moldovan edition-tagged mathematics source,No region-tagged source acquired,Moldovan Romanian readers,true,Romanian corpus needs region metadata,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
