language	work	path	first	last	pages	source_sha256
EN	D026	works/D026_EN.pdf	500	517	18	1F6CD359EA1482F8254AD57B65321D38777E8EB35EFCCFB49227A90271997978
EN	D027	works/D027_EN.pdf	518	576	59	C445D38899816E0A99FA52C9DAE333EEAB4F04AB8DE0E034773A017B065E3CDF
EN	D028	works/D028_PUBLIC_SAFE/Deligne_D028_EN.pdf	577	599	23	4FC7463C8C56601A30B12E46695D04D7D7B0FFE912AB9B3CED225195749AD3F3
EN	D029	works/D029_PUBLIC_SAFE/D029_EN.pdf	600	605	6	5C1478E2B42AFBC915AAFF7FE30F623BAD1D2D239D44C6A0F776176B5B7F9D0A
EN	D030	works/D030_PUBLIC_SAFE/D030_EN.pdf	606	641	36	0EF16571F2E0D14DF226E0D00CD52EB616E3E99E825E9C8F6408F65CEC50DC6A
EN	D031	works/D031_PUBLIC_SAFE/normalized/english_translation.pdf	642	684	43	49E4B45F8F6B29B25DE0840625827F699A27D7B1E7B78386DA05856E15A334F6
EN	D034	works/D034_PUBLIC_SAFE/pdf/D034_english_translation.pdf	685	695	11	0B48A39C60DF940FF1F20255B52862259B3D84B805D4264A121DB27D84BE751B
EN	D035	works/D035_PUBLIC_SAFE/D035_EN.pdf	696	729	34	E202510EC8C5A8AFD8DFC0E36DD5793826ECB0AC5C041ED1C237C17878AC474E
EN	D036	works/D036_PUBLIC_SAFE/D036_EN.pdf	730	739	10	3D678FF9F6259F0147135A581ECD33DC16B60323747EC6FBD8828025D248A8CF
EN	D038	works/D038_PUBLIC_SAFE/candidate/D038_ENGLISH_CANONICAL.pdf	740	797	58	E8796011E3D59B5A6AB5A30C08C0054296AAEB62032E98CA88272AE382CA596C
EN	D039	works/D039_PUBLIC_SAFE/output/pdf/D039_english_standalone.pdf	798	819	22	229FF188A363F59DFE02C7A29BAEC791A46F30FCF2B81F855C8BA98693F18743
EN	D040	works/D040_PUBLIC_SAFE/D040_EN.pdf	820	827	8	5E92B88D3D1642F49D628DCCBB279FBF7FAD2944FC724F3254C58ECAB7A2BEDD
EN	D043	works/D043_PUBLIC_SAFE/D043_EN.pdf	828	833	6	FE146969A7D425A81330EED83E8B4428E0FD1B3FD9AFE9D31DE4D8501A44F89B
FR	D001	works/D001_FR.pdf	3	6	4	35DC54F17E28236C56D8A48A4F23BEAB85D327786553B0C962694561D09110B4
FR	D002	works/D002_FR.pdf	7	18	12	6DE66CDAD91E61756EA228D48AAD413C8287A8AC2A6B825D7E3B33B90325F345
FR	D003	works/D003_FR.pdf	19	34	16	0B367245786AECF831B99532E9813834F12DA763081AC183983815F0199FE427
FR	D004	works/D004_FR.pdf	35	39	5	4F6F1D2F75C72B1A372ABEFF28F47EEB1D6886C8F8D4DCE6667E05AA86B9F9A2
FR	D005	works/D005_FR.pdf	40	66	27	01AEE993D3E09828F1F9BD1B5292BBC5EE95C0902D1E99F0B84E7D8C5EE7E97C
FR	D006	works/D006_FR.pdf	67	85	19	72D85934EE8DF38243067EA04C3FE32ED84DE07EBDE4781FA99F0F989E8A58F0
FR	D007	works/D007_FR.pdf	86	98	13	E2DB2A229178FBAAAC7018EF1F24096297FE7328F0AE2141FE0C6873FC5AB978
FR	D008	works/D008_FR.pdf	99	116	18	C4AD4E6291C32C5C707E8B3B2F3CD203333479270943CBA60901AE75A9EC73C7
FR	D009	works/D009_FR.pdf	117	121	5	FC64DF272F381B1E01A6742FC2895AFA754BFCF0B2A035EB43B3EBCA165C29AB
FR	D010	works/D010_FR.pdf	122	163	42	EFBD7BD8E449B178BAE625985D50869151166B536A04ED4F5F6A1D5178A74E20
FR	D011	works/D011_FR.pdf	164	166	3	77BCDA2C9168168716754858FE54AC8CAB5FE3EDCC86403C760440CCCFF35A38
FR	D012	works/D012_FR.pdf	167	187	21	7CA5936914195E0736E33C66DD04E90863F589E74CC3AEA4CE93A2AD4B97B010
FR	D013	works/D013_PUBLIC_SAFE/D013_FR.pdf	188	201	14	C630E476588D36D998DF858B568A0E2C3A751068710A6B45031F62772ED8C504
FR	D014	works/D014_FR.pdf	202	224	23	AA3BC80C9348D18D4C2047B139E27FEA9CB4E85B0E2DF8A7856575DBFEA88D42
FR	D015	works/D015_FR.pdf	225	237	13	C885BD1693CEC81EB949B33E7049A28F352D1797D76AA70F565BB259508CEAD2
FR	D016	works/D016_PUBLIC_SAFE/D016_FR.pdf	238	294	57	87C7D0E8901621DAEA872D9A2590681864ED955014F642BCBEFA814C4EEBEB52
FR	D018	works/D018_PUBLIC_SAFE/D018_FR.pdf	295	449	155	6AE9DD4B49685F6C2CB56A7D9F416A0AF7D146006F6FE6EF13143CEB93488159
FR	D021	works/D021_FR.pdf	450	473	24	4B4FC661A45C8E220834FA4977CFA17198A5767870A4EB657EAF845CF9B8A30F
FR	D022	works/D022_PUBLIC_SAFE/outputs/D022_FR.pdf	474	480	7	ACBB7BF1D6B67EB7EA5781C560EA4815DF8901C880AA6309FF2589B3560D47DE
FR	D023	works/D023_PUBLIC_SAFE/outputs/D023_FR.pdf	481	510	30	03FFBC90B3D4DDCE6EFFAC3B5C24CBF9AB3E9B5B8D1DE3A80FBD41538D86C610
FR	D025	works/D025_FR.pdf	511	513	3	949DAC10C6EBA6953FC3EBD42E0FDF7E2F9D4A151FBEDA9A812E3CB0140638A0
FR	D026	works/D026_FR.pdf	514	531	18	1881B512AC231BA07D5D8BACC9DED8BD036706D5B611A180D51E9E7762BD5511
FR	D027	works/D027_FR.pdf	532	590	59	C23577760AC20486798B3D406D45550CDB028F32F729ED65EBE83FBFCC794A10
FR	D028	works/D028_PUBLIC_SAFE/Deligne_D028_FR.pdf	591	613	23	A551041E8FA4622C8DF33E9F4931B8E240A09377CAAAF01148960A65AEB319C5
FR	D029	works/D029_PUBLIC_SAFE/D029_FR.pdf	614	619	6	09C734F97F89EB2611F287DDC7612EE2B2B8BB844B08DA3F090E8971C1DF7D59
FR	D030	works/D030_PUBLIC_SAFE/D030_SOURCE_FR.pdf	620	655	36	5D45B414D00AA582D6422B84C320DA96C2BC4066AFBD9A55EFF63241CAD9DCB5
FR	D031	works/D031_PUBLIC_SAFE/normalized/french_diplomatic.pdf	656	698	43	E76BEA1492A49E10BDFF6C9BFE4902644B044B37A928B37BA60CE87182582F58
FR	D034	works/D034_PUBLIC_SAFE/pdf/D034_french_diplomatic.pdf	699	709	11	6377C1608282DB1BA6253E00F40BAF58B61CA0C33A0468A0EA6D832CED479FA5
FR	D035	works/D035_PUBLIC_SAFE/D035_FR.pdf	710	743	34	78B429E53939903E7E43AAD9D33F8EC005B96B3A34DA74A3D0AE33704C121510
FR	D036	works/D036_PUBLIC_SAFE/D036_FR.pdf	744	753	10	AF8BAE906185B24BFCE455336F34317AA625B0D2E5696B3F2B44132092AB9BC4
FR	D038	works/D038_PUBLIC_SAFE/candidate/D038_SOURCE_LANGUAGE_CANONICAL.pdf	754	811	58	95CC5FBD7B97911BF1FE8707C02D9E5AB3AFC58563801A1C03BAEDD309D096E9
FR	D039	works/D039_PUBLIC_SAFE/output/pdf/D039_source_language_normalized.pdf	812	833	22	8956B4C58AF9BEE6883C16CEAB7CA50217194A68F90C6EDBECD8007A5EBD64AE
FR	D040	works/D040_PUBLIC_SAFE/D040_FR.pdf	834	841	8	6ECAE1A48FC6A6D74CCCEDCE3A21551D12D60A39CF23018E7062DACBC5D66042
FR	D043	works/D043_PUBLIC_SAFE/D043_FR.pdf	842	847	6	F9E694CBB2357E50041929ABF321C8D490CD2D90B9B7271B64BB5F3823926169
