layer_order,layer_type,scope,authority_rank,artifact_or_witness,path_or_identifier,sha256,commit_or_version,certification_or_use,limitations
11,english_back_matter_draft,unindexed sourcePDF693--702; printed691--700,4,Current tail English fragment,SGA6_idx666_702_and_backmatter_English_SourceChecked_Draft_fragment.tex,FEAC33DDC5D8E2A8A40BA8B0330A44043B618147DA69CEDE887D9C12EC426F1B,unindexed terminal,Scan-checked terminal back matter,No current-rescribe indices invented; pending later French/editorial control.
12,english_layered_reader_source,physical source coverage 001--702,4,Successor master TeX,SGA6_English_Complete_Layered_WorkingEdition.tex,239623A45FB1796CF41039CC408D6CA4D5F2419144CCB6BF7DB037E00E1EFEDA,2026-07-18 successor build,Editable full-range layered working reader,Layered authority; inherited prefix is not uniformly page-audited.
13,english_layered_reader_pdf,377 A4 reader pages,4,Successor built PDF,SGA6_English_Complete_Layered_WorkingEdition.pdf,0F8D9777F81F72174844C31A105DC5ECA277451C5E2320B04054D9FECC9CB2E8,2026-07-18 successor build,Clean build and rendered checkpoint QA,Not accessibility-tagged; not a uniformly source-audited whole-volume edition.
14,english_comparison_witness,inherited whole-volume English,5,Complete inherited English,01_recovered_witnesses/sga6_english_controls/complete_inherited/SGA6_English_pages_001_702_complete.tex,C7C1C4DBE67D89E2CB7921B18D94CE830B5788CDE019C7CD4D27B46F46CE9625,recovered witness,Comparison only; never source authority,Package names no translator/model and is not silently promoted.
15,english_comparison_witness,later inherited repair baseline,5,Later inherited unsynchronized repair baseline,01_recovered_witnesses/sga6_english_controls/later_unsynchronized_repair_baseline/sga6_en_later_unsynchronized_repair_baseline.tex,FFCE609E3F38124C801304F109767C60A94B9319637B0F926B9D797CCCDC74D8,recovered witness,Comparison only; never source authority,Machine-assisted source-tree provenance is recorded internally; not silently promoted.
16,english_lineage_control,idx532--543,5,Earlier source-checked English restart,working_exposeX_idx532_543_en/SGA6_Expose_X_idx532_543_English_SourceChecked.tex,B601720CEDFB09B623DC1E31D0985297F89D4ED5B9448EBAC234A8179E1A0ED9,existing checkpoint,Lineage absorbed into later cumulative checkpoints,Do not redo absent a documented correction.
17,english_style_control,SGA English house style,6,SGA 1 English PDF,SGA 1 English control,AF6AA94AC6489F1FA75495FC25727193631E3C281D752389C0A4A93A0DB21ABF,style witness,Terminology and prose comparison only,Does not override the SGA 6 scan.
18,english_style_control,SGA English house style,6,SGA 2 English PDF,SGA 2 English control,E75CE35163D0D3588E22F18F9CA696BBDA613A081A8A3A8D494B69BB5D333B72,style witness,Terminology and prose comparison only,Does not override the SGA 6 scan.
19,english_style_control,SGA English house style,6,SGA 3 English PDF,SGA 3 English control,2E669E87A6D4E1C6948DE084B0B6478855FAC9762ACC48BC440CD46EB15EC17C,style witness,Terminology and prose comparison only,Does not override the SGA 6 scan.
20,english_style_control,SGA English house style,6,SGA 3 editable English TeX,SGA 3 editable control,3425BB3D0D5ACC31A51529B3E4B1ED97F9138B68B1C3778A1090DF118F320EAC,style witness,Terminology and TeX comparison only,Does not override the SGA 6 scan.
21,english_style_control,SGA English house style,6,SGA 4 English PDF,SGA 4 English control,658D20EB5F592F11C0B5201ACBDA00DB476E39A9BFB21D12E9D79699EEAD6BE5,style witness,Terminology and prose comparison only,Does not override the SGA 6 scan.
22,public_record_control,Zenodo concept current version,7,Current public SGA concept,10.5281/zenodo.21430251,42B9371BE6A031E459A2F77ED27C56F34A11C1E9BBC7B015DFB6DF2E4236F7E8,support ZIP receipt,Same-concept correction owned by archive maintenance,Live support ZIP has exactly 14 path-bearing text files; do not reuse it or mint a duplicate record.
